gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.02637887	0.012791365	0.61784645	0.2247861	0.0025956565	2	0.0008474039	0.0003872695375	0.028620621	0	0.000982333445	0	0.35830963	0.0668112112499999	0.9924983275	0.9474774825	0.04848049	58
ENSG00000151240.11	0.056971635	0.036244035	0.5454345	0.2174481	0.0021052115	3	0.003256345625	0.002036863625	0.02498215725	0	0.00060610017	0	0.423808425	0.1187756475	0.981318745	0.94261702	0.02205713725	40
ENSG00000180525.9	0.0281014	0.018913555	0.57526175	0.34485575	0.004416271	7	0.001159278625	0.000768528	0.02540459	0	0.0006190175775	0	0.29179799	0.0780836695	0.986451655	0.9672751975	0.02992197325	50
ENSG00000107929.9	0.043233295	0.0192615	0.6440609	0.1398775	0.001080094	2	0.001328047375	0.0006595711325	0.0341994395	0	0.00046790127	0	0.503047269999999	0.0891589439999998	0.99275137	0.9303842675	0.002965311975	8
ENSG00000107937.14	0.040862545	0.02810778	0.5868909	0.34239555	0.0024589015	5	0.001792001475	0.00130753955	0.034246	0	0.0004924135775	0	0.332017892499999	0.1084544825	0.9867613275	0.97018128	0.0137725785	33
ENSG00000148377.5	0.02100489	0.01413703	0.5830192	0.37627815	0.003304817	7	0.00087664482	0.000589082	0.03536537975	0	0.0005761635525	0	0.236080022499999	0.0725320819999999	0.988434015	0.962852165	0.01961822	44
ENSG00000067064.6	0.03718876	0.02824661	0.5772374	0.4146696	0.0078367275	18	0.001486316	0.0012381806	0.02944675225	0	0.00044845633	0	0.3108098725	0.10464522	0.9869050325	0.9729912525	0.06427422825	153
ENSG00000047056.10	0.09451583	0.096159535	0.51356975	0.49052015	0.036788695	97.5	0.023763575	0.02609911875	0.026188582	0.018673667	0.0039233644	9	0.2224578575	0.1981325525	0.978417005	0.9797033775	0.08756490575	222
ENSG00000185736.11	0.06647174	0.035662305	0.6042158	0.20782565	0.0008022838	2	0.00245324555	0.00120288805	0.03088049	0	0.000311715025	0	0.418238184999999	0.14095793	0.9879424525	0.9474213075	0.00473446532499999	16
ENSG00000067057.11	0.04775499	0.02836402	0.5935282	0.2814601	0.001265359	4	0.0020115907	0.0012312457	0.03431314375	0	0.000329384745	0	0.410611319999999	0.1205254975	0.9866990775	0.9520920525	0.0102825515	35
ENSG00000107959.11	0.14020185	0.13476065	0.49851305	0.4985115	0.037760005	122	0.02837125425	0.0275641625	0.0260123535	0.024333248	0.01735054375	56	0.3014652	0.2733917275	0.9803910775	0.97850534	0.06505387375	204
ENSG00000067082.10	0.05965611	0.036293035	0.5589768	0.22636325	0.001296601	3	0.002759429425	0.00171962095	0.03258576425	0	0.0003624776575	0	0.4014506975	0.1337064225	0.985886835	0.9396915875	0.005337921825	15
ENSG00000165568.13	0.11461605	0.07762151	0.5208446	0.24565385	0.0013618245	3	0.0092849198	0.005650638325	0.02469605525	0	0.000388019335	0	0.53775807	0.2119660775	0.97452203	0.937281735	0.017334439	50
ENSG00000187134.8	0.04297371	0.0282977	0.5650858	0.3093039	0.002129713	6	0.001563973625	0.000980320505	0.02699068975	0	0.0003762753825	0	0.328690924999999	0.115549865	0.9839087625	0.953979195	0.01573410875	45
ENSG00000151632.12	0.052906535	0.0313319	0.63855635	0.3236944	0.0010196485	3	0.00204102225	0.00093115402	0.040797182	0	0.0003990746	0	0.4563274925	0.1300498675	0.989635365	0.964872205	0.02202376	59
ENSG00000196139.7	0.09838031	0.071178935	0.7730595	0.6456974	0.00099089795	3	0.006700801075	0.0036064887	0.11218486	0	0.0003742760925	0	0.423183165	0.1695487	0.9905958175	0.98298357	0.006098795225	16
ENSG00000198610.6	0.08980658	0.053159015	0.5834514	0.1716721	0.00084221605	2	0.004696180475	0.002487803	0.032062655	0	0.0003864073325	0	0.530094945	0.1613429525	0.98012646	0.9388589725	0.0046188232	13
ENSG00000178473.5	0.035774725	0.015752465	0.6913427	0.180858	0.0007424372	2	0.00115822335	0.00044490435	0.0448767475	0	0.0003755061575	0	0.4906217	0.0823561377499999	0.9940637625	0.95565239	0.01019505	27
ENSG00000178462.7	0.057821965	0.034706145	0.6120674	0.22435405	0.0011622025	3	0.00329877135	0.00166828335	0.03626096125	0	0.0003888328025	0	0.46295945	0.120169145	0.9862821175	0.9528555	0.01758283025	50
ENSG00000173848.14	0.026215075	0.016355585	0.6095247	0.3610593	0.002956999	7	0.000681414	0.0005072584	0.04292337	0	0.0004231024475	0	0.277882782499999	0.08893389425	0.988686235	0.9616958	0.02230507375	66
ENSG00000178372.6	0.072842345	0.060392075	0.55273815	0.44020025	0.0056343135	15	0.00436885835	0.00352151885	0.02909966825	0	0.000450929145	0	0.290656844999999	0.1836739275	0.979266465	0.9705056425	0.01703170675	45
ENSG00000178363.3	0.03771498	0.02719638	0.5582867	0.377529	0.00694532	18	0.00178767845	0.001230215	0.03145254625	0	0.0004537226325	0	0.335243944999999	0.115212645	0.986006925	0.9653702975	0.04252071875	114.025
ENSG00000196372.8	0.10899575	0.09362076	0.6678029	0.63968215	0.017845235	47	0.008568216525	0.008468672225	0.041670155	0.03615032625	0.002352041	4	0.31564313	0.230328125	0.9889718025	0.985347805	0.05359502825	133
ENSG00000108021.15	0.07315767	0.067191525	0.5574425	0.5316063	0.047342265	131	0.0043626825	0.003994701225	0.02888247275	0.014940732	0.0007875446125	2	0.241348945	0.1968492675	0.9800775475	0.9777191475	0.07922083075	215
ENSG00000057608.11	0.058892485	0.04728172	0.52887335	0.4002142	0.01708263	52	0.002619250175	0.002074248	0.0287717865	0	0.0004094406275	0	0.333869405	0.1779340825	0.979019405	0.966379935	0.0404940825	113
ENSG00000134461.11	0.04642166	0.021667045	0.6560035	0.1838389	0.00086394935	2	0.0017928841	0.0009317773375	0.03381013	0	0.00038458753	0	0.444810294999999	0.1035182175	0.9896921675	0.9492591275	0.00870469307499999	21
ENSG00000134452.14	0.06002904	0.03588217	0.58533675	0.2656756	0.001518901	4	0.002481251825	0.00158775315	0.02703941375	0	0.0003834697	0	0.43104038	0.1477715575	0.987222175	0.945363155	0.00952231452499998	25
ENSG00000134470.15	0.07151072	0.0675744	0.45392475	0.43529135	0.05871569	166	0.00506144375	0.004672794975	0.01997823175	0.01631763725	0.002100424775	4	0.23836802	0.2005797525	0.969064455	0.966208495	0.08787676775	236
ENSG00000134460.11	0.05224104	0.029051695	0.59888975	0.22064355	0.001261721	3	0.0017308988	0.0008994143925	0.03148867375	0	0.0003628998075	0	0.442972464999999	0.126316005	0.9870632375	0.9495532	0.00832654202499999	22
ENSG00000134453.11	0.0760492	0.04606913	0.5722156	0.1444879	0.00077410135	2	0.003513396975	0.00188683195	0.02450085975	0	0.0003632126025	0	0.519064065	0.151532185	0.9819169775	0.937747755	0.01619006375	42.0249999999996
ENSG00000170525.14	0.03915438	0.02340919	0.61418405	0.26493035	0.001503979	4	0.00152962665	0.0008908969125	0.02726127325	0	0.00038320787	0	0.3736767225	0.1031380925	0.987571475	0.95244223	0.00834150592499999	23
ENSG00000215244.1	0.045669625	0.021223375	0.64743185	0.17117005	0.00078423895	2	0.001530601	0.000674772915	0.0388236345	0	0.000371106185	0	0.492189449999999	0.103998835	0.9920414	0.944314144999999	0.0032553897	10
ENSG00000212743.1	0.033351775	0.020797515	0.61086675	0.31560115	0.0033986515	8.5	0.001133001575	0.0006119507	0.028109071	0	0.0003883490925	0	0.337166749999999	0.09595433675	0.990367145	0.9645563775	0.01766887325	47
ENSG00000065675.10	0.0969309	0.07952204	0.50741295	0.3690131	0.008779946	26	0.006084046875	0.00471844145	0.0249068965	0	0.00040940795	0	0.3724919	0.21922574	0.9716355625	0.952986565	0.036467484	102
ENSG00000198879.7	0.09697234	0.080468935	0.49456795	0.36507815	0.0051175045	16	0.005584550175	0.004609579375	0.02945967875	0	0.000535218205	0	0.358076245	0.21859299	0.9713566975	0.9612578075	0.02159496475	68
ENSG00000123243.10	0.04542151	0.02125647	0.6568948	0.1851708	0.0009187278	2	0.001597206725	0.0007631147925	0.041611849	0	0.0003368753675	0	0.487029505	0.1102714925	0.99230705	0.9486408	0.003573385275	12
ENSG00000151655.13	0.1230573	0.088203865	0.64793025	0.4238071	0.001340336	4	0.01400013475	0.009299445825	0.039078841	0	0.00036931169	0	0.52551481	0.21572304	0.9863449025	0.9722460175	0.01218614625	37
ENSG00000151657.6	0.04822326	0.02538453	0.6774172	0.2492311	0.0007287795	2	0.0017510996	0.000845492415	0.035415615	0	0.0003440825925	0	0.483509445	0.1110177	0.9926394	0.9667951675	0.005329467	15
ENSG00000165629.15	0.0735098	0.04279518	0.59098495	0.21050795	0.001002617	3	0.00370313135	0.002081280725	0.0275490055	0	0.000347457245	0	0.526742525	0.1458241975	0.9883004	0.9344178	0.01339260975	42
ENSG00000165632.7	0.070456025	0.03183259	0.6351821	0.16137035	0.00079764075	2	0.0024339276	0.001182466175	0.03272903625	0	0.0003321806525	0	0.519892627499998	0.141551975	0.99021757	0.93166855	0.00293222677499999	10
ENSG00000107485.11	0.04381479	0.02904517	0.5508034	0.27242395	0.001629573	4	0.001855307075	0.00127635825	0.02578574	0	0.0004212029475	0	0.366428789999999	0.1123637475	0.9865325	0.9542806275	0.0160608905	43
