gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.21580315	0.1635534	0.473791	0.39249905	0.017646325	15	0.0158235975	0.0128194305	0.02714633425	0.002088031925	0.0020467261	1	0.599411162499999	0.4300619675	0.9718320775	0.95660552	0.0738770534999999	62
ENSG00000015171.14	0.05047747	0.04324135	0.53075555	0.4928136	0.04261584	47	0.0017026421	0.00157878715	0.02677288825	0.0163313705	0.004976296175	3	0.25221421	0.18702164	0.9804344275	0.978268	0.20410666	228
ENSG00000151240.11	0.14641815	0.11992545	0.568397	0.42711175	0.006399837	11	0.0092248054	0.00662490325	0.0358835175	0	0.00059884277	0	0.503993382499999	0.334223955	0.9773732825	0.97179233	0.0753736335	138
ENSG00000180525.9	0.080822345	0.04073327	0.6174016	0.18138005	0.001154587	2	0.002864722	0.00135966605	0.03877493325	0	0.0005895376	0	0.52346345	0.19458476	0.98809135	0.9511702075	0.0134361855	21
ENSG00000107929.9	0.1020324	0.05655473	0.62419855	0.27845885	0.0011711145	2	0.0036833646	0.0015763006	0.03705570925	0	0.000484723205	0	0.5619509525	0.2634718975	0.98987479	0.9610894525	0.017831264	39
ENSG00000205740.1	0.09946047	0.071250205	0.519402	0.3377975	0.003684321	8	0.004199822375	0.0027733448	0.02508080225	0	0.000526274	0	0.493993805	0.302872215	0.980180535	0.9600555075	0.1218979125	269
ENSG00000107937.14	0.1718175	0.12747295	0.511415	0.2282711	0.001581264	3	0.01321509075	0.00825273905	0.0285214855	0	0.00046880098	0	0.5961834325	0.3505937825	0.9755426075	0.9567437475	0.009501211125	20
ENSG00000148377.5	0.15161105	0.095337855	0.5519419	0.2404558	0.0010215245	2	0.005577914725	0.002825559275	0.025107903	0	0.0004625753375	0	0.61423947	0.3477547625	0.9812529	0.955590622499999	0.03769953225	83
ENSG00000067064.6	0.2508407	0.1860268	0.47475245	0.2121313	0.0015581475	3	0.022386853	0.0134935585	0.02369966725	0	0.0004456297875	0	0.69389084	0.4895972525	0.96903953	0.9405714	0.01393249625	31
ENSG00000047056.10	0.209753	0.18921885	0.46861725	0.4334556	0.03224522	82	0.013039861	0.0114197225	0.02498446125	0.001944517925	0.0006129069625	1	0.57576885	0.4902773025	0.970275205	0.965733315	0.06769598225	165
ENSG00000185736.11	0.08885165	0.06018785	0.58937635	0.32956105	0.0013469245	4	0.00316066165	0.001995627025	0.030378712	0	0.000368132845	0	0.505822057499999	0.2527509775	0.98630682	0.9677316775	0.008690524	29
ENSG00000067057.11	0.1275756	0.1192015	0.49923835	0.4613166	0.028700905	94	0.005619119425	0.005427819125	0.02477610025	0.0081036576	0.0006368708575	1	0.4257352025	0.371206215	0.978118755	0.97394796	0.0732541475	229
ENSG00000107959.11	0.14390095	0.1081636	0.5525105	0.3969685	0.004737142	16	0.0066295724	0.004140613075	0.031921385	0	0.000360056645	0	0.5697758875	0.4007494725	0.983253085	0.9691258925	0.04796403625	148
ENSG00000067082.10	0.1288155	0.085731905	0.5526748	0.2275703	0.0009511502	3	0.0060990523	0.003520219575	0.031967651	0	0.0003594923325	0	0.589504915	0.319215135	0.9824169575	0.9590859925	0.04289503875	123
ENSG00000165568.13	0.16898925	0.14981435	0.5155117	0.41543475	0.008784338	25	0.01735974975	0.012988473	0.0263719455	0	0.000450123265	0	0.515062064999999	0.3863518825	0.9734465725	0.9696619125	0.035559291	95
ENSG00000187134.8	0.08631198	0.065806155	0.53980865	0.37292465	0.005070372	13	0.003122806675	0.002288627	0.02708753025	0	0.000392426245	0	0.447271495	0.2858505975	0.980777345	0.9670458575	0.04490425175	132
ENSG00000151632.12	0.13295975	0.088960555	0.52409475	0.2215282	0.001405978	3	0.0072331819	0.003723089225	0.02746053775	0	0.000395498725	0	0.584539215	0.3267580625	0.978094625	0.943852165	0.007292873	21
ENSG00000196139.7	0.3116624	0.28677845	0.81925	0.80149285	0.001895114	5	0.058924031	0.0576674895	0.1906658225	0.1595551	0.000418900295	1	0.681508	0.509160367499999	0.9915904	0.9907632	0.0272533345	73
ENSG00000196326.6	0.1876421	0.1793814	0.5246631	0.4871566	0.062029685	163	0.015341883	0.01364701425	0.02741578	0.002903099025	0.00049523583	1	0.5116466975	0.439489605	0.97519877	0.9718443675	0.11586446	296
ENSG00000198610.6	0.0705079	0.057449455	0.5378729	0.466912	0.007089775	18	0.00275222	0.002134333575	0.02763806625	0.002344496925	0.0005029113425	1	0.38738663	0.284011285	0.980941535	0.974814	0.02734595825	69
ENSG00000178473.5	0.38155615	0.3570477	0.48070675	0.46248105	0.03012317	78	0.0588803475	0.0547445835	0.02329529125	0.022111326	0.003103734575	7	0.729913815	0.685062325	0.9702954925	0.9657811875	0.06109037725	159
ENSG00000178462.7	0.26461725	0.21839235	0.4510842	0.2767292	0.002186408	6	0.02581743725	0.020984586	0.0238045885	0	0.000428222435	0	0.7201805725	0.554934864999999	0.96653538	0.9557385925	0.03146983525	81
ENSG00000173848.14	0.062222295	0.060059185	0.5105561	0.5132172	0.08631979	228	0.002149460175	0.00207279	0.0255924435	0.02411104925	0.0588531035	161	0.255547445	0.2318919025	0.977230835	0.9775926125	0.1124158675	289
ENSG00000178372.6	0.1268132	0.12320265	0.5091044	0.50598485	0.09445648	248	0.006518935975	0.00610262715	0.02422368975	0.02371615825	0.05193997225	138	0.421730305	0.38329279	0.9764079475	0.9767489125	0.119749825	298
ENSG00000178363.3	0.040914855	0.038645	0.5037534	0.48404675	0.03681557	96	0.001336610625	0.001314128875	0.02727661725	0.0266324625	0.0141679245	41	0.216960405	0.1858538975	0.9737370225	0.9759121175	0.07359428175	185.025
ENSG00000196372.8	0.16931775	0.13439105	0.6178886	0.50009865	0.005269993	13	0.006902256475	0.00477552895	0.035145913	0	0.0004156693075	0	0.6526610825	0.4457549725	0.9837826	0.9736257175	0.02465164725	60
ENSG00000108021.15	0.074089685	0.060168535	0.5253621	0.43375365	0.0081747	21	0.002690081	0.002454969125	0.02497640925	0.005777444975	0.0009804142575	1	0.392431245	0.2725315575	0.97812588	0.9681802575	0.0666485525	181
ENSG00000057608.11	0.36975155	0.35088045	0.80192675	0.7970124	0.0010801645	3	0.10805155	0.1526866875	0.2672271325	0.2248209	0.00042111097	1	0.73881597	0.5605434775	0.9911121	0.989336385	0.003622126	11
ENSG00000134461.11	0.1416904	0.1145547	0.5247491	0.37102555	0.005322011	14	0.00638906965	0.004792946275	0.02536885	0	0.0004300883425	0	0.566853587499998	0.45095647	0.974507085	0.964166615	0.05122560525	138
