gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.12359635	0.08080051	0.47999245	0.1855122	0.0032735035	3	0.01878617875	0.01379037925	0.02514724125	0	0.00098296806	0	0.532159139999999	0.193100305	0.96641398	0.90910721	0.030770801	33
ENSG00000151240.11	0.03297065	0.016638365	0.63629325	0.23831505	0.0019306025	3	0.00116561055	0.000543336735	0.03433029175	0	0.0005800437525	0	0.447357125	0.088500122	0.9913889	0.9518865375	0.02027924925	36
ENSG00000180525.9	0.04169346	0.03015572	0.58249255	0.39258185	0.01071125	18	0.001814025225	0.001213832625	0.04103679	0	0.0006049983575	0	0.377859285	0.1122002225	0.98803319	0.9743917	0.1045303975	185
ENSG00000107929.9	0.073593005	0.053452335	0.5189433	0.3310905	0.008364877	19	0.00425816125	0.002672014675	0.02276894875	0	0.00050407289	0	0.3823096675	0.1730714	0.979448535	0.95622396	0.03722353875	79
ENSG00000107937.14	0.05788492	0.02987914	0.61048755	0.1918067	0.0012142455	2	0.00181788035	0.001158563975	0.03071018775	0	0.0004558564575	0	0.4739127975	0.130060795	0.9873293	0.9397298875	0.005690452825	13
ENSG00000148377.5	0.035677975	0.017041135	0.6624548	0.25184585	0.001355001	3	0.001251144	0.0006125266975	0.0336813295	0	0.0004536599	0	0.3610693775	0.09079172475	0.9911809	0.9579261625	0.006969445	15
ENSG00000067064.6	0.021140455	0.01687663	0.56125915	0.460969	0.006616253	16	0.000794909655	0.0006078255	0.028285532	0.00288533425	0.0005994381625	1	0.172482105	0.0810949362499999	0.984434225	0.9740203175	0.0199761705	50
ENSG00000047056.10	0.026816905	0.01520586	0.60696205	0.2888712	0.001650035	4	0.0010725537	0.00065555245	0.03674422725	0	0.0004257784775	0	0.337774009999999	0.0764126652499999	0.99125362	0.9548086975	0.0240347	59
ENSG00000185736.11	0.1622472	0.1415079	0.83395825	0.80043895	0.0017302185	6	0.0404876045	0.04501894475	0.1442388025	0.0073838702	0.000397369	1	0.498773	0.2675952325	0.99461833	0.9928971275	0.006859293475	23
ENSG00000067057.11	0.042052925	0.031643345	0.57063605	0.42247435	0.007622013	23	0.00178492155	0.00128418605	0.03078667275	0	0.00037734312	0	0.26529584	0.124527185	0.9873634	0.974190005	0.01937140675	62
ENSG00000107959.11	0.049422105	0.048005655	0.49969525	0.49698885	0.070777135	228	0.00205222785	0.0019482306	0.02721621775	0.028211661	0.04621304775	155.975	0.1874018175	0.1680022375	0.97536555	0.974986345	0.094618774	297
ENSG00000067082.10	0.1031673	0.075208655	0.46971205	0.22241785	0.002054334	5	0.008363403	0.00571875845	0.02215732375	0	0.000355510605	0	0.495307385	0.2143412525	0.97190657	0.936078835	0.0239863505	72
