gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.080020985	0.050070515	0.5747246	0.4075334	0.008584292	7	0.002229573875	0.00170450085	0.02931177475	0	0.001306264	0	0.453452917499998	0.25408467	0.9850214325	0.9707034475	0.1001853	82
ENSG00000015171.14	0.0726231	0.0519053	0.5286354	0.3967146	0.020450785	23	0.002796911225	0.001986837925	0.026897879	0	0.000988501195	0	0.4101597525	0.22252866	0.98421822	0.972220675	0.1323176625	144.025
ENSG00000151240.11	0.14736125	0.13649035	0.5154698	0.51352355	0.1045288	184	0.0071399803	0.0073604188	0.02522297275	0.02595204775	0.05136374275	94	0.4689442975	0.4146168975	0.9789843125	0.9776579175	0.169004035	295
ENSG00000180525.9	0.3203465	0.2873501	0.57103755	0.5313029	0.03231232	57	0.04948383025	0.04601887	0.03626669975	0.009625471775	0.0009348174525	1	0.6681878375	0.5506884025	0.9791570475	0.97562931	0.1390460275	245
ENSG00000107929.9	0.15333695	0.1278642	0.5108931	0.4120301	0.0084843805	18	0.007164406075	0.00620589405	0.027975325	0	0.000626130385	0	0.501915334999999	0.37260653	0.9788048025	0.96909972	0.0613019164999999	132
ENSG00000205740.1	0.10080005	0.09202259	0.50564155	0.4915116	0.05299987	120	0.00454842385	0.0042130387	0.02472686025	0.019882118	0.002474555075	4	0.3878015375	0.32268868	0.9784081125	0.974587825	0.1211972	264
ENSG00000107937.14	0.1024318	0.049105765	0.6364255	0.18933405	0.00094888285	2	0.00361641435	0.00149806155	0.03786854175	0	0.000455564835	0	0.566190815	0.244820335	0.9881453	0.9443885825	0.004704316	11
ENSG00000148377.5	0.046144545	0.042166025	0.4890967	0.4946327	0.03638353	85	0.001681949575	0.001562290475	0.02300197325	0.02381988125	0.009868362725	22	0.2528464325	0.2145905575	0.9733444275	0.9734977225	0.07057510425	157
ENSG00000067064.6	0.05182961	0.048290335	0.49149235	0.4863499	0.04113299	97	0.001443785925	0.001518152225	0.02914245825	0.028101124	0.01649182225	39	0.242704264999999	0.213995025	0.97225077	0.9692270825	0.0685905864999999	158
ENSG00000047056.10	0.3563655	0.3506138	0.4951752	0.4915336	0.08611777	212	0.09234680725	0.09217566325	0.026753579	0.0260435165	0.03917959375	95.975	0.662546375	0.620136665	0.9757691925	0.97617675	0.122317735	297
ENSG00000185736.11	0.3243473	0.3631077	0.8257788	0.86554225	0.0004814573	2	0.07892348	0.1838762575	0.295724	0.501941755	0.0003025527	1	0.7239568	0.5610536	0.992417125	0.9939331	0.005867736	20
ENSG00000067057.11	0.3539201	0.28728165	0.46343065	0.2501608	0.0008518028	3	0.043674982	0.028216495	0.025428422	0	0.0003195366	0	0.769492507499999	0.5791470875	0.9479190025	0.922993205	0.020386472	63.0249999999996
ENSG00000107959.11	0.1903649	0.13906655	0.55496935	0.3046083	0.001088904	3	0.008753294625	0.005040667	0.02473284925	0	0.0003427818325	0	0.6460224375	0.466171704999999	0.97991786	0.9565317	0.02516262775	75
ENSG00000067082.10	0.1342576	0.10909385	0.475538	0.3335996	0.003653791	10	0.006083857625	0.004422147375	0.02487811925	0	0.0003937084975	0	0.524318335	0.3723953875	0.97167005	0.9592565625	0.01433034775	41
ENSG00000165568.13	0.2144209	0.1684012	0.44035665	0.2644604	0.0037882745	11	0.01315291225	0.009341695375	0.02274932125	0	0.0003870416075	0	0.6385275075	0.49142391	0.9662225225	0.9464934825	0.069196037	194
ENSG00000187134.8	0.4163797	0.34761735	0.32597185	0.12430255	0.0012189675	3	0.080932551	0.0569816635	0.015496127	0	0.0003764536	0	0.7831883625	0.6374806	0.901435455	0.787236165	0.00576552674999997	16.0249999999996
ENSG00000151632.12	0.39611105	0.36239755	0.4154071	0.31424635	0.004989197	13	0.09723827	0.09163124825	0.0183938495	0	0.00045407072	0	0.7533574625	0.65213121	0.9544449225	0.9410939325	0.0388605055	102
ENSG00000196139.7	0.31459255	0.29719675	0.4909187	0.48188505	0.050221685	137	0.04165360725	0.0390570835	0.02550727	0.02680323325	0.0082509918	21	0.7020624	0.65008515	0.971289845	0.9673127975	0.10895036	293
ENSG00000196326.6	0.3857831	0.3133647	0.58675775	0.48443835	0.002069172	6	0.026622332	0.015665577	0.0456748025	0	0.0004002220075	0	0.82463164	0.75221745	0.972817145	0.960315525	0.01263521725	34
ENSG00000198610.6	0.2790755	0.2182621	0.51588605	0.30519715	0.001606105	4	0.0228697785	0.0155692965	0.02697911025	0	0.000404034115	0	0.7076881575	0.497573275	0.97140125	0.95498981	0.01287785075	35
ENSG00000178473.5	0.2269649	0.21172515	0.5563291	0.5377129	0.04364962	120	0.01665055825	0.01489225175	0.0313438795	0.01929607775	0.0007148819475	2	0.618658195	0.5186792475	0.979310285	0.97572378	0.0854056915	224
ENSG00000178462.7	0.33900235	0.3105188	0.54105075	0.44592125	0.003956772	10	0.0697786145	0.06432082425	0.027585177	0	0.000414663725	0	0.69773759	0.5816723025	0.978917905	0.977090525	0.032169333	86
ENSG00000173848.14	0.45259525	0.4009858	0.37906955	0.2792962	0.00562385	15	0.0745448035	0.0625457315	0.02120259325	0	0.0004407692875	0	0.854433139999999	0.7727380875	0.95395276	0.94843485	0.0254733195	67
ENSG00000178372.6	0.1170626	0.10406305	0.5118342	0.4440565	0.05237943	139	0.0050974452	0.004209249875	0.023605785	0	0.0005022250525	0	0.4588703925	0.3570991175	0.9759325525	0.967879585	0.0895441085	229
ENSG00000178363.3	0.12234665	0.09152508	0.53144255	0.37767635	0.025105165	67	0.005028347	0.00313275415	0.0271733085	0	0.0004093231	0	0.5172017825	0.3562291725	0.98055266	0.9632654975	0.076415182	196
ENSG00000196372.8	0.1861764	0.1507729	0.5237817	0.34237665	0.00180119	5	0.0130115735	0.008133101075	0.0255646275	0	0.0004163259975	0	0.5872156625	0.40856578	0.9752859525	0.9697642475	0.018492569	47
ENSG00000108021.15	0.1217148	0.09396597	0.53657415	0.400491	0.0086707925	23	0.00488291775	0.003623216575	0.02892070625	0	0.0004101505725	0	0.512421059999999	0.36358052	0.9807073875	0.968045615	0.041443732	114
ENSG00000057608.11	0.4349128	0.43350575	0.68108985	0.6987549	0.01799934	50	0.148754025	0.1609731075	0.06582506	0.05453550675	0.001977506975	5	0.7290028375	0.685897515	0.9854571	0.9862464025	0.07820017775	214
