gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.0350376	0.030922795	0.5205215	0.5156503	0.19109865	213	0.0009617215	0.000821557635	0.03245472375	0.03185299225	0.0705607055	77	0.204501795	0.156981055	0.972587835	0.9743880375	0.25215893	270
ENSG00000151240.11	0.11400965	0.10079645	0.54165735	0.50430095	0.084080775	153	0.0089498062	0.00872495455	0.0266828315	0.011458877	0.0010542718	1	0.33303488	0.265376905	0.9748072625	0.9719752725	0.1370713	238
ENSG00000180525.9	0.050491855	0.031556525	0.6172341	0.38924785	0.0030049705	5	0.001515101525	0.001012910225	0.03848558	0	0.0006147853	0	0.3853231025	0.16841435	0.98810963	0.9665829275	0.0202112695	34
ENSG00000107929.9	0.071256955	0.034360825	0.603255	0.1028413	0.0008035147	1	0.002599907475	0.0012581379	0.03169313625	0	0.0004674153825	0	0.5424240125	0.1471194025	0.9892839225	0.91995448	0.0058128407	12
ENSG00000107937.14	0.056635175	0.0342307	0.60438305	0.29756915	0.00229479	5	0.001786739025	0.001188236175	0.029137147	0	0.000503268285	0	0.436236419999999	0.1482951225	0.98708499	0.956248915	0.013134489	28
ENSG00000148377.5	0.096442225	0.08606191	0.4844632	0.4390837	0.04159898	98	0.005996750175	0.005228462775	0.020134552	0.0066514335	0.000852435985	1	0.3287569825	0.25884318	0.9747115	0.96850417	0.1014166925	232
ENSG00000067064.6	0.028953285	0.027378185	0.52721225	0.52321545	0.07403289	177	0.001034665	0.001022705425	0.0228687555	0.023578171	0.03851728	92	0.140996235	0.1253377425	0.9748017825	0.9739938	0.115285	270
ENSG00000047056.10	0.10276245	0.07506035	0.6746911	0.47193745	0.001267973	3	0.00425065935	0.00242391055	0.04728363975	0	0.0004237153275	0	0.512655885	0.2316023525	0.989649775	0.9794583475	0.0066805409	17
ENSG00000185736.11	0.071764365	0.06906707	0.51645545	0.50282185	0.040841535	141	0.00337073305	0.003157206325	0.02429271	0.024627113	0.007145623775	19	0.2450877725	0.2200978075	0.9758677325	0.9758868	0.05617320425	181
ENSG00000067057.11	0.1118952	0.08664112	0.59022735	0.4235193	0.003227728	10	0.0064792381	0.0038332954	0.0321978775	0	0.0003368284	0	0.4817671675	0.251259285	0.9843697125	0.968698335	0.022202579	71
ENSG00000107959.11	0.1213769	0.10422115	0.51171375	0.43232955	0.02080294	66	0.007206559775	0.0060214816	0.02231658375	0	0.000387475365	0	0.415779912499999	0.31635122	0.9757208925	0.96906038	0.056864882	174
ENSG00000067082.10	0.10159035	0.073590095	0.5444126	0.2638931	0.0012709865	4	0.0061419513	0.0037492999	0.0265723395	0	0.00036247899	0	0.489054559999999	0.2280458075	0.981854335	0.9639782975	0.02432205075	73
ENSG00000165568.13	0.08456887	0.078043565	0.52485995	0.46281915	0.038351465	110	0.006171750275	0.005307260125	0.02864530275	0	0.000460953455	0	0.2984026775	0.22188744	0.9763149275	0.971751095	0.0753838405	215
ENSG00000187134.8	0.07523084	0.07394398	0.49538875	0.4851931	0.08206766	235	0.005567164775	0.005563737575	0.02452039075	0.02204767575	0.0029608462	8	0.242536225	0.213796395	0.97613007	0.9754750325	0.110167845	299
ENSG00000151632.12	0.08787698	0.075211555	0.5398218	0.43024255	0.02251076	64	0.005462252325	0.004478671075	0.02663917125	0	0.0004498692	0	0.350750924999999	0.22186884	0.9790913275	0.9719716475	0.05521455125	144
ENSG00000196139.7	0.04985455	0.048233795	0.5397134	0.53436225	0.09274171	258	0.0026032202	0.002482517325	0.02683695325	0.02626465175	0.06609777	186	0.189710005	0.17291602	0.9780045	0.978173935	0.1113036175	294
ENSG00000198610.6	0.04379274	0.0260737	0.6710712	0.3609376	0.001304506	3	0.0015896257	0.000878822395	0.03840412825	0	0.0003884472675	0	0.434169335	0.1184474675	0.9928418275	0.9726012	0.01319990075	32
ENSG00000178473.5	0.10745765	0.087141215	0.54010085	0.44325035	0.008138851	21	0.005914652675	0.004935683175	0.0314754025	0	0.0004326632475	0	0.378512195	0.2590064125	0.980559025	0.9699890225	0.03420081525	87
ENSG00000178462.7	0.3162743	0.29544455	0.84561525	0.8422942	0.0024364335	7	0.10477342	0.14529548	0.29729737	0.297800005	0.001026052675	2	0.6238381575	0.4614145	0.9938595275	0.99259701	0.0073313379	19
ENSG00000173848.14	0.082951705	0.065970535	0.5320005	0.3832906	0.01046135	30	0.00462950885	0.003441659075	0.0273492955	0	0.0004379057	0	0.3800223875	0.210224695	0.9775084875	0.96507487	0.06875330525	179
ENSG00000178372.6	0.04463004	0.02348499	0.63326585	0.2319708	0.001079056	2	0.001438289	0.00068824365	0.03567109375	0	0.0003984645275	0	0.46379519	0.11495566	0.9906854625	0.9571093325	0.003512346	11
ENSG00000178363.3	0.058459235	0.055831325	0.50838125	0.4978369	0.05767039	155	0.002605904775	0.00245231915	0.0290057045	0.02694678625	0.02506788475	66.975	0.21574701	0.198404515	0.9781274	0.976219325	0.0927010575	239
ENSG00000196372.8	0.045400695	0.03869645	0.50310445	0.42401765	0.01074432	29	0.001715183625	0.001510325025	0.0194204945	0.0005440396	0.0005993832725	1	0.2367440475	0.164846335	0.97950773	0.97012553	0.03251198	83
ENSG00000108021.15	0.043194495	0.03950552	0.4979727	0.47848485	0.02089147	56	0.00158952155	0.001605515	0.02513913	0.02603150725	0.0049802392	12	0.211359215	0.1813753975	0.972319775	0.972037895	0.05873490525	155
ENSG00000057608.11	0.043744955	0.033804975	0.5682224	0.45026945	0.006150903	16	0.001765733225	0.00136624455	0.03475186725	0	0.0004841222	0	0.2885517225	0.156988805	0.9852567525	0.975653935	0.02238383225	61
ENSG00000134461.11	0.0801887	0.06948656	0.5024532	0.3969642	0.0084681975	22	0.0039527804	0.0031098429	0.02488249675	0	0.000585175855	0	0.343104105	0.2314785575	0.9745108175	0.9656534725	0.0307936545	82
ENSG00000134452.14	0.053389635	0.045666295	0.5288071	0.44953955	0.0078469785	21	0.001962937	0.0017139477	0.02909613875	0.00764174395	0.001113522475	1	0.2461665525	0.183760145	0.9776954475	0.970557735	0.02559942225	68
ENSG00000134470.15	0.06858171	0.04282225	0.59061945	0.2498499	0.0013690235	3	0.002218002	0.001554346725	0.0327776025	0	0.000381606575	0	0.475050102499999	0.1620150525	0.9853883825	0.9543667	0.01515425925	41
ENSG00000134460.11	0.04702434	0.02865622	0.6268477	0.3456381	0.0014843375	4	0.001780713875	0.00109537655	0.0303769825	0	0.0003811206525	0	0.3597893	0.1263177325	0.98955364	0.96629937	0.01091258975	32
ENSG00000134453.11	0.1206399	0.08909823	0.52316455	0.34022265	0.0023279645	7	0.006365297575	0.004036181375	0.02949860875	0	0.0004005939375	0	0.479480805	0.28836083	0.977529805	0.9604026575	0.03676778175	106.025
ENSG00000170525.14	0.2045376	0.1786479	0.52518715	0.4390676	0.004781931	13	0.02412313575	0.0188746775	0.03564828825	0.0008636290275	0.00056596844	1	0.4990364225	0.3674565	0.9718897675	0.9651634575	0.03768642575	104
