gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.24954675	0.2042531	0.51312185	0.46133935	0.092066795	77	0.0164125625	0.01219268325	0.026192534	0.000121374864	0.001756278925	1	0.668172547499998	0.54946639	0.97272221	0.9683707475	0.1865818525	154
ENSG00000015171.14	0.18400835	0.1258265	0.53739255	0.2646453	0.0032031745	3	0.01092919	0.006181180075	0.02679186325	0	0.0009732645675	0	0.63251865	0.3869587925	0.9783984	0.9595768225	0.03409553775	35
ENSG00000151240.11	0.18890275	0.1544198	0.5218731	0.4025902	0.008282501	14	0.007882164925	0.00629597935	0.031056502	0	0.000704718565	0	0.603887317499999	0.46974477	0.97533654	0.96538976	0.0612215469999999	111
ENSG00000180525.9	0.2866431	0.2510456	0.4790325	0.38965425	0.01185977	20	0.027181874	0.0187170215	0.0249028165	0	0.000695288605	0	0.7151196625	0.62012763	0.9687339875	0.9649683775	0.100757355	168
ENSG00000107929.9	0.37705	0.31685145	0.44306645	0.24445345	0.001643388	4	0.036890384	0.02636291275	0.023078766	0	0.0005147031425	0	0.80192261	0.6815758275	0.9614104825	0.953836765	0.0487067135	102
ENSG00000205740.1	0.16040425	0.1209092	0.56396205	0.3221086	0.001676555	3	0.00898683525	0.00489198985	0.034509424	0	0.000497541995	0	0.5861918	0.373987275	0.9808049825	0.96789001	0.02143149525	47
ENSG00000107937.14	0.3346051	0.28208225	0.42357615	0.2093449	0.0019942085	4	0.02934519775	0.0227755155	0.0208591835	0	0.0004860156175	0	0.760492362499999	0.6173086475	0.951955095	0.94531395	0.02347697725	51
ENSG00000148377.5	0.13614275	0.1164852	0.5041732	0.40918195	0.01402763	31	0.0058365328	0.004630858025	0.025784759	0	0.00052534504	0	0.5259264875	0.4129828225	0.9764720625	0.9703441075	0.0417645475	89
ENSG00000067064.6	0.2873853	0.2586566	0.4485519	0.36321845	0.01048968	24	0.0289389215	0.0262194415	0.0229154765	0	0.0005081264	0	0.683739855	0.598309199999999	0.9667931175	0.96508846	0.06712176925	150.025
ENSG00000047056.10	0.19057325	0.1493683	0.51513155	0.33117675	0.0020957535	5	0.0092496017	0.0060363868	0.0264074695	0	0.000468032705	0	0.6378722025	0.490998925	0.9724269	0.962114415	0.02532636775	60
ENSG00000185736.11	0.48989685	0.45852885	0.52329455	0.47282555	0.001874536	6	0.0728362125	0.0574387855	0.0331336445	0	0.000348916625	0	0.86331185	0.8062875875	0.97140857	0.9677426	0.009190589525	31.0249999999996
ENSG00000067057.11	0.2989855	0.25214215	0.4980698	0.3759378	0.045429795	142	0.01664248575	0.01192647525	0.02524488425	0	0.00035338685	0	0.8144863275	0.7255913625	0.97130623	0.96454946	0.1000110375	296
ENSG00000107959.11	0.3508712	0.31072385	0.4916791	0.37041265	0.00283994	8	0.03407560375	0.02709531975	0.02281309825	0	0.0004104075775	0	0.8156792525	0.7340349125	0.972992215	0.964164645	0.02239223225	65
ENSG00000067082.10	0.13583515	0.1058791	0.51351895	0.3659021	0.0038047525	10	0.005420068025	0.00387123665	0.0286283295	0	0.000446647025	0	0.565205315	0.4395727825	0.9766923225	0.963676645	0.05769686775	160
ENSG00000165568.13	0.3477724	0.29056715	0.4707879	0.2790756	0.0016647655	4	0.03003177775	0.02122847825	0.0231582285	0	0.000403248125	0	0.8032828475	0.69487048	0.96811118	0.9595422625	0.04034581525	107
ENSG00000187134.8	0.17865805	0.14460335	0.4824609	0.3814226	0.0043369935	11	0.0083047338	0.0061751099	0.02955024825	0	0.0005002725875	0	0.631234185	0.507751032499999	0.97536419	0.9592988425	0.035271381	91
ENSG00000151632.12	0.34042235	0.2799728	0.82369525	0.7634023	0.00069221655	2	0.0367995	0.01787837225	0.1243412025	0	0.0004005199	0	0.7671652875	0.52860507	0.9937218	0.9901536	0.00203688194999999	6
ENSG00000196139.7	0.17678995	0.13558755	0.50995215	0.3671026	0.0031620675	8	0.00696920175	0.00479816825	0.024624129	0	0.0004417081575	0	0.6444749325	0.5054771575	0.97689605	0.9651364075	0.0381970385	97
ENSG00000196326.6	0.11039935	0.0916003	0.5211557	0.4406432	0.009554678	24	0.00465229205	0.0036867457	0.02690454325	0	0.0006135406075	0	0.49024029	0.374558365	0.97940211	0.976507495	0.03280513825	81
ENSG00000198610.6	0.20903645	0.1904065	0.50690705	0.46268275	0.037658315	96	0.0096537059	0.00862237025	0.02581919875	0.0079367537	0.00069144226	1	0.6723662625	0.6079086525	0.97350235	0.9693531975	0.09765518875	248
ENSG00000178473.5	0.9807919	0.8552827	0.9899132	0.9464417	0.001033108	4	0.9548649	0.8259844	0.9793303	0.9019062	0.000952443	3	0.987762	0.9136192	0.9974011	0.9869307	0.001050603	5
ENSG00000178462.7	0.40698085	0.4084261	0.6837421	0.7213876	0.0026636305	6	0.08469023725	0.08940872825	0.071964748	0.03325570775	0.0005584977075	1	0.790691	0.7386765	0.98466516	0.9887076	0.080404846	198
ENSG00000173848.14	0.6426504	0.6226609	0.8376339	0.8235615	0.002042532	6	0.04541507925	0.04037039125	0.08778654625	0.0397441835	0.0007281766	2	0.93390374	0.87987559	0.993015255	0.9946097225	0.051748136	132
ENSG00000178372.6	0.097726345	0.08155563	0.51720955	0.40291635	0.007403328	18.5	0.003957776325	0.003248031625	0.02307892725	0	0.0004789894175	0	0.452093434999999	0.328498425	0.97714796	0.97297919	0.06462712	156
ENSG00000178363.3	0.15348735	0.1355241	0.5313628	0.4742824	0.025167455	64	0.006035337725	0.004891129625	0.02751950275	0.007434590875	0.000891104525	1	0.5949467475	0.5219511925	0.978370715	0.9698027625	0.069272907	170
ENSG00000196372.8	0.2722701	0.22102655	0.5189341	0.38829795	0.003477548	9	0.0118797325	0.00852662295	0.02726395275	0	0.0004410263325	0	0.83844586	0.7696471525	0.9778808	0.96521912	0.02257456375	55
ENSG00000108021.15	0.14370985	0.1337372	0.507448	0.50112655	0.050082205	130	0.00631934375	0.0057412823	0.02696123125	0.02572795525	0.0059734801	15	0.594043945	0.540021787499999	0.978157945	0.9764563725	0.0997647445	256
ENSG00000057608.11	0.32129795	0.28663095	0.5572041	0.52290755	0.008884409	23	0.01656654175	0.01358808225	0.030675518	0.0092035507	0.0008192098325	1	0.837664515	0.7866639925	0.9775307675	0.974271	0.05033272975	133
ENSG00000134461.11	0.29113745	0.24996805	0.4797797	0.3985158	0.009561143	24	0.01434084225	0.01050472025	0.0230333815	0	0.0005120361875	0	0.826227585	0.766954745	0.97207841	0.96389074	0.077061693	196
ENSG00000134452.14	0.2153419	0.19521495	0.49330095	0.43842855	0.05462115	143	0.01188635125	0.009248699875	0.026703871	0	0.0004303546775	0	0.6371046875	0.57340838	0.9726380625	0.9729810075	0.1061925525	273
ENSG00000134470.15	0.1865848	0.1655771	0.4953625	0.4509307	0.068719185	181	0.008976468225	0.007605120375	0.025105194	0.006239186725	0.00084506837	1	0.6832160775	0.6084454425	0.9763311325	0.9730984425	0.1121181975	286
ENSG00000134460.11	0.1849358	0.16702815	0.47899235	0.444718	0.018333415	50	0.008319743275	0.00746588985	0.02189609475	0.01342996625	0.00130801205	2	0.6328373	0.57016899	0.97293486	0.9682033175	0.1075736625	288
ENSG00000134453.11	0.3204966	0.27178895	0.48316175	0.3462945	0.0031839865	9	0.0191951685	0.0135116645	0.024861031	0	0.00040104335	0	0.875285755	0.8125067625	0.9719430475	0.962218555	0.026361862	69
ENSG00000170525.14	0.1449095	0.09588144	0.53131875	0.24980215	0.001165119	3	0.0061296222	0.003303732225	0.02538647	0	0.0003997784125	0	0.62579462	0.4258191175	0.9812505875	0.95881741	0.02343084725	62
ENSG00000215244.1	0.1579629	0.135483	0.48861305	0.41382865	0.009364605	24	0.00725122245	0.005728309775	0.02809255525	0	0.0006376342	0	0.6484859	0.558192199999999	0.9754053525	0.9699062875	0.05253192525	136
ENSG00000212743.1	0.35157315	0.32344745	0.4565399	0.3795408	0.011472145	30	0.03347719675	0.02686523425	0.02417900975	0	0.00049058988	0	0.8075479875	0.755295479999999	0.9643234875	0.96283247	0.05847366575	143
ENSG00000065675.10	0.17443035	0.15580945	0.4819914	0.4521203	0.032139005	88	0.00760994895	0.00654547215	0.021365525	0.01405056525	0.001279562	3	0.714279504999999	0.666013655	0.9716158575	0.9671892975	0.1087574675	289
ENSG00000198879.7	0.1508067	0.10577855	0.5262863	0.29801935	0.0016572085	5	0.005111803825	0.00326157295	0.0263310845	0	0.0003688888225	0	0.6682753725	0.488738504999999	0.976344355	0.960606705	0.0264848725	77
ENSG00000123243.10	0.1244763	0.06603442	0.60031075	0.19781325	0.00072494245	2	0.00507465865	0.002279472025	0.0349138665	0	0.0003599170925	0	0.620559662499999	0.3513411425	0.98783996	0.9472342125	0.00464963595	14
ENSG00000151655.13	0.2003132	0.16914345	0.54877735	0.39906985	0.001709493	5	0.01206194675	0.007977333225	0.028171439	0	0.00040342048	0	0.6516073725	0.4853956025	0.978237995	0.9736024725	0.0158364425	46
ENSG00000151657.6	0.16216865	0.13550105	0.50822065	0.4116167	0.008032522	22	0.006750782075	0.005771184375	0.024507369	0	0.000450193865	0	0.6314482725	0.5595692425	0.975139315	0.9676614375	0.078789959	219
ENSG00000165629.15	0.718139	0.6157772	0.66045645	0.57067525	0.0005403318	2	0.257251975	0.24567408	0.2065829	0.21322731	0.000365612805	1	0.9987969825	0.9975096475	0.9768238825	0.962875845	0.0016757426	5
ENSG00000165632.7	0.31057885	0.2861322	0.46328025	0.42552415	0.01057128	31	0.016601113	0.0154643275	0.02470464225	0.01025741775	0.00086395591	2	0.8682586875	0.830651905	0.970056735	0.96779771	0.04377086825	127
ENSG00000107485.11	0.1585819	0.14775435	0.48316695	0.4718402	0.05797572	146	0.00610841535	0.005490663025	0.020979831	0.021064679	0.00677063075	18	0.6009892725	0.5407712025	0.9740512875	0.9716507325	0.119244005	293
ENSG00000048740.12	0.1489692	0.09830104	0.5269736	0.2059697	0.00096732985	2	0.006643897775	0.003021078775	0.02764411325	0	0.00040070012	0	0.61309168	0.37092492	0.98052159	0.9464233575	0.02556280225	64
ENSG00000148429.9	0.2685788	0.25825755	0.5126234	0.49308385	0.036883435	90	0.021407943	0.01902158225	0.0237610615	0.01409321225	0.00097917387	3	0.72832479	0.679363295	0.9756670075	0.9749033875	0.1233700525	292
ENSG00000134463.10	0.10769725	0.07339798	0.5778798	0.34851205	0.002525965	5	0.0046927304	0.002913839	0.02656123575	0	0.000511367345	0	0.622766329999999	0.34570249	0.987010515	0.9715404975	0.0170741945	35
ENSG00000148426.8	0.2845171	0.26009875	0.4540705	0.39540865	0.019032125	43	0.0142228435	0.01156905175	0.02512518375	0	0.00051804249	0	0.7944036375	0.732972474999999	0.9682285875	0.9579178425	0.0825487914999999	176
ENSG00000151461.15	0.1361179	0.1013238	0.52954015	0.3539414	0.0035406075	8	0.005568257325	0.0036878261	0.024509357	0	0.00047139672	0	0.578761165	0.4130656225	0.9822131175	0.9675545625	0.040162628	89
ENSG00000181192.7	0.17844055	0.14093395	0.5476776	0.39374975	0.004532422	10	0.008313197275	0.006232946025	0.0289301265	0	0.000508421905	0	0.69396298	0.590947147499999	0.9797007725	0.9706283225	0.06974919625	154.025
ENSG00000065665.16	0.3010047	0.27347775	0.4592313	0.40486895	0.01566141	34	0.0197473565	0.016784061	0.024277435	0.007670091575	0.001125149	1	0.84428917	0.808041537499999	0.9670174325	0.964208105	0.0607697742499999	133
ENSG00000165609.8	0.32580865	0.29652585	0.48358155	0.43196455	0.011860595	25	0.01816206475	0.0149464875	0.02399278825	0.002695191025	0.0008944790575	1	0.924957665	0.9056956675	0.9730672825	0.97158946	0.0444073645	94
ENSG00000151465.9	0.4903939	0.4885096	0.63278515	0.6458891	0.001007723	3	0.08163776375	0.0667047055	0.0822287305	0.000151442505	0.0004637791	1	0.89981632	0.8600029625	0.9820047	0.9798279	0.01202019725	25
ENSG00000183049.8	0.4399103	0.4173228	0.55058635	0.5146025	0.0038228805	10	0.04857417575	0.03460716	0.03505164775	0	0.0004058286725	0	0.91382295	0.8879731725	0.9790643575	0.9776348475	0.0611284572499999	161.025
ENSG00000151468.9	0.351152	0.31448635	0.4720323	0.39670365	0.02204061	57	0.02341621125	0.017780563	0.02575064825	0	0.000522188425	0	0.917727994999999	0.8880786925	0.9767481	0.9729330725	0.07503765325	185
ENSG00000123240.12	0.28921265	0.26601135	0.5057052	0.45758315	0.02296105	56	0.020571339	0.0166458365	0.02770784975	0	0.0004831473025	0	0.7779992625	0.7400334025	0.97879447	0.974544795	0.0779817915	193
ENSG00000065328.12	0.1716145	0.13484965	0.5022721	0.3321696	0.003136702	7	0.0084172615	0.005440357325	0.02240909725	0	0.0004378602325	0	0.6058680275	0.442627605	0.978979465	0.9570826825	0.02232621325	55
ENSG00000165623.5	0.2339404	0.2089676	0.45045895	0.3782621	0.013198565	33	0.01250849525	0.00912525625	0.02178266925	0	0.0005090161225	0	0.7168534925	0.649582015	0.968054495	0.95910171	0.0677710995	162
ENSG00000107537.9	0.1895339	0.13473395	0.51399725	0.2912134	0.001552295	4	0.008465957225	0.004647267775	0.026434786	0	0.0004190189825	0	0.7448782	0.5967602175	0.9787535625	0.956902875	0.015936033	39
ENSG00000226209.1	0.1320861	0.10030315	0.5791711	0.430891	0.00467139	10	0.00483386885	0.003765591775	0.02829854625	0	0.0004436307	0	0.562887075	0.399382167499999	0.981001425	0.9731213025	0.057153582	149
ENSG00000086475.10	0.27853935	0.2116274	0.53064645	0.307843	0.001137061	3	0.014141869	0.007626871825	0.02834924725	0	0.000411138775	0	0.7834952	0.6225960775	0.9775724	0.9586068775	0.00983358949999999	25.0249999999996
ENSG00000165626.12	0.22296775	0.18970205	0.51280265	0.4298647	0.004913108	14	0.01056201125	0.0082343885	0.0235373595	0	0.0004727035	0	0.7147473575	0.6482178525	0.9739138775	0.965371945	0.02336642025	65
ENSG00000165630.9	0.1741625	0.1335512	0.5121719	0.31984085	0.0020767415	5	0.00816814795	0.0045954523	0.03105688675	0	0.000400753425	0	0.6495034225	0.4939181625	0.9787346525	0.959201405	0.01836959375	49
ENSG00000239665.3	0.5320065	0.5194753	0.44957185	0.446763	0.0283547	77	0.0905980505	0.089440984	0.020832421	0.01989634575	0.003843916	9	0.9314520875	0.9175398925	0.9640081125	0.9625012425	0.0771417549999999	207
ENSG00000151474.15	0.47738715	0.4166062	0.39740225	0.25071215	0.0028901885	10	0.04133382525	0.03091942725	0.02143163575	0	0.00031406878	0	0.944634455	0.9202243325	0.948961635	0.923576879999999	0.0178959855	62
ENSG00000065809.9	0.1209314	0.10928585	0.50776805	0.4783294	0.048173705	134	0.00477181545	0.004352830375	0.02691815475	0.01630395075	0.0012506078	2	0.49998987	0.4424420575	0.97646559	0.972417005	0.0877066105	238
ENSG00000185267.5	0.254552	0.20709385	0.4783279	0.31042065	0.0032429135	7	0.0167038895	0.01194391475	0.027652194	0	0.0004592521725	0	0.728324565	0.615509455	0.96687837	0.954793825	0.018004191	43
ENSG00000187522.9	0.15723855	0.1120258	0.51987125	0.3492841	0.004294794	10	0.005563677	0.00342631545	0.0276592815	0	0.0004444201925	0	0.6701706775	0.5113831225	0.97711302	0.959395705	0.026620203	61
ENSG00000152455.11	0.13398875	0.089370505	0.53079945	0.2702995	0.0015208425	3	0.00504702475	0.003011124425	0.0266260035	0	0.0004482086675	0	0.6236037175	0.4151112975	0.9802474075	0.964988685	0.0170643225	39.0249999999996
ENSG00000152457.13	0.20307955	0.159818	0.49956905	0.3698197	0.00584424	14	0.0083297044	0.005652765525	0.030178776	0	0.0004974436075	0	0.757203259999999	0.65390555	0.9722701875	0.955665225	0.0408108585	94
ENSG00000197889.5	0.11371725	0.083205055	0.56113925	0.4064568	0.0088602615	20	0.004711489325	0.003146930875	0.03665739175	0	0.000470381875	0	0.562474227499999	0.396038595	0.9821278975	0.97156385	0.03621257775	82
ENSG00000152463.10	0.1417262	0.083113115	0.5907892	0.2034028	0.0008809289	2	0.006084248	0.002677728075	0.03430215425	0	0.0004502567875	0	0.6224416975	0.347362802499999	0.9835587575	0.9565854675	0.005206302275	12
ENSG00000176244.6	0.16246645	0.1216107	0.5318032	0.30416765	0.002217722	5	0.00955270365	0.00619633435	0.02842416625	0	0.0004808202	0	0.59792388	0.398823065	0.977966455	0.961257905	0.02355744725	53
ENSG00000176236.4	0.097726115	0.089908025	0.4935297	0.48637645	0.08885061	197	0.003594455	0.00349386015	0.02210272625	0.02100585225	0.02332501425	53	0.40314765	0.36124903	0.9791970475	0.9777498975	0.1381848775	296
ENSG00000152464.10	0.18669215	0.14677145	0.5447535	0.2907234	0.0016783555	4	0.0135826225	0.00922348735	0.028899744	0	0.0004720028775	0	0.622148627499999	0.3938452125	0.9731876225	0.9593697225	0.01532394475	34
ENSG00000152465.13	0.24629295	0.21909595	0.5063043	0.4208376	0.0071953275	16	0.016559879	0.01432157	0.02556303675	1.28370599500001e-05	0.00060338034	1	0.6313758325	0.5502534075	0.97267889	0.9705988025	0.05035734425	115
ENSG00000148468.12	0.2242266	0.1929545	0.513298	0.45077515	0.0070627585	16	0.00971486255	0.00842987915	0.028160088	0	0.0005386412	0	0.67665981	0.5943999425	0.9743880425	0.9712179975	0.026362261	58
ENSG00000077943.7	0.087944975	0.061008975	0.56932175	0.35614025	0.0027357265	6	0.00342247855	0.002005342525	0.02980879475	0	0.00051036506	0	0.502996914999999	0.2818921375	0.98386849	0.9685640625	0.0400808855	83
ENSG00000148481.9	0.1520785	0.1126383	0.54185885	0.38846485	0.008492429	17	0.006535702	0.004556770025	0.0275736995	0	0.0005362212425	0	0.595972605	0.4399597	0.9853449975	0.9722006475	0.0646085067499999	127
ENSG00000165983.10	0.1244372	0.08575638	0.5350139	0.3530411	0.0030591775	7	0.00449362455	0.003070772	0.02760908425	0	0.00049162304	0	0.5843612125	0.401735185	0.9767137625	0.966128875	0.03248340375	75
ENSG00000165985.8	0.6811453	0.7270038	0.8628768	0.90617705	0.002031156	4	0.3267696075	0.55302085	0.4351074	0.66498402	0.0007337419775	1	0.9335685075	0.9148414775	0.9932278225	0.9951125	0.0048682763	12
ENSG00000148484.13	0.151197	0.1074906	0.5280745	0.3056051	0.0017667135	4	0.00613466185	0.0039359775	0.02725697475	0	0.00044884026	0	0.6094766925	0.4129046125	0.9825082725	0.9658070825	0.02992158325	73
ENSG00000107611.10	0.27585265	0.26454005	0.5213542	0.42833465	0.01181925	26	0.039366479	0.03257310775	0.0292517775	0	0.0005005545175	0	0.643827	0.536240445	0.9712839	0.973254785	0.06308096375	137
ENSG00000107614.17	0.44287375	0.408087	0.47602755	0.42871115	0.02541906	50	0.051240392	0.0455373795	0.02461266925	0.003698945025	0.000789326605	1	0.899576989999999	0.8665789575	0.969987965	0.9669399825	0.131906155	256
ENSG00000026025.9	0.1158593	0.06534581	0.6192641	0.22335355	0.0011024905	2	0.005076204025	0.002343841725	0.036630265	0	0.00052837496	0	0.58620149	0.30876982	0.98553185	0.959818605	0.00773923032499999	16
ENSG00000148488.11	0.21217845	0.1747437	0.49194545	0.3387233	0.0041099705	8	0.01428296	0.00822358285	0.022760819	0	0.0005184061875	0	0.649378444999999	0.5078116475	0.974479695	0.960822465	0.02711734	57
ENSG00000165996.9	0.1928041	0.1380598	0.54621575	0.31931175	0.0013857925	3	0.00739975075	0.0045844577	0.0309760225	0	0.00049525489	0	0.695851217499999	0.5047644425	0.9832860375	0.967626565	0.0258477075	52
ENSG00000136738.10	0.11332455	0.07226468	0.5654985	0.2660139	0.0014962875	3	0.0043785075	0.00232043135	0.03056071	0	0.00048478072	0	0.5560004125	0.307035735	0.98307416	0.958327815	0.015639227	31
ENSG00000148483.7	0.25483565	0.2065848	0.48199535	0.32615575	0.003932105	9	0.0119916715	0.00846261405	0.022543346	0	0.000530242265	0	0.737283545	0.6218413225	0.9712627375	0.9597866875	0.046808597	98
ENSG00000183748.4	0.1352254	0.1111704	0.5291867	0.41251805	0.0065868285	14	0.005618225475	0.004389321625	0.03036045325	0	0.0005404618775	0	0.550924497499999	0.4130618	0.9772468375	0.969336195	0.0388120795	84
ENSG00000184040.7	0.1508115	0.12161385	0.5120422	0.35784715	0.0042780375	9	0.007955336875	0.0052593882	0.02466779575	0	0.0005596089125	0	0.554930685	0.41714545	0.97865058	0.9707341575	0.02615551425	54
ENSG00000120586.4	0.6882354	0.66834885	0.7214659	0.7133621	0.001936501	4	0.30403553	0.345427845	0.2957497	0.410703	0.0008317111	1	0.94392959	0.91048707	0.982522485	0.9829457875	0.003764137	10
ENSG00000148482.7	0.2561777	0.2123787	0.4705111	0.34282475	0.0078308955	16	0.01570105825	0.01246329925	0.0269188335	0	0.0005412208225	0	0.677428535	0.5737340325	0.9677745	0.9651806025	0.1059590225	219.025
ENSG00000165995.14	0.24630215	0.22186155	0.4788421	0.3188581	0.005841062	15	0.026647351	0.01973106975	0.02378907425	0	0.000416905165	0	0.654740515	0.520314789999999	0.970918645	0.96459229	0.07829081175	206
ENSG00000241058.1	0.18725835	0.11446395	0.5250804	0.2080957	0.001168177	2	0.00857971765	0.004429904225	0.026685061	0	0.00045292467	0	0.6947603275	0.4596081875	0.9800560825	0.946271265	0.0149533485	33
ENSG00000165997.4	0.29236305	0.2454912	0.5788169	0.43145675	0.0011594555	3	0.02183077575	0.013720201	0.0313271255	0	0.000440408195	0	0.72582387	0.592902645	0.9786374825	0.9718591	0.005633979825	14
ENSG00000204740.5	0.638557	0.62594	0.44430905	0.39188335	0.008602733	30	0.2421938825	0.2602655525	0.020563047	0.0013765078	0.0004871591	1	0.920436069999999	0.893952284999999	0.9622638	0.9679750725	0.02449359875	81
ENSG00000120594.11	0.1238241	0.09223017	0.56164195	0.40505745	0.0030604285	9	0.005313090525	0.00357745715	0.03152808125	0	0.0003555730375	0	0.563754372499999	0.3822103375	0.98349957	0.9682466425	0.031733982	96
ENSG00000078114.14	0.353266	0.3047278	0.46813505	0.39416195	0.05773954	129	0.03331606425	0.02905476525	0.025651561	0	0.0005597264275	0	0.82438775	0.744518005	0.968861105	0.96529961	0.108051575	233
ENSG00000204683.6	0.12980195	0.10135085	0.5343378	0.4307515	0.007773867	13	0.005817672225	0.003896459425	0.02842543	0	0.0006698116	0	0.52662579	0.396952675	0.9798424325	0.9723613625	0.031602065	55
ENSG00000204682.5	0.13157435	0.10449275	0.526796	0.4431767	0.03291137	50	0.006527244575	0.004989835475	0.03150250925	0	0.00075254783	0	0.5119190625	0.377332605	0.9786732725	0.970406935	0.1192501075	174
ENSG00000180592.12	0.1664314	0.1119092	0.5320891	0.2918852	0.002996098	4	0.0078052295	0.00414966555	0.02723601225	0	0.0007083054425	0	0.6119833675	0.39436465	0.980234055	0.9569441275	0.0225561835	32
