gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.044003215	0.018196395	0.6926511	0.2275379	0.002130179	2	0.00159144475	0.000590126	0.052070676	0	0.0009789201	0	0.4595773925	0.0885858827499999	0.9942119075	0.9515668375	0.00690485355	8
ENSG00000151240.11	0.02633409	0.02406729	0.5181754	0.5128383	0.1074411	185	0.001010289225	0.001042593175	0.02790530925	0.030979175	0.0625780035	116	0.122787775	0.1027803925	0.9760902125	0.9738621325	0.158564055	269
ENSG00000180525.9	0.08806638	0.064540615	0.4963965	0.3149079	0.005261065	8	0.006275329325	0.00428014035	0.02247650775	0	0.0006747966075	0	0.393065835	0.1857418	0.973550775	0.9533471225	0.03261131225	55
ENSG00000107929.9	0.037873485	0.019696905	0.63633215	0.233394	0.001448229	3	0.00156520475	0.0007957040125	0.0440370725	0	0.0005110231575	0	0.401362804999999	0.08795990325	0.9918341275	0.953119855	0.00813790677499999	16
ENSG00000107937.14	0.031800245	0.022160505	0.5543208	0.35786895	0.02169939	47	0.001087663	0.0007469469	0.03049182225	0	0.0004710091	0	0.35337818	0.09977964625	0.9887144	0.9598736025	0.07918677	167
ENSG00000148377.5	0.03403068	0.02644496	0.55787305	0.45663175	0.009254112	20	0.001094322625	0.0008896659	0.03315273125	0.0030830422	0.0006395229175	1	0.2407280725	0.12929497	0.9856565	0.9751095925	0.03362192975	74
ENSG00000067064.6	0.04288186	0.02660133	0.58510865	0.2527503	0.002000139	5	0.001615516125	0.000996920515	0.03734256375	0	0.0004510561	0	0.410238	0.107015035	0.9855093725	0.9512755025	0.02534556725	59
ENSG00000047056.10	0.03704118	0.031962255	0.52605075	0.4571712	0.0099210785	23	0.001703016425	0.001631819	0.02359231375	0.014215194	0.00147868855	3	0.1880944	0.13279718	0.9748261075	0.9657224525	0.02509789275	59
ENSG00000185736.11	0.1093664	0.092271545	0.54947695	0.3914321	0.004334669	15	0.01328202425	0.011906732	0.02616850375	0	0.000355034625	0	0.438745317499999	0.2225436725	0.982591465	0.97628352	0.04947152275	163
ENSG00000067057.11	0.055917645	0.029932475	0.6628776	0.2622859	0.0007676457	2	0.002272679	0.001082147025	0.04388392	0	0.0003333494425	0	0.473160849999999	0.1263391325	0.9897720025	0.9616308625	0.010446883	32
ENSG00000107959.11	0.06366892	0.03212964	0.63023885	0.1629412	0.0006191879	2	0.00247892585	0.001153874925	0.03631322275	0	0.000321271575	0	0.5153710525	0.1249058925	0.9914961975	0.94411459	0.00622744119999999	20
ENSG00000067082.10	0.085563605	0.047843975	0.545892	0.1118638	0.00075437795	2	0.00418706295	0.002289878275	0.0272364	0	0.000346298055	0	0.534903117499999	0.15767331	0.9804852175	0.8925116525	0.0051047524	15
ENSG00000165568.13	0.02954531	0.026266615	0.5643529	0.50653605	0.013013445	37	0.00116749765	0.0011870368	0.03206050275	0.02092379975	0.001864578	3	0.1438405025	0.106987225	0.9854362825	0.98178461	0.03978097075	116
ENSG00000187134.8	0.14163365	0.1205329	0.84971805	0.8083741	0.0010820555	3	0.03264713225	0.040251709	0.26269375	0.188320125	0.0003693514325	1	0.487237977499999	0.21963754	0.9948556	0.9920949	0.013281189	36
ENSG00000151632.12	0.077951705	0.0595736	0.5338582	0.3228945	0.0022359335	6	0.00535860435	0.003675868925	0.028508016	0	0.0004282733625	0	0.378817567499999	0.1708861825	0.9781112975	0.964205895	0.01700123625	45
ENSG00000196139.7	0.17801195	0.1461089	0.4399059	0.26350605	0.0026178435	7	0.04216700225	0.0375749885	0.02253829325	0	0.000505922725	0	0.507167307499999	0.2825664125	0.95332427	0.9370839475	0.02754987575	75.0249999999996
ENSG00000198610.6	0.06782775	0.06515199	0.51614895	0.5159706	0.08003333	221	0.004114552225	0.004163374125	0.02237870875	0.023856166	0.04685016325	131.975	0.24258865	0.212046255	0.9778887075	0.97592337	0.10712088	284
ENSG00000178473.5	0.089461695	0.082988655	0.4490841	0.3536458	0.014090305	37	0.011417313	0.0096429462	0.02370567	0	0.0005202334375	0	0.2933677375	0.1990269525	0.9712949025	0.96695998	0.05047936	135
ENSG00000178462.7	0.1490531	0.08867369	0.77788045	0.57752455	0.0009131392	2	0.008923128675	0.005829104925	0.06482490575	0	0.0003945473875	0	0.591132617499999	0.214451875	0.9906118375	0.9758861	0.01880371075	47
