gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.17861585	0.13405475	0.5194994	0.25965435	0.0051726625	5	0.01908876625	0.012416239	0.0266469405	0	0.0012127754	0	0.593836924999998	0.3375520325	0.973913965	0.958947935	0.1583486175	134
ENSG00000015171.14	0.063455405	0.044622015	0.56301455	0.4253934	0.014499055	17	0.002010809075	0.001676905625	0.02922530725	0	0.0010146389	0	0.42467651	0.2285970225	0.9823207825	0.9658801125	0.120347225	139
ENSG00000151240.11	0.07315073	0.065025505	0.4912658	0.45340505	0.0234369	42	0.003114132625	0.002869766125	0.02150010275	0.0155299455	0.003448116575	4	0.322175875	0.2616429425	0.972689205	0.972178085	0.0738945625	130
ENSG00000180525.9	0.05297572	0.03600062	0.5642432	0.3670757	0.00483844	9	0.0018952453	0.001211912325	0.0337379105	0	0.0006225073275	0	0.3665365025	0.188380235	0.9830926375	0.9679246275	0.04474083	75
ENSG00000107929.9	0.1014363	0.07915741	0.54379775	0.38185735	0.0056090035	12	0.004384010725	0.00320801525	0.02652957775	0	0.000503149485	0	0.4507685425	0.2820579675	0.9832629525	0.9740014425	0.0381744235	85
ENSG00000205740.1	0.26723445	0.2109694	0.45942725	0.24764495	0.00197301	5	0.03077789825	0.02077306975	0.01844037125	0	0.0004879913	0	0.68382481	0.4952119925	0.9715141	0.9462856325	0.05112827	111
ENSG00000107937.14	0.20405115	0.1409816	0.49685895	0.17520815	0.0012632915	3	0.01431814275	0.00903291825	0.0284253035	0	0.0004745437575	0	0.66972676	0.389967274999999	0.9683223325	0.9281141175	0.00817017885	20
ENSG00000148377.5	0.074185855	0.060683365	0.5410335	0.46705395	0.013089415	29	0.002658696325	0.001880246325	0.02675646275	0.003206158	0.000894178975	1	0.41126244	0.298986075	0.98010201	0.9691891525	0.04769547875	109
ENSG00000067064.6	0.080490975	0.047696855	0.5813569	0.24962165	0.0012727175	3	0.00302799635	0.0014632034	0.03322588375	0	0.00044136651	0	0.517168207499999	0.2179390925	0.98394058	0.9579618775	0.01369118875	32
ENSG00000047056.10	0.1837985	0.14001765	0.49943095	0.3163548	0.002552151	6	0.008908966075	0.00581996715	0.0257782385	0	0.000432409885	0	0.601469975	0.4099643275	0.9757869075	0.95748578	0.04429534475	111
ENSG00000185736.11	0.2355579	0.20571305	0.554564	0.4770065	0.01065804	35	0.01590809325	0.01342740775	0.03505414725	0	0.0003232979025	0	0.6812971325	0.5813761725	0.9798931725	0.97386233	0.0352363035	118
ENSG00000067057.11	0.07978933	0.054669365	0.57194355	0.36552415	0.001867961	6	0.003335140575	0.002113092	0.03185338575	0	0.0003465656725	0	0.47326623	0.2610275025	0.9852726375	0.967452725	0.02138138425	69
ENSG00000107959.11	0.10003205	0.08599911	0.5140398	0.4344432	0.011313015	35	0.004724193675	0.00408118275	0.0251970565	0	0.000390173265	0	0.3964473775	0.31782052	0.9794664825	0.9721282375	0.0401075295	124.025
ENSG00000067082.10	0.1832884	0.16545795	0.48269835	0.4267489	0.01938858	57	0.01050109575	0.009673156575	0.0253254705	0	0.0005045556425	0	0.549657305	0.45900141	0.97542755	0.97077882	0.046200173	130
ENSG00000165568.13	0.16215735	0.1402952	0.6036229	0.4986624	0.0027544815	8	0.0117884065	0.00994398695	0.0325138605	0	0.0003810737425	0	0.5409407725	0.371063884999999	0.986493295	0.9803681875	0.0210739265	62.0249999999996
ENSG00000187134.8	0.35891045	0.3648472	0.71276695	0.7433238	0.002198067	6	0.09058227775	0.12189433	0.1037735625	0.003803411075	0.0004240438	1	0.7183649625	0.6187134475	0.987217	0.9904261	0.00722067924999999	20
ENSG00000151632.12	0.3688376	0.3393491	0.5912545	0.5525779	0.005051011	13	0.076983814	0.068725478	0.035164646	0	0.000430662435	0	0.728986935	0.651376175	0.980820625	0.97818137	0.02817111675	77
ENSG00000196139.7	0.1913459	0.155954	0.60482705	0.49460965	0.003895614	11	0.0101851685	0.00815570695	0.0358905475	0	0.0003966612725	0	0.597533172499999	0.4393354	0.98417227	0.976461915	0.0483308795	131
ENSG00000196326.6	0.2420977	0.20118075	0.5217245	0.4096435	0.004781175	13	0.01741486275	0.014054002	0.0212381745	0	0.00040697181	0	0.631718095	0.5063394625	0.9725485875	0.9628812325	0.04258641075	115
ENSG00000198610.6	0.076984595	0.051415915	0.5622559	0.3206121	0.0021967855	6	0.002778769	0.00180820445	0.030324272	0	0.0003977899775	0	0.5226740775	0.2550346625	0.9876352275	0.95730948	0.01470362675	39
ENSG00000178473.5	0.12167795	0.080250295	0.5381765	0.28266465	0.001982145	5	0.004863368325	0.002664331125	0.026412213	0	0.000403356435	0	0.549740464999999	0.3316212275	0.9829321175	0.957899495	0.01736555925	46
ENSG00000178462.7	0.07153651	0.06073004	0.54343165	0.489862	0.02024848	54	0.00265516435	0.00246991105	0.03012788225	0.01547997275	0.0009859627325	2	0.411701007499999	0.2922427025	0.981660025	0.9747047	0.05114565275	133
ENSG00000173848.14	0.19281955	0.17696995	0.4571402	0.3424408	0.00763005	21	0.02001014325	0.017526803	0.02153492775	0	0.0004939559925	0	0.5325639275	0.4292567825	0.9701162225	0.9681272125	0.063375931	173
ENSG00000178372.6	0.10430795	0.0780059	0.5508511	0.40395485	0.004681994	12	0.00306103465	0.002421706	0.03032054625	0	0.0004507227975	0	0.513469615	0.345971044999999	0.98170044	0.9715110525	0.02062877575	53
ENSG00000178363.3	0.1776552	0.16919865	0.55096475	0.52747445	0.015344405	39	0.01414969375	0.0128642605	0.026429678	0.0208648945	0.002258939025	5	0.504672757499999	0.4287842425	0.97769885	0.9754276575	0.07861968425	214
ENSG00000196372.8	0.2285359	0.1740276	0.4578514	0.26403255	0.0023678935	6	0.01446951975	0.0092196208	0.0233145845	0	0.000410578715	0	0.660131845	0.50640183	0.965718085	0.9421749475	0.022050481	56
ENSG00000108021.15	0.27296915	0.26398865	0.4685096	0.4209395	0.016884805	46	0.04137711125	0.0389130335	0.02132388925	0.0057858081	0.00053989841	1	0.614240295	0.5354067825	0.9741165575	0.9733794375	0.05167688225	138.025
ENSG00000057608.11	0.1096192	0.08851724	0.53319175	0.3962279	0.0053680905	14	0.005426597125	0.003906446275	0.0296405395	0	0.0004286348025	0	0.49884119	0.3224463475	0.981169015	0.9666344	0.04219514625	115
ENSG00000134461.11	0.1273477	0.081719135	0.5987146	0.3366278	0.0014973435	4	0.005734208975	0.00324187885	0.032618892	0	0.0003929283625	0	0.577276535	0.3344414375	0.98512556	0.965441	0.02974083125	80
ENSG00000134452.14	0.15535555	0.12581795	0.5057308	0.38394585	0.0051871835	14	0.006185569225	0.004820644475	0.0289136905	0	0.0004786966025	0	0.55650615	0.4451916225	0.9735413425	0.9613391525	0.02406797325	66
