gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.023642965	0.02070051	0.5213079	0.5134905	0.2237332	245	0.0009947051	0.0009693638025	0.02374218	0.026594537	0.1516138675	171	0.116771975	0.0908612717499999	0.9729214	0.971867995	0.2759384875	297
ENSG00000151240.11	0.019525805	0.01726601	0.52514	0.5046074	0.02964213	51	0.0006618585	0.0006214739	0.02964172475	0.0292867615	0.0083974795	15	0.1112165025	0.08830344925	0.9797030075	0.9751912125	0.0681600605	116
ENSG00000180525.9	0.04541516	0.027003245	0.62917505	0.30187535	0.0024966445	4	0.001904728225	0.001220102875	0.0332835945	0	0.0005904561425	0	0.381371305	0.1039933	0.987298035	0.9600266875	0.01799624825	31
ENSG00000107929.9	0.01654281	0.015809135	0.5078906	0.50112295	0.07898852	171	0.0007525968225	0.0006926689525	0.02946662525	0.0284727005	0.04395348	102	0.07872562325	0.0704604109999998	0.9743666	0.973390805	0.1134959925	237
ENSG00000107937.14	0.03497141	0.02388147	0.58048325	0.3806482	0.005120539	11	0.001167892475	0.0008074936	0.02964986125	0	0.000499869735	0	0.283551877499998	0.0992523597499998	0.98246689	0.9603619	0.0226768165	51
ENSG00000148377.5	0.1442684	0.13534505	0.6461777	0.5659925	0.0058845445	13	0.053942667	0.06203425225	0.0430614265	2.68025745000002e-07	0.0005503306875	0.975000000000009	0.4198198775	0.2278748	0.9843445	0.9807112775	0.0528469595	122
ENSG00000067064.6	0.019785175	0.018116695	0.5449342	0.513995	0.028876955	66	0.0008125547775	0.0007505625	0.0234429	0.02204342	0.002697784075	5	0.1098362775	0.0829420834999999	0.9790394625	0.9735506425	0.05286596	122
ENSG00000047056.10	0.054637935	0.044485545	0.5258989	0.39708025	0.01658907	43	0.003220984375	0.00264263555	0.02736770425	0	0.0004278666425	0	0.2856462375	0.139019755	0.978162515	0.968057595	0.06386732175	158
ENSG00000185736.11	0.09225208	0.070008715	0.58015035	0.3866048	0.001811796	6	0.009947859325	0.007207377425	0.02853615775	0	0.0004074991125	0	0.392869275	0.168174185	0.983958995	0.9703017675	0.01508506975	52
ENSG00000067057.11	0.11044325	0.10314785	0.776095	0.77612175	0.00084836055	3	0.02191184075	0.03635671	0.2145455125	0.1383826225	0.0003768484325	1	0.4112229	0.19401983	0.9936076925	0.988856995	0.00513483785	17
ENSG00000107959.11	0.05301103	0.02667989	0.6503486	0.1920972	0.0007655149	2	0.002043387375	0.001042619125	0.03634629	0	0.0003232846875	0	0.500933025	0.109326165	0.9917202375	0.94489756	0.002477894175	10
ENSG00000067082.10	0.079354465	0.05165342	0.769785	0.58268825	0.0011158975	3	0.004401851775	0.002232003	0.056829015	0	0.0003560687	0	0.5034879825	0.1446326	0.9949752225	0.98702397	0.01051711425	30
ENSG00000165568.13	0.040614985	0.027310545	0.538677	0.2965081	0.002101408	6	0.00179414265	0.001226957375	0.02680336	0	0.0003963139025	0	0.377817202499999	0.1109966425	0.985544425	0.95741125	0.03024323225	87
ENSG00000187134.8	0.122577	0.11582125	0.5046074	0.49927295	0.04985799	144	0.025550032	0.02489231525	0.028722088	0.0262084485	0.02180780675	66	0.2728820625	0.239865685	0.97800893	0.9769366275	0.076839796	215
ENSG00000151632.12	0.32004255	0.28999075	0.5736174	0.52629215	0.001443475	4	0.1435904475	0.18338161	0.189592	0.2567114	0.0007080085725	1	0.64932337	0.405761285	0.924465055	0.8832385125	0.0056836515	16
ENSG00000196139.7	0.20817325	0.1885802	0.85536935	0.8407126	0.004202132	11	0.0782392825	0.099241785	0.412671895	0.4295632275	0.0012357689	3	0.4422404975	0.2995214225	0.994537905	0.99385481	0.0080401611	23
ENSG00000198610.6	0.040958035	0.026920705	0.64858815	0.3776221	0.0021261575	5	0.002060110475	0.001375961	0.03894904775	0	0.0004047289275	0	0.3696020775	0.09900006025	0.9883691125	0.965574835	0.0133565235	34
ENSG00000178473.5	0.060089765	0.05566642	0.5251853	0.5013688	0.018435125	48	0.00430929505	0.0043796443	0.02800183375	0.02571674275	0.006582072675	16	0.1931406425	0.1660170125	0.97939582	0.9765191275	0.03403367625	88
ENSG00000178462.7	0.10570965	0.10683465	0.843168	0.8412754	0.0007663195	2	0.0231136925	0.0463770525	0.2948017025	0.4013280325	0.000396686	1	0.436151009999999	0.1874116725	0.9944729	0.9929076	0.001835279975	6
ENSG00000173848.14	0.032877585	0.0310697	0.5045258	0.4995526	0.069450715	189	0.001083178725	0.00097088373	0.02575837425	0.025345688	0.03189777175	88	0.1338081625	0.11911369	0.976447025	0.97243437	0.1128806475	297
ENSG00000178372.6	0.039878045	0.02711988	0.6026041	0.3488855	0.002762736	7	0.00160649525	0.00104448375	0.034343227	0	0.0004115985875	0	0.3833065425	0.10568316	0.9874610125	0.96411404	0.0197958	51
ENSG00000178363.3	0.10462685	0.08829437	0.4955941	0.30642025	0.0043986835	11	0.01671034625	0.01635353825	0.0217656045	0	0.0004290780825	0	0.439039709999999	0.1952273075	0.968011355	0.9530928925	0.03108825625	80
ENSG00000196372.8	0.08413644	0.056604165	0.5839649	0.2892282	0.0010131625	3	0.005508304	0.002756964	0.03578661825	0	0.000395020555	0	0.4369766475	0.1649499675	0.9850946775	0.9616613575	0.0207614355	55.0249999999996
ENSG00000108021.15	0.05248241	0.03939745	0.51602185	0.3371693	0.0058979295	16	0.002411078	0.001803984175	0.0229834175	0	0.00041557479	0	0.347091529999999	0.1423427025	0.9788966	0.9607642775	0.02539591975	69
ENSG00000057608.11	0.035751255	0.03209735	0.476264	0.428532	0.01534344	45	0.0014687091	0.001336458	0.0226498285	0.019290291	0.002057145175	4	0.14791273	0.1180435525	0.97694206	0.9699634275	0.0539435165	147
ENSG00000134461.11	0.1058922	0.060183485	0.51127075	0.14248295	0.001029125	2	0.005718309	0.00344963115	0.0241983765	0	0.0003898672325	0	0.548748357499999	0.195279595	0.9765352525	0.8948307025	0.007944416675	22
ENSG00000134452.14	0.055151495	0.032835285	0.59223635	0.1984817	0.0010886815	3	0.00255289415	0.001390308875	0.02879471625	0	0.000373338705	0	0.4458664125	0.11549485	0.9874692125	0.95019457	0.01483554375	40
ENSG00000134470.15	0.051479415	0.046047025	0.51303575	0.45482855	0.015757045	42	0.003038224	0.00286725885	0.02659335275	0.01630214325	0.001338205175	3	0.1890245925	0.1386847675	0.9741512825	0.9710650575	0.05763193175	156
ENSG00000134460.11	0.0562661	0.04329664	0.5779941	0.44577255	0.006830385	19	0.002340335	0.00197821985	0.02765218125	0	0.0005756044	0	0.3186454575	0.148604	0.980423905	0.96541995	0.04070639175	113
ENSG00000134453.11	0.041893515	0.02156811	0.6264396	0.20729815	0.001067266	2	0.001574146	0.0007871238	0.03254764275	0	0.00037999194	0	0.3934238675	0.0929342264999999	0.9900589175	0.9495154075	0.004668326	13
ENSG00000170525.14	0.059121375	0.057455985	0.51048345	0.5102501	0.08303201	240	0.0045477258	0.004331037475	0.02570830025	0.02669482075	0.0536299765	156	0.1840795425	0.16543181	0.974555235	0.974987005	0.106447055	297
ENSG00000215244.1	0.06273035	0.026451135	0.66704055	0.09402839	0.00068081175	1	0.00239220555	0.000969475405	0.0341317615	0	0.0003691375125	0	0.54548834	0.1107037925	0.991034	0.916303615	0.002481800375	7
ENSG00000212743.1	0.04801026	0.02805418	0.6461966	0.27364355	0.0010608715	3	0.00208424775	0.001275517225	0.0414973	0	0.00039250462	0	0.4706464075	0.1063008675	0.9903164725	0.958764395	0.0173004095	45.0249999999996
ENSG00000065675.10	0.054202035	0.029242515	0.5884605	0.19141405	0.0010615785	2	0.0021094688	0.00101263955	0.03435615125	0	0.000355554175	0	0.453663702499999	0.12044066	0.988343055	0.93734151	0.00448601179999999	15
ENSG00000198879.7	0.1056663	0.06877154	0.6685436	0.42823	0.0009138805	3	0.01044513075	0.005905914225	0.0469172305	0	0.000331600305	0	0.474174194999999	0.1763463075	0.9870854	0.970607535	0.00401087885	13
ENSG00000123243.10	0.03725415	0.025286155	0.5490942	0.33183455	0.0037829775	11	0.0010663849	0.0008311835675	0.027340902	0	0.000339323135	0	0.320125095	0.118090515	0.9874756	0.9635943225	0.05152276275	156
ENSG00000151655.13	0.14408905	0.053178345	0.89431535	0.6413045	0.0005788137	2	0.003695718	0.001302774375	0.1221677	0	0.0003413686	0	0.6241392	0.14808088	0.9972590325	0.9841936	0.001962020525	6
ENSG00000151657.6	0.083179145	0.044079475	0.5823326	0.103075	0.0006618809	2	0.00431297875	0.002024410125	0.02946437125	0	0.00034082558	0	0.532004095	0.1387955675	0.98396444	0.91029314	0.00392706465	12
ENSG00000165629.15	0.13969795	0.1090089	0.4623817	0.1962553	0.0015400585	4	0.0278873685	0.0252583235	0.018925578	0	0.0003541161675	0	0.530794802499999	0.2212405525	0.95763747	0.9204134375	0.041653492	120
ENSG00000165632.7	0.04337515	0.040330785	0.5140949	0.49059075	0.02302199	71	0.001928225575	0.0020144713	0.029472544	0.029047946	0.00306586095	8	0.1592584975	0.1337299	0.9704189275	0.96835155	0.06176480475	187
ENSG00000107485.11	0.14960375	0.089420385	0.7014887	0.44264175	0.001018585	3	0.011769404	0.0081848938	0.049931233	0	0.0003788528275	0	0.560342797499999	0.206487935	0.9867780125	0.9660216975	0.00822900574999999	23
ENSG00000048740.12	0.031714875	0.02282188	0.5640348	0.36833005	0.0034952005	9	0.001395032	0.000982902025	0.03381545475	0	0.0004211885875	0	0.26295719	0.09167061625	0.98465864	0.9701341	0.01841356825	47
ENSG00000148429.9	0.09530683	0.07765608	0.5435876	0.4166819	0.0058169395	14	0.008295767975	0.006317442075	0.026881196	0	0.0004257939775	0	0.4454246	0.2040167475	0.9769664225	0.9627423675	0.028358926	68
ENSG00000134463.10	0.072525975	0.05145323	0.62344395	0.39792285	0.0027669815	6	0.0060510978	0.004013296475	0.04184460575	0	0.0004691046125	0	0.406551155	0.1453646025	0.9851126025	0.962361875	0.034565674	82
