gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.049408295	0.02880455	0.57009425	0.2983299	0.0051188925	4	0.00175052945	0.000988377365	0.031102444	0	0.001305824625	0	0.44788726	0.1414325675	0.9884970625	0.9609365	0.05224426975	44
ENSG00000015171.14	0.1263013	0.096135825	0.54679105	0.3607571	0.0061886095	7	0.0128958785	0.009954380475	0.02850765425	0	0.00104955375	0	0.4968346975	0.260766925	0.9777874	0.97101653	0.0931313162499999	101
ENSG00000151240.11	0.076783695	0.03899987	0.60258825	0.2116376	0.0014943725	2	0.002417729	0.0012397009	0.029684333	0	0.0005758989175	0	0.54313156	0.192819165	0.9890508325	0.9471275525	0.01781654175	30
ENSG00000180525.9	0.07433242	0.052382645	0.57641885	0.3493077	0.0036457275	7	0.003220071	0.00213189305	0.0332736735	0	0.000637988485	0	0.43622128	0.2047950925	0.98440619	0.9600666575	0.03519498	60
ENSG00000107929.9	0.169536	0.13139825	0.491506	0.25731925	0.0030290215	6	0.01460910325	0.0101633375	0.022284726	0	0.0004863829475	0	0.5932531075	0.3429616775	0.9744235	0.954444125	0.03314324725	72
ENSG00000205740.1	0.077090925	0.075700265	0.48332435	0.4830489	0.059447295	132	0.004655341625	0.004545876225	0.01886251725	0.01704254375	0.02588318475	60	0.2747335075	0.24727724	0.9714241675	0.9720328075	0.1148989775	250
ENSG00000107937.14	0.054717775	0.03333098	0.5760723	0.28705155	0.001952651	4	0.002076188525	0.0011503692	0.0335319995	0	0.000466440915	0	0.4229671525	0.160438395	0.9881999825	0.958443335	0.03720097575	83
ENSG00000148377.5	0.2620676	0.21413005	0.4367017	0.2087434	0.001876848	4	0.04813220875	0.0388012625	0.0188740675	0	0.0004668391125	0	0.6442388125	0.4185132575	0.9515496075	0.93025041	0.03707733975	82
ENSG00000067064.6	0.064640945	0.06118096	0.50861045	0.5053937	0.1135751	271	0.002718623875	0.002564104075	0.02346642975	0.0216521595	0.05511047875	128	0.254810505	0.22787679	0.97727974	0.978341005	0.13456014	299
ENSG00000047056.10	0.06988345	0.04212625	0.60752285	0.26294855	0.0012579705	3	0.002737219275	0.001523043	0.038397763	0	0.00044196006	0	0.5153805925	0.178111084999999	0.987008695	0.9539265425	0.009757210775	23
