gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.105049	0.06789072	0.5648478	0.2987915	0.0031520705	3	0.0113567685	0.00642976745	0.031077784	0	0.000969175775	0	0.508521665	0.1985985775	0.9792686125	0.95875879	0.0396609752499999	40
ENSG00000151240.11	0.09050007	0.07538677	0.5457582	0.4149592	0.01340228	24	0.010235807	0.008334727875	0.03262723075	0	0.0006469726875	0	0.43814109	0.19448813	0.978715335	0.96976206	0.1009838425	182
ENSG00000180525.9	0.082715925	0.04233031	0.5810603	0.1225543	0.00124187	2	0.0038375816	0.001765008375	0.03115245375	0	0.00058083003	0	0.5514385	0.1488662375	0.986035405	0.9249805625	0.009595966625	17
ENSG00000107929.9	0.04935661	0.023433435	0.68153745	0.19990625	0.001132502	2	0.001455924175	0.0007016185	0.03787249775	0	0.00046878326	0	0.491288884999999	0.1029397125	0.9928593375	0.960905522499999	0.003650535	10
ENSG00000107937.14	0.058935185	0.048875435	0.5461701	0.41497535	0.0069426295	16.5	0.004474057375	0.00387619755	0.029256981	9.896278775e-06	0.0007787630475	1	0.3284179425	0.150175495	0.980819135	0.9696283475	0.0510448825	114
ENSG00000148377.5	0.08735455	0.048908515	0.54926525	0.19573335	0.001354604	3	0.003627986125	0.00197949705	0.02814860325	0	0.0004441698475	0	0.5099550625	0.18663509	0.98374434	0.9365344	0.012353339	28
ENSG00000067064.6	0.038201935	0.029486565	0.57057705	0.44567695	0.009403437	23	0.001627157	0.001243292475	0.0280885875	0	0.0005788775075	0	0.270128867499999	0.12483446	0.985625765	0.9722131225	0.0323428215	75
ENSG00000047056.10	0.2628301	0.2475918	0.80521165	0.7905354	0.0009022272	3	0.0808632815	0.1376811	0.246689	0.1733887525	0.00043821208	1	0.617362075	0.3708424	0.9924328725	0.9916292725	0.0035981687	9
ENSG00000185736.11	0.09613795	0.08352643	0.8410237	0.801812	0.0008830082	3	0.008998572075	0.00547203145	0.1658729175	0	0.0003072538225	0	0.5808239	0.1829337	0.9951071925	0.9906161775	0.003996779625	15
ENSG00000067057.11	0.049241245	0.04670045	0.5109249	0.5107553	0.06356662	214	0.002110680825	0.0020327393	0.02704591825	0.02688545825	0.018080898	59	0.19079058	0.169459435	0.9782722	0.976778445	0.09234028375	298
ENSG00000107959.11	0.025708505	0.018152635	0.5539766	0.33652895	0.002855548	9	0.00102975149	0.0007596378	0.0296011385	0	0.000342846695	0	0.3248690125	0.0876627694999999	0.9880794675	0.9661065	0.01158585075	38
ENSG00000067082.10	0.05577912	0.043263625	0.55854285	0.3649348	0.0029221785	9	0.003008995825	0.00219477475	0.02780274	0	0.000473974005	0	0.378998084999999	0.1558800275	0.98201979	0.9660302	0.0332206005	99
ENSG00000165568.13	0.08636148	0.069660695	0.55448295	0.3805942	0.01310322	39	0.006784851175	0.00454372425	0.02728342625	0	0.0003797934	0	0.468220284999999	0.1977205375	0.9839800025	0.9688560725	0.06490906	180
ENSG00000187134.8	0.023994375	0.02311911	0.50980385	0.49926005	0.05644474	164	0.0009193898	0.0009268549	0.02541407	0.026062071	0.03420814	102.975	0.1248471525	0.11066212	0.978164585	0.9764128	0.081714458	226
ENSG00000151632.12	0.05441061	0.051547775	0.48256255	0.4823798	0.08573459	237	0.00235458875	0.0023123227	0.02236616	0.02259534	0.02988508825	85	0.19310642	0.16924235	0.977516545	0.97650742	0.1117125375	293
ENSG00000196139.7	0.19386025	0.18185905	0.3923229	0.3129094	0.01366617	37	0.06136504025	0.062467154	0.017354006	1.25483572500001e-06	0.0005473579875	0.975000000000009	0.423220075	0.328260675	0.931314845	0.914444935	0.0459583385	125
ENSG00000198610.6	0.061519285	0.041783375	0.546802	0.3262479	0.0032638505	8	0.0025474295	0.001503951675	0.0309484235	0	0.000392803065	0	0.383654124999999	0.1615224825	0.9806392	0.9562387025	0.0283107885	72
ENSG00000178473.5	0.098844775	0.090461605	0.5526611	0.46073585	0.010281855	27	0.014441154	0.013360387	0.0253770495	0	0.0005059997975	0	0.34191116	0.216490975	0.97888462	0.972530795	0.03778350675	103
ENSG00000178462.7	0.03449242	0.02408421	0.53657635	0.3251959	0.007410291	19	0.00134280255	0.0009468492625	0.03044487675	0	0.00039924285	0	0.30509396	0.11133692	0.98027583	0.9613020275	0.0509356875	135
ENSG00000173848.14	0.10287535	0.079649815	0.5473257	0.36019945	0.002907097	7	0.009315906425	0.006398070275	0.02827606225	0	0.0003941156	0	0.4682788075	0.21330813	0.9798873275	0.957611295	0.03137194275	86
