gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.1837889	0.13215825	0.50869505	0.38401155	0.010547715	9	0.00929178985	0.006091756425	0.02542208375	0	0.001258444525	0	0.589502557499999	0.3977421725	0.9755339925	0.9640925325	0.1016428875	88
ENSG00000015171.14	0.18362975	0.17227275	0.497165	0.49293165	0.2198449	245	0.02119009975	0.02113437675	0.02530196375	0.02681277125	0.1354768725	154	0.4470224925	0.39513489	0.97411947	0.9766762775	0.275565515	297
ENSG00000151240.11	0.12203205	0.11419815	0.4848871	0.48773015	0.14928805	269	0.0053509673	0.005551023	0.0233206275	0.02450178925	0.114004065	207.975	0.427491545	0.3811496325	0.971835385	0.97162113	0.1741159075	298
ENSG00000180525.9	0.12143365	0.07336915	0.55470925	0.25617945	0.001895341	3	0.0048726102	0.002488549925	0.0284789795	0	0.000664181875	0	0.5802730575	0.3212717125	0.984186435	0.95035942	0.0130695495	24
ENSG00000107929.9	0.07755642	0.05980452	0.55063295	0.4149859	0.0082129595	18	0.00274147625	0.00213451505	0.03339929025	0	0.00056393442	0	0.405933707499999	0.2504671925	0.9826652275	0.9708474825	0.034814339	73
ENSG00000205740.1	0.079227215	0.067653255	0.5182656	0.45046695	0.02493449	60.5	0.003202593	0.0024403424	0.02430442375	0	0.0004932204025	0	0.3604592525	0.28079823	0.9719977675	0.9652778	0.0955937515	214
ENSG00000107937.14	0.23535705	0.18979445	0.5047438	0.35269245	0.005018915	11	0.01431509475	0.01044901375	0.024017371	0	0.00049493586	0	0.67336341	0.5115198	0.971708	0.9589597	0.021255943	48
ENSG00000148377.5	0.1898279	0.1502634	0.4663546	0.30525135	0.004612941	11	0.01056699175	0.0080248395	0.02232074425	0	0.000486353975	0	0.6349820575	0.4752294275	0.971887215	0.9549231	0.02599888425	59
ENSG00000067064.6	0.10621365	0.074734985	0.5320719	0.3169271	0.00235935	5	0.004228366525	0.002430603	0.0251262435	0	0.0005288767275	0	0.515122042499999	0.31292565	0.97875946	0.9595732225	0.0202432454999999	50
ENSG00000047056.10	0.3361139	0.36503575	0.8345386	0.853792	0.0007942297	2	0.0954674685	0.18612438	0.2904465025	0.4328892675	0.0004114841575	1	0.7637648	0.5567565575	0.9923763375	0.993074	0.001670359	6
ENSG00000185736.11	0.11122725	0.0964729	0.51164095	0.464447	0.01873646	64	0.0041425118	0.003402960025	0.02213962575	0.004221355125	0.0004985615575	1	0.5036760075	0.4057628025	0.97275428	0.96718735	0.04405038075	154
ENSG00000067057.11	0.1725117	0.1266285	0.47603575	0.2640313	0.002398168	7	0.007168559025	0.004849638725	0.0232932665	0	0.00032879236	0	0.629565519999999	0.4602316475	0.97087075	0.94732629	0.01344629875	43
ENSG00000107959.11	0.35984505	0.44578145	0.8729521	0.9203401	0.0005640007	3	0.119259455	0.2776855	0.4473983725	0.6607659475	0.0003261704	2	0.7472369	0.6093359	0.9961959	0.9968685	0.001231706	5
