gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.13029195	0.084617715	0.52478915	0.28419095	0.003653317	4	0.0181262725	0.01675385725	0.027977521	0	0.0009798635675	0	0.52122791	0.2104302975	0.9770633675	0.95649451	0.0552759355	62
ENSG00000151240.11	0.1103546	0.08293854	0.6710901	0.53554935	0.001413087	3	0.01261795525	0.00844111975	0.051750763	0	0.00059227302	0	0.505315917499999	0.204105435	0.9880081125	0.9829387625	0.04240577375	74
ENSG00000180525.9	0.2528663	0.09641403	0.8980084	0.67285175	0.00295755	3	0.01250733025	0.0113042955	0.0637567455	0.04103469025	0.00096667703	1	0.8085613	0.1951036125	0.9979304425	0.980204525	0.0482102835	84
ENSG00000107929.9	0.02319729	0.019891815	0.5485275	0.49039255	0.01555345	34	0.0009867522925	0.00081496007	0.02971699375	0.02255769875	0.002304579	3	0.1480384025	0.0985390322499999	0.978566695	0.9736269475	0.05591127225	118
ENSG00000107937.14	0.06504261	0.03814058	0.6621526	0.30968435	0.001587837	3	0.00336891475	0.001595338	0.036277871	0	0.0004616953325	0	0.459753335	0.1270515975	0.9907534	0.963918105	0.006989649175	16
ENSG00000148377.5	0.1102732	0.10444125	0.47483935	0.4707459	0.07944789	182	0.01762561575	0.01736759025	0.0215012725	0.02188635875	0.022649055	51	0.2538683075	0.224174105	0.968590065	0.9685446625	0.1304323375	292
ENSG00000067064.6	0.04638783	0.023171685	0.6399275	0.2379362	0.0013438835	2	0.001546415825	0.0007756566225	0.03770050925	0	0.000439940995	0	0.428817049999999	0.1054270875	0.9900550175	0.95021813	0.01419935	33
ENSG00000047056.10	0.0532711	0.04898007	0.49570385	0.46054255	0.030756445	77	0.0029856019	0.002696760175	0.027282089	0.0226247265	0.00299057985	6	0.1845565275	0.1511164025	0.9718276875	0.969447785	0.07737201675	188
ENSG00000185736.11	0.07644512	0.039581915	0.5824066	0.1138703	0.00068955165	2	0.003943584925	0.001725394025	0.0290006135	0	0.00030595973	0	0.530155095	0.1419679375	0.984476355	0.907811995	0.003389345925	11
ENSG00000067057.11	0.04944861	0.04129303	0.5186865	0.4243948	0.007793886	25	0.0026433515	0.0021837713	0.0241844785	0	0.0004872787575	0	0.2297779	0.140319065	0.9779404325	0.968931985	0.0433342925	141
ENSG00000107959.11	0.20327485	0.21045735	0.8721772	0.8791668	0.0019469115	5	0.0641436185	0.1224491325	0.38978248	0.53893329	0.000542709515	1	0.5354386475	0.3199815525	0.9951169	0.995024025	0.00696189945	21
ENSG00000067082.10	0.06951743	0.04923648	0.532008	0.22026215	0.001132526	3	0.00477428845	0.00272866	0.026208443	0	0.00035067107	0	0.482488674999999	0.1479613325	0.98260408	0.9561587675	0.01471524475	45
ENSG00000165568.13	0.08305324	0.06018156	0.52636255	0.2863393	0.0023008855	6	0.007169662875	0.004808324875	0.02675973575	0	0.0003818457875	0	0.43917371	0.16866317	0.974350275	0.9352519275	0.0238112705	65
ENSG00000187134.8	0.08350968	0.066464395	0.5443065	0.3854496	0.011560995	32	0.006514667525	0.004720467725	0.0252458465	0	0.00037974421	0	0.3936082275	0.1847657625	0.9801368375	0.97163432	0.065408644	183
ENSG00000151632.12	0.051369035	0.03304251	0.58693045	0.30211165	0.00170958	5	0.0024789273	0.0014047275	0.02592549275	0	0.000398357295	0	0.3914400275	0.1315689075	0.9848315875	0.955764935	0.03840266175	103
ENSG00000196139.7	0.1633223	0.13257785	0.4085007	0.25756715	0.0033573685	9	0.03244133775	0.0302806605	0.0180154895	0	0.00045685246	0	0.4904836725	0.272691645	0.96250332	0.9359596375	0.0409556745	110
ENSG00000198610.6	0.0923702	0.0780061	0.5807644	0.4839208	0.004115925	11	0.011182913	0.009345370425	0.0284727785	0.000379805145000002	0.00052228647	1	0.338495932499999	0.18707244	0.98027066	0.975359475	0.021250641	56
ENSG00000178473.5	0.06397009	0.047362455	0.6681887	0.5013626	0.001924819	5	0.003960865175	0.002121350725	0.05313679	0	0.00040099328	0	0.3592991675	0.1466402275	0.9873582875	0.9760577625	0.0126688605	31
ENSG00000178462.7	0.14464375	0.1359771	0.69327035	0.67231685	0.01389709	37	0.0367665895	0.03628604175	0.049367938	0.033986864	0.001696963125	3	0.3578978275	0.2647224175	0.98878209	0.98664586	0.05131462	131
ENSG00000173848.14	0.0423504	0.0330588	0.59853325	0.48421225	0.005238984	13	0.001727333	0.001374883	0.0367324645	0.003390468075	0.0008979186075	1	0.26397772	0.136996905	0.984573745	0.97493088	0.0220785	60
ENSG00000178372.6	0.052783665	0.03791251	0.5257755	0.3406841	0.0047204155	12	0.0021567987	0.00153695485	0.0210984785	0	0.0004223845775	0	0.3571266975	0.1509735375	0.9801887075	0.95332876	0.0502644755	134
ENSG00000178363.3	0.05292558	0.044730595	0.49343395	0.3493833	0.004829242	13	0.0027125052	0.0024245292	0.02208139	0	0.0005876244225	0	0.25631277	0.1356343175	0.9739552725	0.9575246525	0.022045741	57
ENSG00000196372.8	0.043834425	0.040875635	0.50598855	0.4876508	0.03316881	87	0.001885727925	0.00170926	0.02436952825	0.02139672775	0.00474047155	9.97500000000001	0.1786067075	0.1522718025	0.9764578325	0.9755487025	0.055082291	137
ENSG00000108021.15	0.1231357	0.10734725	0.61766585	0.5497734	0.0048496125	12	0.0191755185	0.016157392	0.04725530175	0	0.0004477457975	0	0.414163007499999	0.23270074	0.9863579	0.9810075425	0.02122284575	57
ENSG00000057608.11	0.07773407	0.05166293	0.54550545	0.260621	0.0016933025	4	0.004920151375	0.00333106295	0.0285429725	0	0.00037589515	0	0.461651614999999	0.16001545	0.9802168825	0.9474993575	0.01127141375	33
ENSG00000134461.11	0.1003622	0.098245915	0.498391	0.46126245	0.05764239	152	0.01910264375	0.020448238	0.02162867525	0.009281137925	0.000944243735	2	0.2529662725	0.211876425	0.974848495	0.9739851075	0.111184235	292
ENSG00000134452.14	0.15434115	0.1379959	0.4154765	0.2794166	0.012472665	33	0.04012560475	0.03621472775	0.0234844175	0	0.000400224345	0	0.4560376075	0.266793995	0.9615603025	0.9537658	0.0488389315	134
ENSG00000134470.15	0.02396122	0.0220881	0.5068508	0.4748544	0.03327984	91	0.000952247	0.0008634253	0.02457611725	0.01663042	0.001439134525	3	0.1335072	0.1027589325	0.97749155	0.9712760875	0.04716530775	124
ENSG00000134460.11	0.033276495	0.02044823	0.63499505	0.3681529	0.0017150755	4	0.001203092575	0.0006226487	0.03663875825	0	0.0004042723675	0	0.3203998	0.0943294095	0.9902735875	0.9606917	0.005980362425	17
ENSG00000134453.11	0.03922834	0.02759398	0.5847839	0.35792145	0.0028738705	7	0.001215596375	0.000878822495	0.02954289425	0	0.000416985465	0	0.35257074	0.1117021675	0.9886855375	0.96934504	0.010982251	29
ENSG00000170525.14	0.07906321	0.06588103	0.51412165	0.3918663	0.03136898	91	0.00507695485	0.004029228125	0.026585447	0	0.000418226605	0	0.367270574999999	0.1937512175	0.97760033	0.9669427075	0.06565556975	179
ENSG00000215244.1	0.06339964	0.042687675	0.5429012	0.21688505	0.00153622	4	0.00348635725	0.00226972775	0.02861221725	0	0.0003776839425	0	0.4452716875	0.1478547525	0.979891055	0.9340521725	0.01217428625	35
ENSG00000212743.1	0.040901945	0.036660615	0.5025461	0.447756	0.010726755	28	0.001833026	0.00171034235	0.023038558	0.0114866315	0.00126573475	2	0.19290224	0.1396474325	0.974307305	0.96978256	0.02958044175	76.0249999999996
ENSG00000065675.10	0.08217778	0.06209672	0.51127875	0.2942512	0.0034767865	9	0.004147901275	0.003233750225	0.02362708675	0	0.000443799125	0	0.4095173	0.1937236525	0.972397335	0.950654765	0.0347641004999999	98
ENSG00000198879.7	0.05511031	0.03135618	0.63166085	0.3008913	0.0009576632	3	0.00198822645	0.0008901107925	0.0276863625	0	0.0003385334	0	0.47707347	0.1499295475	0.99079425	0.9520904775	0.0147414505	47
ENSG00000123243.10	0.0843888	0.07173057	0.54705975	0.4386313	0.0059267185	18	0.008478568375	0.00710414095	0.03397359425	0	0.0004422195525	0	0.42054343	0.1839091925	0.9831052475	0.971566755	0.020308418	60
ENSG00000151655.13	0.1343187	0.1330979	0.7946951	0.8067647	0.0006282085	2	0.027265894	0.05897109325	0.151100075	0	0.0003474427075	0	0.6031675	0.24001789	0.99589163	0.99133693	0.003140675	9.02499999999964
ENSG00000151657.6	0.03665127	0.0227723	0.6228214	0.34515755	0.0014640135	4	0.0009408707	0.0005670609	0.04520991275	0	0.000351099335	0	0.3505569	0.10949928	0.9901780925	0.96871645	0.01887033625	54
ENSG00000165629.15	0.03110511	0.029969705	0.4875663	0.4789253	0.05703844	170	0.0013929466	0.001302178775	0.0262520535	0.026249705	0.0081509794	23	0.1250834475	0.1146232275	0.9713676275	0.97039635	0.08483753425	245
