gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.2389492	0.1747215	0.54095665	0.4094046	0.01534646	13	0.02864460125	0.020500255	0.03042010825	0	0.0012572372	0	0.615064107499998	0.3885999825	0.9760830125	0.9652625775	0.1148436375	94.0249999999996
ENSG00000015171.14	0.18707935	0.13872095	0.5219834	0.33912255	0.0053923765	6	0.01601891075	0.0115655975	0.0276709435	0	0.000995533695	0	0.6148391	0.348055325	0.9758622375	0.9610235225	0.057640141	62
ENSG00000151240.11	0.05762087	0.03233835	0.5966388	0.2751802	0.001749134	3	0.001964794	0.00091887494	0.03626042925	0	0.0005965867575	0	0.4612923	0.169038745	0.9892278925	0.95534633	0.03174793225	56
ENSG00000180525.9	0.079044445	0.06024889	0.54164515	0.41529535	0.016909845	29	0.00345778505	0.002529888225	0.0326413075	0	0.00066693902	0	0.367662225	0.2295375575	0.9782639875	0.9618546	0.0439979965	73
ENSG00000107929.9	0.078079225	0.067423095	0.5190094	0.46161845	0.02709874	60	0.003660591575	0.003039014	0.03133694225	0.01523431525	0.00167362835	2	0.34019807	0.258078845	0.976645965	0.9756547275	0.070365976	149
ENSG00000205740.1	0.1709202	0.1546203	0.53332075	0.5151718	0.02353331	53	0.009984640175	0.00953632495	0.02830785775	0.0257975945	0.005776684575	12	0.528154245	0.4596110775	0.9734116325	0.9688089875	0.06504419875	144
ENSG00000107937.14	0.2554896	0.19265815	0.43237535	0.21162625	0.0016995775	4	0.0241803605	0.0147714865	0.02255321125	0	0.0004751686	0	0.7087486025	0.48527653	0.951340115	0.9060027525	0.023668116	55
ENSG00000148377.5	0.2132688	0.16800115	0.47477055	0.33735965	0.0043426655	9	0.0163169025	0.01278576975	0.02410234025	0	0.0005048293925	0	0.5867531475	0.4319352525	0.971332825	0.954660215	0.02009714225	47
ENSG00000067064.6	0.07255278	0.069621515	0.50475005	0.4975012	0.11238265	264	0.003149923	0.003289168025	0.025090114	0.02449488	0.08609051425	208	0.278353645	0.253082455	0.97888668	0.9770703075	0.1334767875	297
ENSG00000047056.10	0.06523613	0.05048179	0.53721265	0.4072573	0.007211765	18	0.00248178	0.001796592525	0.02874491575	0	0.0004720423075	0	0.4112946525	0.2261649225	0.98209854	0.9744388325	0.03907921125	98
