gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.1125308	0.07237405	0.5799164	0.23785435	0.002423902	2	0.01575635975	0.01036519975	0.03403691825	0	0.00093911779	0	0.5267817	0.17278367	0.9786913	0.9514738375	0.0214147945	26
ENSG00000151240.11	0.021196475	0.019044825	0.4773726	0.4553371	0.029634435	55	0.0007411961	0.000706919235	0.02078017	0.02186331	0.00843246865	12	0.11297732	0.0929544065	0.9728850575	0.966461	0.04845624875	84
ENSG00000180525.9	0.02851638	0.02746415	0.5071605	0.50305235	0.08038711	139	0.001455407325	0.001332217625	0.02537424775	0.02382009925	0.0240854075	45	0.1170797	0.1040870575	0.97314504	0.9724617575	0.1365565	231
ENSG00000107929.9	0.0392179	0.03669081	0.5399614	0.5351345	0.097148185	213	0.001940369025	0.001806955	0.02608411775	0.0284340015	0.05413930825	121.975	0.160701035	0.141656015	0.98180893	0.98012448	0.142087675	298
ENSG00000107937.14	0.056319905	0.044838495	0.5251909	0.39298585	0.005325081	12	0.002919616775	0.002462291	0.0282275225	0	0.0007461393275	0	0.287990119999999	0.1460518775	0.9801378	0.966466395	0.02371695425	54
ENSG00000148377.5	0.04759439	0.03799809	0.5469388	0.4306662	0.03388475	78	0.002141630525	0.001676738	0.03159703575	0	0.000483137	0	0.2842112175	0.1503812225	0.9804209475	0.9699192	0.068638392	152
ENSG00000067064.6	0.04898568	0.030964265	0.59415405	0.2830876	0.0023794155	5	0.002286638975	0.001156418125	0.03371190975	0	0.00045001637	0	0.3760052475	0.1230296825	0.9847939975	0.949652675	0.01231607	27
ENSG00000047056.10	0.029081425	0.01967918	0.56466345	0.3665267	0.0044040105	10	0.001096755	0.000840282765	0.0333690355	0	0.000476268965	0	0.2960344425	0.10263999	0.9885945	0.9620905525	0.021999159	52
ENSG00000185736.11	0.16599025	0.14434845	0.77563525	0.74842815	0.0009459832	3	0.039621568	0.06284288075	0.220286335	0.255855265	0.0003175926	1	0.518345	0.2769719725	0.9896225875	0.98668271	0.00793161279999999	27
ENSG00000067057.11	0.10337305	0.074873055	0.49121175	0.2577349	0.002129907	7	0.007498663925	0.005117046575	0.02642477225	0	0.0003212999975	0	0.519081135	0.20318254	0.972718245	0.9358607475	0.023094011	77
ENSG00000107959.11	0.043375775	0.02015493	0.6623802	0.1767715	0.00070108285	2	0.001307209825	0.0005604212175	0.04300868225	0	0.0003233126075	0	0.479148285	0.1015265575	0.9932893	0.94564248	0.00302823525	10
ENSG00000067082.10	0.085743735	0.044256475	0.65864505	0.2238078	0.0007039641	2	0.00293907905	0.001603512725	0.03188725175	0	0.0003448901675	0	0.6749118	0.2044235	0.9902761725	0.9359792125	0.015586031	47
ENSG00000165568.13	0.03456479	0.03142196	0.49533935	0.47683495	0.05110402	143	0.001746642225	0.0016641639	0.024098175	0.0232442475	0.0026106161	7	0.1544648075	0.1291696525	0.977076315	0.9718807075	0.0801018615	224
ENSG00000187134.8	0.046076755	0.03971105	0.5291331	0.4952095	0.01819229	50	0.002137236	0.001856844325	0.0292859175	0.014439075	0.0008685125475	2	0.212657837499999	0.1578680975	0.9794132525	0.97268829	0.05480494	152
ENSG00000151632.12	0.080997995	0.05353925	0.5827863	0.27714195	0.0012915275	3	0.0047583169	0.0029271599	0.03018964925	0	0.0003985191825	0	0.4741779725	0.159923885	0.9816717	0.95220944	0.00852976652499999	24
ENSG00000196139.7	0.097598565	0.06814082	0.6751685	0.4380718	0.0010471915	2	0.0065800925	0.0041220618	0.052472243	0	0.0003729031	0	0.5730716475	0.1860794275	0.9852132	0.9720599	0.00334743545	11
