gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.2724774	0.2966837	0.877233	0.89852555	0.0024385765	2	0.0776475495	0.1545503	0.4101057375	0.576660905	0.001225275425	1	0.6656548	0.4508335225	0.99518039	0.9962790975	0.00649255235	7
ENSG00000015171.14	0.16331455	0.1310245	0.5190308	0.3281477	0.00623187	7	0.01786009	0.012865078	0.02262620775	0	0.0009778566725	0	0.55632192	0.33455393	0.97677548	0.9676568725	0.0505958495	52
ENSG00000151240.11	0.05296202	0.04560576	0.52012435	0.46089515	0.038682225	68	0.002294052	0.00208069975	0.027231755	0	0.0007405880625	0	0.262995272499999	0.185490035	0.9802427275	0.973905115	0.08075170975	140.025
ENSG00000180525.9	0.08084714	0.04496254	0.60862155	0.23258495	0.0016121435	3	0.00286982	0.00136670755	0.0319075425	0	0.00059694276	0	0.52713553	0.208946895	0.9859444575	0.9597362275	0.0208290945	33
ENSG00000107929.9	0.063963245	0.05054401	0.5532073	0.4283854	0.008171484	17	0.00251145975	0.001800053875	0.02606448275	0	0.00050662288	0	0.368095042499999	0.22608757	0.9840679475	0.9722011	0.046210743	98
ENSG00000205740.1	0.10102755	0.06541487	0.5787766	0.30154885	0.001818436	4	0.0055709076	0.003246334575	0.02921103725	0	0.0004802067925	0	0.50493704	0.2570593575	0.9854436725	0.957078105	0.00970751629999999	21
ENSG00000107937.14	0.1661972	0.127889	0.54704105	0.3335597	0.002139493	4	0.01110487775	0.00644474315	0.0350075125	0	0.0004671887375	0	0.6149966425	0.356339385	0.97670621	0.9679113725	0.01131362625	24
ENSG00000148377.5	0.1061575	0.064953545	0.62218635	0.310965	0.001303318	3	0.00421857355	0.00218396865	0.033037939	0	0.00046449674	0	0.549097434999999	0.2716103525	0.9837850975	0.961536015	0.00827796044999998	19
ENSG00000067064.6	0.084896365	0.052664615	0.56300985	0.27575695	0.0017247145	4	0.00314480865	0.00152858755	0.02985938	0	0.0004545962475	0	0.51223905	0.240456672499999	0.9851837575	0.9511557075	0.0224781495	56
ENSG00000047056.10	0.12615685	0.098165705	0.5393917	0.42120005	0.013207055	32	0.0052913359	0.003585534025	0.02443270575	0	0.0004555727075	0	0.550520685	0.396303645	0.9824849	0.9695230525	0.09947135375	246
ENSG00000185736.11	0.3998519	0.3886272	0.8763588	0.87628125	0.0015087465	5	0.14189856	0.2131393425	0.4360361825	0.5675304675	0.0006232668125	1	0.7496133	0.5724928725	0.995061225	0.99482197	0.006084365975	20
ENSG00000067057.11	0.16285825	0.1461023	0.5287747	0.47792995	0.040704775	128	0.00947060035	0.00869120435	0.0322350605	0	0.000371944185	0	0.483764757499999	0.41988683	0.9773676775	0.9732720125	0.0701965645	216
ENSG00000107959.11	0.3146725	0.2407255	0.4660372	0.215569	0.00082678525	3	0.02644123975	0.01716792125	0.02551666875	0	0.000337672685	0	0.756037275	0.5728114325	0.9649578875	0.9413162825	0.00864196757499999	26
ENSG00000067082.10	0.09424587	0.08565664	0.51044715	0.491576	0.032178105	92	0.003549077	0.003426968	0.02824527225	0.02680035825	0.00536277115	14	0.41076183	0.3513158775	0.97735938	0.9764516	0.06959860275	195
ENSG00000165568.13	0.1728174	0.14514395	0.63526525	0.5421367	0.0015487175	4	0.01038450925	0.006721264575	0.04354529325	0	0.0003978827175	0	0.59808175	0.4507333	0.9847161225	0.97711964	0.0196743265	52
ENSG00000187134.8	0.1016031	0.08002503	0.4818317	0.3657615	0.006623315	18	0.00425535795	0.0034182688	0.02459890125	0	0.0005128602725	0	0.448025704999999	0.321704872499999	0.9756893225	0.963849235	0.028293413	75
ENSG00000151632.12	0.3494935	0.29240905	0.84367865	0.8124137	0.0005865881	2	0.09999073	0.1279788	0.33180148	0.33124604	0.0003843195	1	0.766916945	0.4863138	0.9946617	0.9923811	0.00156329955	5
ENSG00000196139.7	0.08513169	0.03780458	0.6545671	0.1313055	0.00064737945	1	0.002310045825	0.00109276935	0.03618750575	0	0.00038271164	0	0.580349932499999	0.1920388525	0.9909268	0.9420518225	0.002936286925	8
ENSG00000196326.6	0.093856665	0.05569411	0.5981842	0.2621688	0.0012430855	3	0.003591242475	0.001880801	0.0305609545	0	0.000391187745	0	0.533915995	0.244596405	0.9861549075	0.958103815	0.011647534	28
ENSG00000198610.6	0.080667625	0.07571681	0.515164	0.50267735	0.059957305	158	0.00303914135	0.00300525725	0.0232606595	0.0233420305	0.007089393	18	0.3099175675	0.27609173	0.975415515	0.975050345	0.10151709	259
ENSG00000178473.5	0.18186395	0.15304075	0.54044465	0.35180675	0.0023455355	6	0.02181090925	0.01332802825	0.0263548265	0	0.00042732424	0	0.577109985	0.3717528575	0.9799946825	0.96873214	0.02509164525	65
ENSG00000178462.7	0.1502781	0.12420675	0.57551995	0.46483505	0.004971013	12	0.006761560575	0.004826453475	0.0338208975	0	0.000533903455	0	0.5220499525	0.378816735	0.98155696	0.979001445	0.03004278625	78
ENSG00000173848.14	0.4198047	0.3748742	0.4332286	0.29717635	0.01407229	38	0.08931556625	0.0815725795	0.0218908225	0	0.0003989032875	0	0.779516995	0.666457855	0.9566630275	0.9541127375	0.0657020235	173.025
ENSG00000178372.6	0.13598635	0.1010445	0.50075735	0.28229715	0.0019532535	5	0.00626049905	0.004002125975	0.023606914	0	0.00043420028	0	0.547508695	0.34435765	0.9777055325	0.95881981	0.0261290785	67
ENSG00000178363.3	0.056431585	0.03597528	0.5950249	0.33474615	0.002098922	5	0.0017173598	0.00096918634	0.03180287275	0	0.0004112136325	0	0.413257644999999	0.180189695	0.9881068425	0.96776413	0.01086793725	26
ENSG00000196372.8	0.20379785	0.1749886	0.4826674	0.37625805	0.01004573	25	0.01214796725	0.0086702784	0.02693119675	0	0.000459093035	0	0.60545832	0.4772980125	0.97031985	0.9607074425	0.07888225225	201
ENSG00000108021.15	0.11812915	0.09552162	0.5251978	0.40139105	0.004471604	12	0.00635072325	0.00472948085	0.0295192325	0	0.0006695996675	0	0.47928016	0.3446434125	0.977658835	0.9683153525	0.02675936575	69
ENSG00000057608.11	0.16617725	0.1280721	0.51870935	0.38831885	0.0034930205	10	0.008100530225	0.005576245175	0.027741385	0	0.0005294992225	0	0.589129175	0.44861166	0.972668895	0.9537210075	0.0160054245	43
ENSG00000134461.11	0.18138925	0.15628	0.5322419	0.44106215	0.01374561	36	0.011109653	0.008488117925	0.02471464	0	0.000511103265	0	0.556099985	0.431123082499999	0.978595675	0.969257985	0.05430734175	139
ENSG00000134452.14	0.1383035	0.1145768	0.58767435	0.4606282	0.0046426085	12	0.0067143279	0.004787581475	0.03345186575	0	0.00043951045	0	0.505308745	0.3431276275	0.983344775	0.97515879	0.0285083675	77
ENSG00000134470.15	0.1103447	0.082149865	0.53364975	0.3442153	0.007197066	19	0.005210231125	0.003499771575	0.02860767525	0	0.00039064368	0	0.49341219	0.30110471	0.981582215	0.9596172425	0.0339185335	90
ENSG00000134460.11	0.06019445	0.05246885	0.4923111	0.43270505	0.07015299	198	0.002827343	0.002343896875	0.02112136925	0	0.0005328464325	0	0.321863615	0.2376100425	0.978127115	0.971722755	0.09437233625	253
ENSG00000134453.11	0.2024902	0.1960375	0.52205345	0.5072505	0.083321055	233	0.01740859575	0.017068497	0.0270530445	0.0273836975	0.00775888825	20	0.5073988375	0.461349025	0.9782671	0.977349	0.11198708	298
ENSG00000170525.14	0.1138243	0.065355385	0.63726935	0.26954735	0.00088395035	2	0.005290017125	0.002392366575	0.04280839075	0	0.000373704405	0	0.588074405	0.2866432775	0.9895491275	0.963919155	0.009361260525	26
ENSG00000215244.1	0.04626996	0.04285178	0.5108932	0.4985229	0.021005005	57	0.001728632	0.001642317075	0.027673944	0.02540184025	0.008119043075	22	0.223233965	0.20253744	0.977246125	0.975202775	0.03928207	104
ENSG00000212743.1	0.06759769	0.062857925	0.5249958	0.5162396	0.05896362	154	0.002579563225	0.002266581225	0.026619726	0.02639063425	0.0058239115	13	0.30045041	0.262240765	0.9734440725	0.9744175	0.1122735	285
ENSG00000065675.10	0.13298915	0.08021447	0.57186015	0.21613905	0.00093349465	2	0.005400804	0.0025734291	0.03480135075	0	0.0003686679925	0	0.636992675	0.34739767	0.9847896	0.94930693	0.0044695446	13
ENSG00000198879.7	0.3384016	0.2564969	0.7500056	0.60197835	0.001427764	4	0.02945740525	0.02278215925	0.06178753325	0	0.0003535166125	0	0.7932406775	0.511082705	0.9891779	0.975588985	0.019664597	60
ENSG00000123243.10	0.35330745	0.32949295	0.49611545	0.46139135	0.0073178055	22	0.06397477925	0.055550276	0.02251306075	0.003483090825	0.0003993082475	1	0.7083358925	0.6275757525	0.9754611375	0.97349444	0.08105030475	245
ENSG00000151655.13	0.14798095	0.1413281	0.5032877	0.47704385	0.01604251	48	0.0085427853	0.00829663775	0.02468228875	0.02245404075	0.002303087775	6	0.4660538225	0.4237620225	0.978008655	0.97522703	0.04751097025	138.025
ENSG00000151657.6	0.088212585	0.06722062	0.53577425	0.38940215	0.004426698	12	0.003379973325	0.0023899664	0.026622057	0	0.000385950155	0	0.436598834999999	0.27482611	0.9814262225	0.967090865	0.08704964825	247
ENSG00000165629.15	0.1649329	0.14578905	0.4926836	0.4113934	0.011347155	33	0.00963423395	0.00791250395	0.02583310975	0	0.000421441155	0	0.532777345	0.431821515	0.9728054275	0.9660198525	0.0413073335	120
ENSG00000165632.7	0.08754851	0.071964865	0.52555555	0.4024451	0.0078662295	23	0.003454070575	0.002591163425	0.0239037	0	0.0003790214	0	0.4252688825	0.277964717499999	0.978541085	0.96480409	0.02068820425	60
ENSG00000107485.11	0.1469856	0.104571	0.6413235	0.4151172	0.001667126	4	0.006938850975	0.004280537475	0.04073611275	0	0.000394255955	0	0.5684092525	0.32806123	0.98646878	0.97362442	0.011925178	33
ENSG00000048740.12	0.085091945	0.05937015	0.54118905	0.34882985	0.0034596145	9	0.003158588325	0.002227286275	0.023090703	0	0.00042873433	0	0.47086423	0.2607014425	0.9810041625	0.95820804	0.01921403	52
ENSG00000148429.9	0.12484735	0.1022809	0.521426	0.4169384	0.01382698	36	0.00435305435	0.00357402875	0.02580817175	0	0.00047722434	0	0.49350635	0.37112845	0.9777465375	0.9635861925	0.04330833775	107
ENSG00000134463.10	0.4533734	0.415495	0.74413595	0.7325825	0.007765322	17	0.1482123275	0.1529111425	0.1129749625	0.107592545	0.002204224125	4	0.7683838925	0.682952075	0.9890928	0.9868157	0.02180953725	45
ENSG00000148426.8	0.1469181	0.13480055	0.52687595	0.49719165	0.035859475	82	0.00777067495	0.00749426385	0.0267875855	0.0167469555	0.001568713425	2	0.497992739999999	0.420081649999999	0.9800711225	0.9774112575	0.0730193535	159
