gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.037475595	0.020864085	0.5965729	0.3196767	0.004596128	4	0.001595400425	0.0008055074	0.034955557	0	0.001024206225	0	0.35071598	0.087185448	0.98766466	0.952989105	0.018962929	22
ENSG00000151240.11	0.099563705	0.09049187	0.5282951	0.52698095	0.10472155	187	0.0143420755	0.0134944185	0.024004549	0.0263915695	0.030373798	57	0.2483678075	0.2108086925	0.9820091475	0.98019443	0.1717139125	298
ENSG00000180525.9	0.03957642	0.01463802	0.6780478	0.061231925	0.00090723765	1	0.001414853	0.00055129612	0.04310987375	0	0.0005795958275	0	0.5110560975	0.0682705172499999	0.9952257475	0.9333842	0.0073861148	14
ENSG00000107929.9	0.02453011	0.01969666	0.5505037	0.428687	0.0080036	17	0.0012071329	0.0008528424025	0.02761997425	0	0.00088655147	0	0.1875846275	0.0871679127499999	0.983297355	0.9676118325	0.02714108125	63
ENSG00000107937.14	0.16593045	0.11754835	0.45933745	0.092688265	0.001083541	2	0.04401468825	0.03764699025	0.0227493145	0	0.0004418025625	0	0.603711864999999	0.2247198375	0.9465960025	0.812561102499999	0.01012018625	23.0249999999996
ENSG00000148377.5	0.03579095	0.021897815	0.6144994	0.2912643	0.0016986985	4	0.00140862935	0.0009258932	0.0303203165	0	0.0004536268375	0	0.32736302	0.0878150705	0.9872466875	0.9563154725	0.0292315525	67
ENSG00000067064.6	0.03696589	0.026360855	0.544291	0.3537012	0.006791757	16	0.001327179825	0.0010056995	0.02964228175	0	0.0004653831125	0	0.321208309999999	0.104780845	0.98377921	0.9540724	0.03485863425	78
ENSG00000047056.10	0.030307645	0.02702152	0.4952911	0.42011485	0.023284575	59	0.0014199654	0.001208919	0.0189155695	0	0.0004404252675	0	0.1680534775	0.09847850175	0.97683175	0.9711162975	0.04064349875	99
ENSG00000185736.11	0.395674	0.59191795	0.93939465	0.9743786	0.000461357	1	0.1539483075	0.5204566975	0.66510576	0.9034717	0.0002919926325	1	0.7724864	0.6529098	0.997199	0.9986178	0.0007029537	3
ENSG00000067057.11	0.13398785	0.1302793	0.7336217	0.72044595	0.023574955	78	0.0251444975	0.02696354425	0.06929794625	0.06187992525	0.0009968086325	3	0.32434621	0.246858295	0.9906991475	0.9904619425	0.06384668075	217.025
ENSG00000107959.11	0.034010505	0.02843481	0.5054623	0.4288956	0.005690305	18	0.001299335725	0.001122913675	0.02545418175	0.002499258175	0.00050804751	1	0.1898649775	0.123087195	0.9753151	0.9628093925	0.01269544475	40
ENSG00000067082.10	0.06935559	0.04345369	0.5123167	0.1722908	0.001120208	3	0.00341953545	0.002004170925	0.024816493	0	0.0003544870875	0	0.453150762499999	0.1452171725	0.9785629725	0.933260095	0.0110225205	31
ENSG00000165568.13	0.06689879	0.05246687	0.50264385	0.34660165	0.004135159	12	0.004270210825	0.0031385534	0.0252508845	0	0.00041189347	0	0.334464925	0.1589931025	0.97436558	0.9549341175	0.03887248225	115
ENSG00000187134.8	0.25235395	0.2175394	0.9016649	0.8847054	0.0005084878	2	0.08038209625	0.138942295	0.5156524225	0.6397456975	0.000358439	1	0.6611166	0.3189979	0.9966065	0.9943072025	0.000983550147499998	4
ENSG00000151632.12	0.07184934	0.058840285	0.6243834	0.46725805	0.004147141	12	0.005481830875	0.00409569815	0.03891493875	0	0.0004032721725	0	0.412858935	0.16837651	0.98475397	0.97276332	0.04590216625	122
ENSG00000196139.7	0.067496165	0.03725053	0.6103046	0.1575077	0.00083979485	2	0.003659586325	0.0019544889	0.03319472	0	0.00036815712	0	0.47899834	0.117946315	0.9843582325	0.9313149325	0.0101128004999999	30
ENSG00000198610.6	0.033607985	0.01354329	0.6982327	0.1566964	0.00076258075	2	0.000930719925	0.0005045454	0.04023736	0	0.00038261453	0	0.4735772	0.0711796039999999	0.99567058	0.9415311775	0.00323870202499999	10
ENSG00000178473.5	0.073759235	0.05280105	0.50041185	0.17709555	0.001390809	3	0.006490509675	0.004382946625	0.024893424	0	0.0003933711025	0	0.4407532825	0.1458025925	0.9756710775	0.9396091775	0.0188426105	45
ENSG00000178462.7	0.06306188	0.036266135	0.60065715	0.2004297	0.00086325945	2	0.0028765924	0.001213159225	0.0344375255	0	0.0003875732975	0	0.4472298725	0.136505385	0.98598802	0.9492408775	0.00852667052499999	23
ENSG00000173848.14	0.081882985	0.08428458	0.50161475	0.5024314	0.061472625	168	0.01739985675	0.0178107335	0.02694523375	0.02379427625	0.02169890825	60	0.1930274625	0.18282818	0.980065795	0.98156522	0.1125652375	296
ENSG00000178372.6	0.025238325	0.021014425	0.5227786	0.41975155	0.005023149	14	0.000796382515	0.00068108558	0.02223555	0.007267151275	0.00097087242	1	0.1628716	0.09572939	0.9760324225	0.9677133525	0.01964476475	50
