gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
FAM118A	1	0.0888798963005503	84	0.0196764341134831	30	0.91139870628239	0
PVRL2	1	0.0942350553981612	95	0.0110861081383436	56	0.905836229867157	0
PEX6	1	0.102557658126435	75	0.0288510531466662	6	0.898220685397427	0
ACCS	1	0.101835766402364	96	0.0109181927503031	88	0.898129843990239	0
XRRA1	1	0.103359919727246	81	0.0228902056799316	14	0.89705601979181	0
FADS2	1	0.119495799942975	81	0.0226084943320388	19	0.880853645494691	0
CCDC163P	1	0.123817928300251	85	0.0188206397779693	17	0.876369573004185	0
CPNE1	1	0.124125178328518	40	0.0248452975838518	11	0.876242939898348	0
CLEC12A	1	0.123825264947433	90	0.0148839912547515	56	0.876213614416312	0
HLA-DQB1	1	0.126703816217146	47	0.0115205044245905	49	0.873425042694323	0
IGHMBP2	1	0.129790927939361	72	0.0340265924503004	12	0.871181470416784	0
ERAP2	1	0.132864949697491	72	0.0342799179801596	4	0.86815896149049	0
C22orf32	1	0.135450803142708	72	0.0342343217578314	5	0.865564686549433	0
TREML4	1	0.138082475008944	79	0.024538602047911	24	0.862251051318244	0
CHURC1	1	0.140052793170436	73	0.0325051765931268	10	0.860721947323984	0
LDHC	1	0.141525258103086	77	0.0270497444146741	11	0.858921592647852	0
HLA-DRB5	1	0.143282084764943	58	0.00344698331762959	107	0.856569995376068	0
C17orf97	1	0.143811460223323	40	0.0245697754692165	19	0.856543938933793	0
SPATA20	1	0.143486328759497	93	0.0126043726632709	63	0.856431646525041	0
NT5C3L	1	0.146475511074971	81	0.0219311977067748	16	0.853865083429815	0
SLC12A1	1	0.148859436605522	88	0.0161406326770609	41	0.851052805911918	0
DDX11	1	0.153722832863653	80	0.0233089712558736	35	0.846599111361828	0
LCN8	1	0.155694164232083	39	0.0267789692636261	12	0.844767106487081	0
GBP3	1	0.156263302090568	77	0.0267711888355721	13	0.844185066530054	0
RPS28	1	0.161975941753051	75	0.0292807726741233	9	0.838665737275817	0
CYP26B1	1	0.162405159026612	71	0.0353335840010685	6	0.838386304392336	0
FN3KRP	1	0.162657102994132	43	0.0152253454433816	36	0.837610015583332	0
ERAP1	1	0.16495293805918	70	0.0316952772825184	19	0.83653131199228	0
