"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.02273716	0.2060625	"cross-tissue_exp"	"0.001232109-0.0752410184999999"	"0-0.95583094"
"ENSG00000151240.11"	0.0472348	0.1747883	"cross-tissue_exp"	"0.003030635-0.136342295"	"0-0.9141104375"
"ENSG00000180525.9"	0.018606685	0.48279825	"cross-tissue_exp"	"0.0009041117275-0.0740166865"	"0.015784583-0.97384196"
"ENSG00000107929.9"	0.066518025	0.77715935	"cross-tissue_exp"	"0.0146969605-0.14405285"	"0-0.9893731"
"ENSG00000107937.14"	0.1277658	0.6416859	"cross-tissue_exp"	"0.06013977075-0.2224174375"	"0.1062593625-0.9729675525"
"ENSG00000148377.5"	0.021322805	0.077109235	"cross-tissue_exp"	"0.00074780653-0.0784371304999999"	"0-0.9331648875"
"ENSG00000067064.6"	0.035280295	0.2864849	"cross-tissue_exp"	"0.0021147357-0.1164775675"	"0-0.9672687575"
"ENSG00000047056.10"	0.085700865	0.8034802	"cross-tissue_exp"	"0.0324217595-0.1616561025"	"0.105759095-0.992356585"
"ENSG00000185736.11"	0.3875229	0.9184724	"cross-tissue_exp"	"0.3163477-0.46586781"	"0.7773637475-0.994028045"
"ENSG00000067057.11"	0.08931987	0.53451095	"cross-tissue_exp"	"0.02313664325-0.187852795"	"0-0.98170254"
"ENSG00000107959.11"	0.3947172	0.9587171	"cross-tissue_exp"	"0.3186651-0.4658548"	"0.8402888-0.9983914"
"ENSG00000067082.10"	0.031524805	0.1760676	"cross-tissue_exp"	"0.0016083536-0.10109199"	"0-0.9530866275"
"ENSG00000165568.13"	0.29542185	0.9318443	"cross-tissue_exp"	"0.2135735125-0.3889060625"	"0.74383643-0.9974635375"
"ENSG00000187134.8"	0.12676955	0.8945981	"cross-tissue_exp"	"0.069518078-0.199304795"	"0.5802872-0.9962972"
"ENSG00000151632.12"	0.3064444	0.9474065	"cross-tissue_exp"	"0.233884-0.3799819425"	"0.8038961-0.9977572225"
"ENSG00000196139.7"	0.089566505	0.6210969	"cross-tissue_exp"	"0.01933602775-0.176269755"	"0-0.9817376675"
"ENSG00000198610.6"	0.049239955	0.19917015	"cross-tissue_exp"	"0.0070402183-0.118134595"	"0-0.94585131"
"ENSG00000178473.5"	0.01671457	0.3422479	"cross-tissue_exp"	"0.0006851883-0.07012241"	"0-0.962512855"
"ENSG00000178462.7"	0.10744975	0.8070642	"cross-tissue_exp"	"0.036414774-0.20034269"	"0.3434510125-0.991107125"
"ENSG00000173848.14"	0.03212773	0.3151948	"cross-tissue_exp"	"0.0014411559-0.111047095"	"0-0.9543711375"
"ENSG00000178372.6"	0.03613729	0.44084485	"cross-tissue_exp"	"0.001864759675-0.1093204675"	"0-0.9707181725"
"ENSG00000178363.3"	0.028835865	0.49398885	"cross-tissue_exp"	"0.001493974325-0.1020249175"	"0.02710838875-0.9740291625"
"ENSG00000196372.8"	0.21833935	0.1988484	"cross-tissue_exp"	"0.09183716825-0.3490708"	"0-0.7504387725"
"ENSG00000108021.15"	0.03198918	0.47049365	"cross-tissue_exp"	"0.001724915525-0.1130014475"	"0.018675481-0.9700147"
"ENSG00000057608.11"	0.17133935	0.80835605	"cross-tissue_exp"	"0.1008636375-0.2734027775"	"0.5173616-0.987543235"
"ENSG00000134461.11"	0.2093563	0.6975494	"cross-tissue_exp"	"0.1088035125-0.32507396"	"0.37061794-0.97048128"
"ENSG00000134452.14"	0.07126521	0.62268155	"cross-tissue_exp"	"0.0159133825-0.155213435"	"0-0.98360671"
"ENSG00000134470.15"	0.16209145	0.89412935	"cross-tissue_exp"	"0.08972591325-0.246569025"	"0.6290991975-0.9956559"
"ENSG00000134460.11"	0.1598803	0.7006437	"cross-tissue_exp"	"0.083481612-0.2596709725"	"0.329042005-0.9798615525"
"ENSG00000134453.11"	0.01880324	0.43227895	"cross-tissue_exp"	"0.0005304753725-0.08709442325"	"0-0.967075775"
"ENSG00000170525.14"	0.01583369	0.10617525	"cross-tissue_exp"	"0.00052901975-0.0695123707499999"	"0-0.9310330325"
"ENSG00000215244.1"	0.1679764	0.67988395	"cross-tissue_exp"	"0.08797902-0.2647026375"	"0.3554996675-0.9684595625"
"ENSG00000212743.1"	0.2127404	0.4754206	"cross-tissue_exp"	"0.1178426825-0.319398915"	"0.257001285-0.8129400775"
"ENSG00000065675.10"	0.051060635	0.31814505	"cross-tissue_exp"	"0.003609484425-0.1483890875"	"0-0.9480780975"
"ENSG00000198879.7"	0.086894925	0.3996319	"cross-tissue_exp"	"0.010166822775-0.1961677225"	"0-0.9635054175"
"ENSG00000123243.10"	0.05952065	0.28744905	"cross-tissue_exp"	"0.0072969543-0.1454569925"	"0-0.9489336625"
"ENSG00000151655.13"	0.3167092	0.9438239	"cross-tissue_exp"	"0.2391379-0.3918192625"	"0.7541963375-0.998022115"
"ENSG00000151657.6"	0.2076502	0.9056615	"cross-tissue_exp"	"0.141381995-0.289821385"	"0.6039982-0.9961145225"
"ENSG00000165629.15"	0.098883375	0.4811842	"cross-tissue_exp"	"0.02955384025-0.195510375"	"0-0.9696621875"
"ENSG00000165632.7"	0.019738995	0.1854506	"cross-tissue_exp"	"0.0007999659025-0.0751012425"	"0-0.9551845475"
"ENSG00000107485.11"	0.0979754	0.6001558	"cross-tissue_exp"	"0.0181668675-0.2069122475"	"0.0475785265-0.9814597175"
"ENSG00000048740.12"	0.03460761	0.50266405	"cross-tissue_exp"	"0.001862356225-0.1184066575"	"0.0271538055-0.97347663"
"ENSG00000148429.9"	0.04735436	0.4232334	"cross-tissue_exp"	"0.003988444925-0.1354765775"	"0-0.9690412225"
"ENSG00000134463.10"	0.5256507	0.9546709	"cross-tissue_exp"	"0.4570545-0.5813002"	"0.876263755-0.996254935"
"ENSG00000148426.8"	0.08449244	0.4789123	"cross-tissue_exp"	"0.01304943125-0.1937746125"	"0.02260539675-0.9667554975"
"ENSG00000151461.15"	0.08693082	0.2510576	"cross-tissue_exp"	"0.01287955525-0.186390885"	"0-0.92595041"
"ENSG00000181192.7"	0.012128195	0.2053205	"cross-tissue_exp"	"0.0003447937825-0.0611208505"	"0-0.9602609825"
"ENSG00000065665.16"	0.23650105	0.87720015	"cross-tissue_exp"	"0.1559927-0.3286014725"	"0.6606501-0.994676595"
"ENSG00000165609.8"	0.1010201	0.51982125	"cross-tissue_exp"	"0.0336549865-0.189306215"	"0.00037697289-0.97257132"
"ENSG00000151465.9"	0.040182515	0.32913375	"cross-tissue_exp"	"0.00200980955-0.1348286525"	"0-0.9506999875"
"ENSG00000183049.8"	0.1395891	0.85044095	"cross-tissue_exp"	"0.0606921045-0.2484952075"	"0.3309520825-0.9949513"
"ENSG00000151468.9"	0.1127968	0.6732549	"cross-tissue_exp"	"0.0441395775-0.2038009"	"0.03068485875-0.984019305"
"ENSG00000123240.12"	0.044555675	0.4566767	"cross-tissue_exp"	"0.003238362975-0.123114525"	"0-0.97234629"
