"gene"	"R2"
"ZMYND11"	0.000138742220775617
"DIP2C"	0.0162079797509813
"PRR26"	NA
"LARP4B"	0.0359092849434431
"GTPBP4"	0.0636197031015933
"IDI2"	NA
"IDI1"	0.00474321349842748
"WDR37"	0.053130779779838
"ADARB2"	0.361017679899438
"PFKP"	0.0114334902949061
"PITRM1"	0.240799941265906
"KLF6"	0.000743291887948467
"AKR1E2"	0.176120158342316
"AKR1C1"	0.0798356352089335
"AKR1C2"	0.242708718635266
"AKR1C3"	0.0337488413631976
"AKR1C4"	0.00445622399975655
"UCN3"	NA
"TUBAL3"	0.0425375348563699
"NET1"	0.00860508290322443
"CALML5"	0.000378080904465795
"CALML3"	NA
"ASB13"	0.103265682697991
"FAM208B"	NA
"GDI2"	0.10815412334371
"ANKRD16"	0.123574359069068
"FBXO18"	0.0281002135353244
"IL15RA"	0.102710668720147
"IL2RA"	0.080303714706171
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	0.0780457717199895
"DKFZP667F0711"	0.0833662912164368
"PRKCQ"	0.000218102083202751
"SFMBT2"	0.00567255357965369
"ITIH5"	0.00752004345308852
"ITIH2"	0.254858889648826
"KIN"	0.145377955372928
"ATP5C1"	0.0308629265987527
"TAF3"	0.00607067262475748
"GATA3"	0.0196906976363133
"CELF2"	0.0119776418723576
"USP6NL"	NA
"ECHDC3"	0.450931605511134
"PROSER2"	0.012661594937961
"UPF2"	NA
"DHTKD1"	0.000368690381517853
"SEC61A2"	0.18843882702037
"NUDT5"	0.0536065446629654
"CDC123"	NA
"CAMK1D"	0.0846612752395416
"CCDC3"	0.030174626815329
"OPTN"	0.000503917022403705
"MCM10"	0.0504863623487728
"PHYH"	0.157381098293196
"SEPHS1"	0.00978557075440349
"BEND7"	0.0306653263153241
"PRPF18"	0.00835721178604998
"RP11-295P9.3"	0.321535965657708
"FRMD4A"	0.0198555537038851
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	0.0629472537701954
"SUV39H2"	NA
"DCLRE1C"	0.133716653794564
"MEIG1"	NA
"OLAH"	0.0133930350049599
"ACBD7"	0.0892890254504697
"C10orf111"	0.25596881189426
"RPP38"	0.0327225029342907
"NMT2"	0.114689083423514
"FAM171A1"	0.0474823604271153
"ITGA8"	NA
"FAM188A"	0.000296788173516054
"PTER"	0.236506385116507
"C1QL3"	0.735953714087108
"RSU1"	0.31593472564355
"CUBN"	0.209761773665908
"TRDMT1"	0.19883051145316
"VIM"	0.0124631556345164
"ST8SIA6"	0.00280900155508223
"PTPLA"	0.00757583241392931
"STAM"	0.120294683609587
"MRC1L1"	0.238025764019827
"TMEM236"	0.0324140251837742
"MRC1"	0.324837704635861
"SLC39A12"	0.163620715069864
"CACNB2"	0.00337520776164071
"NSUN6"	0.411305658294343
"ARL5B"	0.0187902159063613
"C10orf112"	0.393525872434158
