"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.08080051	0.1855122	"Artery-Tibial_TS"	"0.01379037925-0.193100305"	"0-0.90910721"
"ENSG00000151240.11"	0.016638365	0.23831505	"Artery-Tibial_TS"	"0.000543336735-0.088500122"	"0-0.9518865375"
"ENSG00000180525.9"	0.03015572	0.39258185	"Artery-Tibial_TS"	"0.001213832625-0.1122002225"	"0-0.9743917"
"ENSG00000107929.9"	0.053452335	0.3310905	"Artery-Tibial_TS"	"0.002672014675-0.1730714"	"0-0.95622396"
"ENSG00000107937.14"	0.02987914	0.1918067	"Artery-Tibial_TS"	"0.001158563975-0.130060795"	"0-0.9397298875"
"ENSG00000148377.5"	0.017041135	0.25184585	"Artery-Tibial_TS"	"0.0006125266975-0.09079172475"	"0-0.9579261625"
"ENSG00000067064.6"	0.01687663	0.460969	"Artery-Tibial_TS"	"0.0006078255-0.0810949362499999"	"0.00288533425-0.9740203175"
"ENSG00000047056.10"	0.01520586	0.2888712	"Artery-Tibial_TS"	"0.00065555245-0.0764126652499999"	"0-0.9548086975"
"ENSG00000185736.11"	0.1415079	0.80043895	"Artery-Tibial_TS"	"0.04501894475-0.2675952325"	"0.0073838702-0.9928971275"
"ENSG00000067057.11"	0.031643345	0.42247435	"Artery-Tibial_TS"	"0.00128418605-0.124527185"	"0-0.974190005"
"ENSG00000107959.11"	0.048005655	0.49698885	"Artery-Tibial_TS"	"0.0019482306-0.1680022375"	"0.028211661-0.974986345"
"ENSG00000067082.10"	0.075208655	0.22241785	"Artery-Tibial_TS"	"0.00571875845-0.2143412525"	"0-0.936078835"
"ENSG00000165568.13"	0.04097926	0.24811065	"Artery-Tibial_TS"	"0.001671195425-0.1456023275"	"0-0.95095361"
"ENSG00000187134.8"	0.020386075	0.20478825	"Artery-Tibial_TS"	"0.0006750568575-0.10040905"	"0-0.9528301875"
"ENSG00000151632.12"	0.035798345	0.50107055	"Artery-Tibial_TS"	"0.001572312-0.1430071525"	"0.02621403325-0.9725258625"
"ENSG00000196139.7"	0.061901425	0.20944145	"Artery-Tibial_TS"	"0.00347234605-0.183464405"	"0-0.94077891"
"ENSG00000198610.6"	0.072385405	0.3324493	"Artery-Tibial_TS"	"0.0062435995-0.189013795"	"0-0.9503448725"
"ENSG00000178473.5"	0.02747068	0.1337414	"Artery-Tibial_TS"	"0.0008677458-0.118910335"	"0-0.93731017"
"ENSG00000178462.7"	0.08059069	0.48200345	"Artery-Tibial_TS"	"0.0056108271-0.1888327125"	"0-0.9754071"
"ENSG00000173848.14"	0.02354995	0.51570295	"Artery-Tibial_TS"	"0.0009092068-0.120031185"	"0.02642438-0.9771929275"
"ENSG00000178372.6"	0.025759425	0.3876835	"Artery-Tibial_TS"	"0.0010330172-0.11827658"	"0-0.9566577325"
"ENSG00000178363.3"	0.02562969	0.3891471	"Artery-Tibial_TS"	"0.0010859485-0.1254891"	"0-0.968307655"
"ENSG00000196372.8"	0.03862219	0.46652385	"Artery-Tibial_TS"	"0.00198667865-0.139971835"	"0-0.9754996825"
"ENSG00000108021.15"	0.0389842	0.3749777	"Artery-Tibial_TS"	"0.001864675125-0.1495387225"	"0-0.958588775"
"ENSG00000057608.11"	0.2147173	0.1464885	"Artery-Tibial_TS"	"0.08713650525-0.353681785"	"0-0.7156778925"
"ENSG00000134461.11"	0.028588305	0.32820295	"Artery-Tibial_TS"	"0.001134166875-0.1204342175"	"0-0.9561221825"
"ENSG00000134452.14"	0.031660495	0.4632355	"Artery-Tibial_TS"	"0.0014194284-0.1304426675"	"0.004396841975-0.97653042"
"ENSG00000134470.15"	0.071869155	0.53607585	"Artery-Tibial_TS"	"0.00329725775-0.2071180225"	"0-0.9804934375"
"ENSG00000134460.11"	0.046029415	0.38406555	"Artery-Tibial_TS"	"0.00227968215-0.161647745"	"0-0.9651914475"
"ENSG00000134453.11"	0.025854905	0.3923352	"Artery-Tibial_TS"	"0.00101092-0.1070797975"	"0-0.967840685"
"ENSG00000170525.14"	0.058770625	0.36101835	"Artery-Tibial_TS"	"0.003821497275-0.18012389"	"0-0.9604074275"
"ENSG00000215244.1"	0.04208843	0.31187965	"Artery-Tibial_TS"	"0.00196764865-0.16235775"	"0-0.9599599525"
"ENSG00000212743.1"	0.04443337	0.46777685	"Artery-Tibial_TS"	"0.0017475007-0.1580048"	"0.0232473965-0.9729453675"
"ENSG00000065675.10"	0.063184965	0.38520345	"Artery-Tibial_TS"	"0.003961860675-0.1863258325"	"0-0.9646682725"
"ENSG00000198879.7"	0.05971424	0.48492715	"Artery-Tibial_TS"	"0.00340998905-0.191108985"	"0.02492809175-0.971609595"
"ENSG00000123243.10"	0.04935126	0.4043372	"Artery-Tibial_TS"	"0.001931556375-0.1768418575"	"0-0.9670339"
"ENSG00000151655.13"	0.02476982	0.2172208	"Artery-Tibial_TS"	"0.00065116331-0.107274955"	"0-0.9471539375"
"ENSG00000151657.6"	0.018907325	0.13752245	"Artery-Tibial_TS"	"0.0005441006525-0.0925176529999999"	"0-0.94480084"
"ENSG00000165629.15"	0.06495567	0.3214518	"Artery-Tibial_TS"	"0.003280464675-0.2016752525"	"0-0.9564611325"
"ENSG00000165632.7"	0.094771545	0.4966711	"Artery-Tibial_TS"	"0.010477386-0.2370208125"	"0.02603812225-0.9768870025"
"ENSG00000107485.11"	0.096958265	0.4633311	"Artery-Tibial_TS"	"0.0124175785-0.22840218"	"0-0.9672015225"
"ENSG00000048740.12"	0.015780455	0.4901632	"Artery-Tibial_TS"	"0.0004586403775-0.0820478667499998"	"0.0251976915-0.9702883925"
"ENSG00000148429.9"	0.045447875	0.35030375	"Artery-Tibial_TS"	"0.00186617685-0.16905783"	"0-0.9696465325"
"ENSG00000134463.10"	0.1519345	0.61754855	"Artery-Tibial_TS"	"0.0416261515-0.29213664"	"0.004739564-0.97986487"
"ENSG00000148426.8"	0.04292428	0.4557746	"Artery-Tibial_TS"	"0.002545557125-0.1488802925"	"0.02192083875-0.96803595"
"ENSG00000151461.15"	0.0505991	0.46688125	"Artery-Tibial_TS"	"0.00321183865-0.1607705325"	"0.0219399-0.97399135"
"ENSG00000181192.7"	0.054776295	0.3754684	"Artery-Tibial_TS"	"0.003096543925-0.15839224"	"0-0.96993572"
"ENSG00000065665.16"	0.07660511	0.3754908	"Artery-Tibial_TS"	"0.00493589735-0.223699245"	"0-0.95400606"
"ENSG00000165609.8"	0.076530845	0.46221475	"Artery-Tibial_TS"	"0.007659878175-0.193236165"	"0.000190364800000001-0.97159143"
"ENSG00000151465.9"	0.03965771	0.2859379	"Artery-Tibial_TS"	"0.001797557025-0.149648345"	"0-0.9556550925"
"ENSG00000183049.8"	0.042735005	0.16416955	"Artery-Tibial_TS"	"0.001634363-0.144141235"	"0-0.9380266275"
"ENSG00000151468.9"	0.043586695	0.4756722	"Artery-Tibial_TS"	"0.002102271-0.1520521225"	"0.01611651325-0.9747458"
"ENSG00000123240.12"	0.04933705	0.4207212	"Artery-Tibial_TS"	"0.002702943275-0.1633515025"	"0-0.9708724975"
"ENSG00000065328.12"	0.03854587	0.29355865	"Artery-Tibial_TS"	"0.001373347575-0.1396804675"	"0-0.96161922"
"ENSG00000107537.9"	0.05807985	0.24159195	"Artery-Tibial_TS"	"0.002833190075-0.1800362575"	"0-0.947786799999999"
"ENSG00000086475.10"	0.048069925	0.4848842	"Artery-Tibial_TS"	"0.002215219475-0.17106717"	"0.00435993825-0.9705828525"
"ENSG00000165626.12"	0.074328675	0.33582545	"Artery-Tibial_TS"	"0.007047208875-0.19161159"	"0-0.96334897"
"ENSG00000165630.9"	0.027128075	0.2502455	"Artery-Tibial_TS"	"0.00104141875-0.1168772325"	"0-0.94333274"
"ENSG00000239665.3"	0.0405481	0.3505398	"Artery-Tibial_TS"	"0.00116221675-0.153540685"	"0-0.9678042725"
"ENSG00000151474.15"	0.040913905	0.4952596	"Artery-Tibial_TS"	"0.001474340875-0.157049075"	"0.02639384975-0.972173655"
"ENSG00000065809.9"	0.26766745	0.8306216	"Artery-Tibial_TS"	"0.1614275975-0.3894147525"	"0.393654215-0.991965775"
"ENSG00000185267.5"	0.07777466	0.1377571	"Artery-Tibial_TS"	"0.0062836784-0.1984295725"	"0-0.9190960275"
"ENSG00000187522.9"	0.03353376	0.12632905	"Artery-Tibial_TS"	"0.00132363215-0.135587965"	"0-0.91666461"
