"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.030922795	0.5156503	"Heart-LeftVentricle_TS"	"0.000821557635-0.156981055"	"0.03185299225-0.9743880375"
"ENSG00000151240.11"	0.10079645	0.50430095	"Heart-LeftVentricle_TS"	"0.00872495455-0.265376905"	"0.011458877-0.9719752725"
"ENSG00000180525.9"	0.031556525	0.38924785	"Heart-LeftVentricle_TS"	"0.001012910225-0.16841435"	"0-0.9665829275"
"ENSG00000107929.9"	0.034360825	0.1028413	"Heart-LeftVentricle_TS"	"0.0012581379-0.1471194025"	"0-0.91995448"
"ENSG00000107937.14"	0.0342307	0.29756915	"Heart-LeftVentricle_TS"	"0.001188236175-0.1482951225"	"0-0.956248915"
"ENSG00000148377.5"	0.08606191	0.4390837	"Heart-LeftVentricle_TS"	"0.005228462775-0.25884318"	"0.0066514335-0.96850417"
"ENSG00000067064.6"	0.027378185	0.52321545	"Heart-LeftVentricle_TS"	"0.001022705425-0.1253377425"	"0.023578171-0.9739938"
"ENSG00000047056.10"	0.07506035	0.47193745	"Heart-LeftVentricle_TS"	"0.00242391055-0.2316023525"	"0-0.9794583475"
"ENSG00000185736.11"	0.06906707	0.50282185	"Heart-LeftVentricle_TS"	"0.003157206325-0.2200978075"	"0.024627113-0.9758868"
"ENSG00000067057.11"	0.08664112	0.4235193	"Heart-LeftVentricle_TS"	"0.0038332954-0.251259285"	"0-0.968698335"
"ENSG00000107959.11"	0.10422115	0.43232955	"Heart-LeftVentricle_TS"	"0.0060214816-0.31635122"	"0-0.96906038"
"ENSG00000067082.10"	0.073590095	0.2638931	"Heart-LeftVentricle_TS"	"0.0037492999-0.2280458075"	"0-0.9639782975"
"ENSG00000165568.13"	0.078043565	0.46281915	"Heart-LeftVentricle_TS"	"0.005307260125-0.22188744"	"0-0.971751095"
"ENSG00000187134.8"	0.07394398	0.4851931	"Heart-LeftVentricle_TS"	"0.005563737575-0.213796395"	"0.02204767575-0.9754750325"
"ENSG00000151632.12"	0.075211555	0.43024255	"Heart-LeftVentricle_TS"	"0.004478671075-0.22186884"	"0-0.9719716475"
"ENSG00000196139.7"	0.048233795	0.53436225	"Heart-LeftVentricle_TS"	"0.002482517325-0.17291602"	"0.02626465175-0.978173935"
"ENSG00000198610.6"	0.0260737	0.3609376	"Heart-LeftVentricle_TS"	"0.000878822395-0.1184474675"	"0-0.9726012"
"ENSG00000178473.5"	0.087141215	0.44325035	"Heart-LeftVentricle_TS"	"0.004935683175-0.2590064125"	"0-0.9699890225"
"ENSG00000178462.7"	0.29544455	0.8422942	"Heart-LeftVentricle_TS"	"0.14529548-0.4614145"	"0.297800005-0.99259701"
"ENSG00000173848.14"	0.065970535	0.3832906	"Heart-LeftVentricle_TS"	"0.003441659075-0.210224695"	"0-0.96507487"
"ENSG00000178372.6"	0.02348499	0.2319708	"Heart-LeftVentricle_TS"	"0.00068824365-0.11495566"	"0-0.9571093325"
"ENSG00000178363.3"	0.055831325	0.4978369	"Heart-LeftVentricle_TS"	"0.00245231915-0.198404515"	"0.02694678625-0.976219325"
"ENSG00000196372.8"	0.03869645	0.42401765	"Heart-LeftVentricle_TS"	"0.001510325025-0.164846335"	"0.0005440396-0.97012553"
"ENSG00000108021.15"	0.03950552	0.47848485	"Heart-LeftVentricle_TS"	"0.001605515-0.1813753975"	"0.02603150725-0.972037895"
"ENSG00000057608.11"	0.033804975	0.45026945	"Heart-LeftVentricle_TS"	"0.00136624455-0.156988805"	"0-0.975653935"
"ENSG00000134461.11"	0.06948656	0.3969642	"Heart-LeftVentricle_TS"	"0.0031098429-0.2314785575"	"0-0.9656534725"
"ENSG00000134452.14"	0.045666295	0.44953955	"Heart-LeftVentricle_TS"	"0.0017139477-0.183760145"	"0.00764174395-0.970557735"
"ENSG00000134470.15"	0.04282225	0.2498499	"Heart-LeftVentricle_TS"	"0.001554346725-0.1620150525"	"0-0.9543667"
"ENSG00000134460.11"	0.02865622	0.3456381	"Heart-LeftVentricle_TS"	"0.00109537655-0.1263177325"	"0-0.96629937"
"ENSG00000134453.11"	0.08909823	0.34022265	"Heart-LeftVentricle_TS"	"0.004036181375-0.28836083"	"0-0.9604026575"
"ENSG00000170525.14"	0.1786479	0.4390676	"Heart-LeftVentricle_TS"	"0.0188746775-0.3674565"	"0.0008636290275-0.9651634575"
"ENSG00000215244.1"	0.055908785	0.26029275	"Heart-LeftVentricle_TS"	"0.003155304625-0.200444585"	"0-0.9468783"
"ENSG00000212743.1"	0.0735087	0.39603815	"Heart-LeftVentricle_TS"	"0.0026707955-0.2676444075"	"0-0.9692289575"
"ENSG00000065675.10"	0.08176832	0.3894702	"Heart-LeftVentricle_TS"	"0.003909924525-0.254337585"	"0-0.95600498"
"ENSG00000198879.7"	0.098562365	0.4951642	"Heart-LeftVentricle_TS"	"0.00583118755-0.283169295"	"0.02502007725-0.97379008"
"ENSG00000123243.10"	0.034266355	0.4122242	"Heart-LeftVentricle_TS"	"0.001262423-0.149882615"	"0-0.9679315475"
"ENSG00000151655.13"	0.07204251	0.2639769	"Heart-LeftVentricle_TS"	"0.003737981425-0.2399911575"	"0-0.95070526"
"ENSG00000151657.6"	0.044156315	0.44999115	"Heart-LeftVentricle_TS"	"0.00223628415-0.1964400425"	"0.01708428125-0.96523028"
"ENSG00000165629.15"	0.06375084	0.25948315	"Heart-LeftVentricle_TS"	"0.002030731125-0.2208066"	"0-0.9627584525"
"ENSG00000165632.7"	0.08396199	0.4612073	"Heart-LeftVentricle_TS"	"0.00480918235-0.25216943"	"0-0.97151855"
"ENSG00000107485.11"	0.064611305	0.4634837	"Heart-LeftVentricle_TS"	"0.003552621-0.201710705"	"0.02007974875-0.9736933475"
"ENSG00000048740.12"	0.04755488	0.4800012	"Heart-LeftVentricle_TS"	"0.002200948-0.1825815975"	"0.013766802-0.9717255525"
"ENSG00000148429.9"	0.10909695	0.51639955	"Heart-LeftVentricle_TS"	"0.007731998475-0.3027813375"	"0.000204014530000001-0.97678384"
"ENSG00000134463.10"	0.251454	0.80352535	"Heart-LeftVentricle_TS"	"0.08744229025-0.4051458075"	"0-0.9923051825"
"ENSG00000148426.8"	0.02741751	0.23637485	"Heart-LeftVentricle_TS"	"0.000917405915-0.1294789375"	"0-0.953616"
"ENSG00000151461.15"	0.04311927	0.49174565	"Heart-LeftVentricle_TS"	"0.001411934-0.1855114725"	"0.023089075-0.9722650375"
"ENSG00000181192.7"	0.06096765	0.50877395	"Heart-LeftVentricle_TS"	"0.002500980175-0.2276631"	"0.02481869425-0.976239935"
"ENSG00000065665.16"	0.04374009	0.49499525	"Heart-LeftVentricle_TS"	"0.00184299285-0.1972077025"	"0.02720784175-0.971852055"
"ENSG00000165609.8"	0.1630922	0.315099	"Heart-LeftVentricle_TS"	"0.02250734525-0.364166595"	"0-0.944431555"
"ENSG00000151465.9"	0.05161456	0.4651659	"Heart-LeftVentricle_TS"	"0.002331517-0.2070671325"	"0.00897388835-0.9707519075"
"ENSG00000183049.8"	0.297245	0.31661815	"Heart-LeftVentricle_TS"	"0.08832518075-0.502384225"	"0-0.949674495"
"ENSG00000151468.9"	0.03173892	0.2589396	"Heart-LeftVentricle_TS"	"0.001234171925-0.1513630175"	"0-0.963355275"
"ENSG00000123240.12"	0.062648705	0.24849195	"Heart-LeftVentricle_TS"	"0.00257153845-0.23508963"	"0-0.94298669"
"ENSG00000065328.12"	0.04750327	0.4749366	"Heart-LeftVentricle_TS"	"0.00189890665-0.19770418"	"0.0208669045-0.9721456375"
"ENSG00000107537.9"	0.12778025	0.48107785	"Heart-LeftVentricle_TS"	"0.0124776925-0.3145183"	"0.01839994325-0.9751036125"
"ENSG00000086475.10"	0.04656991	0.5086019	"Heart-LeftVentricle_TS"	"0.0020416224-0.208808595"	"0.02270433475-0.9751270625"
"ENSG00000165626.12"	0.093295145	0.22270115	"Heart-LeftVentricle_TS"	"0.008773973525-0.2423280575"	"0-0.9365654425"
"ENSG00000165630.9"	0.05511489	0.14822465	"Heart-LeftVentricle_TS"	"0.00203165385-0.1890093875"	"0-0.936409545"
"ENSG00000239665.3"	0.07827111	0.3197426	"Heart-LeftVentricle_TS"	"0.00424527685-0.23736091"	"0-0.9592735025"
"ENSG00000151474.15"	0.23701595	0.4051223	"Heart-LeftVentricle_TS"	"0.063198294-0.44275816"	"0.019318206-0.96038927"
"ENSG00000065809.9"	0.11833585	0.31666875	"Heart-LeftVentricle_TS"	"0.010067661-0.30121205"	"0-0.9571474775"
"ENSG00000185267.5"	0.021171075	0.3439817	"Heart-LeftVentricle_TS"	"0.0008284381-0.1084819"	"0-0.9656382375"
"ENSG00000187522.9"	0.1035452	0.50451385	"Heart-LeftVentricle_TS"	"0.00658970525-0.2969852075"	"0.03116405325-0.97628709"
"ENSG00000152455.11"	0.021472405	0.2004945	"Heart-LeftVentricle_TS"	"0.0006349395075-0.1121799725"	"0-0.951296175"
"ENSG00000152457.13"	0.045559705	0.2480612	"Heart-LeftVentricle_TS"	"0.0015476184-0.182191195"	"0-0.952159"
"ENSG00000197889.5"	0.0467644	0.24346665	"Heart-LeftVentricle_TS"	"0.001434232-0.2188843025"	"0-0.952405195"
"ENSG00000152463.10"	0.02321743	0.1874134	"Heart-LeftVentricle_TS"	"0.0007817418-0.1219994975"	"0-0.9529793075"
"ENSG00000176244.6"	0.080393835	0.4858573	"Heart-LeftVentricle_TS"	"0.006323708175-0.232613775"	"0.0240171935-0.970983565"
"ENSG00000176236.4"	0.12857715	0.46476965	"Heart-LeftVentricle_TS"	"0.009233611875-0.3331768075"	"0.02389146075-0.9670652375"
"ENSG00000152464.10"	0.07341457	0.45635075	"Heart-LeftVentricle_TS"	"0.004508715075-0.2145099275"	"0.0173334085-0.9666857775"
"ENSG00000152465.13"	0.029438165	0.3611937	"Heart-LeftVentricle_TS"	"0.001119888-0.1272398275"	"0-0.9659922825"
"ENSG00000148468.12"	0.044638255	0.32674455	"Heart-LeftVentricle_TS"	"0.00185655025-0.1736880925"	"0-0.9722874625"
"ENSG00000077943.7"	0.034943495	0.3481188	"Heart-LeftVentricle_TS"	"0.00162449-0.16558566"	"0-0.9616585525"
"ENSG00000148481.9"	0.06762229	0.45956175	"Heart-LeftVentricle_TS"	"0.004349246125-0.1970938375"	"0-0.979524705"
"ENSG00000165983.10"	0.09142996	0.44234535	"Heart-LeftVentricle_TS"	"0.005862151125-0.2673608275"	"0.01689015625-0.96737813"
