"gene"	"R2"
"ZMYND11"	0.00593962378111145
"DIP2C"	NA
"PRR26"	NA
"LARP4B"	NA
"GTPBP4"	NA
"IDI2"	NA
"IDI1"	NA
"WDR37"	NA
"ADARB2"	0.0512862484146459
"PFKP"	0.0218235618853646
"PITRM1"	NA
"KLF6"	0.0080099259455808
"AKR1E2"	NA
"AKR1C1"	NA
"AKR1C2"	0.0051143504750867
"AKR1C3"	0.00399274900966256
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	0.0297888133803273
"NET1"	0.00253039314114412
"CALML5"	NA
"CALML3"	NA
"ASB13"	0.000528419463506493
"FAM208B"	NA
"GDI2"	0.0185114273568328
"ANKRD16"	NA
"FBXO18"	NA
"IL15RA"	0.0394151315773491
"IL2RA"	NA
"RBM17"	NA
"PFKFB3"	0.00461359946763773
"AL137145.1"	0.00236168300364513
"DKFZP667F0711"	NA
"PRKCQ"	NA
"SFMBT2"	0.0357362192256547
"ITIH5"	NA
"ITIH2"	NA
"KIN"	NA
"ATP5C1"	0.0034672145243922
"TAF3"	NA
"GATA3"	0.00865692466533302
"CELF2"	NA
"USP6NL"	0.0175566096220311
"ECHDC3"	0.0205569214096575
"PROSER2"	NA
"UPF2"	NA
"DHTKD1"	NA
"SEC61A2"	3.70326655526875e-05
"NUDT5"	0.000587199737045989
"CDC123"	NA
"CAMK1D"	NA
"CCDC3"	2.09541233353207e-05
"OPTN"	NA
"MCM10"	NA
"PHYH"	0.00302425734512266
"SEPHS1"	0.00237391322553632
"BEND7"	0.000182578162434945
"PRPF18"	NA
"RP11-295P9.3"	0.00357850913086218
"FRMD4A"	0.00670289401921427
"FAM107B"	0.224557902330285
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	NA
"DCLRE1C"	NA
"MEIG1"	NA
"OLAH"	NA
"ACBD7"	NA
"C10orf111"	0.0121659751629614
"RPP38"	0.0102287348236184
"NMT2"	0.00842724747582165
"FAM171A1"	NA
"ITGA8"	3.56811113800406e-05
"FAM188A"	NA
"PTER"	0.0391969093697463
"C1QL3"	0.111386033655538
"RSU1"	0.00463810845663028
"CUBN"	3.98439919287478e-07
"TRDMT1"	0.0120747522246286
"VIM"	NA
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	0.00144264497402269
"MRC1L1"	4.00147852762624e-06
"TMEM236"	0.0355159424398867
"MRC1"	0.0331352877264731
"SLC39A12"	0.00579433251628685
"CACNB2"	NA
"NSUN6"	0.0088745955701635
"ARL5B"	0.0487773249014244
"C10orf112"	0.0924706161273423
"PLXDC2"	0.00733088632262491
"NEBL"	NA
"CASC10"	NA
"SKIDA1"	0.0105748227107858
"MLLT10"	0.00720783266816823
"DNAJC1"	NA
"COMMD3"	NA
"BMI1"	0.000485513670463671
"SPAG6"	0.0161908432584775
"PIP4K2A"	0.00400628053543428
"ARMC3"	0.0167785227617184
"MSRB2"	0.000383644175472546
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	0.000236954887334655
"OTUD1"	NA
"KIAA1217"	0.00168828908587103
"ARHGAP21"	NA
"PRTFDC1"	0.0309012720766876
"ENKUR"	0.000892921826672113
"THNSL1"	NA
"GPR158"	NA
"MYO3A"	NA
"GAD2"	0.0244232572427668
"APBB1IP"	0.120545239967827
"PDSS1"	NA
"ABI1"	NA
"ANKRD26"	NA
"YME1L1"	0.0067102846198288
"MASTL"	0.00950004185483531
"ACBD5"	0.0394373713674526
"PTCHD3"	0.00156883183318623
"RAB18"	0.00248281121987743
"MKX"	NA
"ARMC4"	NA
"MPP7"	0.00495292940564945
"WAC"	0.0248332332829141
"BAMBI"	0.00640130394083408
"LYZL1"	NA
"SVIL"	0.0387218542180238
"KIAA1462"	NA
"MTPAP"	0.0173528751026393
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	NA
"ZEB1"	0.0200493645040646
"ARHGAP12"	NA
"KIF5B"	0.0129601866501025
"EPC1"	NA
"CCDC7"	0.00379509755047072
"C10orf68"	NA
"ITGB1"	0.00234798009330209
"NRP1"	0.00336090646430962
"PARD3"	NA
"CUL2"	NA
"CREM"	0.000333335150694062
"CCNY"	NA
"FZD8"	0.00883399979925415
"NAMPTL"	0.000750097891098124
"ANKRD30A"	NA
"ZNF248"	NA
"ZNF25"	NA
"ZNF33A"	NA
"ZNF37A"	0.0110333915499401
"AL133216.1"	NA
"ZNF33B"	NA
"BMS1"	0.0164096973346662
"RET"	NA
"CSGALNACT2"	NA
"RASGEF1A"	NA
"FXYD4"	0.00723657873739484
"HNRNPF"	0.00988036198317126
"ZNF487"	NA
"ZNF239"	0.0106726119124268
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	NA
"RASSF4"	NA
"C10orf10"	NA
"C10orf25"	6.88906818303154e-05
"ZNF22"	0.0695980454763525
"ALOX5"	NA
"MARCH8"	NA
"ZFAND4"	0.0018508909292249
"FAM21C"	0.0106144797877617
"AGAP4"	0.0204047392042558
"SYT15"	0.00272365430791969
"GPRIN2"	0.00892611241162953
"NPY4R"	NA
"ANXA8L1"	NA
"FAM25B"	NA
"AGAP10"	0.00413211334308314
"ANTXRL"	NA
"ANXA8L2"	NA
"AL603965.1"	0.00849365980750172
"FAM21B"	0.00229056351541802
"AGAP9"	NA
"ANXA8"	0.0013347410488115
"ZNF488"	0.02081494882564
"GDF10"	NA
"FAM25C"	NA
"FRMPD2"	0.00281511446828604
"MAPK8"	NA
"ARHGAP22"	0.148361432651892
"WDFY4"	0.00143388593915384
"LRRC18"	0.0150178212879714
"VSTM4"	0.0146278533186002
"FAM170B"	0.0165394572343113
"C10orf128"	NA
"C10orf71"	NA
"ERCC6"	0.00476981595069672
"SLC18A3"	7.32202013557269e-05
"OGDHL"	0.00670060699375353
"PARG"	NA
"FAM21D"	0.00520803378045655
"AGAP8"	0.0831056823068989
"TIMM23B"	0.0191632370068097
"AGAP7"	0.00160194500473021
"MSMB"	NA
"NCOA4"	0.00751170986194904
"TIMM23"	0.021622513973647
"AGAP6"	2.71200383822559e-05
"FAM21A"	NA
"SGMS1"	0.00167118090417932
"AC069547.1"	0.000908266907253322
"ASAH2B"	NA
"A1CF"	0.00445088605215612
"PRKG1"	NA
"CSTF2T"	0.00109095386939513
"DKK1"	NA
"MBL2"	NA
"PCDH15"	NA
"ZWINT"	0.00961926757837045
"IPMK"	NA
"CISD1"	NA
"UBE2D1"	NA
"TFAM"	0.00876900783743412
"BICC1"	0.066678630495491
"PHYHIPL"	0.00257886575144873
"FAM13C"	NA
"SLC16A9"	NA
"CCDC6"	0.0188681584353888
"ANK3"	0.0285069986698468
"CDK1"	0.00185349049378123
"RHOBTB1"	0.000385327067871043
"TMEM26"	0.00435685664598509
"C10orf107"	0.0613736082884766
"ARID5B"	NA
"RTKN2"	NA
"ZNF365"	0.0379905898373652
"ADO"	0.00677044674465664
"EGR2"	NA
"NRBF2"	0.000182226594318987
"JMJD1C"	0.00413934315924954
"REEP3"	0.00985715874500139
"CTNNA3"	0.014923708696593
"LRRTM3"	NA
"DNAJC12"	0.013336460431186
"SIRT1"	0.0171966719486506
"HERC4"	NA
"MYPN"	7.34870034912837e-06
"ATOH7"	0.0270662437104929
"PBLD"	NA
"HNRNPH3"	NA
"RUFY2"	NA
"DNA2"	NA
"SLC25A16"	NA
"TET1"	NA
"CCAR1"	0.0119722873148547
"STOX1"	0.0134156013687641
"DDX50"	NA
"DDX21"	NA
"KIAA1279"	0.00208370141681476
"SRGN"	0.0451024167238908
"VPS26A"	0.000135591190909822
"SUPV3L1"	NA
"HKDC1"	0.00365425687699257
"HK1"	NA
"TACR2"	0.0353749203971988
"TSPAN15"	NA
"C10orf35"	NA
"COL13A1"	NA
"H2AFY2"	NA
"AIFM2"	NA
"TYSND1"	NA
"SAR1A"	0.00279970512799789
"PPA1"	0.145063779177515
"NPFFR1"	0.0162089049854235
"LRRC20"	0.0161947203599649
"EIF4EBP2"	0.0114744565278041
"NODAL"	NA
"PALD1"	0.00181930596914884
"PRF1"	0.00897864984378774
"ADAMTS14"	0.0060394298291156
"TBATA"	NA
"SGPL1"	0.00130853428727801
"PCBD1"	NA
"UNC5B"	0.0341191917795711
"SLC29A3"	NA
"CDH23"	0.0242806400944642
"C10orf105"	0.0156800884015651
"C10orf54"	0.10174773386061
"PSAP"	0.0545638670569125
"CHST3"	NA
"SPOCK2"	0.0157534039725396
"ASCC1"	1.89595526685689e-05
"ANAPC16"	NA
"DDIT4"	0.00135334411777974
"DNAJB12"	0.00537483808667345
"MICU1"	NA
"MCU"	NA
"OIT3"	NA
"PLA2G12B"	NA
"P4HA1"	NA
"NUDT13"	0.00127081039286657
"ECD"	NA
"FAM149B1"	5.83132161453698e-05
"DNAJC9"	0.050509350081318
"MRPS16"	4.3224587610315e-05
