"gene"	"R2"
"ZMYND11"	NA
"DIP2C"	0.0143227871636068
"PRR26"	NA
"LARP4B"	NA
"GTPBP4"	NA
"IDI2"	0.00890853421201195
"IDI1"	NA
"WDR37"	0.0187592542699813
"ADARB2"	1.62875537637889e-06
"PFKP"	0.00334781044404286
"PITRM1"	NA
"KLF6"	0.00679702119402906
"AKR1E2"	0.0214033213330747
"AKR1C1"	0.00161689441418379
"AKR1C2"	0.0214823800844392
"AKR1C3"	0.0017618516524262
"AKR1C4"	0.0212791463796267
"UCN3"	0.0408241733338535
"TUBAL3"	0.101020638830272
"NET1"	0.00785237594057534
"CALML5"	NA
"CALML3"	NA
"ASB13"	NA
"FAM208B"	0.00530001810523519
"GDI2"	0.00718950095162761
"ANKRD16"	4.49456218391218e-05
"FBXO18"	NA
"IL15RA"	NA
"IL2RA"	NA
"RBM17"	0.0282470831222897
"PFKFB3"	0.0238462425277869
"AL137145.1"	NA
"DKFZP667F0711"	NA
"PRKCQ"	NA
"SFMBT2"	NA
"ITIH5"	NA
"ITIH2"	NA
"KIN"	NA
"ATP5C1"	0.0109664499326636
"TAF3"	0.0508581012088178
"GATA3"	NA
"CELF2"	NA
"USP6NL"	0.0264416448784202
"ECHDC3"	0.0917603057356037
"PROSER2"	NA
"UPF2"	NA
"DHTKD1"	0.00264064667577212
"SEC61A2"	NA
"NUDT5"	0.0473240201864843
"CDC123"	0.0041247434154859
"CAMK1D"	0.0231148024492675
"CCDC3"	NA
"OPTN"	0.0252671569521346
"MCM10"	NA
"PHYH"	NA
"SEPHS1"	0.00368478323266987
"BEND7"	NA
"PRPF18"	0.000311379402740854
"RP11-295P9.3"	NA
"FRMD4A"	0.0406171715958341
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	0.00648565546892235
"SUV39H2"	0.00502457936384438
"DCLRE1C"	NA
"MEIG1"	0.0195056306756316
"OLAH"	NA
"ACBD7"	NA
"C10orf111"	0.0282582716206714
"RPP38"	NA
"NMT2"	0.0127508231482502
"FAM171A1"	NA
"ITGA8"	NA
"FAM188A"	0.0119259410220949
"PTER"	NA
"C1QL3"	0.108537150263306
"RSU1"	NA
"CUBN"	0.0126167503911396
"TRDMT1"	NA
"VIM"	0.00230949534002251
"ST8SIA6"	0.00229670757280021
"PTPLA"	NA
"STAM"	0.0998754397518267
"MRC1L1"	NA
"TMEM236"	0.00432203646027732
"MRC1"	0.00962179311006103
"SLC39A12"	NA
"CACNB2"	0.0107698694311039
"NSUN6"	NA
"ARL5B"	NA
"C10orf112"	0.100171646359397
"PLXDC2"	NA
"NEBL"	0.000604475959874921
"CASC10"	NA
"SKIDA1"	0.0363727524907584
"MLLT10"	0.00203955691722315
"DNAJC1"	NA
"COMMD3"	NA
"BMI1"	0.00250715706087645
"SPAG6"	0.0166481287527185
"PIP4K2A"	0.00369323642502352
"ARMC3"	0.00239640400048136
"MSRB2"	NA
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	0.0135342291355055
"OTUD1"	0.0413209575754089
"KIAA1217"	0.00108611795951429
"ARHGAP21"	NA
"PRTFDC1"	NA
"ENKUR"	0.000237657364391734
"THNSL1"	0.0619379433984394
"GPR158"	NA
"MYO3A"	NA
"GAD2"	0.00809847297762893
"APBB1IP"	NA
"PDSS1"	NA
"ABI1"	0.0250524638631549
"ANKRD26"	NA
"YME1L1"	0.0985333761647486
"MASTL"	NA
"ACBD5"	0.0429651432725724
"PTCHD3"	NA
"RAB18"	0.0126277250712147
"MKX"	NA
"ARMC4"	0.0476891298185212
"MPP7"	0.0148462701711989
"WAC"	0.00768036454915242
"BAMBI"	NA
"LYZL1"	NA
"SVIL"	0.0211969432793702
"KIAA1462"	NA
"MTPAP"	0.00198052494080314
"MAP3K8"	NA
