gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000173876.9	0.08712799	0.061538285	0.5340594	0.4051148	0.03389024	27	0.003506659475	0.0021176407	0.02248940825	0	0.0013304989	0	0.4861017675	0.29237562	0.9787644	0.96401994	0.223936535	188.025
ENSG00000015171.14	0.067445	0.04273827	0.54554705	0.3133104	0.006095828	6	0.002968211775	0.001671887	0.02808442875	0	0.00101358745	0	0.4532278925	0.2104484125	0.9828067875	0.9570693475	0.072826516	79
ENSG00000151240.11	0.11123965	0.08616234	0.53260225	0.39266935	0.020886505	34	0.004851227575	0.003716636225	0.02481823475	0	0.0006732407575	0	0.462605939999999	0.31370987	0.98033414	0.9682431575	0.15957092	277
ENSG00000180525.9	0.1077492	0.07454881	0.5544379	0.29031485	0.003062985	5	0.005110888375	0.00293820005	0.0274908605	0	0.0006053851825	0	0.518674357499999	0.2680932525	0.9826872	0.957016675	0.04278503125	71.0249999999996
ENSG00000107929.9	0.2342045	0.1885289	0.6468381	0.52861045	0.003787971	8	0.01962807375	0.0143255215	0.039911965	0	0.0005558977975	0	0.6955866	0.45647998	0.9863575325	0.97932356	0.03607134575	80
ENSG00000205740.1	0.0830598	0.04367641	0.6212712	0.21780005	0.001029074	2	0.002821227	0.001216533	0.0332364885	0	0.00046856652	0	0.525032005	0.23353621	0.9896503075	0.9577312725	0.00646396924999999	13
ENSG00000107937.14	0.39082805	0.3189424	0.8390693	0.80107085	0.0023006145	5	0.0924498105	0.09340131975	0.2635457675	0.2047870075	0.00047586918	1	0.7465569	0.5423332275	0.9948009	0.9922038	0.0128989515	28.0249999999996
ENSG00000148377.5	0.073832925	0.046507455	0.58455235	0.3367305	0.002259719	5	0.00256590755	0.001800391	0.031769663	0	0.0004731713675	0	0.4871696775	0.230439395	0.9880644425	0.95999547	0.021976535	53
ENSG00000067064.6	0.1054074	0.066365655	0.5865978	0.26086175	0.0014460295	3	0.0048954888	0.00254497025	0.02836068375	0	0.0004428447325	0	0.546934079999999	0.25857474	0.9827458475	0.96056277	0.01093241825	25
ENSG00000047056.10	0.1365609	0.10977725	0.5299893	0.3946443	0.003753025	9	0.005925945825	0.00377783635	0.03235760775	0	0.000471690905	0	0.538176915	0.373201205	0.9767649875	0.9645212675	0.020468042	51
ENSG00000185736.11	0.5592227	0.640721	0.8836072	0.91828825	0.0007807397	3	0.2621837225	0.4897985	0.540659	0.7624643775	0.0003283582975	1	0.8423678975	0.7735574	0.9945854	0.995473	0.001591990825	6
ENSG00000067057.11	0.3024209	0.2682896	0.51336085	0.46050175	0.0052849145	17	0.0303068935	0.02641654025	0.02899237425	0	0.0003395461225	0	0.701010232499999	0.5850690275	0.9756460925	0.9723464525	0.056278255	179
