"gene"	"R2"
"FAM118A"	0.899679500744601
"XRRA1"	0.891703686503514
"PEX6"	0.889293209140408
"PVRL2"	0.879536601598959
"CPNE1"	0.878150744333582
"CLEC12A"	0.873784927455376
"CCDC163P"	0.87332070026137
"ACCS"	0.872244764286892
"IGHMBP2"	0.868254287884677
"HLA-DQB1"	0.868044038248248
"ERAP2"	0.862928029678574
"TREML4"	0.860252774231871
"CHURC1"	0.858578983005137
"FADS2"	0.858415838128044
"C22orf32"	0.857596701481291
"LDHC"	0.85215018222388
"SPATA20"	0.849654787456838
"NT5C3L"	0.848738820886451
"DDX11"	0.844542384109614
"SLC12A1"	0.842609173561263
"HLA-DRB5"	0.839830623366826
"GBP3"	0.837491238860665
"CYP26B1"	0.835574519036685
"PAQR6"	0.831500052372229
"RPS28"	0.83141892454474
"ZFP57"	0.830397416316522
"C17orf97"	0.828719677729307
"C4BPA"	0.826284685702006
"C1orf85"	0.825328705130559
"ERAP1"	0.824903803057116
"ENC1"	0.824290772586465
"LCN8"	0.823379900202652
"RPL9"	0.822115098928224
"FN3KRP"	0.821845278995947
"C9orf135"	0.819492887849383
"PADI2"	0.818101414662821
"C22orf34"	0.808620189573843
"ZNF266"	0.805883053702358
"PRUNE2"	0.80463274502967
"CLEC12B"	0.803653929149375
"GRHPR"	0.801674406479867
"GSTM3"	0.800458434749083
"VASH1"	0.79984448158375
"RNASET2"	0.799685030457724
"SLC12A7"	0.799316392601952
"SH3YL1"	0.797428397045616
"ZNF641"	0.79486384703795
"JUP"	0.794371034243627
"B4GALNT3"	0.792615062011191
"FLYWCH1"	0.790711686651673
"UPK3B"	0.789753130199474
"FAM3B"	0.789614668163185
"ATP1A4"	0.789441271278465
"NUDT2"	0.788332619088086
"ARHGEF17"	0.786510944381591
"MFN2"	0.78645035536278
"SIRPB1"	0.785579894504775
"GM2A"	0.78493523817889
"TMEM176B"	0.784671895029148
"ACTA2"	0.784286513473863
"CEACAM21"	0.782839774092894
"TMEM176A"	0.78123779584195
"LYZ"	0.779881892074957
"WBSCR27"	0.77987408821273
"CPSF1"	0.779125389708486
"NBPF3"	0.77892290041328
"MYH11"	0.778223875467065
"ARL16"	0.777882161734966
"PAM"	0.77570509414891
"TAPBPL"	0.774722691136614
"FMN1"	0.773257459133685
"DCTN5"	0.772560794478516
"NKX3-1"	0.772329604575626
"ATOH8"	0.771370228171256
"BTNL3"	0.771324914194451
"PPT1"	0.77117730575407
"BTN3A2"	0.770783256925041
"NFXL1"	0.769727338612607
"NAAA"	0.767976271130871
"RNPEP"	0.766472579321666
"B3GALNT2"	0.765351319924132
"COL18A1"	0.763701254551449
"MAN2C1"	0.762738586363953
"ZFAND2A"	0.762045555898485
"MZT2A"	0.761973946053229
"CD151"	0.761462632608447
"SCGB3A1"	0.761188626146601
"TUFM"	0.759328520627411
"BTNL8"	0.758353128205465
"SMG5"	0.757836354466762
"BEGAIN"	0.757282309356112
"MFSD9"	0.755826306911256
"HIP1"	0.753820262976814
"DGKQ"	0.753175813755953
"APOBEC3B"	0.752358202353632
"TACSTD2"	0.751923603090903
"CHCHD2"	0.749885144889512
"SLC5A11"	0.748171581049372
"NQO2"	0.746074259666884
"CENPK"	0.745469235273158
"HLA-DQA2"	0.745064406883176
"HLA-DRB1"	0.743219100184722
"PPIL3"	0.74081455990965
"CHST13"	0.739794716533173
"FUT10"	0.73668054058377
"ADCK1"	0.735847532031248
"NAPRT1"	0.733384453465943
"ZNF589"	0.731144087570925
"PPP5C"	0.729986010285257
"FBLN5"	0.729131086101634
"LGALS2"	0.726057846190762
"SLC9A3"	0.725505832375597
"HLA-DQB2"	0.724564749805411
"USP53"	0.723264537103853
"ORMDL3"	0.722802832633326
"THNSL2"	0.72262145920313
"SIGLEC12"	0.720679514069826
"SPSB2"	0.720580001670612
"XRCC6BP1"	0.720361488339394
"CPA5"	0.719369359938159
"LRRC6"	0.718512709711694
"CLN6"	0.718064373346659
"PPFIA4"	0.71709488133429
"STOX1"	0.716168761046174
"CIB1"	0.715420661737669
"NTPCR"	0.714094465097133
"ANKDD1A"	0.713682433536603
"CLEC4F"	0.713514364866879
"DNAJC15"	0.713331184957866
"TMC4"	0.712615231865767
"CTXN2"	0.711520702075414
"AFAP1"	0.709003046740609
"MXRA7"	0.707673669142997
"ULK4"	0.707539904688951
"DNLZ"	0.706950102932829
"ZNF880"	0.706666165683114
"IL18RAP"	0.70620546007302
"KIAA1324"	0.705920837068627
"C9orf95"	0.705486244797552
"C1orf105"	0.70522966680229
"CBLN3"	0.704926593604543
"HLA-DQA1"	0.703571428680612
"AKR1C2"	0.700326295570329
"VNN1"	0.699693963629894
"NDE1"	0.699498059351393
"SPATA5L1"	0.697114369590183
"TMTC1"	0.695859787134621
"TRIM4"	0.695340466008102
"KCNK17"	0.69420495250869
"AGA"	0.69343562474649
"CBS"	0.693169291863803
"SYCP2L"	0.692589103798295
"C1QTNF4"	0.691927223755129
"ACP5"	0.690633340922229
"FOXRED1"	0.688891666625424
"BAK1"	0.687655362871034
"TAGLN"	0.686489600646414
"CLEC18A"	0.686329560986357
"NOD2"	0.685964283748987
"ZNF155"	0.685609358372777
"PAPSS1"	0.685357902532645
"SEPT2"	0.684472573457551
"C22orf43"	0.684279692267267
"TUBB2A"	0.684091312122384
"STYXL1"	0.683662204939232
"ODZ4"	0.681877905519833
"FHL3"	0.681577247338347
"NT5DC3"	0.680390372460971
"ATP6AP1L"	0.679251984747807
"GLT25D2"	0.678503399472735
"ZNF205"	0.678002829446958
"TRIM66"	0.677812714358145
"GSTM4"	0.677790607811328
"C2orf63"	0.677259445534094
"PRMT2"	0.67680502531575
"ZP3"	0.676753733623176
"S100P"	0.673962613996908
"C1QL3"	0.673930146643045
"RBMS2"	0.673848069861496
"P2RX1"	0.673358795098092
"U2AF1L4"	0.672927238990175
"CASQ1"	0.672043863177706
"PM20D1"	0.67195257701129
"TFIP11"	0.671375003745877
"C21orf128"	0.670432892998034
"HTR6"	0.670002332832603
"NR2F6"	0.669903820045161
"GDF15"	0.669814532460182
"AHSA2"	0.669094159089426
"HLA-C"	0.668977694100863
"UHRF1BP1"	0.668692976042793
"TMEM80"	0.667875246589359
"DSP"	0.666781444968368
"ZNF132"	0.66601726015912
"ABP1"	0.664208904675295
"FOXRED2"	0.663082382051575
"ZADH2"	0.66299434525812
"RGPD4"	0.662465800108179
"C15orf23"	0.661979619921288
"FANCA"	0.661904287407446
"SPDYC"	0.661104904428165
"TRAPPC4"	0.660872931101527
"MICA"	0.660551412789933
"RHD"	0.659721219296891
"TMEM9"	0.659029610721413
"DIP2A"	0.658079713113584
"UAP1L1"	0.658022747824371
"SLC25A29"	0.656951776959657
"KHK"	0.65695015712357
"GRIK4"	0.655788631411726
"GSDMB"	0.655662809739343
"MDGA1"	0.654979427126504
"LRRC27"	0.654076790853863
"TRMT12"	0.653471462561884
"CLCN1"	0.652734454229169
"GCOM1"	0.652477839814416
"SAMD10"	0.652351925643889
"MYOM2"	0.649964391947149
"YBEY"	0.649582150139986
"KIAA1598"	0.649315787111376
"CYP2D6"	0.648334243509955
"SNX19"	0.647966249515799
"FCRL5"	0.647812848531745
"WDR18"	0.64761741404613
"ADARB2"	0.647053860499854
"CDK10"	0.646660489152681
"SLC22A16"	0.646652396070262
"TMEM204"	0.646347398540615
"RNF182"	0.645567311232097
"PCDH8"	0.645503499722479
"PNMAL2"	0.644740822696191
"CYP4F2"	0.644070424985588
"SIRPB2"	0.643294270895719
"FOLR3"	0.643161193183295
"COG5"	0.643111358730685
"PLTP"	0.64214537750388
"CLEC4C"	0.642041859843347
"FAM167A"	0.64158694218701
"KIF16B"	0.641009710824277
"ADORA1"	0.640433991136271
"RPH3A"	0.639693850626977
"A4GALT"	0.639484906597281
"CDS2"	0.638171243555162
"MON1B"	0.638055002298045
"CDC42EP1"	0.637487160523079
"STK32C"	0.637451615120314
"PLA2G16"	0.636890677777654
"LRRC23"	0.636353205844051
"HSD17B14"	0.634740310387025
"HOXB2"	0.634636998203331
"SKAP2"	0.634605766123065
"SCRN2"	0.634586278479114
"C21orf56"	0.633443976784369
"C3AR1"	0.63308900430462
"CRYZ"	0.632559428076726
"PYGB"	0.632310070034393
"COPG2"	0.631633925575784
"SIAH1"	0.631376816671572
"SERPINB6"	0.630380371538862
"AP1M2"	0.630307352788693
"POMZP3"	0.629881594228477
"CDC16"	0.628760730585441
"QDPR"	0.628248529182971
"SLC22A5"	0.628219936594439
"LCLAT1"	0.627979091189934
"SLC22A18"	0.627634721229459
"RAPGEF3"	0.627467118604983
"VPS53"	0.627328402444482
"SARS2"	0.62673830224181
"STX2"	0.626649030764266
"S100B"	0.626517589426963
"SPRYD4"	0.624379785049425
"NAGK"	0.623032644529963
"GCC2"	0.622087825110535
"SCD5"	0.621298176648546
"DCLK2"	0.620121817260844
"CTSW"	0.620078375998799
"HPD"	0.619675279030424
"CCDC146"	0.61801281216369
"GYPE"	0.618012120684363
"EFHB"	0.61692720283061
"AIFM3"	0.61602062662968
"GSDMA"	0.615658154101116
"PPP2R3C"	0.615067006111824
"AMDHD1"	0.614218139136619
"ROBO3"	0.614203400599976
"LRRC16A"	0.613681331790867
"BBS2"	0.61327621179963
"MRPL21"	0.612786392888192
"COL9A3"	0.612702380364613
"ARHGEF19"	0.612032280902373
"NEBL"	0.611371602991843
"CBR3"	0.611295382596441
"HAUS4"	0.610777317892844
"ST20"	0.608864102736407
"SPP1"	0.608826320341554
"LINS"	0.606740604190679
"IRF6"	0.606674950485079
"MARCO"	0.606101065318689
"MRPL54"	0.604522015058698
"DNAJB7"	0.604069043428163
"HERC2"	0.603472662701464
"PILRB"	0.602847279581816
"ABCA7"	0.602725002255457
"IFITM3"	0.602417148575578
"NUDT7"	0.601188110923437
"TMEM8A"	0.600129901375775
"LGALS9"	0.599552230521752
"RCVRN"	0.599266412719522
"LRRC61"	0.597879662412617
"SLC35F3"	0.597869840080505
"SIDT2"	0.597815948021458
"TBKBP1"	0.597611178584107
"MTHFSD"	0.597186327167948
"ATG10"	0.596460017599655
"MGST3"	0.596352249527971
"WDR25"	0.595272322738448
"SHMT1"	0.594603712756368
"TTC39B"	0.593891976666408
"COL5A3"	0.593446962144986
"MYO15B"	0.593152443000726
"ZNF83"	0.592977669337765
"LPAR1"	0.591931610054794
"F2RL1"	0.591665814999449
"PNMAL1"	0.591324537941599
"MGMT"	0.591266604728071
"C7orf25"	0.591226174919249
"CD55"	0.590454351684742
"C15orf38"	0.590288820073633
"AHI1"	0.590027094892861
"LRRC8B"	0.589675463893676
"CNTNAP2"	0.589221112373079
"DUS3L"	0.589017475757301
"PAX8"	0.588904820077485
"FBXO2"	0.587875407724679
"CDRT15"	0.586759205305605
"LIPA"	0.586413023420511
"ZFP90"	0.58576215669125
"MTUS1"	0.585637569638035
"ITIH4"	0.584537132015512
"SLC25A41"	0.584242848078493
"SRD5A3"	0.583836585507738
"PCGF3"	0.581813687587569
"CTSC"	0.581600362177302
"WRB"	0.581353783909062
"CCDC64B"	0.581087501672096
"ADK"	0.580755072042132
"GSTT1"	0.580042462876528
"SFXN4"	0.580033549023037
"HBZ"	0.579397461496339
"MASTL"	0.577698847896245
"ACOT4"	0.577618612143738
"LILRA3"	0.57663597050501
"CYP27A1"	0.575599251143031
"CTSF"	0.575549621478982
"HIGD2A"	0.574814381898412
"PLEKHG5"	0.574734679087661
"LRRC32"	0.574426853175679
"ZNF502"	0.574416252387974
"FAM154B"	0.573755666171457
"EBPL"	0.573603733914641
"CRIPAK"	0.57330903729712
"ALDH8A1"	0.572731114132603
"PF4V1"	0.572064503092299
"DCAF4"	0.570935380276925
"KRT72"	0.569948823883186
"ASNSD1"	0.569828638857222
"RAD52"	0.569021960754112
"ZNF593"	0.56893158262015
"TTC19"	0.568481902691498
"PSD4"	0.567824434917847
"VSTM1"	0.566093291545352
"XCL1"	0.565666196209384
"MTG1"	0.565057824532639
"MYBL2"	0.564551858847518
"HSD17B12"	0.564102735310726
"TTC12"	0.56404194270979
"TMEM63C"	0.56392170623177
"RAPGEF1"	0.562746812760171
"GCAT"	0.562650581356818
"ADCK3"	0.561908540443657
"NUDT18"	0.561743511988081
"ARRDC4"	0.561484638418122
"BIRC7"	0.561282591518212
"HEATR6"	0.561153856029906
"LSG1"	0.560864425953129
"MARK4"	0.560596631579508
"MYO16"	0.560559201505871
"FAN1"	0.560054527960726
"CAST"	0.559763272990277
"GNMT"	0.559025120138759
"CEACAM4"	0.558635120162495
"CMBL"	0.558562562206118
"TMTC4"	0.558215677910378
"DECR2"	0.55812072131906
"TSGA10"	0.558064603213276
"GPN3"	0.557818973399909
"PKN3"	0.557802402202864
"EPHB4"	0.55779023403555
"C7orf29"	0.556854428493385
"PVALB"	0.55681236707681
"KRT77"	0.555952729850984
