"gene"	"R2"
"ZMYND11"	NA
"DIP2C"	NA
"PRR26"	NA
"LARP4B"	NA
"GTPBP4"	0.000360905037001974
"IDI2"	NA
"IDI1"	NA
"WDR37"	0.008297601140874
"ADARB2"	NA
"PFKP"	8.3514850677828e-05
"PITRM1"	0.000140472066947186
"KLF6"	NA
"AKR1E2"	0.0118225968596507
"AKR1C1"	NA
"AKR1C2"	0.0231648040543339
"AKR1C3"	0.0129130810725804
"AKR1C4"	0.00205093672677124
"UCN3"	NA
"TUBAL3"	NA
"NET1"	NA
"CALML5"	0.00554603593192473
"CALML3"	0.000256731610466102
"ASB13"	0.0285973333054596
"FAM208B"	NA
"GDI2"	NA
"ANKRD16"	0.000630619870677546
"FBXO18"	0.0256916820019495
"IL15RA"	NA
"IL2RA"	0.00183469331192745
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	0.0100202991663672
"DKFZP667F0711"	NA
"PRKCQ"	0.0106698817423822
"SFMBT2"	NA
"ITIH5"	NA
"ITIH2"	0.0319836991953697
"KIN"	0.00037985427905599
"ATP5C1"	0.000168746173243098
"TAF3"	0.00201092413397185
"GATA3"	NA
"CELF2"	0.043686987717373
"USP6NL"	NA
"ECHDC3"	0.00166802134112045
"PROSER2"	0.00787593490122729
"UPF2"	NA
"DHTKD1"	NA
"SEC61A2"	NA
"NUDT5"	NA
"CDC123"	0.00547579527761968
"CAMK1D"	0.00985424430649505
"CCDC3"	NA
"OPTN"	0.0208210505727436
"MCM10"	NA
"PHYH"	0.00576705842753984
"SEPHS1"	0.00960332873265401
"BEND7"	NA
"PRPF18"	0.000276028606206021
"RP11-295P9.3"	NA
"FRMD4A"	0.00971492020706599
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	0.000268655003376717
"DCLRE1C"	0.0034799936351211
"MEIG1"	NA
"OLAH"	0.012320228925551
"ACBD7"	NA
"C10orf111"	0.012404555945914
"RPP38"	NA
"NMT2"	0.0112442081988786
"FAM171A1"	NA
"ITGA8"	0.0152334335809952
"FAM188A"	0.00031936273168136
"PTER"	0.0302288473284622
"C1QL3"	0.091370985363706
"RSU1"	NA
"CUBN"	NA
"TRDMT1"	NA
"VIM"	0.00934156649236046
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	NA
"MRC1L1"	NA
"TMEM236"	NA
"MRC1"	NA
"SLC39A12"	0.0185605335812809
"CACNB2"	NA
"NSUN6"	0.0275017742646232
"ARL5B"	NA
"C10orf112"	0.0428637904054854
"PLXDC2"	NA
"NEBL"	NA
"CASC10"	NA
"SKIDA1"	NA
"MLLT10"	0.0007176387192675
"DNAJC1"	NA
"COMMD3"	0.0592673621759238
"BMI1"	NA
"SPAG6"	0.00018250817514263
"PIP4K2A"	NA
"ARMC3"	0.00363822047639069
"MSRB2"	NA
"PTF1A"	0.00197948254240108
"C10orf115"	NA
"C10orf67"	0.00591829009950262
"OTUD1"	NA
"KIAA1217"	0.0371891358654399
"ARHGAP21"	NA
"PRTFDC1"	0.00399505332271809
"ENKUR"	NA
"THNSL1"	0.000907722183162476
"GPR158"	NA
"MYO3A"	0.000940955183285347
"GAD2"	0.00529551652097942
"APBB1IP"	0.0176950019989809
"PDSS1"	0.0022611862750663
"ABI1"	NA
"ANKRD26"	0.000564740695648925
"YME1L1"	0.0155864214466274
"MASTL"	NA
"ACBD5"	0.00306099034824729
"PTCHD3"	0.206763627241607
"RAB18"	0.0473405129157166
"MKX"	NA
"ARMC4"	0.0105542999029023
"MPP7"	NA
"WAC"	NA
"BAMBI"	NA
"LYZL1"	NA
"SVIL"	0.00225714820419398
"KIAA1462"	NA
"MTPAP"	NA
"MAP3K8"	0.00848554668374895
"LYZL2"	0.00433752245627945
"ZNF438"	0.00301060923272339
"ZEB1"	NA
"ARHGAP12"	0.00240167137524826
"KIF5B"	NA
"EPC1"	6.18408829250991e-05
"CCDC7"	0.0440363406343172
"C10orf68"	NA
"ITGB1"	NA
"NRP1"	NA
"PARD3"	0.017411529319672
"CUL2"	NA
"CREM"	NA
"CCNY"	NA
"FZD8"	0.000945192608537317
"NAMPTL"	NA
"ANKRD30A"	0.00217951495705771
"ZNF248"	0.0130582759237059
"ZNF25"	NA
"ZNF33A"	NA
"ZNF37A"	NA
"AL133216.1"	0.00731589956837249
"ZNF33B"	0.0321811682442465
"BMS1"	NA
"RET"	0.0377257933104704
"CSGALNACT2"	NA
"RASGEF1A"	0.00424144091271391
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	0.00825675559814213
"ZNF239"	0.0541230808566594
"ZNF485"	0.000933438603261127
"ZNF32"	0.03236616316852
"CXCL12"	NA
"TMEM72"	NA
"RASSF4"	NA
"C10orf10"	0.00448071815087806
"C10orf25"	0.02559744392327
"ZNF22"	NA
"ALOX5"	NA
"MARCH8"	NA
"ZFAND4"	0.00426567502905461
"FAM21C"	NA
"AGAP4"	0.0442682942868028
"SYT15"	NA
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	0.00200919700031983
"FAM25B"	NA
"AGAP10"	0.0282783684450722
"ANTXRL"	0.140126847190498
"ANXA8L2"	NA
"AL603965.1"	0.0125150454555539
"FAM21B"	0.00302343000144621
"AGAP9"	0.00432460452084009
"ANXA8"	0.00662686024652431
"ZNF488"	0.00150804164965635
"GDF10"	NA
"FAM25C"	0.054095267028386
"FRMPD2"	0.00118363453266494
"MAPK8"	0.00803766640973758
"ARHGAP22"	0.0215786364899642
"WDFY4"	NA
"LRRC18"	NA
"VSTM4"	0.0209787899955405
"FAM170B"	NA
"C10orf128"	NA
"C10orf71"	NA
"ERCC6"	NA
"SLC18A3"	0.0014073881631303
"OGDHL"	NA
"PARG"	3.22955736855932e-05
"FAM21D"	0.00170309065003559
"AGAP8"	NA
"TIMM23B"	0.000196094958229787
"AGAP7"	0.0193868643647406
"MSMB"	1.69507310004684e-05
"NCOA4"	0.0338017158465859
"TIMM23"	0.000686297609588714
"AGAP6"	0.0255681772619215
"FAM21A"	0.00259520041687464
"SGMS1"	0.00252704484863479
"AC069547.1"	NA
"ASAH2B"	0.0215959272030419
"A1CF"	0.00208923956701347
"PRKG1"	NA
"CSTF2T"	NA
"DKK1"	NA
"MBL2"	0.0197453370971351
"PCDH15"	0.00662852127577165
"ZWINT"	0.00443566078376797
"IPMK"	NA
"CISD1"	0.0147232646068788
"UBE2D1"	0.0303562493527615
"TFAM"	NA
"BICC1"	0.0265028082927397
"PHYHIPL"	NA
"FAM13C"	NA
"SLC16A9"	0.000239839952127077
"CCDC6"	NA
"ANK3"	0.000527248347894365
"CDK1"	NA
"RHOBTB1"	NA
"TMEM26"	0.00422528614781494
"C10orf107"	NA
"ARID5B"	NA
"RTKN2"	0.00184088125993048
"ZNF365"	0.0233816005902904
"ADO"	0.0388917420573409
"EGR2"	NA
"NRBF2"	0.00953818105979322
"JMJD1C"	NA
"REEP3"	NA
"CTNNA3"	NA
"LRRTM3"	NA
"DNAJC12"	NA
"SIRT1"	NA
"HERC4"	0.0294706028390726
"MYPN"	0.0002065755862789
"ATOH7"	0.0414673197367929
"PBLD"	NA
"HNRNPH3"	NA
"RUFY2"	NA
"DNA2"	0.00308611330506013
"SLC25A16"	NA
"TET1"	0.00263676518304951
"CCAR1"	0.00632001078449258
"STOX1"	0.00303323282759554
"DDX50"	0.00339786570384536
"DDX21"	NA
"KIAA1279"	0.0136832749719228
"SRGN"	1.08335088209161e-06
"VPS26A"	0.0764051052254237
"SUPV3L1"	NA
"HKDC1"	NA
"HK1"	NA
"TACR2"	NA
"TSPAN15"	0.00201854664268657
"C10orf35"	NA
"COL13A1"	NA
"H2AFY2"	0.00707698884141256
"AIFM2"	NA
"TYSND1"	0.00220568805834905
"SAR1A"	NA
"PPA1"	0.000292593280135697
"NPFFR1"	NA
"LRRC20"	NA
"EIF4EBP2"	0.00183338000886803
"NODAL"	0.000560687551334456
"PALD1"	0.00148282966299464
"PRF1"	NA
"ADAMTS14"	0.00371335265393022
"TBATA"	0.116071674039991
"SGPL1"	0.000698778412880404
"PCBD1"	0.0113769161519248
"UNC5B"	0.00722136507132492
"SLC29A3"	0.00123660843280805
"CDH23"	0.000299854144584643
"C10orf105"	NA
"C10orf54"	0.0225470761340646
"PSAP"	0.000329667854220677
"CHST3"	0.000807401777178684
"SPOCK2"	0.00128463957112099
"ASCC1"	0.0181509135829331
"ANAPC16"	0.017774828699038
"DDIT4"	NA
"DNAJB12"	0.00980528872223821
"MICU1"	0.00294637833416196
"MCU"	NA
"OIT3"	NA
"PLA2G12B"	NA
"P4HA1"	NA
"NUDT13"	0.0504525101048983
"ECD"	0.000594413133639174
"FAM149B1"	0.00573926856154924
"DNAJC9"	0.00293668015531346
"MRPS16"	0.00177826901578749
"TTC18"	0.0138977192173508
"ANXA7"	NA
"MSS51"	0.0075374312313332
"PPP3CB"	0.000207986503497089
"USP54"	0.00295625667753894
"MYOZ1"	NA
"SYNPO2L"	NA
"AGAP5"	0.000164180149372747
"SEC24C"	0.00936704296731001
"FUT11"	0.0107639323508863
"CHCHD1"	0.000634387868097225
"ZSWIM8"	NA
"NDST2"	NA
"CAMK2G"	NA
"PLAU"	0.000161141530967245
"C10orf55"	0.00842470940520374
"VCL"	0.0194110763871661
"AP3M1"	NA
"ADK"	0.000142390336920534
"KAT6B"	0.00582248821862221
"DUPD1"	NA
"DUSP13"	0.0103339688751292
"SAMD8"	0.00241833275895637
"VDAC2"	0.00937031398343259
"COMTD1"	NA
"ZNF503"	0.000637210410211425
"C10orf11"	0.00031969351197224
"KCNMA1"	0.0310800108627602
"DLG5"	0.00868036297112239
"POLR3A"	NA
"RPS24"	NA
"ZMIZ1"	0.00463642904123491
"PPIF"	NA
"ZCCHC24"	NA
"AL133481.1"	NA
"EIF5AL1"	4.94738120089374e-05
"SFTPA2"	NA
"SFTPA1"	NA
"NUTM2B"	0.0306843270734269
"SFTPD"	0.256012907076677
"TMEM254"	0.00198066566847341
"PLAC9"	0.0414472930073488
"ANXA11"	NA
"AL359195.1"	0.00595681627895189
"MAT1A"	NA
"DYDC1"	NA
"DYDC2"	0.00312439089434319
"FAM213A"	0.0611430043095145
"TSPAN14"	NA
"NRG3"	NA
"GHITM"	NA
"C10orf99"	0.000519097410882235
"CDHR1"	NA
"LRIT2"	NA
"LRIT1"	NA
"RGR"	0.00387994232170015
"CCSER2"	NA
"GRID1"	NA
"WAPAL"	NA
"OPN4"	0.0496672613830225
"LDB3"	0.0722318335872643
"BMPR1A"	0.058251977147892
"MMRN2"	NA
"SNCG"	0.00116974833898224
"ADIRF"	0.000546474588593068
"FAM25A"	0.0101828222395648
"GLUD1"	NA
"FAM35A"	NA
"NUTM2A"	NA
"NUTM2D"	0.000731751627345498
"MINPP1"	NA
"PAPSS2"	0.0664852921522849
"ATAD1"	NA
"PTEN"	NA
"RNLS"	NA
"LIPJ"	NA
"LIPF"	NA
"LIPK"	0.0156066554970673
"LIPN"	NA
"LIPM"	NA
"ANKRD22"	NA
"STAMBPL1"	0.00325439516963771
"ACTA2"	0.000134951962270096
"FAS"	0.130362597897855
"CH25H"	0.0458229049287166
"LIPA"	NA
"IFIT2"	NA
"IFIT3"	0.00354402702632535
"IFIT1B"	0.032243251232553
"IFIT1"	0.00288739021440073
"IFIT5"	NA
"SLC16A12"	NA
"PANK1"	NA
"KIF20B"	NA
"HTR7"	0.0581847852486844
"RPP30"	NA
"ANKRD1"	0.00268492283605994
"PCGF5"	NA
"HECTD2"	0.00682022508363785
"PPP1R3C"	0.00398919589748597
"TNKS2"	NA
"FGFBP3"	0.00124662554691579
"BTAF1"	0.00148342544484222
"CPEB3"	0.00710841803543752
"MARCH5"	NA
"IDE"	NA
"KIF11"	NA
"HHEX"	NA
"EXOC6"	NA
"CYP26A1"	NA
"MYOF"	0.0713247047461489
"CEP55"	0.0359730814707566
"FFAR4"	NA
"RBP4"	NA
"PDE6C"	0.00189055709350685
"FRA10AC1"	NA
"LGI1"	NA
"SLC35G1"	0.000116217549638679
"PLCE1"	0.0247942666832933
"NOC3L"	NA
"TBC1D12"	0.0256307180054468
"HELLS"	NA
"CYP2C18"	NA
"CYP2C19"	NA
"CYP2C9"	0.0472882415935572
"CYP2C8"	NA
