"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.050070515	0.4075334	"Artery-Tibial_TW"	"0.00170450085-0.25408467"	"0-0.9707034475"
"ENSG00000015171.14"	0.0519053	0.3967146	"Artery-Tibial_TW"	"0.001986837925-0.22252866"	"0-0.972220675"
"ENSG00000151240.11"	0.13649035	0.51352355	"Artery-Tibial_TW"	"0.0073604188-0.4146168975"	"0.02595204775-0.9776579175"
"ENSG00000180525.9"	0.2873501	0.5313029	"Artery-Tibial_TW"	"0.04601887-0.5506884025"	"0.009625471775-0.97562931"
"ENSG00000107929.9"	0.1278642	0.4120301	"Artery-Tibial_TW"	"0.00620589405-0.37260653"	"0-0.96909972"
"ENSG00000205740.1"	0.09202259	0.4915116	"Artery-Tibial_TW"	"0.0042130387-0.32268868"	"0.019882118-0.974587825"
"ENSG00000107937.14"	0.049105765	0.18933405	"Artery-Tibial_TW"	"0.00149806155-0.244820335"	"0-0.9443885825"
"ENSG00000148377.5"	0.042166025	0.4946327	"Artery-Tibial_TW"	"0.001562290475-0.2145905575"	"0.02381988125-0.9734977225"
"ENSG00000067064.6"	0.048290335	0.4863499	"Artery-Tibial_TW"	"0.001518152225-0.213995025"	"0.028101124-0.9692270825"
"ENSG00000047056.10"	0.3506138	0.4915336	"Artery-Tibial_TW"	"0.09217566325-0.620136665"	"0.0260435165-0.97617675"
"ENSG00000185736.11"	0.3631077	0.86554225	"Artery-Tibial_TW"	"0.1838762575-0.5610536"	"0.501941755-0.9939331"
"ENSG00000067057.11"	0.28728165	0.2501608	"Artery-Tibial_TW"	"0.028216495-0.5791470875"	"0-0.922993205"
"ENSG00000107959.11"	0.13906655	0.3046083	"Artery-Tibial_TW"	"0.005040667-0.466171704999999"	"0-0.9565317"
"ENSG00000067082.10"	0.10909385	0.3335996	"Artery-Tibial_TW"	"0.004422147375-0.3723953875"	"0-0.9592565625"
"ENSG00000165568.13"	0.1684012	0.2644604	"Artery-Tibial_TW"	"0.009341695375-0.49142391"	"0-0.9464934825"
"ENSG00000187134.8"	0.34761735	0.12430255	"Artery-Tibial_TW"	"0.0569816635-0.6374806"	"0-0.787236165"
"ENSG00000151632.12"	0.36239755	0.31424635	"Artery-Tibial_TW"	"0.09163124825-0.65213121"	"0-0.9410939325"
"ENSG00000196139.7"	0.29719675	0.48188505	"Artery-Tibial_TW"	"0.0390570835-0.65008515"	"0.02680323325-0.9673127975"
"ENSG00000196326.6"	0.3133647	0.48443835	"Artery-Tibial_TW"	"0.015665577-0.75221745"	"0-0.960315525"
"ENSG00000198610.6"	0.2182621	0.30519715	"Artery-Tibial_TW"	"0.0155692965-0.497573275"	"0-0.95498981"
"ENSG00000178473.5"	0.21172515	0.5377129	"Artery-Tibial_TW"	"0.01489225175-0.5186792475"	"0.01929607775-0.97572378"
"ENSG00000178462.7"	0.3105188	0.44592125	"Artery-Tibial_TW"	"0.06432082425-0.5816723025"	"0-0.977090525"
"ENSG00000173848.14"	0.4009858	0.2792962	"Artery-Tibial_TW"	"0.0625457315-0.7727380875"	"0-0.94843485"
"ENSG00000178372.6"	0.10406305	0.4440565	"Artery-Tibial_TW"	"0.004209249875-0.3570991175"	"0-0.967879585"
"ENSG00000178363.3"	0.09152508	0.37767635	"Artery-Tibial_TW"	"0.00313275415-0.3562291725"	"0-0.9632654975"
"ENSG00000196372.8"	0.1507729	0.34237665	"Artery-Tibial_TW"	"0.008133101075-0.40856578"	"0-0.9697642475"
"ENSG00000108021.15"	0.09396597	0.400491	"Artery-Tibial_TW"	"0.003623216575-0.36358052"	"0-0.968045615"
"ENSG00000057608.11"	0.43350575	0.6987549	"Artery-Tibial_TW"	"0.1609731075-0.685897515"	"0.05453550675-0.9862464025"
"ENSG00000134461.11"	0.1462985	0.49333115	"Artery-Tibial_TW"	"0.0124628905-0.421911715"	"0.027861077-0.9733932925"
"ENSG00000134452.14"	0.068884425	0.4000365	"Artery-Tibial_TW"	"0.00248396695-0.2753469125"	"0-0.96973659"
"ENSG00000134470.15"	0.04137307	0.21358445	"Artery-Tibial_TW"	"0.00129290515-0.202853515"	"0-0.95621661"
"ENSG00000134460.11"	0.1832068	0.3114116	"Artery-Tibial_TW"	"0.00959369695-0.5015352275"	"0-0.945544465"
"ENSG00000134453.11"	0.074663055	0.2732187	"Artery-Tibial_TW"	"0.00276512945-0.3543232975"	"0-0.9591638175"
"ENSG00000170525.14"	0.365044	0.41448595	"Artery-Tibial_TW"	"0.07901723725-0.6471926775"	"0.003807598825-0.970712965"
"ENSG00000215244.1"	0.097124815	0.3417687	"Artery-Tibial_TW"	"0.0037806811-0.3816025525"	"0-0.957107435"
"ENSG00000212743.1"	0.2390179	0.2975073	"Artery-Tibial_TW"	"0.0129176895-0.6233544525"	"0-0.9323185125"
"ENSG00000065675.10"	0.066903565	0.41373315	"Artery-Tibial_TW"	"0.002862928525-0.2835081425"	"0-0.9643796"
"ENSG00000198879.7"	0.1107365	0.33868045	"Artery-Tibial_TW"	"0.0048117855-0.3557500625"	"0-0.9695379"
"ENSG00000123243.10"	0.1642554	0.2888241	"Artery-Tibial_TW"	"0.007888495675-0.519929797499999"	"0-0.9563471125"
"ENSG00000151655.13"	0.21078645	0.40179515	"Artery-Tibial_TW"	"0.00990599905-0.5379509"	"0-0.945974027499999"
"ENSG00000151657.6"	0.2464537	0.58146105	"Artery-Tibial_TW"	"0.03560838525-0.5050663225"	"1.986564425e-05-0.982928445"
"ENSG00000165629.15"	0.17373665	0.29847555	"Artery-Tibial_TW"	"0.009220282075-0.4624104675"	"0-0.9408533925"
"ENSG00000165632.7"	0.07476537	0.33446095	"Artery-Tibial_TW"	"0.00240991975-0.326554705"	"0-0.96169981"
"ENSG00000107485.11"	0.04476202	0.48645785	"Artery-Tibial_TW"	"0.002127051-0.1974904575"	"0.02380374-0.97400465"
"ENSG00000048740.12"	0.32398145	0.2344137	"Artery-Tibial_TW"	"0.041832498-0.64141713"	"0-0.9068702925"
"ENSG00000148429.9"	0.2519429	0.32711985	"Artery-Tibial_TW"	"0.03250851325-0.50543091"	"0-0.965205"
"ENSG00000134463.10"	0.518883	0.915236	"Artery-Tibial_TW"	"0.33404572-0.675895115"	"0.65474402-0.9976474"
"ENSG00000148426.8"	0.23876285	0.23504145	"Artery-Tibial_TW"	"0.0276953115-0.5217279775"	"0-0.92939656"
"ENSG00000151461.15"	0.1293649	0.4838269	"Artery-Tibial_TW"	"0.0053055543-0.42839418"	"0.00555323355000001-0.977213795"
"ENSG00000181192.7"	0.0912418	0.454395	"Artery-Tibial_TW"	"0.00399316175-0.405692275"	"0.0170980955-0.97022779"
"ENSG00000065665.16"	0.1926296	0.3205291	"Artery-Tibial_TW"	"0.014409975-0.4700842775"	"0-0.958027305"
"ENSG00000165609.8"	0.09410071	0.40787555	"Artery-Tibial_TW"	"0.0040402124-0.355944545"	"0-0.9676402"
"ENSG00000151465.9"	0.1188473	0.49975925	"Artery-Tibial_TW"	"0.0053557302-0.41913029"	"0.02747138925-0.9761674575"
"ENSG00000183049.8"	0.20620975	0.5013412	"Artery-Tibial_TW"	"0.013841184-0.52536525"	"0.02372735175-0.976825365"
"ENSG00000151468.9"	0.3006533	0.4009209	"Artery-Tibial_TW"	"0.02837941225-0.6477537575"	"0.01224296525-0.9656814175"
"ENSG00000123240.12"	0.06964858	0.3947767	"Artery-Tibial_TW"	"0.002917598-0.263777715"	"0-0.96507255"
"ENSG00000065328.12"	0.037905965	0.2601798	"Artery-Tibial_TW"	"0.0013142573-0.1910422075"	"0-0.9584604125"
"ENSG00000165623.5"	0.065345435	0.43791715	"Artery-Tibial_TW"	"0.00288375095-0.293106885"	"0.002794325125-0.9693832075"
"ENSG00000107537.9"	0.06323856	0.4454703	"Artery-Tibial_TW"	"0.00231831785-0.29230984"	"0.003368127625-0.964943125"
"ENSG00000226209.1"	0.8332441	0.8663837	"Artery-Tibial_TW"	"0.8300666-0.8581104"	"0.8663837-0.9566656"
"ENSG00000086475.10"	0.04523172	0.1946162	"Artery-Tibial_TW"	"0.00136739905-0.227780715"	"0-0.9485092925"
"ENSG00000165626.12"	0.15468675	0.51554915	"Artery-Tibial_TW"	"0.0082110841-0.452946675"	"0.01520673075-0.979535335"
"ENSG00000165630.9"	0.08122009	0.4404373	"Artery-Tibial_TW"	"0.002382265225-0.30635023"	"0-0.97618967"
"ENSG00000239665.3"	0.1804912	0.49674005	"Artery-Tibial_TW"	"0.01405703-0.4363068225"	"0.001929674225-0.9776626"
"ENSG00000151474.15"	0.076796315	0.4750557	"Artery-Tibial_TW"	"0.002786342375-0.339088867499999"	"0.0161099265-0.97483134"
"ENSG00000065809.9"	0.4693857	0.7840186	"Artery-Tibial_TW"	"0.2569937825-0.6563673"	"0.3539606775-0.9919772025"
"ENSG00000185267.5"	0.17508845	0.3852902	"Artery-Tibial_TW"	"0.01391833725-0.452135629999999"	"0-0.965463455"
"ENSG00000187522.9"	0.06254456	0.35452735	"Artery-Tibial_TW"	"0.0021342794-0.2657963025"	"0-0.9659897875"
"ENSG00000152455.11"	0.20626245	0.45059305	"Artery-Tibial_TW"	"0.01368263075-0.5594689625"	"0.020022805-0.96610617"
"ENSG00000152457.13"	0.09231973	0.31703665	"Artery-Tibial_TW"	"0.0037192501-0.3438242875"	"0-0.967525565"
"ENSG00000197889.5"	0.057473945	0.4451292	"Artery-Tibial_TW"	"0.002236835675-0.2552538675"	"0.006935810925-0.9723963025"
"ENSG00000152463.10"	0.10182005	0.4961471	"Artery-Tibial_TW"	"0.004279793-0.352166455"	"0.0230392275-0.9751008975"
"ENSG00000176244.6"	0.054087025	0.48897855	"Artery-Tibial_TW"	"0.001921728575-0.2741173725"	"0.01464243325-0.97681189"
"ENSG00000176236.4"	0.13252655	0.4174848	"Artery-Tibial_TW"	"0.00753894575-0.3724329275"	"0.00013843778675-0.9648864975"
"ENSG00000152464.10"	0.16883575	0.4567474	"Artery-Tibial_TW"	"0.00826845825-0.455326425"	"0.001855063675-0.9709727825"
"ENSG00000152465.13"	0.1808909	0.4050351	"Artery-Tibial_TW"	"0.008894168-0.46237034"	"0-0.9778710575"
"ENSG00000148468.12"	0.092352445	0.2728202	"Artery-Tibial_TW"	"0.003878465725-0.3227036825"	"0-0.9627228"
"ENSG00000077943.7"	0.10617955	0.49972265	"Artery-Tibial_TW"	"0.005036618875-0.3697894"	"0.0286515535-0.9736099025"
"ENSG00000148481.9"	0.068805675	0.18227455	"Artery-Tibial_TW"	"0.0021661382-0.2774020625"	"0-0.9499714775"
"ENSG00000165983.10"	0.044036655	0.28467595	"Artery-Tibial_TW"	"0.00147137285-0.2271693425"	"0-0.962263815"
"ENSG00000165985.8"	0.5261365	0.9170595	"Artery-Tibial_TW"	"0.3705549975-0.6546497"	"0.69887821-0.9955431"
"ENSG00000148484.13"	0.38135945	0.62141475	"Artery-Tibial_TW"	"0.15314307-0.6093621"	"0.1619349275-0.9657629975"
"ENSG00000107611.10"	0.11142555	0.38916	"Artery-Tibial_TW"	"0.0061263234-0.31182397"	"0-0.9754257625"
"ENSG00000107614.17"	0.22369065	0.7318616	"Artery-Tibial_TW"	"0.03122666475-0.45581328"	"0-0.9909751"
"ENSG00000026025.9"	0.10140265	0.45087495	"Artery-Tibial_TW"	"0.0047493525-0.3507273325"	"0.00446690865-0.9723193925"
"ENSG00000148488.11"	0.04427079	0.1608608	"Artery-Tibial_TW"	"0.001161621425-0.213993665"	"0-0.9413930075"
"ENSG00000165996.9"	0.055371475	0.4287434	"Artery-Tibial_TW"	"0.002297103825-0.247414525"	"0-0.9676352375"
"ENSG00000136738.10"	0.04604231	0.4975209	"Artery-Tibial_TW"	"0.001927881325-0.2329963875"	"0.02466059825-0.9742228"
"ENSG00000148483.7"	0.1058824	0.47517115	"Artery-Tibial_TW"	"0.00434986-0.37334683"	"0-0.9734979375"
"ENSG00000183748.4"	0.093845215	0.46347445	"Artery-Tibial_TW"	"0.004271572-0.34160028"	"0.004163039575-0.9753288775"
"ENSG00000184040.7"	0.09556744	0.5599576	"Artery-Tibial_TW"	"0.003830374425-0.30943865"	"0.0199241135-0.9793403575"
"ENSG00000120586.4"	0.09475453	0.5985955	"Artery-Tibial_TW"	"0.004254796725-0.318272805"	"0.0326782835-0.984549135"
"ENSG00000148482.7"	0.04153814	0.3716855	"Artery-Tibial_TW"	"0.00160751455-0.19079715"	"0-0.971218675"
"ENSG00000165995.14"	0.068533115	0.3716102	"Artery-Tibial_TW"	"0.0021962156-0.3053252875"	"0-0.9663917"
"ENSG00000241058.1"	0.26166665	0.50204675	"Artery-Tibial_TW"	"0.058048905-0.5044157325"	"0.010997575-0.9782689325"
"ENSG00000165997.4"	0.11225655	0.26350615	"Artery-Tibial_TW"	"0.0045367311-0.4074925925"	"0-0.94507629"
"ENSG00000204740.5"	0.52027905	0.5099451	"Artery-Tibial_TW"	"0.205187315-0.75497371"	"0.004891922325-0.97264067"
"ENSG00000120594.11"	0.050110545	0.4950689	"Artery-Tibial_TW"	"0.002020694675-0.24378088"	"0.024287382-0.9712053"
"ENSG00000078114.14"	0.058284775	0.2341277	"Artery-Tibial_TW"	"0.001849397225-0.246156785"	"0-0.9638038"
"ENSG00000204683.6"	0.3251392	0.8413045	"Artery-Tibial_TW"	"0.15097168-0.5023658"	"0.4879295-0.99188646"
"ENSG00000204682.5"	0.10306475	0.36254665	"Artery-Tibial_TW"	"0.00523039965-0.353369295"	"0-0.9642138925"
"ENSG00000180592.12"	0.033797635	0.3138603	"Artery-Tibial_TW"	"0.001049975175-0.1748982275"	"0-0.9574259675"
"ENSG00000078403.12"	0.032022815	0.4298529	"Artery-Tibial_TW"	"0.0007834188475-0.1800287925"	"0-0.964307817499999"
"ENSG00000136770.6"	0.064937345	0.42484025	"Artery-Tibial_TW"	"0.0028764643-0.2985399775"	"0.002339460775-0.964756325"
"ENSG00000223601.2"	0.04162176	0.338305	"Artery-Tibial_TW"	"0.001573777425-0.216227719999999"	"0-0.9592787675"
"ENSG00000148444.11"	0.08382901	0.2641624	"Artery-Tibial_TW"	"0.004788081775-0.260101185"	"0-0.9700908425"
"ENSG00000168283.9"	0.09835443	0.3782789	"Artery-Tibial_TW"	"0.00447438425-0.3568333275"	"0-0.9607375"
"ENSG00000077327.11"	0.1217446	0.35872685	"Artery-Tibial_TW"	"0.0084109353-0.3462038"	"0-0.9681660325"
"ENSG00000150867.9"	0.13312135	0.41099395	"Artery-Tibial_TW"	"0.00929012285-0.3704774275"	"0-0.9801493675"
"ENSG00000165309.9"	0.03443545	0.3259628	"Artery-Tibial_TW"	"0.00137438635-0.1766876975"	"0-0.9614537325"
"ENSG00000148450.8"	0.07168905	0.44241855	"Artery-Tibial_TW"	"0.00281861735-0.27573249"	"0-0.9751815925"
"ENSG00000168267.5"	0.05727795	0.483728	"Artery-Tibial_TW"	"0.00242552685-0.292016435"	"0.02405085275-0.9650711425"
"ENSG00000204566.6"	0.04368651	0.5169931	"Artery-Tibial_TW"	"0.00166463-0.2871647"	"0.009436837175-0.97633849"
"ENSG00000179133.7"	0.04966773	0.38530995	"Artery-Tibial_TW"	"0.0017072645-0.2250403"	"0-0.9710058525"
"ENSG00000165312.5"	0.055387465	0.4975172	"Artery-Tibial_TW"	"0.0018118552-0.2677757425"	"0.03014126475-0.9739260825"
"ENSG00000120549.11"	0.11812405	0.41047825	"Artery-Tibial_TW"	"0.00515600195-0.402022835"	"0-0.964109975"
"ENSG00000269879.1"	0.14133255	0.5080457	"Artery-Tibial_TW"	"0.007987978775-0.409076475"	"0-0.97714386"
"ENSG00000107863.12"	0.1251369	0.4953832	"Artery-Tibial_TW"	"0.00714723405-0.4088617725"	"0.02515205825-0.977160795"
"ENSG00000099256.14"	0.06993971	0.36672475	"Artery-Tibial_TW"	"0.002710098575-0.297046965"	"0-0.9606583825"
"ENSG00000151023.12"	0.08577339	0.35097065	"Artery-Tibial_TW"	"0.003998144925-0.2721417475"	"0-0.96596861"
"ENSG00000185875.8"	0.0718365	0.32086845	"Artery-Tibial_TW"	"0.002504597125-0.321475042499999"	"0-0.95936844"
"ENSG00000151025.9"	0.07712353	0.41755565	"Artery-Tibial_TW"	"0.002864379475-0.273175455"	"0.000500260432500001-0.9707078775"
