"tissue"	"ensid"	"gene"	"local.h2"	"h2_ci"
"DGN-WB"	"ENSG00000127903.12"	"ZNF835"	0.108623	"0.076525-0.140721"
"DGN-WB"	"ENSG00000169704.4"	"GP9"	1e-06	"-0.012898-0.0129"
"DGN-WB"	"ENSG00000149564.7"	"ESAM"	1e-06	"-0.012129-0.012131"
"DGN-WB"	"ENSG00000120727.7"	"PAIP2"	1e-06	"-0.010205-0.010207"
"DGN-WB"	"ENSG00000185475.4"	"TMEM179B"	0.048596	"0.025273-0.071919"
"DGN-WB"	"ENSG00000159556.5"	"ISL2"	0.38204	"0.315983-0.448097"
"DGN-WB"	"ENSG00000173480.6"	"ZNF417"	0.063862	"0.038674-0.08905"
"DGN-WB"	"ENSG00000153446.11"	"C16orf89"	1e-06	"-0.014019-0.014021"
"DGN-WB"	"ENSG00000111261.9"	"MANSC1"	0.015129	"-0.003428-0.033686"
"DGN-WB"	"ENSG00000120688.7"	"WBP4"	0.015729	"0.001831-0.029627"
"DGN-WB"	"ENSG00000154146.7"	"NRGN"	0.008381	"-0.00439-0.021152"
"DGN-WB"	"ENSG00000108826.11"	"MRPL27"	0.015391	"-0.000870999999999999-0.031653"
"DGN-WB"	"ENSG00000132470.9"	"ITGB4"	0.041806	"0.020935-0.062677"
"DGN-WB"	"ENSG00000144677.10"	"CTDSPL"	1e-06	"-0.012344-0.012346"
"DGN-WB"	"ENSG00000144560.9"	"VGLL4"	0.034588	"0.014486-0.05469"
"DGN-WB"	"ENSG00000171475.9"	"WIPF2"	0.024402	"0.004794-0.04401"
"DGN-WB"	"ENSG00000204424.8"	"LY6G6F"	1e-06	"-0.010768-0.01077"
"DGN-WB"	"ENSG00000155367.11"	"PPM1J"	0.002355	"-0.007873-0.012583"
"DGN-WB"	"ENSG00000220205.4"	"VAMP2"	0.280085	"0.235567-0.324603"
"DGN-WB"	"ENSG00000185015.3"	"CA13"	0.100273	"0.062622-0.137924"
"DGN-WB"	"ENSG00000163684.6"	"RPP14"	0.121454	"0.083731-0.159177"
"DGN-WB"	"ENSG00000080371.4"	"RAB21"	0.011506	"-0.001212-0.024224"
"DGN-WB"	"ENSG00000205784.2"	"ARRDC5"	0.203691	"0.162582-0.2448"
"DGN-WB"	"ENSG00000107902.9"	"LHPP"	0.536143	"0.494005-0.578281"
"DGN-WB"	"ENSG00000102678.6"	"FGF9"	1e-06	"-0.013947-0.013949"
"DGN-WB"	"ENSG00000089123.11"	"TASP1"	1e-06	"-0.014098-0.0141"
"DGN-WB"	"ENSG00000123124.9"	"WWP1"	0.084677	"0.05189-0.117464"
"DGN-WB"	"ENSG00000126583.6"	"PRKCG"	0.001205	"-0.015278-0.017688"
"DGN-WB"	"ENSG00000121989.10"	"ACVR2A"	0.049281	"0.027895-0.070667"
"DGN-WB"	"ENSG00000174871.6"	"CNIH2"	0.036159	"0.016323-0.055995"
"DGN-WB"	"ENSG00000148606.8"	"POLR3A"	0.010711	"-0.002432-0.023854"
"DGN-WB"	"ENSG00000112242.10"	"E2F3"	0.015471	"-0.000336999999999999-0.031279"
"DGN-WB"	"ENSG00000173210.15"	"ABLIM3"	1e-06	"-0.017213-0.017215"
"DGN-WB"	"ENSG00000188987.2"	"HIST1H4D"	0.000392	"-0.007989-0.008773"
"DGN-WB"	"ENSG00000167077.8"	"MEI1"	0.409071	"0.351109-0.467033"
"DGN-WB"	"ENSG00000088876.7"	"ZNF343"	0.164722	"0.125793-0.203651"
"DGN-WB"	"ENSG00000171051.4"	"FPR1"	0.461141	"0.416267-0.506015"
"DGN-WB"	"ENSG00000160207.4"	"HSF2BP"	0.066972	"0.043803-0.090141"
"DGN-WB"	"ENSG00000136231.9"	"IGF2BP3"	0.000517	"-0.009585-0.010619"
"DGN-WB"	"ENSG00000197635.5"	"DPP4"	0.006548	"-0.004588-0.017684"
"DGN-WB"	"ENSG00000019102.7"	"VSIG2"	0.01593	"-0.001101-0.032961"
"DGN-WB"	"ENSG00000124102.4"	"PI3"	0.093893	"0.063994-0.123792"
"DGN-WB"	"ENSG00000028277.16"	"POU2F2"	0.002879	"-0.00462-0.010378"
"DGN-WB"	"ENSG00000007314.7"	"SCN4A"	0.024155	"0.00846-0.03985"
"DGN-WB"	"ENSG00000149428.14"	"HYOU1"	0.006983	"-0.00432-0.018286"
"DGN-WB"	"ENSG00000100290.2"	"BIK"	0.109115	"0.070726-0.147504"
"DGN-WB"	"ENSG00000160999.8"	"SH2B2"	0.05876	"0.030824-0.086696"
"DGN-WB"	"ENSG00000124107.5"	"SLPI"	0.034101	"0.01403-0.054172"
"DGN-WB"	"ENSG00000124780.9"	"KCNK17"	0.77157	"0.744483-0.798657"
"DGN-WB"	"ENSG00000011105.7"	"TSPAN9"	0.054631	"0.027567-0.081695"
"DGN-WB"	"ENSG00000121864.5"	"ZNF639"	0.012122	"-0.003215-0.027459"
"DGN-WB"	"ENSG00000181610.8"	"MRPS23"	0.019419	"0.000248999999999999-0.038589"
"DGN-WB"	"ENSG00000086589.7"	"RBM22"	0.032387	"0.014802-0.049972"
"DGN-WB"	"ENSG00000171530.9"	"TBCA"	0.105048	"0.073213-0.136883"
"DGN-WB"	"ENSG00000112137.12"	"PHACTR1"	0.201932	"0.161523-0.242341"
"DGN-WB"	"ENSG00000198794.7"	"SCAMP5"	0.014543	"-0.000243999999999999-0.02933"
"DGN-WB"	"ENSG00000169692.8"	"AGPAT2"	0.117301	"0.080968-0.153634"
"DGN-WB"	"ENSG00000035862.8"	"TIMP2"	0.160317	"0.12577-0.194864"
"DGN-WB"	"ENSG00000184254.11"	"ALDH1A3"	0.007881	"-0.008711-0.024473"
"DGN-WB"	"ENSG00000110723.7"	"EXPH5"	0.250945	"0.202876-0.299014"
"DGN-WB"	"ENSG00000168887.6"	"C2orf68"	0.074082	"0.044703-0.103461"
"DGN-WB"	"ENSG00000141179.9"	"PCTP"	0.171392	"0.13634-0.206444"
"DGN-WB"	"ENSG00000107281.5"	"NPDC1"	0.385106	"0.334569-0.435643"
"DGN-WB"	"ENSG00000106789.8"	"CORO2A"	0.617926	"0.575222-0.66063"
"DGN-WB"	"ENSG00000135540.7"	"NHSL1"	0.116685	"0.082381-0.150989"
"DGN-WB"	"ENSG00000087250.4"	"MT3"	0.251927	"0.20416-0.299694"
"DGN-WB"	"ENSG00000102755.6"	"FLT1"	0.143688	"0.108747-0.178629"
"DGN-WB"	"ENSG00000112414.10"	"GPR126"	0.185996	"0.146839-0.225153"
"DGN-WB"	"ENSG00000176533.8"	"GNG7"	0.20527	"0.164439-0.246101"
"DGN-WB"	"ENSG00000135519.6"	"KCNH3"	0.071091	"0.041695-0.100487"
"DGN-WB"	"ENSG00000196118.7"	"C16orf93"	0.077223	"0.046401-0.108045"
"DGN-WB"	"ENSG00000108424.5"	"KPNB1"	1e-06	"-0.007999-0.008001"
"DGN-WB"	"ENSG00000095303.10"	"PTGS1"	0.06422	"0.035598-0.092842"
"DGN-WB"	"ENSG00000082196.15"	"C1QTNF3"	0.077219	"0.051208-0.10323"
"DGN-WB"	"ENSG00000156050.4"	"FAM161B"	0.109661	"0.076191-0.143131"
"DGN-WB"	"ENSG00000155380.7"	"SLC16A1"	0.025628	"0.008556-0.0427"
"DGN-WB"	"ENSG00000120742.6"	"SERP1"	0.045581	"0.024618-0.066544"
"DGN-WB"	"ENSG00000116815.11"	"CD58"	0.014007	"-0.000945999999999999-0.02896"
"DGN-WB"	"ENSG00000101335.5"	"MYL9"	1e-06	"-0.01117-0.011172"
"DGN-WB"	"ENSG00000086967.9"	"MYBPC2"	0.029205	"0.006874-0.051536"
"DGN-WB"	"ENSG00000103512.10"	"NOMO1"	0.062643	"0.035626-0.08966"
"DGN-WB"	"ENSG00000152785.6"	"BMP3"	0.014278	"0.001076-0.02748"
"DGN-WB"	"ENSG00000101052.8"	"IFT52"	0.283472	"0.233455-0.333489"
"DGN-WB"	"ENSG00000165568.13"	"AKR1E2"	0.346026	"0.296542-0.39551"
"DGN-WB"	"ENSG00000162882.10"	"HAAO"	0.143296	"0.108344-0.178248"
