"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"CPEB3"	0.01983123	0.43846755	"DGN-WB_exp"	"0.00443546065-0.0488216009999999"	"0-0.9798987325"
"LRRC27"	0.5794797	0.9909121	"DGN-WB_exp"	"0.5472897-0.6195803"	"0.964153-0.9992862"
"LRRC20"	0.17241135	0.90274325	"DGN-WB_exp"	"0.1195377175-0.23783862"	"0.70193071-0.994863905"
"SEC61A2"	0.2312441	0.9802235	"DGN-WB_exp"	"0.1811269-0.2784023"	"0.915714235-0.9992362"
"DDIT4"	0.02176444	0.3290029	"DGN-WB_exp"	"0.004530744275-0.05721151625"	"0-0.97025616"
"ATP5C1"	0.0069219945	0.1327345	"DGN-WB_exp"	"0.0002257858-0.0334206154999999"	"0-0.944085"
"SLC18A2"	0.1759927	0.8819453	"DGN-WB_exp"	"0.1298549-0.2325911"	"0.697229945-0.9902028325"
"PPP3CB"	0.01140875	0.2830259	"DGN-WB_exp"	"0.000872022855-0.061011655"	"0-0.946206445"
"ADRA2A"	0.042804815	0.86493355	"DGN-WB_exp"	"0.01758293-0.08031237"	"0.420006225-0.99799931"
"TIAL1"	0.009207422	0.09956938	"DGN-WB_exp"	"0.0004456191825-0.0366568"	"0-0.9200808"
"SORBS1"	0.035549925	0.59206965	"DGN-WB_exp"	"0.008901461825-0.07759494"	"0-0.97871544"
"PDSS1"	0.1615765	0.90979685	"DGN-WB_exp"	"0.1155223-0.21943872"	"0.7277537-0.994753585"
"FBXO18"	0.16672	0.8706866	"DGN-WB_exp"	"0.112203175-0.2255728025"	"0.5272755-0.993650625"
"GHITM"	0.09429902	0.9266745	"DGN-WB_exp"	"0.05487717-0.1371555375"	"0.711398565-0.9961975925"
"UNC5B"	0.5537409	0.9691402	"DGN-WB_exp"	"0.5111766-0.59541583"	"0.92813078-0.9957092"
"ZCCHC24"	0.07043808	0.8266675	"DGN-WB_exp"	"0.0342033885-0.119638885"	"0.4820400775-0.992231335"
"ADAM12"	0.1325872	0.6921419	"DGN-WB_exp"	"0.08553068-0.18963503"	"0.2714895-0.9833947"
"DPYSL4"	0.5591923	0.97723295	"DGN-WB_exp"	"0.5181401-0.6029084"	"0.9370172-0.9975667975"
"FAM53B"	0.01358493	0.13740005	"DGN-WB_exp"	"0.0006229784775-0.0471629182499999"	"0-0.9412960425"
"H2AFY2"	0.11305755	0.78904215	"DGN-WB_exp"	"0.07078977675-0.1712572925"	"0.4757089725-0.98679168"
"OPTN"	0.09057597	0.745215	"DGN-WB_exp"	"0.04343488725-0.14280245"	"0.244237335-0.9893804"
"LHPP"	0.4462431	0.9731757	"DGN-WB_exp"	"0.396774565-0.490937"	"0.91508412-0.9983528"
"ABLIM1"	0.018526625	0.5055383	"DGN-WB_exp"	"0.000793915955-0.06076579"	"0-0.9774051125"
"GDI2"	0.3774948	0.979876	"DGN-WB_exp"	"0.3220253-0.4250276"	"0.9273563-0.9987848"
"SUPV3L1"	0.1197892	0.9566372	"DGN-WB_exp"	"0.080839613-0.166106"	"0.78166053-0.9981893575"
"TSPAN14"	0.11832	0.9083658	"DGN-WB_exp"	"0.07638722-0.1792750775"	"0.558512375-0.9954953"
"TSPAN15"	0.2102917	0.8854349	"DGN-WB_exp"	"0.1495113-0.304777055"	"0.71746468-0.9960952"
"SLK"	0.09335354	0.8478829	"DGN-WB_exp"	"0.05828205525-0.13946842"	"0.404086595-0.9921521"
"PHYH"	0.25205095	0.97259385	"DGN-WB_exp"	"0.20404033-0.3034312"	"0.8883832375-0.998283435"
"STOX1"	0.6412424	0.9949034	"DGN-WB_exp"	"0.610223-0.6711584"	"0.9817359-0.9999177"
"WDR11"	0.2402332	0.9534547	"DGN-WB_exp"	"0.1889379-0.2909364575"	"0.7978240225-0.9977023"
"PGBD3"	0.040069125	0.53399585	"DGN-WB_exp"	"0.01141382575-0.0849814234999998"	"0.02852985625-0.9773034075"
"PBLD"	0.052525885	0.64074315	"DGN-WB_exp"	"0.025318641-0.0979511595"	"0-0.9858406"
"CALY"	0.042793735	0.8940925	"DGN-WB_exp"	"0.01769799275-0.08157712975"	"0.4186276125-0.9952240625"
"C10orf54"	0.012671685	0.4035521	"DGN-WB_exp"	"0.00075123353-0.04683530925"	"0-0.96495981"
"C10orf57"	0.2278458	0.9251955	"DGN-WB_exp"	"0.1701177-0.2893743"	"0.7593279-0.9980388"
"TRIM8"	0.11827635	0.8367274	"DGN-WB_exp"	"0.07150259725-0.19792938"	"0.08016063775-0.9918127925"
"PPA1"	0.4900512	0.9755395	"DGN-WB_exp"	"0.4417698-0.53551328"	"0.9031295575-0.99923424"
"CDH23"	0.2505863	0.9164358	"DGN-WB_exp"	"0.195430095-0.3164152825"	"0.7312373975-0.9949384875"
"BLOC1S2"	0.2129027	0.9586913	"DGN-WB_exp"	"0.1635641-0.2696334225"	"0.84697768-0.99838577"
"NCOA4"	0.2507029	0.98241695	"DGN-WB_exp"	"0.2038628-0.306171365"	"0.925695465-0.999011145"
"IDI1"	0.01167513	0.35174505	"DGN-WB_exp"	"0.0004073036575-0.0435000714999999"	"0-0.9771303"
"IDI2"	0.3346332	0.9720276	"DGN-WB_exp"	"0.277523-0.3896174"	"0.9000762425-0.998321745"
