"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.2042531	0.46133935	"Heart-LeftVentricle_TW"	"0.01219268325-0.54946639"	"0.000121374864-0.9683707475"
"ENSG00000015171.14"	0.1258265	0.2646453	"Heart-LeftVentricle_TW"	"0.006181180075-0.3869587925"	"0-0.9595768225"
"ENSG00000151240.11"	0.1544198	0.4025902	"Heart-LeftVentricle_TW"	"0.00629597935-0.46974477"	"0-0.96538976"
"ENSG00000180525.9"	0.2510456	0.38965425	"Heart-LeftVentricle_TW"	"0.0187170215-0.62012763"	"0-0.9649683775"
"ENSG00000107929.9"	0.31685145	0.24445345	"Heart-LeftVentricle_TW"	"0.02636291275-0.6815758275"	"0-0.953836765"
"ENSG00000205740.1"	0.1209092	0.3221086	"Heart-LeftVentricle_TW"	"0.00489198985-0.373987275"	"0-0.96789001"
"ENSG00000107937.14"	0.28208225	0.2093449	"Heart-LeftVentricle_TW"	"0.0227755155-0.6173086475"	"0-0.94531395"
"ENSG00000148377.5"	0.1164852	0.40918195	"Heart-LeftVentricle_TW"	"0.004630858025-0.4129828225"	"0-0.9703441075"
"ENSG00000067064.6"	0.2586566	0.36321845	"Heart-LeftVentricle_TW"	"0.0262194415-0.598309199999999"	"0-0.96508846"
"ENSG00000047056.10"	0.1493683	0.33117675	"Heart-LeftVentricle_TW"	"0.0060363868-0.490998925"	"0-0.962114415"
"ENSG00000185736.11"	0.45852885	0.47282555	"Heart-LeftVentricle_TW"	"0.0574387855-0.8062875875"	"0-0.9677426"
"ENSG00000067057.11"	0.25214215	0.3759378	"Heart-LeftVentricle_TW"	"0.01192647525-0.7255913625"	"0-0.96454946"
"ENSG00000107959.11"	0.31072385	0.37041265	"Heart-LeftVentricle_TW"	"0.02709531975-0.7340349125"	"0-0.964164645"
"ENSG00000067082.10"	0.1058791	0.3659021	"Heart-LeftVentricle_TW"	"0.00387123665-0.4395727825"	"0-0.963676645"
"ENSG00000165568.13"	0.29056715	0.2790756	"Heart-LeftVentricle_TW"	"0.02122847825-0.69487048"	"0-0.9595422625"
"ENSG00000187134.8"	0.14460335	0.3814226	"Heart-LeftVentricle_TW"	"0.0061751099-0.507751032499999"	"0-0.9592988425"
"ENSG00000151632.12"	0.2799728	0.7634023	"Heart-LeftVentricle_TW"	"0.01787837225-0.52860507"	"0-0.9901536"
"ENSG00000196139.7"	0.13558755	0.3671026	"Heart-LeftVentricle_TW"	"0.00479816825-0.5054771575"	"0-0.9651364075"
"ENSG00000196326.6"	0.0916003	0.4406432	"Heart-LeftVentricle_TW"	"0.0036867457-0.374558365"	"0-0.976507495"
"ENSG00000198610.6"	0.1904065	0.46268275	"Heart-LeftVentricle_TW"	"0.00862237025-0.6079086525"	"0.0079367537-0.9693531975"
"ENSG00000178473.5"	0.8552827	0.9464417	"Heart-LeftVentricle_TW"	"0.8259844-0.9136192"	"0.9019062-0.9869307"
"ENSG00000178462.7"	0.4084261	0.7213876	"Heart-LeftVentricle_TW"	"0.08940872825-0.7386765"	"0.03325570775-0.9887076"
"ENSG00000173848.14"	0.6226609	0.8235615	"Heart-LeftVentricle_TW"	"0.04037039125-0.87987559"	"0.0397441835-0.9946097225"
"ENSG00000178372.6"	0.08155563	0.40291635	"Heart-LeftVentricle_TW"	"0.003248031625-0.328498425"	"0-0.97297919"
"ENSG00000178363.3"	0.1355241	0.4742824	"Heart-LeftVentricle_TW"	"0.004891129625-0.5219511925"	"0.007434590875-0.9698027625"
"ENSG00000196372.8"	0.22102655	0.38829795	"Heart-LeftVentricle_TW"	"0.00852662295-0.7696471525"	"0-0.96521912"
"ENSG00000108021.15"	0.1337372	0.50112655	"Heart-LeftVentricle_TW"	"0.0057412823-0.540021787499999"	"0.02572795525-0.9764563725"
"ENSG00000057608.11"	0.28663095	0.52290755	"Heart-LeftVentricle_TW"	"0.01358808225-0.7866639925"	"0.0092035507-0.974271"
"ENSG00000134461.11"	0.24996805	0.3985158	"Heart-LeftVentricle_TW"	"0.01050472025-0.766954745"	"0-0.96389074"
"ENSG00000134452.14"	0.19521495	0.43842855	"Heart-LeftVentricle_TW"	"0.009248699875-0.57340838"	"0-0.9729810075"
"ENSG00000134470.15"	0.1655771	0.4509307	"Heart-LeftVentricle_TW"	"0.007605120375-0.6084454425"	"0.006239186725-0.9730984425"
"ENSG00000134460.11"	0.16702815	0.444718	"Heart-LeftVentricle_TW"	"0.00746588985-0.57016899"	"0.01342996625-0.9682033175"
"ENSG00000134453.11"	0.27178895	0.3462945	"Heart-LeftVentricle_TW"	"0.0135116645-0.8125067625"	"0-0.962218555"
"ENSG00000170525.14"	0.09588144	0.24980215	"Heart-LeftVentricle_TW"	"0.003303732225-0.4258191175"	"0-0.95881741"
"ENSG00000215244.1"	0.135483	0.41382865	"Heart-LeftVentricle_TW"	"0.005728309775-0.558192199999999"	"0-0.9699062875"
"ENSG00000212743.1"	0.32344745	0.3795408	"Heart-LeftVentricle_TW"	"0.02686523425-0.755295479999999"	"0-0.96283247"
"ENSG00000065675.10"	0.15580945	0.4521203	"Heart-LeftVentricle_TW"	"0.00654547215-0.666013655"	"0.01405056525-0.9671892975"
"ENSG00000198879.7"	0.10577855	0.29801935	"Heart-LeftVentricle_TW"	"0.00326157295-0.488738504999999"	"0-0.960606705"
