"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.018196395	0.2275379	"Lung_TS"	"0.000590126-0.0885858827499999"	"0-0.9515668375"
"ENSG00000151240.11"	0.02406729	0.5128383	"Lung_TS"	"0.001042593175-0.1027803925"	"0.030979175-0.9738621325"
"ENSG00000180525.9"	0.064540615	0.3149079	"Lung_TS"	"0.00428014035-0.1857418"	"0-0.9533471225"
"ENSG00000107929.9"	0.019696905	0.233394	"Lung_TS"	"0.0007957040125-0.08795990325"	"0-0.953119855"
"ENSG00000107937.14"	0.022160505	0.35786895	"Lung_TS"	"0.0007469469-0.09977964625"	"0-0.9598736025"
"ENSG00000148377.5"	0.02644496	0.45663175	"Lung_TS"	"0.0008896659-0.12929497"	"0.0030830422-0.9751095925"
"ENSG00000067064.6"	0.02660133	0.2527503	"Lung_TS"	"0.000996920515-0.107015035"	"0-0.9512755025"
"ENSG00000047056.10"	0.031962255	0.4571712	"Lung_TS"	"0.001631819-0.13279718"	"0.014215194-0.9657224525"
"ENSG00000185736.11"	0.092271545	0.3914321	"Lung_TS"	"0.011906732-0.2225436725"	"0-0.97628352"
"ENSG00000067057.11"	0.029932475	0.2622859	"Lung_TS"	"0.001082147025-0.1263391325"	"0-0.9616308625"
"ENSG00000107959.11"	0.03212964	0.1629412	"Lung_TS"	"0.001153874925-0.1249058925"	"0-0.94411459"
"ENSG00000067082.10"	0.047843975	0.1118638	"Lung_TS"	"0.002289878275-0.15767331"	"0-0.8925116525"
"ENSG00000165568.13"	0.026266615	0.50653605	"Lung_TS"	"0.0011870368-0.106987225"	"0.02092379975-0.98178461"
"ENSG00000187134.8"	0.1205329	0.8083741	"Lung_TS"	"0.040251709-0.21963754"	"0.188320125-0.9920949"
"ENSG00000151632.12"	0.0595736	0.3228945	"Lung_TS"	"0.003675868925-0.1708861825"	"0-0.964205895"
"ENSG00000196139.7"	0.1461089	0.26350605	"Lung_TS"	"0.0375749885-0.2825664125"	"0-0.9370839475"
"ENSG00000198610.6"	0.06515199	0.5159706	"Lung_TS"	"0.004163374125-0.212046255"	"0.023856166-0.97592337"
"ENSG00000178473.5"	0.082988655	0.3536458	"Lung_TS"	"0.0096429462-0.1990269525"	"0-0.96695998"
"ENSG00000178462.7"	0.08867369	0.57752455	"Lung_TS"	"0.005829104925-0.214451875"	"0-0.9758861"
"ENSG00000173848.14"	0.03160197	0.2285521	"Lung_TS"	"0.0009297902425-0.1399452"	"0-0.9475747025"
"ENSG00000178372.6"	0.035137705	0.47576195	"Lung_TS"	"0.00186553615-0.1424936475"	"0.02175328675-0.968653605"
"ENSG00000178363.3"	0.034634985	0.149789	"Lung_TS"	"0.001588101525-0.1352100775"	"0-0.9319369375"
"ENSG00000196372.8"	0.066419185	0.12198165	"Lung_TS"	"0.005455165425-0.1820981425"	"0-0.896758165"
"ENSG00000108021.15"	0.04045122	0.16828065	"Lung_TS"	"0.00155499765-0.14174685"	"0-0.9428194"
"ENSG00000057608.11"	0.04412761	0.4726094	"Lung_TS"	"0.002386505875-0.152145855"	"0.018561719-0.97051462"
"ENSG00000134461.11"	0.1031089	0.43201145	"Lung_TS"	"0.01232385725-0.2525348875"	"0.00795421595-0.9634956025"
"ENSG00000134452.14"	0.03554299	0.284082	"Lung_TS"	"0.001468644975-0.1335418175"	"0-0.9553638625"
"ENSG00000134470.15"	0.082945635	0.391012	"Lung_TS"	"0.00699823135-0.219902815"	"0-0.9665692025"
"ENSG00000134460.11"	0.07904986	0.2226643	"Lung_TS"	"0.007259727675-0.2095711225"	"0-0.929957865"
"ENSG00000134453.11"	0.061109965	0.2159237	"Lung_TS"	"0.00353758475-0.1789843625"	"0-0.940906815"
"ENSG00000170525.14"	0.03226302	0.21166725	"Lung_TS"	"0.00095880724-0.13126704"	"0-0.951403625"
"ENSG00000215244.1"	0.065946965	0.48889045	"Lung_TS"	"0.003876811875-0.19568706"	"0.0212035285-0.9732201825"
"ENSG00000212743.1"	0.1135826	0.30561345	"Lung_TS"	"0.0141406995-0.26678147"	"0-0.9495304875"
"ENSG00000065675.10"	0.1701355	0.35964175	"Lung_TS"	"0.05845651325-0.3023427975"	"0.01349212375-0.94570651"
"ENSG00000198879.7"	0.028849455	0.1701274	"Lung_TS"	"0.00097481885-0.12288062"	"0-0.94000319"
"ENSG00000123243.10"	0.01607063	0.1771261	"Lung_TS"	"0.0003995652675-0.0780663734999999"	"0-0.9456220275"
"ENSG00000151655.13"	0.05052882	0.5124033	"Lung_TS"	"0.002407979475-0.18945032"	"0.02813282-0.97424474"
"ENSG00000151657.6"	0.067953955	0.3485196	"Lung_TS"	"0.004629605925-0.18913649"	"0-0.9604480225"
"ENSG00000165629.15"	0.06349947	0.5202079	"Lung_TS"	"0.003976775525-0.177521885"	"0.0106517485-0.9796321825"
"ENSG00000165632.7"	0.02062167	0.3249994	"Lung_TS"	"0.0007201199925-0.09473523875"	"0-0.96736953"
"ENSG00000107485.11"	0.042592365	0.20584285	"Lung_TS"	"0.00194112235-0.144582795"	"0-0.9410825225"
"ENSG00000048740.12"	0.09371659	0.16651925	"Lung_TS"	"0.0113829465-0.219495605"	"0-0.9064193975"
"ENSG00000148429.9"	0.031339155	0.33830365	"Lung_TS"	"0.0011471619-0.124460855"	"0-0.96675184"
"ENSG00000134463.10"	0.23464035	0.8729215	"Lung_TS"	"0.11053511-0.36881998"	"0.4849348925-0.995029205"
"ENSG00000148426.8"	0.06075791	0.26635375	"Lung_TS"	"0.0034905832-0.186978675"	"0-0.9375294275"
"ENSG00000151461.15"	0.07865204	0.20935485	"Lung_TS"	"0.005504166325-0.2230891025"	"0-0.94518343"
"ENSG00000181192.7"	0.019866195	0.3775407	"Lung_TS"	"0.0006661162975-0.09912884175"	"0-0.962547175"
"ENSG00000065665.16"	0.057226375	0.39769775	"Lung_TS"	"0.003173315275-0.16967104"	"0-0.9662634675"
"ENSG00000165609.8"	0.057783105	0.28204035	"Lung_TS"	"0.0025829891-0.178922517499999"	"0-0.9477564"
"ENSG00000151465.9"	0.027908955	0.2226154	"Lung_TS"	"0.00115664795-0.1048186225"	"0-0.9582534275"
"ENSG00000183049.8"	0.2715958	0.71939305	"Lung_TS"	"0.158375195-0.4074942875"	"0.4290302-0.97069865"
"ENSG00000151468.9"	0.21689795	0.8184227	"Lung_TS"	"0.1104085-0.35889608"	"0.4549095-0.98963628"
"ENSG00000123240.12"	0.03349817	0.4905945	"Lung_TS"	"0.001257238675-0.1449427925"	"0.02462218425-0.9731179"
"ENSG00000065328.12"	0.025364715	0.45343005	"Lung_TS"	"0.0009356545-0.108274415"	"0.01104618-0.9714769"
"ENSG00000107537.9"	0.056450995	0.47482825	"Lung_TS"	"0.00434067035-0.164523045"	"0.02431857-0.972545095"
"ENSG00000086475.10"	0.02178865	0.2886515	"Lung_TS"	"0.0008045935625-0.1058076875"	"0-0.9688345975"
"ENSG00000165626.12"	0.04627734	0.2273376	"Lung_TS"	"0.002210279075-0.167249885"	"0-0.9478478"
"ENSG00000165630.9"	0.02373733	0.4462447	"Lung_TS"	"0.0010162527-0.103855155"	"0.01274331-0.9677807425"
"ENSG00000239665.3"	0.06159485	0.4955828	"Lung_TS"	"0.003654979225-0.1881476775"	"0.024276553-0.972205735"
"ENSG00000151474.15"	0.020895585	0.5302665	"Lung_TS"	"0.0007173481825-0.1036517925"	"0.02119061-0.979818085"
"ENSG00000065809.9"	0.061442995	0.3899806	"Lung_TS"	"0.003415254525-0.1969505575"	"0-0.96484913"
"ENSG00000185267.5"	0.029072905	0.3615272	"Lung_TS"	"0.0009023101-0.13857312"	"0-0.9660299575"
"ENSG00000187522.9"	0.07399855	0.29458805	"Lung_TS"	"0.0045356799-0.2082989775"	"0-0.922693525"
"ENSG00000152455.11"	0.04588726	0.3074018	"Lung_TS"	"0.002192496025-0.1612428375"	"0-0.9493988725"
"ENSG00000152457.13"	0.0138693	0.2830673	"Lung_TS"	"0.00037198646-0.0783390694999999"	"0-0.969855275"
"ENSG00000197889.5"	0.02163465	0.4715104	"Lung_TS"	"0.0007700251-0.110741845"	"0.02340858475-0.9689503"
"ENSG00000152463.10"	0.06429948	0.4717259	"Lung_TS"	"0.003870857025-0.196318145"	"0.02084094425-0.97263406"
"ENSG00000176244.6"	0.062088685	0.19183315	"Lung_TS"	"0.0031886876-0.183202875"	"0-0.9307173675"
"ENSG00000176236.4"	0.06731779	0.43802505	"Lung_TS"	"0.002576751-0.2134698075"	"0-0.971502375"
"ENSG00000152464.10"	0.026528445	0.2546168	"Lung_TS"	"0.0008234539775-0.11124112"	"0-0.9548879275"
