"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.13405475	0.25965435	"Lung_TW"	"0.012416239-0.3375520325"	"0-0.958947935"
"ENSG00000015171.14"	0.044622015	0.4253934	"Lung_TW"	"0.001676905625-0.2285970225"	"0-0.9658801125"
"ENSG00000151240.11"	0.065025505	0.45340505	"Lung_TW"	"0.002869766125-0.2616429425"	"0.0155299455-0.972178085"
"ENSG00000180525.9"	0.03600062	0.3670757	"Lung_TW"	"0.001211912325-0.188380235"	"0-0.9679246275"
"ENSG00000107929.9"	0.07915741	0.38185735	"Lung_TW"	"0.00320801525-0.2820579675"	"0-0.9740014425"
"ENSG00000205740.1"	0.2109694	0.24764495	"Lung_TW"	"0.02077306975-0.4952119925"	"0-0.9462856325"
"ENSG00000107937.14"	0.1409816	0.17520815	"Lung_TW"	"0.00903291825-0.389967274999999"	"0-0.9281141175"
"ENSG00000148377.5"	0.060683365	0.46705395	"Lung_TW"	"0.001880246325-0.298986075"	"0.003206158-0.9691891525"
"ENSG00000067064.6"	0.047696855	0.24962165	"Lung_TW"	"0.0014632034-0.2179390925"	"0-0.9579618775"
"ENSG00000047056.10"	0.14001765	0.3163548	"Lung_TW"	"0.00581996715-0.4099643275"	"0-0.95748578"
"ENSG00000185736.11"	0.20571305	0.4770065	"Lung_TW"	"0.01342740775-0.5813761725"	"0-0.97386233"
"ENSG00000067057.11"	0.054669365	0.36552415	"Lung_TW"	"0.002113092-0.2610275025"	"0-0.967452725"
"ENSG00000107959.11"	0.08599911	0.4344432	"Lung_TW"	"0.00408118275-0.31782052"	"0-0.9721282375"
"ENSG00000067082.10"	0.16545795	0.4267489	"Lung_TW"	"0.009673156575-0.45900141"	"0-0.97077882"
"ENSG00000165568.13"	0.1402952	0.4986624	"Lung_TW"	"0.00994398695-0.371063884999999"	"0-0.9803681875"
"ENSG00000187134.8"	0.3648472	0.7433238	"Lung_TW"	"0.12189433-0.6187134475"	"0.003803411075-0.9904261"
"ENSG00000151632.12"	0.3393491	0.5525779	"Lung_TW"	"0.068725478-0.651376175"	"0-0.97818137"
"ENSG00000196139.7"	0.155954	0.49460965	"Lung_TW"	"0.00815570695-0.4393354"	"0-0.976461915"
"ENSG00000196326.6"	0.20118075	0.4096435	"Lung_TW"	"0.014054002-0.5063394625"	"0-0.9628812325"
"ENSG00000198610.6"	0.051415915	0.3206121	"Lung_TW"	"0.00180820445-0.2550346625"	"0-0.95730948"
"ENSG00000178473.5"	0.080250295	0.28266465	"Lung_TW"	"0.002664331125-0.3316212275"	"0-0.957899495"
"ENSG00000178462.7"	0.06073004	0.489862	"Lung_TW"	"0.00246991105-0.2922427025"	"0.01547997275-0.9747047"
"ENSG00000173848.14"	0.17696995	0.3424408	"Lung_TW"	"0.017526803-0.4292567825"	"0-0.9681272125"
"ENSG00000178372.6"	0.0780059	0.40395485	"Lung_TW"	"0.002421706-0.345971044999999"	"0-0.9715110525"
"ENSG00000178363.3"	0.16919865	0.52747445	"Lung_TW"	"0.0128642605-0.4287842425"	"0.0208648945-0.9754276575"
"ENSG00000196372.8"	0.1740276	0.26403255	"Lung_TW"	"0.0092196208-0.50640183"	"0-0.9421749475"
"ENSG00000108021.15"	0.26398865	0.4209395	"Lung_TW"	"0.0389130335-0.5354067825"	"0.0057858081-0.9733794375"
"ENSG00000057608.11"	0.08851724	0.3962279	"Lung_TW"	"0.003906446275-0.3224463475"	"0-0.9666344"
"ENSG00000134461.11"	0.081719135	0.3366278	"Lung_TW"	"0.00324187885-0.3344414375"	"0-0.965441"
"ENSG00000134452.14"	0.12581795	0.38394585	"Lung_TW"	"0.004820644475-0.4451916225"	"0-0.9613391525"
"ENSG00000134470.15"	0.06083964	0.2896186	"Lung_TW"	"0.002062158125-0.27151575"	"0-0.9582163175"
"ENSG00000134460.11"	0.07439921	0.20654515	"Lung_TW"	"0.002008705575-0.3410587"	"0-0.94572888"
"ENSG00000134453.11"	0.09822018	0.4875137	"Lung_TW"	"0.00411141625-0.3741043225"	"0.0116604315-0.971787105"
"ENSG00000170525.14"	0.1705896	0.50400865	"Lung_TW"	"0.0094238721-0.4852058075"	"0.02451359175-0.977160525"
"ENSG00000215244.1"	0.29603865	0.4395182	"Lung_TW"	"0.03044875475-0.6484193625"	"0.01989212275-0.967567575"
