"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.02070051	0.5134905	"Muscle-Skeletal_TS"	"0.0009693638025-0.0908612717499999"	"0.026594537-0.971867995"
"ENSG00000151240.11"	0.01726601	0.5046074	"Muscle-Skeletal_TS"	"0.0006214739-0.08830344925"	"0.0292867615-0.9751912125"
"ENSG00000180525.9"	0.027003245	0.30187535	"Muscle-Skeletal_TS"	"0.001220102875-0.1039933"	"0-0.9600266875"
"ENSG00000107929.9"	0.015809135	0.50112295	"Muscle-Skeletal_TS"	"0.0006926689525-0.0704604109999998"	"0.0284727005-0.973390805"
"ENSG00000107937.14"	0.02388147	0.3806482	"Muscle-Skeletal_TS"	"0.0008074936-0.0992523597499998"	"0-0.9603619"
"ENSG00000148377.5"	0.13534505	0.5659925	"Muscle-Skeletal_TS"	"0.06203425225-0.2278748"	"2.68025745000002e-07-0.9807112775"
"ENSG00000067064.6"	0.018116695	0.513995	"Muscle-Skeletal_TS"	"0.0007505625-0.0829420834999999"	"0.02204342-0.9735506425"
"ENSG00000047056.10"	0.044485545	0.39708025	"Muscle-Skeletal_TS"	"0.00264263555-0.139019755"	"0-0.968057595"
"ENSG00000185736.11"	0.070008715	0.3866048	"Muscle-Skeletal_TS"	"0.007207377425-0.168174185"	"0-0.9703017675"
"ENSG00000067057.11"	0.10314785	0.77612175	"Muscle-Skeletal_TS"	"0.03635671-0.19401983"	"0.1383826225-0.988856995"
"ENSG00000107959.11"	0.02667989	0.1920972	"Muscle-Skeletal_TS"	"0.001042619125-0.109326165"	"0-0.94489756"
"ENSG00000067082.10"	0.05165342	0.58268825	"Muscle-Skeletal_TS"	"0.002232003-0.1446326"	"0-0.98702397"
"ENSG00000165568.13"	0.027310545	0.2965081	"Muscle-Skeletal_TS"	"0.001226957375-0.1109966425"	"0-0.95741125"
"ENSG00000187134.8"	0.11582125	0.49927295	"Muscle-Skeletal_TS"	"0.02489231525-0.239865685"	"0.0262084485-0.9769366275"
"ENSG00000151632.12"	0.28999075	0.52629215	"Muscle-Skeletal_TS"	"0.18338161-0.405761285"	"0.2567114-0.8832385125"
"ENSG00000196139.7"	0.1885802	0.8407126	"Muscle-Skeletal_TS"	"0.099241785-0.2995214225"	"0.4295632275-0.99385481"
"ENSG00000198610.6"	0.026920705	0.3776221	"Muscle-Skeletal_TS"	"0.001375961-0.09900006025"	"0-0.965574835"
"ENSG00000178473.5"	0.05566642	0.5013688	"Muscle-Skeletal_TS"	"0.0043796443-0.1660170125"	"0.02571674275-0.9765191275"
"ENSG00000178462.7"	0.10683465	0.8412754	"Muscle-Skeletal_TS"	"0.0463770525-0.1874116725"	"0.4013280325-0.9929076"
"ENSG00000173848.14"	0.0310697	0.4995526	"Muscle-Skeletal_TS"	"0.00097088373-0.11911369"	"0.025345688-0.97243437"
"ENSG00000178372.6"	0.02711988	0.3488855	"Muscle-Skeletal_TS"	"0.00104448375-0.10568316"	"0-0.96411404"
"ENSG00000178363.3"	0.08829437	0.30642025	"Muscle-Skeletal_TS"	"0.01635353825-0.1952273075"	"0-0.9530928925"
"ENSG00000196372.8"	0.056604165	0.2892282	"Muscle-Skeletal_TS"	"0.002756964-0.1649499675"	"0-0.9616613575"
"ENSG00000108021.15"	0.03939745	0.3371693	"Muscle-Skeletal_TS"	"0.001803984175-0.1423427025"	"0-0.9607642775"
"ENSG00000057608.11"	0.03209735	0.428532	"Muscle-Skeletal_TS"	"0.001336458-0.1180435525"	"0.019290291-0.9699634275"
"ENSG00000134461.11"	0.060183485	0.14248295	"Muscle-Skeletal_TS"	"0.00344963115-0.195279595"	"0-0.8948307025"
"ENSG00000134452.14"	0.032835285	0.1984817	"Muscle-Skeletal_TS"	"0.001390308875-0.11549485"	"0-0.95019457"
"ENSG00000134470.15"	0.046047025	0.45482855	"Muscle-Skeletal_TS"	"0.00286725885-0.1386847675"	"0.01630214325-0.9710650575"
"ENSG00000134460.11"	0.04329664	0.44577255	"Muscle-Skeletal_TS"	"0.00197821985-0.148604"	"0-0.96541995"
"ENSG00000134453.11"	0.02156811	0.20729815	"Muscle-Skeletal_TS"	"0.0007871238-0.0929342264999999"	"0-0.9495154075"
"ENSG00000170525.14"	0.057455985	0.5102501	"Muscle-Skeletal_TS"	"0.004331037475-0.16543181"	"0.02669482075-0.974987005"
"ENSG00000215244.1"	0.026451135	0.09402839	"Muscle-Skeletal_TS"	"0.000969475405-0.1107037925"	"0-0.916303615"
"ENSG00000212743.1"	0.02805418	0.27364355	"Muscle-Skeletal_TS"	"0.001275517225-0.1063008675"	"0-0.958764395"
"ENSG00000065675.10"	0.029242515	0.19141405	"Muscle-Skeletal_TS"	"0.00101263955-0.12044066"	"0-0.93734151"
"ENSG00000198879.7"	0.06877154	0.42823	"Muscle-Skeletal_TS"	"0.005905914225-0.1763463075"	"0-0.970607535"
"ENSG00000123243.10"	0.025286155	0.33183455	"Muscle-Skeletal_TS"	"0.0008311835675-0.118090515"	"0-0.9635943225"
"ENSG00000151655.13"	0.053178345	0.6413045	"Muscle-Skeletal_TS"	"0.001302774375-0.14808088"	"0-0.9841936"
"ENSG00000151657.6"	0.044079475	0.103075	"Muscle-Skeletal_TS"	"0.002024410125-0.1387955675"	"0-0.91029314"
"ENSG00000165629.15"	0.1090089	0.1962553	"Muscle-Skeletal_TS"	"0.0252583235-0.2212405525"	"0-0.9204134375"
"ENSG00000165632.7"	0.040330785	0.49059075	"Muscle-Skeletal_TS"	"0.0020144713-0.1337299"	"0.029047946-0.96835155"
"ENSG00000107485.11"	0.089420385	0.44264175	"Muscle-Skeletal_TS"	"0.0081848938-0.206487935"	"0-0.9660216975"
"ENSG00000048740.12"	0.02282188	0.36833005	"Muscle-Skeletal_TS"	"0.000982902025-0.09167061625"	"0-0.9701341"
"ENSG00000148429.9"	0.07765608	0.4166819	"Muscle-Skeletal_TS"	"0.006317442075-0.2040167475"	"0-0.9627423675"
"ENSG00000134463.10"	0.05145323	0.39792285	"Muscle-Skeletal_TS"	"0.004013296475-0.1453646025"	"0-0.962361875"
"ENSG00000148426.8"	0.20147625	0.77044675	"Muscle-Skeletal_TS"	"0.1120500525-0.3061273775"	"0.432066-0.9832426125"
"ENSG00000151461.15"	0.0239394	0.205793	"Muscle-Skeletal_TS"	"0.0009422348975-0.0950726622499999"	"0-0.9530047875"
"ENSG00000181192.7"	0.03123286	0.10159715	"Muscle-Skeletal_TS"	"0.0011345042-0.1120204"	"0-0.909261835"
"ENSG00000065665.16"	0.04800786	0.24809105	"Muscle-Skeletal_TS"	"0.002042897725-0.148008905"	"0-0.938492515"
"ENSG00000165609.8"	0.03056263	0.3597512	"Muscle-Skeletal_TS"	"0.001020110175-0.1189275575"	"0-0.965253895"
