"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.02880455	0.2983299	"Muscle-Skeletal_TW"	"0.000988377365-0.1414325675"	"0-0.9609365"
"ENSG00000015171.14"	0.096135825	0.3607571	"Muscle-Skeletal_TW"	"0.009954380475-0.260766925"	"0-0.97101653"
"ENSG00000151240.11"	0.03899987	0.2116376	"Muscle-Skeletal_TW"	"0.0012397009-0.192819165"	"0-0.9471275525"
"ENSG00000180525.9"	0.052382645	0.3493077	"Muscle-Skeletal_TW"	"0.00213189305-0.2047950925"	"0-0.9600666575"
"ENSG00000107929.9"	0.13139825	0.25731925	"Muscle-Skeletal_TW"	"0.0101633375-0.3429616775"	"0-0.954444125"
"ENSG00000205740.1"	0.075700265	0.4830489	"Muscle-Skeletal_TW"	"0.004545876225-0.24727724"	"0.01704254375-0.9720328075"
"ENSG00000107937.14"	0.03333098	0.28705155	"Muscle-Skeletal_TW"	"0.0011503692-0.160438395"	"0-0.958443335"
"ENSG00000148377.5"	0.21413005	0.2087434	"Muscle-Skeletal_TW"	"0.0388012625-0.4185132575"	"0-0.93025041"
"ENSG00000067064.6"	0.06118096	0.5053937	"Muscle-Skeletal_TW"	"0.002564104075-0.22787679"	"0.0216521595-0.978341005"
"ENSG00000047056.10"	0.04212625	0.26294855	"Muscle-Skeletal_TW"	"0.001523043-0.178111084999999"	"0-0.9539265425"
"ENSG00000185736.11"	0.137195	0.60546805	"Muscle-Skeletal_TW"	"0.0087096887-0.3174673"	"0-0.98685781"
"ENSG00000067057.11"	0.15163885	0.47414865	"Muscle-Skeletal_TW"	"0.010117534825-0.405903305"	"0-0.9756243925"
"ENSG00000107959.11"	0.1736718	0.29749885	"Muscle-Skeletal_TW"	"0.013821567-0.41873556"	"0-0.95024659"
"ENSG00000067082.10"	0.15953245	0.38085765	"Muscle-Skeletal_TW"	"0.01701065075-0.357657625"	"0.004370917075-0.9622931175"
"ENSG00000165568.13"	0.064805325	0.47315735	"Muscle-Skeletal_TW"	"0.003660839475-0.231448045"	"0.021858993-0.97770267"
"ENSG00000187134.8"	0.114208	0.4121876	"Muscle-Skeletal_TW"	"0.005581752075-0.3442918525"	"0-0.96286919"
"ENSG00000151632.12"	0.3373277	0.81522885	"Muscle-Skeletal_TW"	"0.17316143-0.4963482175"	"0.4429912375-0.9914260925"
"ENSG00000196139.7"	0.37031025	0.7377531	"Muscle-Skeletal_TW"	"0.1949607-0.5572754725"	"0.3533334925-0.9839536075"
"ENSG00000196326.6"	0.0829854	0.2895964	"Muscle-Skeletal_TW"	"0.004090454225-0.25934705"	"0-0.957987275"
"ENSG00000198610.6"	0.04371823	0.50299145	"Muscle-Skeletal_TW"	"0.001738524475-0.184676515"	"0.02552250575-0.9739556175"
"ENSG00000178473.5"	0.051829865	0.4585464	"Muscle-Skeletal_TW"	"0.0018044185-0.2275851775"	"0.005642600175-0.9763291225"
"ENSG00000178462.7"	0.1324314	0.35041925	"Muscle-Skeletal_TW"	"0.0102987785-0.335201245"	"0-0.9697332375"
"ENSG00000173848.14"	0.066527095	0.395434	"Muscle-Skeletal_TW"	"0.002182187375-0.26312109"	"0-0.9649052525"
"ENSG00000178372.6"	0.061909835	0.142628	"Muscle-Skeletal_TW"	"0.002123889375-0.2335029225"	"0-0.9359184525"
"ENSG00000178363.3"	0.10083235	0.3102155	"Muscle-Skeletal_TW"	"0.00472775265-0.336064975"	"0-0.9563912475"
"ENSG00000196372.8"	0.1005827	0.4038402	"Muscle-Skeletal_TW"	"0.004367592775-0.3224012075"	"0-0.968729345"
"ENSG00000108021.15"	0.0985462	0.15743555	"Muscle-Skeletal_TW"	"0.003969072225-0.3153695825"	"0-0.939059495"
"ENSG00000057608.11"	0.1625696	0.4264622	"Muscle-Skeletal_TW"	"0.0101526535-0.42622518"	"0-0.975821095"
"ENSG00000134461.11"	0.053695765	0.48295605	"Muscle-Skeletal_TW"	"0.00219503665-0.24928181"	"0.02162761475-0.9705912175"
"ENSG00000134452.14"	0.049259615	0.32478135	"Muscle-Skeletal_TW"	"0.001603621-0.2244543825"	"0-0.9633752075"
"ENSG00000134470.15"	0.2445079	0.752847	"Muscle-Skeletal_TW"	"0.07052754125-0.4407417575"	"0.141004575-0.9895377375"
"ENSG00000134460.11"	0.11473605	0.4397292	"Muscle-Skeletal_TW"	"0.00518859735-0.382836535"	"0.003400796625-0.9730809125"
"ENSG00000134453.11"	0.1869355	0.32954085	"Muscle-Skeletal_TW"	"0.0123772175-0.4713091825"	"0-0.9491207"
"ENSG00000170525.14"	0.1017726	0.39241255	"Muscle-Skeletal_TW"	"0.004210153925-0.3286722025"	"0-0.9698086275"
"ENSG00000215244.1"	0.093968255	0.4237081	"Muscle-Skeletal_TW"	"0.004430201525-0.3035858225"	"0-0.967977115"
"ENSG00000212743.1"	0.0948427	0.4301617	"Muscle-Skeletal_TW"	"0.0050467849-0.2934051175"	"0-0.9661616"
"ENSG00000065675.10"	0.1519995	0.526168	"Muscle-Skeletal_TW"	"0.00704018325-0.473482007499999"	"0.01654896-0.97357062"
"ENSG00000198879.7"	0.1318567	0.49327165	"Muscle-Skeletal_TW"	"0.0080400724-0.36161001"	"0-0.9775338425"
"ENSG00000123243.10"	0.05827278	0.3684806	"Muscle-Skeletal_TW"	"0.002405757375-0.2560278775"	"0-0.9716604275"
"ENSG00000151655.13"	0.2821983	0.6512259	"Muscle-Skeletal_TW"	"0.08874602475-0.53498742"	"0.01218230675-0.98585437"
