"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.06789072	0.2987915	"Nerve-Tibial_TS"	"0.00642976745-0.1985985775"	"0-0.95875879"
"ENSG00000151240.11"	0.07538677	0.4149592	"Nerve-Tibial_TS"	"0.008334727875-0.19448813"	"0-0.96976206"
"ENSG00000180525.9"	0.04233031	0.1225543	"Nerve-Tibial_TS"	"0.001765008375-0.1488662375"	"0-0.9249805625"
"ENSG00000107929.9"	0.023433435	0.19990625	"Nerve-Tibial_TS"	"0.0007016185-0.1029397125"	"0-0.960905522499999"
"ENSG00000107937.14"	0.048875435	0.41497535	"Nerve-Tibial_TS"	"0.00387619755-0.150175495"	"9.896278775e-06-0.9696283475"
"ENSG00000148377.5"	0.048908515	0.19573335	"Nerve-Tibial_TS"	"0.00197949705-0.18663509"	"0-0.9365344"
"ENSG00000067064.6"	0.029486565	0.44567695	"Nerve-Tibial_TS"	"0.001243292475-0.12483446"	"0-0.9722131225"
"ENSG00000047056.10"	0.2475918	0.7905354	"Nerve-Tibial_TS"	"0.1376811-0.3708424"	"0.1733887525-0.9916292725"
"ENSG00000185736.11"	0.08352643	0.801812	"Nerve-Tibial_TS"	"0.00547203145-0.1829337"	"0-0.9906161775"
"ENSG00000067057.11"	0.04670045	0.5107553	"Nerve-Tibial_TS"	"0.0020327393-0.169459435"	"0.02688545825-0.976778445"
"ENSG00000107959.11"	0.018152635	0.33652895	"Nerve-Tibial_TS"	"0.0007596378-0.0876627694999999"	"0-0.9661065"
"ENSG00000067082.10"	0.043263625	0.3649348	"Nerve-Tibial_TS"	"0.00219477475-0.1558800275"	"0-0.9660302"
"ENSG00000165568.13"	0.069660695	0.3805942	"Nerve-Tibial_TS"	"0.00454372425-0.1977205375"	"0-0.9688560725"
"ENSG00000187134.8"	0.02311911	0.49926005	"Nerve-Tibial_TS"	"0.0009268549-0.11066212"	"0.026062071-0.9764128"
"ENSG00000151632.12"	0.051547775	0.4823798	"Nerve-Tibial_TS"	"0.0023123227-0.16924235"	"0.02259534-0.97650742"
"ENSG00000196139.7"	0.18185905	0.3129094	"Nerve-Tibial_TS"	"0.062467154-0.328260675"	"1.25483572500001e-06-0.914444935"
"ENSG00000198610.6"	0.041783375	0.3262479	"Nerve-Tibial_TS"	"0.001503951675-0.1615224825"	"0-0.9562387025"
