"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.13215825	0.38401155	"Nerve-Tibial_TW"	"0.006091756425-0.3977421725"	"0-0.9640925325"
"ENSG00000015171.14"	0.17227275	0.49293165	"Nerve-Tibial_TW"	"0.02113437675-0.39513489"	"0.02681277125-0.9766762775"
"ENSG00000151240.11"	0.11419815	0.48773015	"Nerve-Tibial_TW"	"0.005551023-0.3811496325"	"0.02450178925-0.97162113"
"ENSG00000180525.9"	0.07336915	0.25617945	"Nerve-Tibial_TW"	"0.002488549925-0.3212717125"	"0-0.95035942"
"ENSG00000107929.9"	0.05980452	0.4149859	"Nerve-Tibial_TW"	"0.00213451505-0.2504671925"	"0-0.9708474825"
"ENSG00000205740.1"	0.067653255	0.45046695	"Nerve-Tibial_TW"	"0.0024403424-0.28079823"	"0-0.9652778"
"ENSG00000107937.14"	0.18979445	0.35269245	"Nerve-Tibial_TW"	"0.01044901375-0.5115198"	"0-0.9589597"
"ENSG00000148377.5"	0.1502634	0.30525135	"Nerve-Tibial_TW"	"0.0080248395-0.4752294275"	"0-0.9549231"
"ENSG00000067064.6"	0.074734985	0.3169271	"Nerve-Tibial_TW"	"0.002430603-0.31292565"	"0-0.9595732225"
"ENSG00000047056.10"	0.36503575	0.853792	"Nerve-Tibial_TW"	"0.18612438-0.5567565575"	"0.4328892675-0.993074"
"ENSG00000185736.11"	0.0964729	0.464447	"Nerve-Tibial_TW"	"0.003402960025-0.4057628025"	"0.004221355125-0.96718735"
"ENSG00000067057.11"	0.1266285	0.2640313	"Nerve-Tibial_TW"	"0.004849638725-0.4602316475"	"0-0.94732629"
"ENSG00000107959.11"	0.44578145	0.9203401	"Nerve-Tibial_TW"	"0.2776855-0.6093359"	"0.6607659475-0.9968685"
"ENSG00000067082.10"	0.082921285	0.49129865	"Nerve-Tibial_TW"	"0.003309612925-0.299263504999999"	"0.00638746125-0.9747466125"
"ENSG00000165568.13"	0.36939555	0.15782215	"Nerve-Tibial_TW"	"0.072918871-0.729721235"	"0-0.9183564625"
"ENSG00000187134.8"	0.27604235	0.4965927	"Nerve-Tibial_TW"	"0.0353560165-0.5610307175"	"0.008298779275-0.9771151725"
"ENSG00000151632.12"	0.2584029	0.34556115	"Nerve-Tibial_TW"	"0.02897103075-0.5529866625"	"0-0.9514076"
"ENSG00000196139.7"	0.15394205	0.51142585	"Nerve-Tibial_TW"	"0.009635835275-0.424648075"	"0.02275568-0.9766732075"
"ENSG00000196326.6"	0.1159066	0.3819102	"Nerve-Tibial_TW"	"0.005194478425-0.37798659"	"0-0.965367"
"ENSG00000198610.6"	0.11480835	0.34821925	"Nerve-Tibial_TW"	"0.006040280525-0.371697225"	"0-0.963159415"
"ENSG00000178473.5"	0.333887	0.76590225	"Nerve-Tibial_TW"	"0.042669748-0.5977017"	"0.02521359625-0.9894058625"
"ENSG00000178462.7"	0.07103483	0.4131277	"Nerve-Tibial_TW"	"0.002950061-0.29101487"	"0-0.9666195225"
"ENSG00000173848.14"	0.42191465	0.2504622	"Nerve-Tibial_TW"	"0.0883602145-0.7155818675"	"0-0.9385873525"
"ENSG00000178372.6"	0.1998095	0.37938845	"Nerve-Tibial_TW"	"0.0119043885-0.530578915"	"0-0.9660872925"
"ENSG00000178363.3"	0.070411625	0.49943305	"Nerve-Tibial_TW"	"0.003050375025-0.28559426"	"0.02679868325-0.97635494"
"ENSG00000196372.8"	0.16985535	0.37912915	"Nerve-Tibial_TW"	"0.0082875214-0.504547715"	"0-0.966190295"
"ENSG00000108021.15"	0.1057299	0.36278775	"Nerve-Tibial_TW"	"0.005118125275-0.354500315"	"0-0.96496354"
"ENSG00000057608.11"	0.3109415	0.3674249	"Nerve-Tibial_TW"	"0.052151581-0.6261959325"	"0-0.963440335"
"ENSG00000134461.11"	0.11470745	0.39888305	"Nerve-Tibial_TW"	"0.00439189665-0.4082456175"	"0.003653879875-0.9636853875"
"ENSG00000134452.14"	0.2228232	0.40853985	"Nerve-Tibial_TW"	"0.02080287825-0.539402345"	"0.006219838975-0.96287703"
"ENSG00000134470.15"	0.117995	0.38597415	"Nerve-Tibial_TW"	"0.00464085215-0.447499169999999"	"0-0.96174031"
"ENSG00000134460.11"	0.07898854	0.463326	"Nerve-Tibial_TW"	"0.00296108585-0.3303254675"	"0.01753711525-0.969933945"
"ENSG00000134453.11"	0.071231965	0.2665491	"Nerve-Tibial_TW"	"0.0021422611-0.314530145"	"0-0.9525012175"
"ENSG00000170525.14"	0.5327165	0.189981	"Nerve-Tibial_TW"	"0.0991412095-0.873314615"	"0-0.8759220775"
"ENSG00000215244.1"	0.3097968	0.46375035	"Nerve-Tibial_TW"	"0.038643365-0.65471919"	"0.021741454-0.9697305975"
"ENSG00000212743.1"	0.2581052	0.4100339	"Nerve-Tibial_TW"	"0.03456277775-0.5381721625"	"0-0.969532415"
"ENSG00000065675.10"	0.099526655	0.5061778	"Nerve-Tibial_TW"	"0.002893920825-0.3905888"	"0-0.97934085"
"ENSG00000198879.7"	0.17311855	0.2311875	"Nerve-Tibial_TW"	"0.005865515775-0.604536804999999"	"0-0.9488348175"
"ENSG00000123243.10"	0.23014455	0.45314045	"Nerve-Tibial_TW"	"0.0150820995-0.57262164"	"0-0.9756762675"
"ENSG00000151655.13"	0.19176855	0.62766315	"Nerve-Tibial_TW"	"0.02364435925-0.4353058725"	"0.00157594305-0.9887040125"
"ENSG00000151657.6"	0.05324954	0.2724103	"Nerve-Tibial_TW"	"0.001462981-0.2590864025"	"0-0.960289555"
"ENSG00000165629.15"	0.32910025	0.25479	"Nerve-Tibial_TW"	"0.0619601785-0.6076739475"	"0-0.9378322175"
"ENSG00000165632.7"	0.08461692	0.497182	"Nerve-Tibial_TW"	"0.00359496295-0.324099895"	"0.0236933775-0.97290298"
"ENSG00000107485.11"	0.1660847	0.2902183	"Nerve-Tibial_TW"	"0.008138771775-0.4778976575"	"0-0.952316695"
"ENSG00000048740.12"	0.1611449	0.53517645	"Nerve-Tibial_TW"	"0.0067473005-0.4841024675"	"0.01064613525-0.98177159"
"ENSG00000148429.9"	0.19319565	0.4378645	"Nerve-Tibial_TW"	"0.01059041875-0.5520140975"	"0.004243747025-0.9712868725"
"ENSG00000134463.10"	0.1588431	0.38439535	"Nerve-Tibial_TW"	"0.00761006605-0.4821899525"	"0-0.9636231675"
"ENSG00000148426.8"	0.1394079	0.40349395	"Nerve-Tibial_TW"	"0.0065473067-0.43638212"	"0-0.9679984425"
"ENSG00000151461.15"	0.1884538	0.524739	"Nerve-Tibial_TW"	"0.01159695-0.496297185"	"0.02286277575-0.97687342"
"ENSG00000181192.7"	0.07548105	0.44497625	"Nerve-Tibial_TW"	"0.003077964-0.3204850775"	"0.012189163-0.966372805"
"ENSG00000065665.16"	0.40768155	0.5611189	"Nerve-Tibial_TW"	"0.142429125-0.7044976675"	"0-0.97665255"
"ENSG00000165609.8"	0.10565755	0.5026536	"Nerve-Tibial_TW"	"0.0040149637-0.40709129"	"0.02167296975-0.973012615"
"ENSG00000151465.9"	0.14253965	0.41955525	"Nerve-Tibial_TW"	"0.005447254525-0.452252589999999"	"0-0.9693662525"
"ENSG00000183049.8"	0.1311792	0.40972975	"Nerve-Tibial_TW"	"0.005633014875-0.443524865"	"0-0.9691101525"
"ENSG00000151468.9"	0.1776765	0.47935145	"Nerve-Tibial_TW"	"0.00787981235-0.5589050775"	"0.02510066225-0.9725649375"
"ENSG00000123240.12"	0.1257215	0.26050305	"Nerve-Tibial_TW"	"0.00414800455-0.451989755"	"0-0.9542591075"
"ENSG00000065328.12"	0.1150692	0.42202655	"Nerve-Tibial_TW"	"0.0037755952-0.4705101075"	"0-0.968851515"
"ENSG00000165623.5"	0.10743875	0.5120235	"Nerve-Tibial_TW"	"0.00350119745-0.3816185"	"0-0.979269375"
"ENSG00000107537.9"	0.3046102	0.3610391	"Nerve-Tibial_TW"	"0.01626037025-0.7503866725"	"0.000656541095-0.9580238075"
"ENSG00000226209.1"	0.08160444	0.4621506	"Nerve-Tibial_TW"	"0.00217306205-0.3753702"	"0-0.9788640325"
"ENSG00000086475.10"	0.1248286	0.34428335	"Nerve-Tibial_TW"	"0.004756291275-0.434015905"	"0-0.96070755"
"ENSG00000165626.12"	0.27333555	0.52379565	"Nerve-Tibial_TW"	"0.040490237-0.5500581375"	"0.01499006825-0.97686661"
"ENSG00000165630.9"	0.42224235	0.3529977	"Nerve-Tibial_TW"	"0.07393986525-0.77438665"	"0-0.9560569475"
"ENSG00000239665.3"	0.21784895	0.32499645	"Nerve-Tibial_TW"	"0.0171780915-0.50888081"	"0-0.9566925675"
"ENSG00000151474.15"	0.090534415	0.3923695	"Nerve-Tibial_TW"	"0.0033337351-0.41617784"	"0-0.970951075"
"ENSG00000065809.9"	0.2159341	0.52664165	"Nerve-Tibial_TW"	"0.010020750125-0.582485699999999"	"0.000435933560000001-0.9815963475"
"ENSG00000185267.5"	0.085338385	0.45316095	"Nerve-Tibial_TW"	"0.003501582625-0.3194434875"	"0-0.9725209325"
"ENSG00000187522.9"	0.11401005	0.36033185	"Nerve-Tibial_TW"	"0.004225344475-0.4481244725"	"0-0.9650333875"
