"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.084617715	0.28419095	"Skin-SunExposed(Lowerleg)_TS"	"0.01675385725-0.2104302975"	"0-0.95649451"
"ENSG00000151240.11"	0.08293854	0.53554935	"Skin-SunExposed(Lowerleg)_TS"	"0.00844111975-0.204105435"	"0-0.9829387625"
"ENSG00000180525.9"	0.09641403	0.67285175	"Skin-SunExposed(Lowerleg)_TS"	"0.0113042955-0.1951036125"	"0.04103469025-0.980204525"
"ENSG00000107929.9"	0.019891815	0.49039255	"Skin-SunExposed(Lowerleg)_TS"	"0.00081496007-0.0985390322499999"	"0.02255769875-0.9736269475"
"ENSG00000107937.14"	0.03814058	0.30968435	"Skin-SunExposed(Lowerleg)_TS"	"0.001595338-0.1270515975"	"0-0.963918105"
"ENSG00000148377.5"	0.10444125	0.4707459	"Skin-SunExposed(Lowerleg)_TS"	"0.01736759025-0.224174105"	"0.02188635875-0.9685446625"
"ENSG00000067064.6"	0.023171685	0.2379362	"Skin-SunExposed(Lowerleg)_TS"	"0.0007756566225-0.1054270875"	"0-0.95021813"
"ENSG00000047056.10"	0.04898007	0.46054255	"Skin-SunExposed(Lowerleg)_TS"	"0.002696760175-0.1511164025"	"0.0226247265-0.969447785"
"ENSG00000185736.11"	0.039581915	0.1138703	"Skin-SunExposed(Lowerleg)_TS"	"0.001725394025-0.1419679375"	"0-0.907811995"
"ENSG00000067057.11"	0.04129303	0.4243948	"Skin-SunExposed(Lowerleg)_TS"	"0.0021837713-0.140319065"	"0-0.968931985"
"ENSG00000107959.11"	0.21045735	0.8791668	"Skin-SunExposed(Lowerleg)_TS"	"0.1224491325-0.3199815525"	"0.53893329-0.995024025"
"ENSG00000067082.10"	0.04923648	0.22026215	"Skin-SunExposed(Lowerleg)_TS"	"0.00272866-0.1479613325"	"0-0.9561587675"
"ENSG00000165568.13"	0.06018156	0.2863393	"Skin-SunExposed(Lowerleg)_TS"	"0.004808324875-0.16866317"	"0-0.9352519275"
"ENSG00000187134.8"	0.066464395	0.3854496	"Skin-SunExposed(Lowerleg)_TS"	"0.004720467725-0.1847657625"	"0-0.97163432"
"ENSG00000151632.12"	0.03304251	0.30211165	"Skin-SunExposed(Lowerleg)_TS"	"0.0014047275-0.1315689075"	"0-0.955764935"
"ENSG00000196139.7"	0.13257785	0.25756715	"Skin-SunExposed(Lowerleg)_TS"	"0.0302806605-0.272691645"	"0-0.9359596375"
"ENSG00000198610.6"	0.0780061	0.4839208	"Skin-SunExposed(Lowerleg)_TS"	"0.009345370425-0.18707244"	"0.000379805145000002-0.975359475"
"ENSG00000178473.5"	0.047362455	0.5013626	"Skin-SunExposed(Lowerleg)_TS"	"0.002121350725-0.1466402275"	"0-0.9760577625"
"ENSG00000178462.7"	0.1359771	0.67231685	"Skin-SunExposed(Lowerleg)_TS"	"0.03628604175-0.2647224175"	"0.033986864-0.98664586"
"ENSG00000173848.14"	0.0330588	0.48421225	"Skin-SunExposed(Lowerleg)_TS"	"0.001374883-0.136996905"	"0.003390468075-0.97493088"
"ENSG00000178372.6"	0.03791251	0.3406841	"Skin-SunExposed(Lowerleg)_TS"	"0.00153695485-0.1509735375"	"0-0.95332876"
"ENSG00000178363.3"	0.044730595	0.3493833	"Skin-SunExposed(Lowerleg)_TS"	"0.0024245292-0.1356343175"	"0-0.9575246525"
"ENSG00000196372.8"	0.040875635	0.4876508	"Skin-SunExposed(Lowerleg)_TS"	"0.00170926-0.1522718025"	"0.02139672775-0.9755487025"
"ENSG00000108021.15"	0.10734725	0.5497734	"Skin-SunExposed(Lowerleg)_TS"	"0.016157392-0.23270074"	"0-0.9810075425"
"ENSG00000057608.11"	0.05166293	0.260621	"Skin-SunExposed(Lowerleg)_TS"	"0.00333106295-0.16001545"	"0-0.9474993575"
"ENSG00000134461.11"	0.098245915	0.46126245	"Skin-SunExposed(Lowerleg)_TS"	"0.020448238-0.211876425"	"0.009281137925-0.9739851075"
"ENSG00000134452.14"	0.1379959	0.2794166	"Skin-SunExposed(Lowerleg)_TS"	"0.03621472775-0.266793995"	"0-0.9537658"
"ENSG00000134470.15"	0.0220881	0.4748544	"Skin-SunExposed(Lowerleg)_TS"	"0.0008634253-0.1027589325"	"0.01663042-0.9712760875"
"ENSG00000134460.11"	0.02044823	0.3681529	"Skin-SunExposed(Lowerleg)_TS"	"0.0006226487-0.0943294095"	"0-0.9606917"
"ENSG00000134453.11"	0.02759398	0.35792145	"Skin-SunExposed(Lowerleg)_TS"	"0.000878822495-0.1117021675"	"0-0.96934504"
"ENSG00000170525.14"	0.06588103	0.3918663	"Skin-SunExposed(Lowerleg)_TS"	"0.004029228125-0.1937512175"	"0-0.9669427075"
"ENSG00000215244.1"	0.042687675	0.21688505	"Skin-SunExposed(Lowerleg)_TS"	"0.00226972775-0.1478547525"	"0-0.9340521725"
"ENSG00000212743.1"	0.036660615	0.447756	"Skin-SunExposed(Lowerleg)_TS"	"0.00171034235-0.1396474325"	"0.0114866315-0.96978256"
"ENSG00000065675.10"	0.06209672	0.2942512	"Skin-SunExposed(Lowerleg)_TS"	"0.003233750225-0.1937236525"	"0-0.950654765"
"ENSG00000198879.7"	0.03135618	0.3008913	"Skin-SunExposed(Lowerleg)_TS"	"0.0008901107925-0.1499295475"	"0-0.9520904775"
"ENSG00000123243.10"	0.07173057	0.4386313	"Skin-SunExposed(Lowerleg)_TS"	"0.00710414095-0.1839091925"	"0-0.971566755"
"ENSG00000151655.13"	0.1330979	0.8067647	"Skin-SunExposed(Lowerleg)_TS"	"0.05897109325-0.24001789"	"0-0.99133693"
"ENSG00000151657.6"	0.0227723	0.34515755	"Skin-SunExposed(Lowerleg)_TS"	"0.0005670609-0.10949928"	"0-0.96871645"
"ENSG00000165629.15"	0.029969705	0.4789253	"Skin-SunExposed(Lowerleg)_TS"	"0.001302178775-0.1146232275"	"0.026249705-0.97039635"
"ENSG00000165632.7"	0.04683794	0.36081855	"Skin-SunExposed(Lowerleg)_TS"	"0.0022638238-0.1671220275"	"0-0.9627456575"
"ENSG00000107485.11"	0.0583868	0.2398299	"Skin-SunExposed(Lowerleg)_TS"	"0.0033731948-0.1676896"	"0-0.9479003675"
"ENSG00000048740.12"	0.036575385	0.33198135	"Skin-SunExposed(Lowerleg)_TS"	"0.001570359425-0.130796965"	"0-0.9614355"
