"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.1747215	0.4094046	"Skin-SunExposed(Lowerleg)_TW"	"0.020500255-0.3885999825"	"0-0.9652625775"
"ENSG00000015171.14"	0.13872095	0.33912255	"Skin-SunExposed(Lowerleg)_TW"	"0.0115655975-0.348055325"	"0-0.9610235225"
"ENSG00000151240.11"	0.03233835	0.2751802	"Skin-SunExposed(Lowerleg)_TW"	"0.00091887494-0.169038745"	"0-0.95534633"
"ENSG00000180525.9"	0.06024889	0.41529535	"Skin-SunExposed(Lowerleg)_TW"	"0.002529888225-0.2295375575"	"0-0.9618546"
"ENSG00000107929.9"	0.067423095	0.46161845	"Skin-SunExposed(Lowerleg)_TW"	"0.003039014-0.258078845"	"0.01523431525-0.9756547275"
"ENSG00000205740.1"	0.1546203	0.5151718	"Skin-SunExposed(Lowerleg)_TW"	"0.00953632495-0.4596110775"	"0.0257975945-0.9688089875"
"ENSG00000107937.14"	0.19265815	0.21162625	"Skin-SunExposed(Lowerleg)_TW"	"0.0147714865-0.48527653"	"0-0.9060027525"
"ENSG00000148377.5"	0.16800115	0.33735965	"Skin-SunExposed(Lowerleg)_TW"	"0.01278576975-0.4319352525"	"0-0.954660215"
"ENSG00000067064.6"	0.069621515	0.4975012	"Skin-SunExposed(Lowerleg)_TW"	"0.003289168025-0.253082455"	"0.02449488-0.9770703075"
"ENSG00000047056.10"	0.05048179	0.4072573	"Skin-SunExposed(Lowerleg)_TW"	"0.001796592525-0.2261649225"	"0-0.9744388325"
"ENSG00000185736.11"	0.1945475	0.49314355	"Skin-SunExposed(Lowerleg)_TW"	"0.0150852315-0.4596733825"	"0.0225855025-0.97545012"
"ENSG00000067057.11"	0.12111495	0.50170875	"Skin-SunExposed(Lowerleg)_TW"	"0.006917476225-0.3619637925"	"0.0227318325-0.97825867"
"ENSG00000107959.11"	0.26194705	0.4826764	"Skin-SunExposed(Lowerleg)_TW"	"0.041670377-0.506637775"	"0.00471423335-0.968374505"
"ENSG00000067082.10"	0.093352175	0.2227886	"Skin-SunExposed(Lowerleg)_TW"	"0.0028914196-0.351398115"	"0-0.95809661"
"ENSG00000165568.13"	0.26966675	0.3146109	"Skin-SunExposed(Lowerleg)_TW"	"0.071205787-0.527074855"	"0-0.9526338975"
"ENSG00000187134.8"	0.2873839	0.8125778	"Skin-SunExposed(Lowerleg)_TW"	"0.1339265475-0.4870378575"	"0.4198862475-0.9917287"
"ENSG00000151632.12"	0.298108	0.55863305	"Skin-SunExposed(Lowerleg)_TW"	"0.091083765-0.5871628725"	"0.003338696925-0.976277455"
"ENSG00000196139.7"	0.066238155	0.31872705	"Skin-SunExposed(Lowerleg)_TW"	"0.002404147-0.2704798925"	"0-0.9559439"
"ENSG00000196326.6"	0.070810175	0.31781955	"Skin-SunExposed(Lowerleg)_TW"	"0.002632859-0.273635709999999"	"0-0.963983295"
"ENSG00000198610.6"	0.06692418	0.2882579	"Skin-SunExposed(Lowerleg)_TW"	"0.0023583093-0.2594949575"	"0-0.96243903"
"ENSG00000178473.5"	0.10238825	0.2046244	"Skin-SunExposed(Lowerleg)_TW"	"0.004421258625-0.3363428475"	"0-0.9370759825"
"ENSG00000178462.7"	0.1679035	0.4412098	"Skin-SunExposed(Lowerleg)_TW"	"0.0138286965-0.3954466675"	"0-0.9721588"
"ENSG00000173848.14"	0.28382795	0.43349935	"Skin-SunExposed(Lowerleg)_TW"	"0.02768590825-0.6244957"	"0.009860101825-0.96536112"
"ENSG00000178372.6"	0.09014416	0.3379845	"Skin-SunExposed(Lowerleg)_TW"	"0.003612778675-0.318754135"	"0-0.965090495"
"ENSG00000178363.3"	0.16802085	0.3956932	"Skin-SunExposed(Lowerleg)_TW"	"0.009216884025-0.437715745"	"0-0.9691639825"
"ENSG00000196372.8"	0.09320469	0.3861928	"Skin-SunExposed(Lowerleg)_TW"	"0.0033119884-0.34511525"	"0-0.9596153625"
"ENSG00000108021.15"	0.05586073	0.23676245	"Skin-SunExposed(Lowerleg)_TW"	"0.001755125275-0.244046755"	"0-0.94887943"
"ENSG00000057608.11"	0.05568674	0.3693882	"Skin-SunExposed(Lowerleg)_TW"	"0.001769402-0.2459884"	"0-0.97657306"
"ENSG00000134461.11"	0.2625238	0.69324895	"Skin-SunExposed(Lowerleg)_TW"	"0.08395215025-0.4831558175"	"0.0196986295-0.9809889275"
"ENSG00000134452.14"	0.1813784	0.5681006	"Skin-SunExposed(Lowerleg)_TW"	"0.01451653325-0.400167505"	"0.0315193215-0.980434495"
"ENSG00000134470.15"	0.058594315	0.5197184	"Skin-SunExposed(Lowerleg)_TW"	"0.0026867385-0.2416193825"	"0.02687458-0.9734747825"
"ENSG00000134460.11"	0.065820945	0.3111774	"Skin-SunExposed(Lowerleg)_TW"	"0.00255701405-0.3219572125"	"0-0.96288288"
"ENSG00000134453.11"	0.0297729	0.2210525	"Skin-SunExposed(Lowerleg)_TW"	"0.00094138241-0.159556725"	"0-0.951889159999999"
"ENSG00000170525.14"	0.22544145	0.26419305	"Skin-SunExposed(Lowerleg)_TW"	"0.02118879275-0.508172839999999"	"0-0.93732821"
"ENSG00000215244.1"	0.14651095	0.46795875	"Skin-SunExposed(Lowerleg)_TW"	"0.009683683725-0.4223686"	"0.007653619625-0.9722763025"
"ENSG00000212743.1"	0.04128856	0.3902352	"Skin-SunExposed(Lowerleg)_TW"	"0.001719785475-0.19598006"	"0-0.9681173"
"ENSG00000065675.10"	0.1172652	0.4872889	"Skin-SunExposed(Lowerleg)_TW"	"0.004734409075-0.4211231775"	"0.0268999075-0.97332727"
"ENSG00000198879.7"	0.14411655	0.4792586	"Skin-SunExposed(Lowerleg)_TW"	"0.00842931035-0.427788804999999"	"0.02464575675-0.9736117275"
"ENSG00000123243.10"	0.043663925	0.43326035	"Skin-SunExposed(Lowerleg)_TW"	"0.001687998475-0.20194537"	"0.0069187095-0.9718408"
