"gene"	"R2"
"ZMYND11"	NA
"DIP2C"	0.0249428988516502
"PRR26"	0.000246685999529708
"LARP4B"	NA
"GTPBP4"	NA
"IDI2"	0.00225399171822309
"IDI1"	NA
"WDR37"	0.00283682795790775
"ADARB2"	0.0135564471533145
"PFKP"	0.000152632505123622
"PITRM1"	NA
"KLF6"	NA
"AKR1E2"	0.0046563560648095
"AKR1C1"	0.0648750794309945
"AKR1C2"	0.0036336588996768
"AKR1C3"	0.0351796173887626
"AKR1C4"	7.9270444805335e-05
"UCN3"	NA
"TUBAL3"	0.0282000293269887
"NET1"	NA
"CALML5"	0.0470775118905594
"CALML3"	NA
"ASB13"	0.00707985053982774
"FAM208B"	NA
"GDI2"	NA
"ANKRD16"	NA
"FBXO18"	NA
"IL15RA"	0.0217152639629111
"IL2RA"	NA
"RBM17"	NA
"PFKFB3"	0.00378227230966427
"AL137145.1"	NA
"DKFZP667F0711"	0.00108333050292424
"PRKCQ"	0.00526571427325641
"SFMBT2"	0.0142621319079666
"ITIH5"	NA
"ITIH2"	0.0190484097424031
"KIN"	0.00175312394937286
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	NA
"CELF2"	0.0105569118306381
"USP6NL"	NA
"ECHDC3"	0.117470155671818
"PROSER2"	0.0013358563208199
"UPF2"	0.0448292377122489
"DHTKD1"	NA
"SEC61A2"	0.00841394865575237
"NUDT5"	NA
"CDC123"	NA
"CAMK1D"	0.120352232278104
"CCDC3"	0.153759240068663
"OPTN"	NA
"MCM10"	NA
"PHYH"	NA
"SEPHS1"	NA
"BEND7"	0.00743530283605196
"PRPF18"	NA
"RP11-295P9.3"	0.00357607013847934
"FRMD4A"	NA
"FAM107B"	0.00138389935923842
"CDNF"	NA
"HSPA14"	0.000622614364640543
"SUV39H2"	NA
"DCLRE1C"	0.0031799993879811
"MEIG1"	NA
"OLAH"	0.00263877354567315
"ACBD7"	NA
"C10orf111"	NA
"RPP38"	NA
"NMT2"	0.0359079143680392
"FAM171A1"	NA
"ITGA8"	NA
"FAM188A"	NA
"PTER"	0.0528030900174138
"C1QL3"	0.00578663491856207
"RSU1"	NA
"CUBN"	0.0239961291813352
"TRDMT1"	0.0150976640665074
"VIM"	0.00405026564885844
