"gene"	"R2"
"ZMYND11"	NA
"DIP2C"	NA
"PRR26"	0.00223954469691397
"LARP4B"	NA
"GTPBP4"	NA
"IDI2"	0.0461013817838688
"IDI1"	NA
"WDR37"	NA
"ADARB2"	0.00674322828020417
"PFKP"	0.0333914691056548
"PITRM1"	NA
"KLF6"	0.0214812006505891
"AKR1E2"	NA
"AKR1C1"	0.0422331531315227
"AKR1C2"	0.158093897335533
"AKR1C3"	0.097012870147014
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	0.0531963536805597
"NET1"	3.64674266527607e-05
"CALML5"	NA
"CALML3"	8.4318880039828e-05
"ASB13"	0.00733823286008967
"FAM208B"	NA
"GDI2"	NA
"ANKRD16"	NA
"FBXO18"	0.00328477870606598
"IL15RA"	NA
"IL2RA"	0.021394830714456
"RBM17"	NA
"PFKFB3"	0.000150489427078536
"AL137145.1"	NA
"DKFZP667F0711"	NA
"PRKCQ"	NA
"SFMBT2"	0.0131587182989878
"ITIH5"	NA
"ITIH2"	NA
"KIN"	NA
"ATP5C1"	0.00122533173508399
"TAF3"	NA
"GATA3"	0.0532410314906818
"CELF2"	NA
"USP6NL"	0.034384518596512
"ECHDC3"	0.00589207424669311
"PROSER2"	0.117616239918538
"UPF2"	0.0130397421288836
"DHTKD1"	0.000563301503561611
"SEC61A2"	NA
"NUDT5"	NA
"CDC123"	NA
"CAMK1D"	0.00120097457313049
"CCDC3"	0.0392952557962584
"OPTN"	NA
"MCM10"	NA
"PHYH"	0.172085622250102
"SEPHS1"	NA
"BEND7"	NA
"PRPF18"	0.0246759375899852
"RP11-295P9.3"	NA
"FRMD4A"	NA
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	0.00353583625029828
"SUV39H2"	NA
"DCLRE1C"	NA
"MEIG1"	NA
"OLAH"	4.59700287019378e-05
"ACBD7"	0.00143352230070941
"C10orf111"	0.016671618282917
"RPP38"	NA
"NMT2"	0.0012086894693521
"FAM171A1"	0.0344406476388202
"ITGA8"	NA
"FAM188A"	0.00109644933557851
"PTER"	0.000164124578271168
"C1QL3"	0.102826550067597
"RSU1"	NA
"CUBN"	NA
"TRDMT1"	NA
"VIM"	NA
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	NA
"MRC1L1"	0.000264011019718766
"TMEM236"	0.0173542018282528
"MRC1"	NA
"SLC39A12"	NA
"CACNB2"	0.129873372609437
"NSUN6"	NA
"ARL5B"	0.0210797813567301
"C10orf112"	0.0670191050083008
"PLXDC2"	0.000204075065284752
"NEBL"	NA
"CASC10"	NA
"SKIDA1"	NA
"MLLT10"	0.000159002079021047
"DNAJC1"	0.0145216749642789
"COMMD3"	NA
"BMI1"	0.00398306195475344
"SPAG6"	NA
"PIP4K2A"	NA
"ARMC3"	0.000104661671836027
"MSRB2"	NA
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	0.00893703624960438
"OTUD1"	0.00195908334676646
"KIAA1217"	0.00129930882619469
"ARHGAP21"	NA
"PRTFDC1"	0.00886274543760688
"ENKUR"	0.00694764904370282
"THNSL1"	0.0246957312215462
"GPR158"	NA
"MYO3A"	0.0223535416080857
"GAD2"	0.0142377538219145
"APBB1IP"	NA
"PDSS1"	NA
"ABI1"	0.00788533172124366
"ANKRD26"	NA
"YME1L1"	0.000340408448301015
"MASTL"	0.000138381306342986
"ACBD5"	0.00785481941006427
"PTCHD3"	NA
"RAB18"	NA
"MKX"	0.00809525396013725
"ARMC4"	0.0102492803703191
"MPP7"	NA
"WAC"	NA
"BAMBI"	0.0377025474498788
"LYZL1"	NA
"SVIL"	0.000140659663185272
"KIAA1462"	0.0314030273865562
"MTPAP"	0.0109411634490794
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	NA
"ZEB1"	NA
"ARHGAP12"	NA
"KIF5B"	NA
"EPC1"	NA
"CCDC7"	0.0084186833070866
"C10orf68"	0.000603266565265966
"ITGB1"	NA
"NRP1"	0.00452126492636833
"PARD3"	0.00420666458597726
"CUL2"	NA
"CREM"	0.013995390642897
"CCNY"	NA
"FZD8"	0.0544103003873713
"NAMPTL"	NA
"ANKRD30A"	NA
"ZNF248"	NA
"ZNF25"	0.0130287903319716
"ZNF33A"	NA
"ZNF37A"	0.0332885592030184
"AL133216.1"	NA
"ZNF33B"	0.0682600829218229
"BMS1"	NA
"RET"	0.0011703379448091
"CSGALNACT2"	0.0198780841496178
"RASGEF1A"	0.00679031167882644
"FXYD4"	0.0162421285305269
"HNRNPF"	NA
"ZNF487"	NA
"ZNF239"	NA
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	0.0149475825616777
"TMEM72"	NA
"RASSF4"	NA
"C10orf10"	0.000414428830344245
"C10orf25"	0.000678834121737369
"ZNF22"	0.00301645931572071
"ALOX5"	0.024359626729688
"MARCH8"	NA
"ZFAND4"	NA
"FAM21C"	NA
"AGAP4"	0.018924947311159
"SYT15"	0.0136245591007242
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	NA
"FAM25B"	NA
"AGAP10"	NA
"ANTXRL"	0.207513451925665
"ANXA8L2"	0.0250606214344051
"AL603965.1"	0.000482999866718206
"FAM21B"	NA
"AGAP9"	NA
"ANXA8"	0.00327508643331645
"ZNF488"	NA
"GDF10"	NA
"FAM25C"	0.00154930742015553
"FRMPD2"	NA
"MAPK8"	0.00398306294802579
"ARHGAP22"	3.32953981442824e-07
"WDFY4"	NA
"LRRC18"	0.0108784840372115
"VSTM4"	0.0410907742239397
"FAM170B"	0.00455464558030989
"C10orf128"	0.0210127916831183
"C10orf71"	NA
"ERCC6"	0.000147542787405923
"SLC18A3"	0.00345184088370232
"OGDHL"	0.00706755012875503
"PARG"	NA
"FAM21D"	NA
"AGAP8"	0.0693541943430912
"TIMM23B"	NA
"AGAP7"	0.000183033549408509
"MSMB"	NA
"NCOA4"	0.0116187689096952
"TIMM23"	0.000490862106067241
"AGAP6"	0.00137102403551513
"FAM21A"	0.0361474362704842
"SGMS1"	NA
"AC069547.1"	NA
"ASAH2B"	0.000109532107588461
"A1CF"	NA
"PRKG1"	0.00171351028452025
"CSTF2T"	NA
"DKK1"	NA
"MBL2"	0.000280070566174523
"PCDH15"	0.00667342073976308
"ZWINT"	NA
"IPMK"	NA
"CISD1"	NA
"UBE2D1"	NA
"TFAM"	NA
"BICC1"	0.0872150111786135
"PHYHIPL"	NA
"FAM13C"	NA
"SLC16A9"	0.0150378783763228
"CCDC6"	0.0012379894918636
"ANK3"	NA
"CDK1"	0.00111920990093547
"RHOBTB1"	1.0615986777197e-05
"TMEM26"	0.000942207364962105
"C10orf107"	NA
"ARID5B"	0.0134859413783912
"RTKN2"	0.00468617268474375
"ZNF365"	0.0048825921964232
"ADO"	0.0281096454245833
"EGR2"	1.24533149942407e-05
"NRBF2"	NA
"JMJD1C"	NA
"REEP3"	0.00108750796048275
"CTNNA3"	0.000513815281753611
"LRRTM3"	0.0136064760093472
"DNAJC12"	NA
"SIRT1"	NA
"HERC4"	NA
"MYPN"	0.00896693446915273
"ATOH7"	0.000325648123379257
"PBLD"	NA
"HNRNPH3"	NA
"RUFY2"	NA
"DNA2"	NA
"SLC25A16"	NA
"TET1"	NA
"CCAR1"	0.000332068264015424
"STOX1"	5.35105461901408e-06
"DDX50"	NA
"DDX21"	NA
"KIAA1279"	0.255998765474643
"SRGN"	0.0025491379092219
"VPS26A"	NA
"SUPV3L1"	0.0450026519849204
"HKDC1"	0.0103899403474306
"HK1"	0.000860212737715844
"TACR2"	NA
"TSPAN15"	0.0186743692267939
"C10orf35"	NA
"COL13A1"	0.00462197823689138
"H2AFY2"	0.00139967922425718
"AIFM2"	NA
"TYSND1"	3.5918773381983e-05
"SAR1A"	0.00151715624587642
"PPA1"	0.129833012702785
"NPFFR1"	0.00166103518453667
"LRRC20"	NA
"EIF4EBP2"	NA
"NODAL"	0.00253140530205227
"PALD1"	NA
"PRF1"	0.000396915053742295
"ADAMTS14"	0.00150292045534617
"TBATA"	NA
"SGPL1"	0.00491871175574231
"PCBD1"	0.0124098329529011
"UNC5B"	0.000148108389807578
"SLC29A3"	0.0105885961911685
"CDH23"	0.00401447490423079
"C10orf105"	0.00169276259320085
"C10orf54"	0.0117459715054288
"PSAP"	NA
"CHST3"	0.00866043433350667
"SPOCK2"	0.0513087630975609
"ASCC1"	NA
"ANAPC16"	NA
"DDIT4"	NA
"DNAJB12"	0.0071730513550274
"MICU1"	0.0121317202866385
"MCU"	NA
"OIT3"	NA
"PLA2G12B"	NA
"P4HA1"	NA
"NUDT13"	0.00301460017049239
"ECD"	0.00451718675119253
"FAM149B1"	0.038460811065644
"DNAJC9"	NA
"MRPS16"	NA
"TTC18"	NA
"ANXA7"	NA
"MSS51"	0.00896641809438292
"PPP3CB"	NA
"USP54"	0.00108692065506625
"MYOZ1"	0.0162642774244108
"SYNPO2L"	NA
"AGAP5"	0.00221670070587331
"SEC24C"	0.000286808506578142
"FUT11"	NA
"CHCHD1"	0.0121373509775214
"ZSWIM8"	NA
"NDST2"	NA
"CAMK2G"	0.000317865453736913
"PLAU"	NA
"C10orf55"	0.000485918491247007
"VCL"	0.00359613663281966
"AP3M1"	0.00272261982647351
"ADK"	NA
"KAT6B"	NA
"DUPD1"	NA
"DUSP13"	0.0125595865045099
"SAMD8"	0.0115528216638918
"VDAC2"	0.0121937414740197
"COMTD1"	NA
"ZNF503"	NA
"C10orf11"	0.0897790734853799
"KCNMA1"	1.37266707500925e-05
"DLG5"	NA
"POLR3A"	NA
"RPS24"	4.59293967039424e-05
"ZMIZ1"	NA
"PPIF"	0.0223280412257719
"ZCCHC24"	0.00758903867606364
"AL133481.1"	0.00181550971084517
"EIF5AL1"	NA
"SFTPA2"	NA
"SFTPA1"	NA
"NUTM2B"	NA
"SFTPD"	NA
"TMEM254"	0.012863355983367
"PLAC9"	0.001500677318142
"ANXA11"	0.0209443516455089
"AL359195.1"	0.152258952326147
"MAT1A"	0.00382790969982015
"DYDC1"	NA
"DYDC2"	0.00221645743813049
"FAM213A"	NA
"TSPAN14"	0.0169591642479164
"NRG3"	NA
"GHITM"	NA
"C10orf99"	NA
"CDHR1"	NA
"LRIT2"	0.00614969900411089
"LRIT1"	NA
"RGR"	NA
"CCSER2"	NA
"GRID1"	0.0124250843382954
"WAPAL"	NA
"OPN4"	0.0725769965550996
"LDB3"	NA
"BMPR1A"	NA
"MMRN2"	NA
"SNCG"	0.0082880249381093
"ADIRF"	0.01499789899832
"FAM25A"	0.000527665232532591
"GLUD1"	0.00387590602231158
"FAM35A"	0.00113787149081097
"NUTM2A"	NA
"NUTM2D"	0.00654857553862461
"MINPP1"	0.000143633374485304
"PAPSS2"	0.195290669357445
"ATAD1"	NA
"PTEN"	NA
"RNLS"	0.00346327896621237
"LIPJ"	NA
"LIPF"	0.0143656684454919
"LIPK"	0.00920133460666235
"LIPN"	NA
"LIPM"	NA
"ANKRD22"	NA
"STAMBPL1"	NA
"ACTA2"	NA
"FAS"	0.0640069949094644
"CH25H"	0.00550641736923939
"LIPA"	0.105201303957935
"IFIT2"	0.000415528407039347
"IFIT3"	8.17248488094906e-06
"IFIT1B"	NA
"IFIT1"	2.79044407480265e-07
"IFIT5"	NA
"SLC16A12"	0.00343000816123401
"PANK1"	NA
"KIF20B"	NA
"HTR7"	0.0236740863722067
"RPP30"	0.0806287073286468
"ANKRD1"	0.0320061964911755
"PCGF5"	NA
"HECTD2"	0.0446167129357621
"PPP1R3C"	NA
"TNKS2"	0.000302861187258754
"FGFBP3"	NA
"BTAF1"	NA
"CPEB3"	0.00746902097632507
"MARCH5"	NA
"IDE"	NA
"KIF11"	0.0159486765719972
"HHEX"	0.00798685300668414
"EXOC6"	0.0110496380851739
"CYP26A1"	0.00805454451418543
"MYOF"	0.00534519454014353
"CEP55"	0.190589142460455
"FFAR4"	0.00226234413097187
"RBP4"	0.0370158581691883
"PDE6C"	0.0178127877112171
"FRA10AC1"	NA
"LGI1"	NA
"SLC35G1"	NA
"PLCE1"	0.00370421809399335
"NOC3L"	NA
"TBC1D12"	0.00161651625554979
"HELLS"	0.000941264817287198
"CYP2C18"	NA
"CYP2C19"	NA
"CYP2C9"	NA
"CYP2C8"	0.00220496434416141
"C10orf129"	0.000133026339206393
