"gene"	"R2"
"ZMYND11"	0.0116748124138156
"DIP2C"	0.0235517768798984
"PRR26"	NA
"LARP4B"	0.00182521199918271
"GTPBP4"	0.00141551173538462
"IDI2"	0.0121026777180906
"IDI1"	NA
"WDR37"	0.188044406370996
"ADARB2"	0.0384155525732866
"PFKP"	NA
"PITRM1"	0.00333867873473793
"KLF6"	0.000772455331278433
"AKR1E2"	0.000697147920100415
"AKR1C1"	NA
"AKR1C2"	0.0101339931172738
"AKR1C3"	0.00649271888477467
"AKR1C4"	NA
"UCN3"	0.00498220597237221
"TUBAL3"	NA
"NET1"	0.0349725283213598
"CALML5"	NA
"CALML3"	NA
"ASB13"	0.0187680979171385
"FAM208B"	0.000573101051855712
"GDI2"	NA
"ANKRD16"	0.0141155077594161
"FBXO18"	0.00142960064319824
"IL15RA"	NA
"IL2RA"	0.0225444689499857
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	NA
"DKFZP667F0711"	NA
"PRKCQ"	NA
"SFMBT2"	NA
"ITIH5"	0.0252265845484082
"ITIH2"	0.000780490743105954
"KIN"	NA
"ATP5C1"	NA
"TAF3"	0.00503145671068419
"GATA3"	NA
"CELF2"	0.0628973817058394
"USP6NL"	0.0596092053166009
"ECHDC3"	0.00557423810533609
"PROSER2"	NA
"UPF2"	0.000341986761869643
"DHTKD1"	NA
"SEC61A2"	0.000121470162870528
"NUDT5"	0.043302526122764
"CDC123"	0.000305087024350073
"CAMK1D"	0.00428108345562491
"CCDC3"	0.00117735126452456
"OPTN"	0.00137600032410622
"MCM10"	0.006724517761581
"PHYH"	NA
"SEPHS1"	0.00268065889275534
"BEND7"	0.00572115063667285
"PRPF18"	NA
"RP11-295P9.3"	NA
"FRMD4A"	NA
"FAM107B"	0.0201943943454519
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	0.00216541011563411
"DCLRE1C"	NA
"MEIG1"	NA
"OLAH"	0.024793095462472
"ACBD7"	0.00660151399339188
"C10orf111"	NA
"RPP38"	NA
"NMT2"	0.00022501820988566
"FAM171A1"	0.00205775085469014
"ITGA8"	NA
"FAM188A"	NA
"PTER"	0.0278353027983839
"C1QL3"	0.000692805074379161
"RSU1"	0.0492453757359744
"CUBN"	NA
"TRDMT1"	NA
"VIM"	NA
"ST8SIA6"	0.00688041705971488
"PTPLA"	NA
"STAM"	NA
"MRC1L1"	0.0108560027689229
"TMEM236"	NA
"MRC1"	0.0252780510344706
"SLC39A12"	NA
"CACNB2"	NA
"NSUN6"	0.100756239086302
"ARL5B"	NA
"C10orf112"	0.0431480032941559
"PLXDC2"	0.00114160447619035
"NEBL"	9.67106369339815e-05
"CASC10"	0.0151987031511255
"SKIDA1"	0.0179028328694268
"MLLT10"	0.0562266414701275
"DNAJC1"	NA
