"gene"	"R2"
"ZMYND11"	0.00483440054466376
"DIP2C"	0.0525842235002677
"PRR26"	0.00214787236450253
"LARP4B"	0.0144716234434601
"GTPBP4"	0.0103831840519452
"IDI2"	0.0479057639858848
"IDI1"	NA
"WDR37"	0.00194400001774831
"ADARB2"	NA
"PFKP"	NA
"PITRM1"	0.12954970272626
"KLF6"	0.00138024546094528
"AKR1E2"	NA
"AKR1C1"	5.96605370401809e-05
"AKR1C2"	0.000988386832849406
"AKR1C3"	6.58230056285331e-07
"AKR1C4"	0.00847122932154349
"UCN3"	0.00121690320213492
"TUBAL3"	0.0583960910359212
"NET1"	0.0205898106267732
"CALML5"	NA
"CALML3"	NA
"ASB13"	0.0106053897517598
"FAM208B"	0.0264279470309434
"GDI2"	0.00193351881221256
"ANKRD16"	1.05574597279961e-05
"FBXO18"	0.0406883193414873
"IL15RA"	NA
"IL2RA"	0.0158830296663068
"RBM17"	NA
"PFKFB3"	0.010594963343604
"AL137145.1"	NA
"DKFZP667F0711"	0.0263169516825025
"PRKCQ"	NA
"SFMBT2"	NA
"ITIH5"	0.00815361371086524
"ITIH2"	0.0610203666502636
"KIN"	4.8292597351589e-05
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	NA
"CELF2"	0.012508844266374
"USP6NL"	NA
"ECHDC3"	0.00144230206751753
"PROSER2"	0.00422021623510759
"UPF2"	0.000717572654555024
"DHTKD1"	NA
"SEC61A2"	0.0292918074487849
"NUDT5"	0.00770021631045037
"CDC123"	0.0477196452971928
"CAMK1D"	NA
"CCDC3"	0.0322695218634877
"OPTN"	0.000167127608134048
"MCM10"	0.00142465296319908
"PHYH"	0.0155255553547209
"SEPHS1"	0.0645447598423557
"BEND7"	NA
"PRPF18"	NA
"RP11-295P9.3"	8.39427049096013e-05
"FRMD4A"	0.00985555572467616
"FAM107B"	0.0037960653145371
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	0.0221846197230509
"DCLRE1C"	0.00456376752683362
"MEIG1"	NA
"OLAH"	NA
"ACBD7"	0.0591666941152576
"C10orf111"	0.00566984847079254
"RPP38"	4.18371562069078e-05
"NMT2"	0.0530713211363937
"FAM171A1"	0.00806371479285786
"ITGA8"	NA
"FAM188A"	0.0113622523786792
"PTER"	0.163181737340125
"C1QL3"	0.0846138675804082
"RSU1"	0.0204108353135253
"CUBN"	0.00125043494933267
"TRDMT1"	0.000521582118109693
"VIM"	NA
"ST8SIA6"	NA
"PTPLA"	0.0167374782188267
"STAM"	6.69309869525186e-06
"MRC1L1"	NA
