"gene"	"R2"
"ZMYND11"	0.0207843164136213
"DIP2C"	0.0108902461852453
"PRR26"	NA
"LARP4B"	0.00264890183219811
"GTPBP4"	0.00262981081078511
"IDI2"	0.0170305375244042
"IDI1"	NA
"WDR37"	0.000526635472955327
"ADARB2"	0.0536239027708268
"PFKP"	0.000183838549059515
"PITRM1"	0.00497261175090952
"KLF6"	1.34952000661397e-05
"AKR1E2"	NA
"AKR1C1"	NA
"AKR1C2"	0.000116672382190476
"AKR1C3"	0.0392129479097401
"AKR1C4"	0.0251580651318944
"UCN3"	0.02521090575471
"TUBAL3"	NA
"NET1"	NA
"CALML5"	NA
"CALML3"	NA
"ASB13"	NA
"FAM208B"	NA
"GDI2"	0.00152833190107946
"ANKRD16"	NA
"FBXO18"	0.0235891242961145
"IL15RA"	NA
"IL2RA"	NA
"RBM17"	7.14379421074737e-06
"PFKFB3"	0.00342486407787015
"AL137145.1"	NA
"DKFZP667F0711"	NA
"PRKCQ"	NA
"SFMBT2"	0.00863485561447751
"ITIH5"	NA
"ITIH2"	NA
"KIN"	0.00717024174714729
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	0.0406491319965738
"CELF2"	NA
"USP6NL"	0.000575633802926461
"ECHDC3"	0.00864730790331935
"PROSER2"	0.00369885409778251
"UPF2"	8.50910495748696e-06
"DHTKD1"	0.00131873418202414
"SEC61A2"	NA
"NUDT5"	0.0136369665900237
"CDC123"	NA
"CAMK1D"	0.00172629153426363
"CCDC3"	NA
"OPTN"	0.00753057078947676
"MCM10"	0.0655589228934402
"PHYH"	0.296955798038026
"SEPHS1"	NA
"BEND7"	NA
"PRPF18"	NA
"RP11-295P9.3"	NA
"FRMD4A"	NA
"FAM107B"	0.0105051401873006
"CDNF"	8.53310249575422e-05
"HSPA14"	0.00511158199918452
"SUV39H2"	NA
"DCLRE1C"	NA
"MEIG1"	0.00164529263942875
"OLAH"	0.0154562912545405
"ACBD7"	NA
"C10orf111"	7.44610481713272e-05
"RPP38"	0.00937205643596231
"NMT2"	NA
"FAM171A1"	NA
"ITGA8"	0.0161030385278576
"FAM188A"	0.0048133095499816
"PTER"	0.032894226823727
"C1QL3"	0.0891014623268508
"RSU1"	0.0615019835818663
"CUBN"	0.0019260937358187
"TRDMT1"	0.000304322657039095
"VIM"	0.00662544968199719
"ST8SIA6"	0.000675739033904123
"PTPLA"	NA
"STAM"	0.0167625220487499
"MRC1L1"	0.00391349340482186
"TMEM236"	4.2212314635049e-07
"MRC1"	NA
"SLC39A12"	1.02076585933831e-05
"CACNB2"	0.115867867409839
"NSUN6"	0.0115625613317734
"ARL5B"	NA
"C10orf112"	0.269762897136336
"PLXDC2"	0.0349174518748275
"NEBL"	NA
"CASC10"	NA
"SKIDA1"	0.00598382094628943
"MLLT10"	NA
"DNAJC1"	NA
"COMMD3"	0.0175159016351593
"BMI1"	NA
"SPAG6"	NA
"PIP4K2A"	0.0934203411881804
"ARMC3"	0.0119009488862759
"MSRB2"	NA
"PTF1A"	0.000341678302256294
"C10orf115"	NA
"C10orf67"	0.00469202074991568
"OTUD1"	NA
"KIAA1217"	0.134745262884841
"ARHGAP21"	0.0279368705807592
"PRTFDC1"	0.0647575805751002
"ENKUR"	0.00668311837035611
"THNSL1"	0.00508945370189849
"GPR158"	NA
"MYO3A"	0.00913244315057157
"GAD2"	NA
"APBB1IP"	0.0360879086878514
"PDSS1"	0.0497351735763219
"ABI1"	NA
"ANKRD26"	0.0522053393805692
"YME1L1"	0.0177645277441991
"MASTL"	0.106583621221919
"ACBD5"	0.0798972802015744
"PTCHD3"	NA
"RAB18"	0.00461443769784136
"MKX"	0.0361086033803167
"ARMC4"	0.0703131468523749
"MPP7"	0.0147128867687834
"WAC"	NA
"BAMBI"	0.0505852805627613
"LYZL1"	NA
"SVIL"	NA
"KIAA1462"	NA
"MTPAP"	0.000401354401070779
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	NA
"ZEB1"	NA
"ARHGAP12"	0.0345903045348679
"KIF5B"	NA
"EPC1"	0.0178435340967025
"CCDC7"	0.0199177792332886
"C10orf68"	NA
"ITGB1"	NA
"NRP1"	NA
"PARD3"	0.0409307597899911
"CUL2"	0.0580158645330865
"CREM"	NA
"CCNY"	0.00145393618652424
"FZD8"	NA
"NAMPTL"	NA
"ANKRD30A"	NA
"ZNF248"	0.00155763890356349
"ZNF25"	NA
"ZNF33A"	NA
"ZNF37A"	0.0244927310060013
"AL133216.1"	0.00538228822290481
"ZNF33B"	0.041675833972147
"BMS1"	0.00200753002560791
"RET"	NA
"CSGALNACT2"	0.122670325189489
"RASGEF1A"	0.0491457362527186
"FXYD4"	0.000151842626825687
"HNRNPF"	NA
"ZNF487"	0.00826800386695618
"ZNF239"	0.00229366557282959
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	NA
"RASSF4"	0.0243896223987841
"C10orf10"	NA
"C10orf25"	NA
"ZNF22"	0.0563825237435966
"ALOX5"	NA
"MARCH8"	0.00133957138832665
"ZFAND4"	NA
"FAM21C"	NA
"AGAP4"	NA
"SYT15"	NA
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	NA
"FAM25B"	0.00224555565372598
"AGAP10"	NA
"ANTXRL"	NA
"ANXA8L2"	NA
"AL603965.1"	NA
"FAM21B"	0.00435470904572982
"AGAP9"	0.00504368713631896
"ANXA8"	NA
"ZNF488"	0.0388751123810688
"GDF10"	NA
"FAM25C"	0.00743339170537372
"FRMPD2"	3.79463093848759e-05
"MAPK8"	0.00905730292146654
"ARHGAP22"	NA
"WDFY4"	NA
"LRRC18"	NA
"VSTM4"	NA
"FAM170B"	NA
"C10orf128"	0.0255308550014429
"C10orf71"	NA
"ERCC6"	0.0132852018959901
"SLC18A3"	4.13516129911585e-05
"OGDHL"	NA
"PARG"	2.19424025179852e-05
"FAM21D"	NA
"AGAP8"	NA
"TIMM23B"	NA
"AGAP7"	NA
"MSMB"	0.0644671536048068
"NCOA4"	NA
"TIMM23"	NA
"AGAP6"	0.0339147289983266
"FAM21A"	0.00292110197474765
"SGMS1"	4.18236354285729e-06
"AC069547.1"	NA
"ASAH2B"	0.0360380228300635
"A1CF"	0.000207413039435379
"PRKG1"	0.0214081721542075
"CSTF2T"	5.35888439390946e-05
"DKK1"	0.0498011933480991
"MBL2"	0.00612881264854075
"PCDH15"	0.0304102281740959
"ZWINT"	NA
"IPMK"	NA
"CISD1"	0.014157847977539
"UBE2D1"	0.0124193407470152
"TFAM"	NA
"BICC1"	0.00122705554052019
"PHYHIPL"	0.0025170436569858
"FAM13C"	NA
"SLC16A9"	0.0006399274891338
"CCDC6"	NA
"ANK3"	0.0100914081713967
"CDK1"	0.0351450711638803
"RHOBTB1"	NA
"TMEM26"	0.0111206071080372
"C10orf107"	0.0630721584399382
"ARID5B"	0.0090420263632182
"RTKN2"	0.126905139403729
"ZNF365"	0.0623530648880509
"ADO"	0.0145132874553613
"EGR2"	0.00231684468294331
"NRBF2"	0.0333779064105416
"JMJD1C"	0.0354631718665399
"REEP3"	NA
"CTNNA3"	NA
"LRRTM3"	NA
"DNAJC12"	0.00546713506411165
"SIRT1"	0.00285188420726797
"HERC4"	NA
"MYPN"	6.06877514552205e-05
"ATOH7"	0.0149086571374361
"PBLD"	0.00524408567865014
"HNRNPH3"	0.0144691918464301
"RUFY2"	0.00153997822883453
"DNA2"	0.0119408681750762
"SLC25A16"	0.0172336795968642
"TET1"	NA
"CCAR1"	0.00773802385500384
"STOX1"	NA
"DDX50"	NA
"DDX21"	0.00481444019233695
"KIAA1279"	NA
"SRGN"	NA
"VPS26A"	0.00860337999196913
"SUPV3L1"	NA
"HKDC1"	0.0450318119555983
"HK1"	0.00182002585286909
"TACR2"	0.0135708997025984
"TSPAN15"	0.00385665797371616
"C10orf35"	0.000419107810285769
"COL13A1"	0.00455736227197115
"H2AFY2"	NA
"AIFM2"	NA
"TYSND1"	0.0092193890424652
"SAR1A"	NA
"PPA1"	0.0180413182621827
"NPFFR1"	NA
"LRRC20"	NA
"EIF4EBP2"	NA
"NODAL"	0.00429144915345742
"PALD1"	NA
"PRF1"	NA
"ADAMTS14"	0.00115235283259516
"TBATA"	0.000318969682672502
"SGPL1"	0.0397392745224946
"PCBD1"	0.00417550104959916
"UNC5B"	NA
"SLC29A3"	0.00687752419301164
"CDH23"	0.00864145622118703
"C10orf105"	NA
"C10orf54"	NA
"PSAP"	NA
"CHST3"	0.000176088760027983
"SPOCK2"	0.00389836014971485
"ASCC1"	NA
"ANAPC16"	NA
"DDIT4"	0.0267511199029915
"DNAJB12"	NA
"MICU1"	0.00357587473057447
"MCU"	NA
"OIT3"	NA
"PLA2G12B"	NA
"P4HA1"	NA
"NUDT13"	0.00161525878299288
"ECD"	NA
"FAM149B1"	NA
"DNAJC9"	0.0496204428160414
"MRPS16"	0.00304715098319967
"TTC18"	NA
"ANXA7"	0.00432063628033069
"MSS51"	NA
"PPP3CB"	NA
"USP54"	0.0052470942535348
"MYOZ1"	NA
"SYNPO2L"	NA
"AGAP5"	NA
"SEC24C"	0.0319623260218693
"FUT11"	NA
"CHCHD1"	NA
"ZSWIM8"	0.00672453981115517
"NDST2"	0.0017745758728015
"CAMK2G"	NA
"PLAU"	NA
"C10orf55"	0.00100902782023851
"VCL"	0.0252063483071146
"AP3M1"	NA
"ADK"	0.00223124754759635
"KAT6B"	0.00333020554996552
"DUPD1"	NA
"DUSP13"	NA
"SAMD8"	3.01405581958634e-05
"VDAC2"	0.00597615863206694
"COMTD1"	0.0037133984207063
"ZNF503"	NA
"C10orf11"	0.0151643480504252
"KCNMA1"	NA
"DLG5"	0.137902569660362
"POLR3A"	NA
"RPS24"	NA
"ZMIZ1"	0.024455560196796
"PPIF"	NA
"ZCCHC24"	NA
"AL133481.1"	NA
"EIF5AL1"	NA
"SFTPA2"	0.015192571104583
"SFTPA1"	NA
"NUTM2B"	NA
"SFTPD"	0.10874154370418
"TMEM254"	0.00192483522397237
"PLAC9"	0.00433217718129765
"ANXA11"	0.0458908828850106
"AL359195.1"	NA
"MAT1A"	NA
"DYDC1"	0.00382647605515425
"DYDC2"	NA
"FAM213A"	0.0245410313629757
"TSPAN14"	NA
"NRG3"	0.0138298771549889
"GHITM"	NA
"C10orf99"	0.000242263881320188
"CDHR1"	NA
"LRIT2"	0.00913443751045813
"LRIT1"	0.00059257488207093
"RGR"	0.0272022651456654
"CCSER2"	0.00019653644100506
"GRID1"	0.00266280209189024
"WAPAL"	NA
"OPN4"	0.0191476383982374
"LDB3"	NA
"BMPR1A"	NA
"MMRN2"	NA
"SNCG"	0.0628922051623507
"ADIRF"	0.0269676638668232
"FAM25A"	NA
"GLUD1"	NA
"FAM35A"	0.0016533310439321
"NUTM2A"	0.0178127161921911
"NUTM2D"	0.00290821117339458
"MINPP1"	NA
"PAPSS2"	0.00516500125555606
"ATAD1"	6.82041374831614e-05
"PTEN"	NA
"RNLS"	0.000890791240419007
"LIPJ"	0.0328053413541733
"LIPF"	0.0495703217330615
"LIPK"	NA
"LIPN"	0.0365969315910123
"LIPM"	2.17448644479398e-06
"ANKRD22"	0.0110564157324507
"STAMBPL1"	NA
"ACTA2"	NA
"FAS"	NA
"CH25H"	0.0132616543736065
"LIPA"	0.0150923924945137
"IFIT2"	NA
"IFIT3"	0.0101332951667301
"IFIT1B"	0.00167320837630331
"IFIT1"	NA
"IFIT5"	NA
"SLC16A12"	0.00112191421391623
"PANK1"	NA
"KIF20B"	0.00175592662740261
"HTR7"	0.00187858578562812
"RPP30"	0.00647750571787312
"ANKRD1"	0.000190696043872941
"PCGF5"	NA
"HECTD2"	0.0380182024634523
"PPP1R3C"	0.0137605729897989
"TNKS2"	8.14668557957001e-06
"FGFBP3"	0.0172480313626469
"BTAF1"	0.0172389279113487
"CPEB3"	NA
"MARCH5"	NA
"IDE"	0.0101469357451332
"KIF11"	NA
"HHEX"	NA
"EXOC6"	0.0266637678431068
"CYP26A1"	NA
"MYOF"	0.0523165632553374
"CEP55"	NA
"FFAR4"	NA
"RBP4"	0.00382353924275417
"PDE6C"	0.0128878290880222
"FRA10AC1"	NA
