"gene"	"R2"
"ZMYND11"	0.00103763337289445
"DIP2C"	0.015510389472357
"PRR26"	NA
"LARP4B"	NA
"GTPBP4"	0.0405679642071791
"IDI2"	NA
"IDI1"	NA
"WDR37"	NA
"ADARB2"	0.56980147513094
"PFKP"	0.0576592261834913
"PITRM1"	0.00136056974372792
"KLF6"	NA
"AKR1E2"	NA
"AKR1C1"	0.16398859654798
"AKR1C2"	0.00723518615447742
"AKR1C3"	0.00738900471394086
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	NA
"NET1"	0.00516880088390164
"CALML5"	NA
"CALML3"	0.00136204431916967
"ASB13"	0.011868043055394
"FAM208B"	0.00438669949936974
"GDI2"	0.0176990576192319
"ANKRD16"	0.00088281051310667
"FBXO18"	0.000214295913072423
"IL15RA"	0.0405556686758641
"IL2RA"	0.0141798153740738
"RBM17"	NA
"PFKFB3"	0.0179633102862413
"AL137145.1"	NA
"DKFZP667F0711"	0.00487361579118212
"PRKCQ"	0.000457087973707574
"SFMBT2"	0.0388372274560463
"ITIH5"	0.00688205461651531
"ITIH2"	NA
"KIN"	NA
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	NA
"CELF2"	NA
"USP6NL"	NA
"ECHDC3"	0.0220620409301182
"PROSER2"	0.00999721560149666
"UPF2"	NA
"DHTKD1"	0.000853890292587501
"SEC61A2"	0.000217530061677558
"NUDT5"	0.00436561737988073
"CDC123"	NA
"CAMK1D"	0.0456622436433254
"CCDC3"	NA
"OPTN"	NA
"MCM10"	0.0166575652302221
"PHYH"	0.00204251805141728
"SEPHS1"	0.052654737262997
"BEND7"	NA
"PRPF18"	NA
"RP11-295P9.3"	0.0184077086133999
"FRMD4A"	0.00744643089857346
"FAM107B"	NA
"CDNF"	0.000327466443588037
"HSPA14"	0.00104195066833784
"SUV39H2"	NA
"DCLRE1C"	NA
"MEIG1"	0.0201489701154372
"OLAH"	NA
"ACBD7"	0.000217268166483659
"C10orf111"	NA
"RPP38"	0.000810825453667704
"NMT2"	NA
"FAM171A1"	0.005704360357475
"ITGA8"	0.00627349858076826
"FAM188A"	0.0080688306803678
"PTER"	NA
"C1QL3"	NA
"RSU1"	NA
"CUBN"	0.0191293990526688
"TRDMT1"	0.0181523954745386
"VIM"	0.0039341791787241
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	0.0308221829252542
"MRC1L1"	2.28789532372167e-05
"TMEM236"	NA
"MRC1"	0.014992384116433
"SLC39A12"	0.0114027881871245
"CACNB2"	0.0248892906412264
"NSUN6"	0.010453840955967
"ARL5B"	0.0230225769924837
"C10orf112"	NA
"PLXDC2"	0.0515672678392542
"NEBL"	0.226615678327152
"CASC10"	NA
"SKIDA1"	0.000248776760588986
"MLLT10"	NA
"DNAJC1"	NA
"COMMD3"	NA
"BMI1"	NA
"SPAG6"	0.00042538753870169
"PIP4K2A"	NA
"ARMC3"	0.015861536727064
"MSRB2"	0.000748425812573266
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	NA
"OTUD1"	0.00194741409054337
"KIAA1217"	0.000926099143446815
"ARHGAP21"	NA
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	NA
"GPR158"	0.0224357973149348
"MYO3A"	NA
"GAD2"	NA
"APBB1IP"	0.0391429059281623
"PDSS1"	0.106740329692956
"ABI1"	NA
"ANKRD26"	0.000288481624100015
"YME1L1"	NA
"MASTL"	0.0706073751890644
"ACBD5"	0.00396653442288292
"PTCHD3"	0.00173689994962476
"RAB18"	0.00899498847171425
"MKX"	NA
"ARMC4"	NA
"MPP7"	4.34366627275058e-05
"WAC"	0.0388480715852002
"BAMBI"	0.158863417478408
"LYZL1"	NA
"SVIL"	0.00484926292262628
"KIAA1462"	5.98731979154615e-05
"MTPAP"	NA
"MAP3K8"	NA
"LYZL2"	0.015246237929188
"ZNF438"	0.00140650128145321
"ZEB1"	0.000615269375448756
"ARHGAP12"	0.0346845701698779
"KIF5B"	NA
"EPC1"	NA
"CCDC7"	0.00761978283946222
"C10orf68"	0.0017607396330054
"ITGB1"	NA
"NRP1"	0.00499400263875601
"PARD3"	NA
"CUL2"	NA
"CREM"	NA
"CCNY"	0.0312631208111066
"FZD8"	0.0103581410266163
"NAMPTL"	NA
"ANKRD30A"	NA
"ZNF248"	NA
"ZNF25"	NA
"ZNF33A"	NA
"ZNF37A"	NA
"AL133216.1"	NA
"ZNF33B"	NA
"BMS1"	NA
"RET"	NA
"CSGALNACT2"	0.00520513255771844
"RASGEF1A"	NA
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	0.00539471761754939
"ZNF239"	NA
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	0.00363517394557775
"TMEM72"	NA
"RASSF4"	0.00488189690239909
"C10orf10"	0.0249328528042622
"C10orf25"	NA
"ZNF22"	0.0136213661803302
"ALOX5"	0.000162571745269998
"MARCH8"	NA
"ZFAND4"	0.00726211023787708
"FAM21C"	NA
"AGAP4"	NA
"SYT15"	NA
"GPRIN2"	0.0016953902960203
"NPY4R"	NA
"ANXA8L1"	0.095064898309885
"FAM25B"	NA
"AGAP10"	NA
"ANTXRL"	0.0985017837160615
"ANXA8L2"	0.0869495646864944
"AL603965.1"	NA
"FAM21B"	0.00128538072396683
"AGAP9"	0.00671253973434003
"ANXA8"	NA
"ZNF488"	NA
"GDF10"	NA
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	0.0191299397428085
"ARHGAP22"	0.111699183526281
"WDFY4"	NA
"LRRC18"	0.000973380352283596
"VSTM4"	0.0685877331131137
"FAM170B"	0.0240568876631343
"C10orf128"	0.118985009063298
"C10orf71"	NA
"ERCC6"	0.00489599997278349
"SLC18A3"	NA
"OGDHL"	8.11383157620253e-05
"PARG"	NA
"FAM21D"	8.27594114208109e-05
"AGAP8"	NA
"TIMM23B"	NA
"AGAP7"	0.225805749129906
"MSMB"	NA
"NCOA4"	0.00294254150838135
"TIMM23"	NA
"AGAP6"	NA
"FAM21A"	0.0810943396826623
"SGMS1"	NA
"AC069547.1"	9.30683360482417e-06
"ASAH2B"	NA
"A1CF"	NA
"PRKG1"	0.000376565967859633
"CSTF2T"	0.00411965561732443
"DKK1"	NA
"MBL2"	NA
"PCDH15"	0.0279105410142534
"ZWINT"	0.0144391104640659
"IPMK"	0.00842006379710237
"CISD1"	0.132902570653583
"UBE2D1"	NA
"TFAM"	NA
"BICC1"	NA
"PHYHIPL"	2.57446124476936e-05
"FAM13C"	0.000613523997687786
"SLC16A9"	0.0220557447040682
"CCDC6"	4.2013150716357e-06
"ANK3"	0.0855127155584068
"CDK1"	0.000417780506550507
"RHOBTB1"	NA
"TMEM26"	0.00156893001272796
"C10orf107"	0.132254498493845
"ARID5B"	NA
"RTKN2"	NA
"ZNF365"	NA
"ADO"	3.49445781427332e-06
"EGR2"	NA
"NRBF2"	NA
"JMJD1C"	0.00478250470079319
"REEP3"	0.0449478673258719
"CTNNA3"	NA
"LRRTM3"	0.0279222377115954
"DNAJC12"	0.000851200209220104
"SIRT1"	0.0433966324447424
"HERC4"	0.00233202012369568
"MYPN"	NA
"ATOH7"	0.0072056113211435
"PBLD"	0.0194421975376537
"HNRNPH3"	0.00253200422219529
"RUFY2"	0.0135389078291346
"DNA2"	0.0296462870870288
"SLC25A16"	1.31915172498239e-05
"TET1"	NA
"CCAR1"	0.0322258281186858
"STOX1"	0.210666850436596
"DDX50"	0.0055962172167998
"DDX21"	NA
