"gene"	"R2"
"TUBB8"	0.0338739066013097
"ZMYND11"	NA
"DIP2C"	0.00826858906402539
"PRR26"	NA
"LARP4B"	NA
"AL359878.1"	NA
"GTPBP4"	0.0373469664433152
"IDI2"	NA
"IDI1"	0.00238134140737846
"WDR37"	0.0252559510662248
"ADARB2"	0.000114036535193887
"PFKP"	NA
"PITRM1"	0.024361086122979
"KLF6"	0.000438915765932618
"AKR1E2"	0.127681855099925
"AKR1C1"	NA
"AKR1C2"	0.0172997794742276
"AKR1C3"	0.150740652565699
"AKR1CL1"	0.00788937274588459
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	NA
"NET1"	NA
"CALML5"	NA
"CALML3"	0.000629091456054435
"ASB13"	0.03552668256362
"FAM208B"	NA
"GDI2"	0.151774470379365
"ANKRD16"	NA
"FBXO18"	0.0213444447765939
"IL15RA"	NA
"IL2RA"	0.0674476416994606
"RBM17"	NA
"PFKFB3"	0.0239784247970202
"AL137145.1"	0.0107267332182059
"DKFZP667F0711"	0.0298632171651619
"PRKCQ"	0.00149568025277412
"SFMBT2"	NA
"ITIH5"	NA
"ITIH2"	0.119226187109435
"KIN"	0.0112684829383485
"ATP5C1"	0.0002601819707775
"TAF3"	NA
"GATA3"	NA
"CELF2"	NA
"USP6NL"	0.00011063326312439
"ECHDC3"	0.0823172053469544
"PROSER2"	0.0107409071492777
"UPF2"	0.00182229474209717
"DHTKD1"	NA
"SEC61A2"	NA
"NUDT5"	0.0166961011441138
"CDC123"	NA
"CAMK1D"	0.0205233427755036
"CCDC3"	NA
"OPTN"	0.00955880817937139
"MCM10"	0.0965771703827202
"UCMA"	NA
"PHYH"	0.0689492490166346
"AL138764.1"	NA
"SEPHS1"	0.000436462703883181
"BEND7"	NA
"PRPF18"	0.000201466036962291
"RP11-295P9.3"	0.0475707361108028
"FRMD4A"	NA
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	NA
"DCLRE1C"	0.0346064786784446
"MEIG1"	NA
"OLAH"	0.0066356775694806
"ACBD7"	NA
"C10orf111"	0.0164780321522413
"RPP38"	0.0077708436063362
"NMT2"	0.0678393477584512
"FAM171A1"	0.00404259078426934
"ITGA8"	0.00330965887968522
"FAM188A"	0.00208566512433425
"PTER"	0.108772808627483
"C1QL3"	0.600808911470632
"RSU1"	0.141320662300579
"CUBN"	3.27233195170494e-05
"TRDMT1"	0.0984320879783171
"VIM"	NA
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	NA
"TMEM236"	0.0334441303130832
"MRC1L1"	0.226964057511606
"TMEM236"	NA
"MRC1"	0.181223369724817
"SLC39A12"	0.0266415868855697
"CACNB2"	0.0050096306236933
"NSUN6"	0.217938652597128
"ARL5B"	NA
"C10orf112"	0.181364218625666
"PLXDC2"	NA
"NEBL"	0.00702542122033216
"C10orf113"	NA
"CASC10"	0.00200269238324588
"SKIDA1"	7.23586395918958e-05
"MLLT10"	0.000176112584006474
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	3.77033242664381e-07
"BMI1"	NA
"SPAG6"	NA
"PIP4K2A"	NA
"ARMC3"	NA
"MSRB2"	NA
"PTF1A"	0.0115545983728529
"C10orf115"	NA
"C10orf67"	0.00365331663929225
"OTUD1"	NA
"KIAA1217"	0.00054944609772969
"AL353583.1"	NA
"ARHGAP21"	0.000464867952619963
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	0.0279058757734869
"GPR158"	0.0194649123107116
"MYO3A"	NA
"GAD2"	NA
"APBB1IP"	0.0538776278149749
"PDSS1"	0.00421791909802314
"ABI1"	0.00551334741353907
"ANKRD26"	0.0143559272195866
"YME1L1"	0.0143729890899424
"MASTL"	0.422996748829599
"ACBD5"	0.0136146171147065
"PTCHD3"	0.270425570537009
"RAB18"	0.0244184681185678
"MKX"	0.00206256155070891
"ARMC4"	0.0138289650028464
"MPP7"	0.0790034095802196
"WAC"	NA
"BAMBI"	0.00537839994756851
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0625630979548426
"KIAA1462"	0.0201135356282754
"MTPAP"	0.00821988329089117
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	NA
"ZEB1"	NA
"ARHGAP12"	0.00401571747759809
"KIF5B"	0.00304097031259117
"EPC1"	NA
"CCDC7"	0.0296089382448973
"C10orf68"	0.136929814593053
"ITGB1"	0.0141503898848311
"NRP1"	0.0127425613043623
"PARD3"	0.00303684091843503
"CUL2"	NA
"CREM"	NA
"CCNY"	NA
"GJD4"	0.000131082682043586
"FZD8"	0.0185013124772515
"NAMPTL"	4.31396497836719e-05
"ANKRD30A"	4.97997308964232e-05
"ZNF248"	0.0511362816926122
"ZNF25"	0.0955634736797102
"ZNF33A"	0.000533515875147808
"ZNF37A"	0.000889035223002894
"AL133216.1"	0.06526771311651
"ZNF33B"	0.26040598861995
"BMS1"	0.00323389736245826
"RET"	0.0515602232476224
"CSGALNACT2"	0.215874320001114
"RASGEF1A"	0.0235566553270702
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	NA
"ZNF239"	0.0586168236726754
"ZNF485"	0.00552457742058411
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	NA
"RASSF4"	NA
"C10orf10"	0.0114067969797192
"C10orf25"	0.099338110313173
"ZNF22"	NA
"OR13A1"	0.00736988616366723
"ALOX5"	0.0690219852738867
"MARCH8"	0.0545549723303163
"ZFAND4"	0.0421131912186848
"FAM21C"	0.164194668116954
"FAM25E"	NA
"AGAP4"	0.229311735559159
"PTPN20A"	0.00900433590704776
"SYT15"	0.0345137849837545
"GPRIN2"	0.0102927747137685
"NPY4R"	NA
"ANXA8L1"	0.0215465415090144
"FAM25B"	NA
"AGAP10"	0.0358245784783659
"ANTXRL"	0.360696580125625
"ANXA8L2"	0.00493451213440181
"AL603965.1"	0.0215204744200749
"FAM21B"	NA
"ASAH2C"	NA
"AGAP9"	0.116124557411204
"FAM25G"	NA
"ANXA8"	0.0104924167461135
"ZNF488"	0.00756648255925323
"RBP3"	NA
"GDF2"	NA
"GDF10"	7.75408290598567e-05
"PTPN20B"	NA
"FAM25C"	0.0120538535459471
"FRMPD2"	0.000260861231709394
"MAPK8"	0.0446642976724971
"ARHGAP22"	NA
"WDFY4"	0.0377983101230645
"LRRC18"	NA
"VSTM4"	0.000551275795001691
"FAM170B"	0.0381579357191292
"C10orf128"	NA
"C10orf71"	0.00481238418444345
"DRGX"	NA
"ERCC6"	0.0375729555564078
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	NA
"OGDHL"	0.00357509001407604
"PARG"	0.0121691158544682
"FAM21D"	0.00825283782369505
"AGAP8"	0.491743868126669
"TIMM23B"	NA
"AGAP7"	0.368247752698854
"MSMB"	2.68289319406905e-05
"NCOA4"	NA
"TIMM23"	NA
"AGAP6"	0.328547798889294
"FAM21A"	0.470148801765838
"ASAH2"	0.224229286719376
"SGMS1"	NA
"AC069547.1"	0.00548078036185792
"AC069547.2"	NA
"ASAH2B"	0.110786112841884
"A1CF"	0.00292279429155914
"PRKG1"	0.00233977913906259
"CSTF2T"	0.00957159913954114
"DKK1"	NA
"MBL2"	0.00280236116602933
"PCDH15"	NA
"MTRNR2L5"	NA
"ZWINT"	0.0635215123862002
"IPMK"	NA
"CISD1"	0.0582967046712856
"UBE2D1"	NA
"TFAM"	0.0833541685683721
"BICC1"	0.114738123553307
"PHYHIPL"	NA
"FAM13C"	NA
"SLC16A9"	0.0636496776357094
"CCDC6"	0.0209516634626359
"C10orf40"	NA
"ANK3"	0.0247221815670117
"CDK1"	0.00180071678676626
"RHOBTB1"	0.0128237578887165
"TMEM26"	NA
"C10orf107"	0.381795643830259
"ARID5B"	7.223481359001e-05
"RTKN2"	NA
"ZNF365"	0.0321611337566949
"ADO"	0.00890484777702166
"EGR2"	NA
"NRBF2"	NA
"JMJD1C"	NA
"REEP3"	0.0130098665467736
"CTNNA3"	0.0103935944039932
"LRRTM3"	0.00263265936026514
"DNAJC12"	0.0173388440662439
"SIRT1"	NA
"HERC4"	0.0248174714384335
"MYPN"	0.000176436646028986
"ATOH7"	0.0882858696994195
"PBLD"	0.0627025838068938
"HNRNPH3"	0.00175487283213763
"RUFY2"	NA
"DNA2"	0.368061866876321
"SLC25A16"	0.0821704790314975
"TET1"	NA
"CCAR1"	NA
"STOX1"	0.0160689368943045
"DDX50"	0.0101589669909463
"DDX21"	0.0019882882569574
"KIAA1279"	0.000159721540427049
"SRGN"	NA
"VPS26A"	0.0443735842551818
"SUPV3L1"	0.0153898420898422
"HKDC1"	NA
"HK1"	0.00442082145042091
"TACR2"	NA
"TSPAN15"	0.00366868181922724
"NEUROG3"	NA
