"gene"	"R2"
"TUBB8"	0.00951988021117873
"ZMYND11"	NA
"DIP2C"	NA
"PRR26"	NA
"LARP4B"	0.000529897027988266
"AL359878.1"	0.104153817148738
"GTPBP4"	NA
"IDI2"	NA
"IDI1"	NA
"WDR37"	0.0129117198827359
"ADARB2"	0.185855374256379
"PFKP"	NA
"PITRM1"	0.160372717032221
"KLF6"	0.00040246555170588
"AKR1E2"	0.0419098271126824
"AKR1C1"	0.043234752052728
"AKR1C2"	0.104687324275976
"AKR1C3"	0.0622828671732676
"AKR1CL1"	0.00245554341915288
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	0.040661763183391
"NET1"	0.0669094549241799
"CALML5"	0.050924607837628
"CALML3"	0.0165231576857981
"ASB13"	0.0030302666935225
"FAM208B"	0.0130835371461041
"GDI2"	0.144960226681926
"ANKRD16"	0.0461042884597021
"FBXO18"	NA
"IL15RA"	0.0620372653544143
"IL2RA"	0.000282646806229048
"RBM17"	0.00309239694127327
"PFKFB3"	NA
"AL137145.1"	0.0353306304226608
"DKFZP667F0711"	0.0759992959569396
"PRKCQ"	NA
"SFMBT2"	0.00103509980815388
"ITIH5"	0.0452245744921357
"ITIH2"	0.0123263876936459
"KIN"	0.04550045401716
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	NA
"CELF2"	NA
"USP6NL"	0.00305297239777387
"ECHDC3"	0.362053095341512
"PROSER2"	NA
"UPF2"	0.00581104594256807
"DHTKD1"	NA
"SEC61A2"	0.0432473581638805
"NUDT5"	0.00388610061134971
"CDC123"	0.036672102409546
"CAMK1D"	0.00913679623316859
"CCDC3"	0.0314455378702486
"OPTN"	0.00614437800750515
"MCM10"	NA
"UCMA"	NA
"PHYH"	0.0016655824891999
"AL138764.1"	NA
"SEPHS1"	0.000218241569970876
"BEND7"	0.0043519974864972
"PRPF18"	NA
"RP11-295P9.3"	0.0447626196080636
"FRMD4A"	0.0153173490835773
"FAM107B"	0.226801422388539
"CDNF"	NA
"HSPA14"	0.00942832991944097
"SUV39H2"	0.00233423474852063
"DCLRE1C"	NA
"MEIG1"	NA
"OLAH"	NA
"ACBD7"	NA
"C10orf111"	NA
"RPP38"	0.00408949824312126
"NMT2"	0.156254657830092
"FAM171A1"	0.00704049078271443
"ITGA8"	0.00937769775548543
"FAM188A"	0.000709884151207105
"PTER"	0.112736170814224
"C1QL3"	0.536368179690394
"RSU1"	0.219654419219937
"CUBN"	0.0635761834478737
"TRDMT1"	0.179043537867055
"VIM"	0.00646522103679247
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	0.00319729805562111
"TMEM236"	NA
"MRC1L1"	0.158915497710911
"TMEM236"	0.0365882336258998
"MRC1"	0.0864986638823264
"SLC39A12"	0.00871949388467233
"CACNB2"	9.50907074715248e-05
"NSUN6"	0.0891320231319174
"ARL5B"	0.0107424829445149
"C10orf112"	0.357959804126992
"PLXDC2"	NA
"NEBL"	NA
"C10orf113"	NA
"CASC10"	0.000964039674064393
"SKIDA1"	NA
"MLLT10"	NA
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	NA
"BMI1"	0.0177013130599286
"SPAG6"	0.00353299795664079
"PIP4K2A"	0.0291106560552362
"ARMC3"	NA
"MSRB2"	NA
"PTF1A"	0.000944906893613619
"C10orf115"	NA
"C10orf67"	NA
"OTUD1"	NA
"KIAA1217"	0.0305983478873796
"AL353583.1"	NA
"ARHGAP21"	NA
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	0.00366071962229047
"GPR158"	NA
"MYO3A"	0.0272025674398674
"GAD2"	NA
"APBB1IP"	0.254223514676752
"PDSS1"	0.0202236824227657
"ABI1"	6.09708684893029e-05
"ANKRD26"	0.0183294837595034
"YME1L1"	NA
"MASTL"	0.3464283208174
"ACBD5"	0.110601442728595
"PTCHD3"	0.0133695833632955
"RAB18"	0.00189887795145297
"MKX"	NA
"ARMC4"	NA
"MPP7"	0.0303081092365432
"WAC"	0.00589662434914241
"BAMBI"	0.00392893079486614
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0346310866718398
"KIAA1462"	0.0225489647709104
"MTPAP"	0.00767260784390184
"MAP3K8"	NA
"LYZL2"	0.0241413052496468
"ZNF438"	0.00968477872151197
"ZEB1"	NA
"ARHGAP12"	0.00129744577399824
"KIF5B"	0.000158640774266274
"EPC1"	NA
"CCDC7"	0.0488414779953433
"C10orf68"	0.190922283537432
"ITGB1"	0.0205512714594642
"NRP1"	0.0379049219175874
"PARD3"	0.000172492235318552
"CUL2"	0.000302168466960405
"CREM"	NA
"CCNY"	NA
"GJD4"	0.00483239908904816
"FZD8"	NA
"NAMPTL"	NA
"ANKRD30A"	NA
"ZNF248"	0.00625765954885171
"ZNF25"	0.0709449798177088
"ZNF33A"	0.0208089293702351
"ZNF37A"	NA
"AL133216.1"	0.00363954121584573
"ZNF33B"	0.139181314931186
"BMS1"	0.0180115683314462
"RET"	0.00113702426351177
"CSGALNACT2"	0.250453596454699
"RASGEF1A"	0.0545655760022426
"FXYD4"	NA
"HNRNPF"	8.4694087234598e-05
"ZNF487"	NA
"ZNF239"	0.0290764753081577
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	0.00127426548841335
"RASSF4"	NA
"C10orf10"	0.0132986286813966
"C10orf25"	0.0171157381271051
"ZNF22"	0.0730926069375627
"OR13A1"	NA
"ALOX5"	0.00452005501094609
"MARCH8"	0.00525383902870534
"ZFAND4"	0.0087731958977957
"FAM21C"	0.0484098495195209
"FAM25E"	NA
"AGAP4"	0.220802409199067
"PTPN20A"	0.00636361810070543
"SYT15"	NA
"GPRIN2"	0.000218412390934995
"NPY4R"	0.0109288180334884
"ANXA8L1"	NA
"FAM25B"	NA
"AGAP10"	6.18873985031145e-06
"ANTXRL"	0.0327738276614938
"ANXA8L2"	NA
"AL603965.1"	0.000701691309004803
"FAM21B"	0.0193665798613018
"ASAH2C"	NA
"AGAP9"	0.133976553714533
"FAM25G"	NA
"ANXA8"	0.0508962124535481
"ZNF488"	0.0319031558197111
"RBP3"	0.037791850747197
"GDF2"	NA
"GDF10"	0.00477196426380746
"PTPN20B"	0.00885531597283713
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	4.72996344209208e-05
"ARHGAP22"	0.282200921591978
"WDFY4"	0.00164497081502288
"LRRC18"	NA
"VSTM4"	0.00398796531330579
"FAM170B"	NA
"C10orf128"	NA
"C10orf71"	NA
"DRGX"	NA
"ERCC6"	0.0223799324225219
"CHAT"	NA
"SLC18A3"	0.00660754611399305
"C10orf53"	NA
"OGDHL"	NA
"PARG"	0.00654993394312133
"FAM21D"	0.0188412542307035
"AGAP8"	0.479098522550251
"TIMM23B"	0.00357661917465658
"AGAP7"	0.386779555907472
"MSMB"	0.00418811528230759
"NCOA4"	NA
"TIMM23"	0.000753671047141315
"AGAP6"	0.255043052210614
"FAM21A"	0.482039457114785
"ASAH2"	0.253413927966951
"SGMS1"	0.000144163294293071
"AC069547.1"	NA
"AC069547.2"	NA
"ASAH2B"	0.160869687803746
"A1CF"	NA
"PRKG1"	NA
"CSTF2T"	8.00326622101629e-06
"DKK1"	NA
"MBL2"	0.00067280958649956
"PCDH15"	0.035325129100672
"MTRNR2L5"	NA
"ZWINT"	0.0240264979226066
"IPMK"	NA
"CISD1"	0.173779673781486
"UBE2D1"	0.00424588883599004
"TFAM"	0.129703750859509
"BICC1"	0.095906933010455
"PHYHIPL"	NA
"FAM13C"	0.00648418298945104
"SLC16A9"	0.00302361274443545
"CCDC6"	0.0153130916359526
"C10orf40"	NA
"ANK3"	0.0357919764332003
"CDK1"	NA
"RHOBTB1"	0.0102751329407885
"TMEM26"	0.00166488142898333
"C10orf107"	0.380945412051738
"ARID5B"	0.0111581569274433
"RTKN2"	0.00372828441700412
"ZNF365"	0.0373413570185451
"ADO"	NA
"EGR2"	0.0164617329213506
"NRBF2"	0.000751718620316341
"JMJD1C"	NA
"REEP3"	0.0111150538275399
"CTNNA3"	0.00188694984616444
"LRRTM3"	NA
"DNAJC12"	NA
"SIRT1"	0.0284114193525013
"HERC4"	NA
"MYPN"	0.001844863603892
"ATOH7"	0.10705218688852
"PBLD"	0.0536843740461433
"HNRNPH3"	0.00145671591958885
"RUFY2"	0.0200171153294068
"DNA2"	0.313122692696658
"SLC25A16"	0.0414812451501374
"TET1"	0.00378988897296719
"CCAR1"	NA
"STOX1"	0.163808595625217
"DDX50"	NA
"DDX21"	NA
"KIAA1279"	0.0299639682183229
"SRGN"	0.0263432021333206
"VPS26A"	NA
"SUPV3L1"	NA
"HKDC1"	NA
"HK1"	NA
"TACR2"	0.0273179944248957
"TSPAN15"	0.0788575828847548
"NEUROG3"	0.0165323217094305
"C10orf35"	NA
"RP11-242G20.1"	NA
"COL13A1"	NA
"H2AFY2"	NA
"AIFM2"	0.00431708315766895
"TYSND1"	NA
"SAR1A"	0.217359178759236
"PPA1"	0.510460158243729
"NPFFR1"	0.000510528554448091
"LRRC20"	0.0133027833330958
"EIF4EBP2"	0.0406969958877515
"NODAL"	0.0645799786705938
"PALD1"	0.00467184198470508
"PRF1"	NA
"ADAMTS14"	0.000398870810474201
"TBATA"	NA
"SGPL1"	NA
"PCBD1"	0.00146809949471524
"UNC5B"	0.00145022397203257
"SLC29A3"	NA
"CDH23"	0.0571612560413477
"C10orf105"	0.00690191808538332
"C10orf54"	0.179653293746271
"PSAP"	0.00695687971519486
"CHST3"	0.00144772385623834
"SPOCK2"	0.0158083281572148
"ASCC1"	0.0366927533832832
"ANAPC16"	0.00705335089717155
"DDIT4"	0.0187336219436855
"DNAJB12"	0.0131501819764258
"MICU1"	0.00191550500712782
"MCU"	0.0160307620783726
"OIT3"	NA
"PLA2G12B"	NA
"P4HA1"	4.73592926356452e-05
"NUDT13"	0.20468483517702
"ECD"	0.0188785505848051
"FAM149B1"	NA
"DNAJC9"	0.0107784664243096
"MRPS16"	0.045920102360681
"TTC18"	0.108896786594151
"ANXA7"	0.00216726541109347
"MSS51"	0.00578322141017403
"PPP3CB"	NA
"USP54"	0.0122841293496216
"MYOZ1"	0.00365476235984341
"SYNPO2L"	NA
"AGAP5"	NA
"SEC24C"	1.05307414617374e-06
"FUT11"	NA
"CHCHD1"	NA
"ZSWIM8"	0.0130676047426023
"NDST2"	0.0102359090255021
"CAMK2G"	0.0489142383737279
"PLAU"	0.0105590530615529
"C10orf55"	NA
"VCL"	0.0518977334864704
"AP3M1"	NA
"ADK"	NA
"KAT6B"	NA
"DUPD1"	NA
"DUSP13"	NA
"SAMD8"	NA
"VDAC2"	0.0271550349117185
"COMTD1"	NA
"ZNF503"	NA
"C10orf11"	0.199354328999171
"KCNMA1"	NA
"DLG5"	0.173068616094571
"AL391421.1"	NA
"POLR3A"	0.00131529304312626
"RPS24"	0.0248577192434486
"ZMIZ1"	NA
"PPIF"	NA
"ZCCHC24"	0.0522381824696715
"AL133481.1"	NA
"EIF5AL1"	NA
"SFTPA2"	NA
"SFTPA1"	NA
"NUTM2B"	0.0706772585919915
"NUTM2E"	0.0539321418659014
"SFTPD"	0.610964854228738
"TMEM254"	0.034440694181034
"PLAC9"	0.106273356467166
"ANXA11"	0.0411458446547505
"AL359195.1"	0.447034744686133
"MAT1A"	0.0363744711686362
"DYDC1"	NA
"DYDC2"	NA
"FAM213A"	NA
"TSPAN14"	0.0173555862512909
"SH2D4B"	NA
"NRG3"	NA
"GHITM"	0.162778595192429
"C10orf99"	NA
"CDHR1"	0.000626146347003115
"LRIT2"	NA
"LRIT1"	NA
"RGR"	0.000764116515554172
"CCSER2"	4.43431166732298e-09
"GRID1"	0.0704065658140573
"WAPAL"	NA
"OPN4"	0.0537779648336722
"LDB3"	0.137154585623238
"BMPR1A"	0.0115748187576529
"MMRN2"	NA
"SNCG"	NA
"ADIRF"	0.041299360750052
"FAM25A"	0.000433940701284379
"GLUD1"	0.00156548596660524
"FAM35A"	0.00653527283837309
"NUTM2A"	0.207530194193068
"NUTM2D"	0.0564788879962303
"MINPP1"	0.00614676113263302
"PAPSS2"	0.0372032698608357
"ATAD1"	0.00564774260353371
"PTEN"	NA
"RNLS"	NA
"LIPJ"	NA
"LIPF"	NA
"LIPK"	NA
"LIPN"	0.000127754117561632
"LIPM"	NA
"ANKRD22"	NA
"STAMBPL1"	NA
"ACTA2"	NA
"FAS"	NA
"CH25H"	0.0197065176855751
"LIPA"	0.00599232431598612
"IFIT2"	NA
"IFIT3"	NA
"IFIT1B"	0.00432276694181441
"IFIT1"	NA
"IFIT5"	0.313552594346445
"SLC16A12"	0.0476448088012144
"PANK1"	0.00165403481592996
"KIF20B"	0.0429179308373338
"HTR7"	0.00958853293147073
"RPP30"	0.0229803903959083
"ANKRD1"	0.00761446550927883
"PCGF5"	NA
"HECTD2"	0.00496514136283209
"PPP1R3C"	0.0682515624968151
"TNKS2"	0.0873521660218025
"FGFBP3"	0.000189528299917727
"BTAF1"	0.00317825014406862
"CPEB3"	NA
"MARCH5"	0.000692590749994056
"IDE"	0.0283907084904899
"KIF11"	NA
"HHEX"	NA
"EXOC6"	0.00470748631454691
"CYP26C1"	0.00200120248655397
"CYP26A1"	NA
"MYOF"	0.168494901072284
"CEP55"	0.00419104785647521
"FFAR4"	NA
"RBP4"	NA
"PDE6C"	0.0185631235843178
"FRA10AC1"	0.459663484542812
"LGI1"	NA
"SLC35G1"	0.0759396021844215
"PLCE1"	0.0327309245186873
"NOC3L"	0.0323003982041263
"TBC1D12"	0.00699996356588755
"HELLS"	0.000190876953415741
"CYP2C18"	NA
"CYP2C19"	NA
"CYP2C9"	0.0068994984082366
"CYP2C8"	0.0992131361310301
"C10orf129"	0.0417495914492145
"PDLIM1"	NA
"SORBS1"	NA
"ALDH18A1"	0.055528187157326
"TCTN3"	0.00650316186819161
"ENTPD1"	0.0269209375604607
"C10orf131"	NA
"RP11-248J23.6"	NA
"CC2D2B"	NA
"CCNJ"	0.00492629847267385
"BLNK"	0.0263561230148152
"DNTT"	NA
"OPALIN"	0.000256334966904685
"TLL2"	NA
"TM9SF3"	NA
"PIK3AP1"	NA
"LCOR"	0.0213242216805714
"C10orf12"	0.00630751333364046
"SLIT1"	0.0101404515362494
"ARHGAP19-SLIT1"	NA
"ARHGAP19"	0.0292547051498724
"FRAT1"	0.00485464727997028
"FRAT2"	0.000130521999211965
"RRP12"	NA
"AL355490.1"	0.00634546780586853
"PGAM1"	0.00411510757835034
"EXOSC1"	NA
"ZDHHC16"	0.00826439122687957
"MMS19"	0.00946763494297192
"UBTD1"	NA
"ANKRD2"	0.000933779608480193
"C10orf62"	NA
"HOGA1"	0.0244683696940512
"MORN4"	0.118916523487033
"PI4K2A"	1.4148499341943e-05
"AVPI1"	0.0159895546390928
"MARVELD1"	0.000316384178752732
"ZFYVE27"	0.0185259773785723
