"gene"	"R2"
"TUBB8"	NA
"ZMYND11"	0.00646618507494366
"DIP2C"	0.000970357562784956
"PRR26"	0.0057664200871117
"LARP4B"	0.000424707028329832
"AL359878.1"	NA
"GTPBP4"	0.00185301954209682
"IDI2"	NA
"IDI1"	NA
"WDR37"	NA
"ADARB2"	0.0173395705037035
"PFKP"	NA
"PITRM1"	0.0041148035380604
"KLF6"	0.00398130370325802
"AKR1E2"	NA
"AKR1C1"	0.000255461939433652
"AKR1C2"	0.176723442364784
"AKR1C3"	NA
"AKR1CL1"	0.026186755899209
"AKR1C4"	0.00107036823629978
"UCN3"	NA
"TUBAL3"	0.197970144997241
"NET1"	NA
"CALML5"	NA
"CALML3"	NA
"ASB13"	NA
"FAM208B"	NA
"GDI2"	0.00787164052565931
"ANKRD16"	NA
"FBXO18"	NA
"IL15RA"	0.00197883705548508
"IL2RA"	NA
"RBM17"	NA
"PFKFB3"	1.20807350172475e-05
"AL137145.1"	0.0104513322596558
"DKFZP667F0711"	NA
"PRKCQ"	0.00115087226199208
"SFMBT2"	NA
"ITIH5"	NA
"ITIH2"	0.00273432776864397
"KIN"	0.0497801830224204
"ATP5C1"	0.0768617619801798
"TAF3"	0.000664315508102124
"GATA3"	NA
"CELF2"	NA
"USP6NL"	0.0345912675113662
"ECHDC3"	NA
"PROSER2"	NA
"UPF2"	NA
"DHTKD1"	NA
"SEC61A2"	0.00208655886765014
"NUDT5"	0.0227301458286135
"CDC123"	0.00216578301495001
"CAMK1D"	0.058020302599412
"CCDC3"	0.0549194245398083
"OPTN"	0.000447862345658019
"MCM10"	0.0410559040071524
"UCMA"	NA
"PHYH"	NA
"AL138764.1"	NA
"SEPHS1"	0.0847487543246054
"BEND7"	0.000552481324087324
"PRPF18"	NA
"RP11-295P9.3"	NA
"FRMD4A"	0.0087699749516604
"FAM107B"	0.0145444888953255
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	0.00773557766450806
"DCLRE1C"	0.0249596535513132
"MEIG1"	NA
"OLAH"	0.0418722049554426
"ACBD7"	NA
"C10orf111"	0.0661057235397166
"RPP38"	0.0438931107830823
"NMT2"	0.12966637153583
"FAM171A1"	0.0506542301179632
"ITGA8"	NA
"FAM188A"	0.00884931936159014
"PTER"	NA
"C1QL3"	0.575427451768711
"RSU1"	0.0900411075612815
"CUBN"	0.00944142233412788
"TRDMT1"	0.136237400958411
"VIM"	NA
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	0.08538616020828
"TMEM236"	0.042552780048651
"MRC1L1"	0.0431311124253658
"TMEM236"	9.38206845015947e-05
"MRC1"	0.136411241826617
"SLC39A12"	0.0107012342001392
"CACNB2"	0.00585312063123474
"NSUN6"	0.00614308946639732
"ARL5B"	NA
"C10orf112"	0.237103441112011
"PLXDC2"	0.10566878102245
"NEBL"	NA
"C10orf113"	0.0136207811363988
"CASC10"	0.00519817575159154
"SKIDA1"	0.0658864601192895
"MLLT10"	NA
"DNAJC1"	NA
"EBLN1"	0.0139009467647037
"COMMD3"	NA
"BMI1"	NA
"SPAG6"	NA
"PIP4K2A"	0.0271577820599235
"ARMC3"	1.71913455240122e-05
"MSRB2"	NA
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	NA
"OTUD1"	0.0191531053825799
"KIAA1217"	NA
"AL353583.1"	0.0326120126201339
"ARHGAP21"	NA
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	0.0277317288957542
"GPR158"	6.95425068108111e-05
"MYO3A"	3.42537854830379e-05
"GAD2"	0.00578737283459844
"APBB1IP"	8.90250303570311e-05
"PDSS1"	0.0663237584060744
"ABI1"	0.00701342908150055
"ANKRD26"	0.0541047600924508
"YME1L1"	0.000981289767987134
"MASTL"	0.277521251527322
"ACBD5"	NA
"PTCHD3"	0.0826395567832627
"RAB18"	NA
"MKX"	NA
"ARMC4"	NA
"MPP7"	0.0396185078913385
"WAC"	0.0348776492998041
"BAMBI"	NA
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0104145480065666
"KIAA1462"	0.00550206024360514
"MTPAP"	NA
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	0.00275355157693221
"ZEB1"	NA
"ARHGAP12"	NA
"KIF5B"	0.0623494938711821
"EPC1"	NA
"CCDC7"	0.0367704757113474
"C10orf68"	0.0478250199817202
"ITGB1"	NA
"NRP1"	NA
"PARD3"	0.0459232227549482
"CUL2"	NA
"CREM"	NA
"CCNY"	NA
"GJD4"	NA
"FZD8"	0.00730742189981686
"NAMPTL"	3.9445382601342e-05
"ANKRD30A"	NA
"MTRNR2L7"	0.0245067209609394
"ZNF248"	0.0441453622802782
"ZNF25"	NA
"ZNF33A"	0.00185233181812626
"ZNF37A"	0.00365492896879801
"AL133216.1"	0.0757955431999953
"ZNF33B"	0.100740609394868
"BMS1"	NA
"RET"	0.00815676607737042
"CSGALNACT2"	0.23029345566254
"RASGEF1A"	0.0782385338132921
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	NA
"ZNF239"	NA
"ZNF485"	0.0247713452725615
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	0.0234446064282393
"RASSF4"	NA
"C10orf10"	NA
"C10orf25"	0.00716145359877606
"ZNF22"	NA
"OR13A1"	0.0229254060100212
"ALOX5"	0.0164484542051137
"MARCH8"	0.0480114524747764
"ZFAND4"	0.293744354706974
"FAM21C"	0.011518105942357
"FAM25E"	NA
"AGAP4"	0.204079364007263
"PTPN20A"	0.00466782908880027
"SYT15"	NA
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	9.10114951077772e-06
"AGAP10"	NA
"ANTXRL"	0.485818800994994
"ANXA8L2"	NA
"AL603965.1"	NA
"FAM21B"	0.00787855583412973
"ASAH2C"	NA
"AGAP9"	NA
"FAM25G"	NA
"ANXA8"	0.00153534711385846
"ZNF488"	NA
"RBP3"	NA
"GDF2"	0.000772937342665683
"GDF10"	0.0416850354072455
"PTPN20B"	0.0163037959106221
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	0.0189522998112758
"ARHGAP22"	0.0216044812499195
"WDFY4"	0.0346290766288625
"LRRC18"	NA
"VSTM4"	0.102064177443519
"FAM170B"	0.00480895682638305
"C10orf128"	0.000961074238020185
"C10orf71"	NA
"DRGX"	NA
"ERCC6"	NA
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	NA
"OGDHL"	0.193328632958176
"PARG"	0.0739214264935511
"FAM21D"	0.00503398444624173
"AGAP8"	0.46967279339824
"TIMM23B"	0.00147078124488464
"AGAP7"	0.186072332115883
"MSMB"	0.0322790028065561
"NCOA4"	NA
"TIMM23"	0.00130036894498471
"AGAP6"	0.066216617160327
"FAM21A"	0.491020629612946
"ASAH2"	0.110654673570292
"SGMS1"	NA
"AC069547.1"	NA
"AC069547.2"	NA
"ASAH2B"	0.335750051605674
"A1CF"	NA
"PRKG1"	0.0582544339946461
"CSTF2T"	NA
"DKK1"	0.0291218952912997
"MBL2"	NA
"PCDH15"	0.060631349469728
"ZWINT"	NA
"IPMK"	NA
"CISD1"	0.0499567455142412
"UBE2D1"	NA
"TFAM"	0.152509387524748
"BICC1"	NA
"PHYHIPL"	0.0216802521057736
"FAM13C"	2.00322482357922e-05
"SLC16A9"	NA
"CCDC6"	0.00127967990854044
"C10orf40"	NA
"ANK3"	0.000520813941559952
"CDK1"	0.00516234932120806
"RHOBTB1"	NA
"TMEM26"	0.00204861159234636
"C10orf107"	0.0910729351221404
"ARID5B"	0.0305685927969205
"RTKN2"	NA
"ZNF365"	0.00010986253482654
"ADO"	0.0380331012967372
"EGR2"	0.003322726326029
"NRBF2"	0.0618444386332135
"JMJD1C"	NA
"REEP3"	NA
"CTNNA3"	NA
"LRRTM3"	NA
"DNAJC12"	NA
"SIRT1"	0.000656281874811252
"HERC4"	NA
"MYPN"	NA
"ATOH7"	0.0401434950941669
"PBLD"	0.0024733491670551
"HNRNPH3"	0.0139535608052443
"RUFY2"	NA
"DNA2"	0.27807484431146
"SLC25A16"	NA
"TET1"	NA
"CCAR1"	NA
"STOX1"	0.0285361775061849
"DDX50"	NA
"DDX21"	NA
"KIAA1279"	0.0396720781199379
"SRGN"	NA
"VPS26A"	0.00467200399766268
"SUPV3L1"	0.061578416646426
"HKDC1"	0.000650360685820291
"HK1"	0.139277108704554
"TACR2"	0.00598276039601027
"TSPAN15"	0.356845774370771
"NEUROG3"	NA
"C10orf35"	NA
"COL13A1"	NA
"H2AFY2"	NA
"AIFM2"	0.0106906651034416
"TYSND1"	NA
"SAR1A"	NA
"PPA1"	0.16741829331452
"NPFFR1"	NA
"LRRC20"	0.0521871449743757
"EIF4EBP2"	0.0625879075204983
"NODAL"	NA
"PALD1"	0.000198284662121234
"PRF1"	NA
"ADAMTS14"	NA
"TBATA"	0.00289225049854581
"SGPL1"	0.000181446708114889
"PCBD1"	NA
"UNC5B"	0.0131418756279212
"SLC29A3"	NA
"CDH23"	NA
"C10orf105"	NA
"C10orf54"	0.0502521657329566
"PSAP"	7.97037019999542e-06
"CHST3"	NA
"SPOCK2"	0.274468383136837
"ASCC1"	0.0283247785541194
"ANAPC16"	0.00318422795208178
"DDIT4"	NA
"DNAJB12"	0.0190560466917216
"MICU1"	NA
"MCU"	0.00139279721286466
"OIT3"	0.0046209718993736
"PLA2G12B"	NA
"P4HA1"	NA
"NUDT13"	0.0270210689152067
"ECD"	NA
"FAM149B1"	NA
"DNAJC9"	7.36843698087766e-05
"MRPS16"	0.0798607561668038
"TTC18"	0.133995592752761
"ANXA7"	0.0302376092460067
"MSS51"	0.0066077200403445
"PPP3CB"	NA
"USP54"	0.0272417355046343
"MYOZ1"	NA
"SYNPO2L"	8.32654677452742e-06
"AGAP5"	0.00616293284198434
"SEC24C"	0.00442746127664614
"FUT11"	0.0214078423125842
"CHCHD1"	NA
"ZSWIM8"	0.0152368032451449
"NDST2"	0.0683237638112278
"CAMK2G"	0.0401649199984539
"PLAU"	NA
"VCL"	NA
"AP3M1"	0.0108367229133243
"ADK"	0.211077848145282
"KAT6B"	NA
"DUPD1"	0.0585350615690687
"DUSP13"	NA
"SAMD8"	0.0231881082263526
"VDAC2"	4.0845201823362e-05
"COMTD1"	NA
"ZNF503"	0.0176402510480831
"C10orf11"	0.0415884238639314
"KCNMA1"	0.0526105641632529
"DLG5"	0.157024154131538
"AL391421.1"	NA
"POLR3A"	0.0131378233298071
"RPS24"	0.0540035633308698
"ZMIZ1"	0.00320745082212962
"PPIF"	0.049566454483035
"ZCCHC24"	NA
"AL133481.1"	NA
"EIF5AL1"	NA
"SFTPA2"	NA
"SFTPA1"	NA
"NUTM2B"	0.0621932162576935
"NUTM2E"	NA
"SFTPD"	0.186713610301118
"TMEM254"	0.00347966211871662
