"gene"	"R2"
"TUBB8"	NA
"ZMYND11"	NA
"DIP2C"	NA
"PRR26"	0.0188225387739169
"LARP4B"	0.000395323193940206
"AL359878.1"	0.0075537127246055
"GTPBP4"	0.00399119558202436
"IDI2"	NA
"IDI1"	NA
"WDR37"	0.00498002497513995
"ADARB2"	0.143507668535423
"PFKP"	0.00113184871005538
"PITRM1"	0.0197535932976627
"KLF6"	NA
"AKR1E2"	0.0533332292299379
"AKR1C1"	0.0661641675149415
"AKR1C2"	0.0826566789560665
"AKR1C3"	0.0753036077253724
"AKR1CL1"	0.0374632256332279
"AKR1C4"	0.0132405383402675
"UCN3"	0.0228353854140179
"TUBAL3"	0.0795778548795728
"NET1"	0.00484384997222718
"CALML5"	0.0195695853638613
"CALML3"	NA
"ASB13"	0.000177968982798594
"FAM208B"	NA
"GDI2"	0.036879145672444
"ANKRD16"	0.0103052022041026
"FBXO18"	NA
"IL15RA"	NA
"IL2RA"	NA
"RBM17"	0.00168478057225721
"PFKFB3"	0.0233897325852603
"AL137145.1"	0.0168348338415444
"DKFZP667F0711"	0.00011714746765252
"PRKCQ"	NA
"SFMBT2"	NA
"ITIH5"	0.0273888660136451
"ITIH2"	0.0385724692627383
"KIN"	0.00592088563153833
"ATP5C1"	0.0345147088027256
"TAF3"	0.000277653396478253
"GATA3"	NA
"CELF2"	0.00739329077344967
"USP6NL"	0.0237110980823379
"ECHDC3"	0.123930405089978
"PROSER2"	NA
"UPF2"	2.78628377474832e-05
"DHTKD1"	NA
"SEC61A2"	0.00457590131357871
"NUDT5"	0.00150123636145264
"CDC123"	0.00522738536881733
"CAMK1D"	0.178200364708621
"CCDC3"	0.0826254958780807
"OPTN"	0.013735384788039
"MCM10"	NA
"UCMA"	NA
"PHYH"	0.0863594704353313
"AL138764.1"	NA
"SEPHS1"	0.00604693654949387
"BEND7"	0.0186557514006067
"PRPF18"	NA
"RP11-295P9.3"	0.168437173563165
"FRMD4A"	0.0102236926603029
"FAM107B"	0.00545612356997527
"CDNF"	NA
"HSPA14"	0.0431071407728003
"SUV39H2"	NA
"DCLRE1C"	NA
"MEIG1"	NA
"OLAH"	NA
"ACBD7"	NA
"C10orf111"	0.0057112144616988
"RPP38"	NA
"NMT2"	0.0727464124444791
"FAM171A1"	0.00205172169817745
"ITGA8"	NA
"FAM188A"	NA
"PTER"	0.160440471510178
"C1QL3"	0.491401854897
"RSU1"	0.029593335237109
"CUBN"	0.0381782886226487
"TRDMT1"	0.0340844857425852
"VIM"	NA
"ST8SIA6"	0.020843869976933
"PTPLA"	NA
"STAM"	0.110543689811178
"TMEM236"	5.33136170757604e-05
"MRC1L1"	0.119222904209925
"TMEM236"	0.000325870831750554
"MRC1"	0.293905968788592
"SLC39A12"	0.154771910548357
"CACNB2"	NA
"NSUN6"	0.229262235673339
"ARL5B"	NA
"C10orf112"	0.142202932237543
"PLXDC2"	0.00437379904038133
"NEBL"	0.000175379689405419
"C10orf113"	0.0211228984472642
"CASC10"	NA
"SKIDA1"	NA
"MLLT10"	NA
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	3.10791591514592e-05
"BMI1"	NA
"SPAG6"	NA
"PIP4K2A"	0.012320600843115
"ARMC3"	0.00174140484251587
"MSRB2"	NA
"PTF1A"	0.0191455579469825
"C10orf115"	NA
"C10orf67"	NA
"OTUD1"	0.000125258179273833
"KIAA1217"	0.00183760536112871
"AL353583.1"	NA
"ARHGAP21"	0.0171989178126719
"PRTFDC1"	0.00516950432983577
"ENKUR"	0.00227694531698641
"THNSL1"	NA
"GPR158"	NA
"MYO3A"	0.0649347000092913
"GAD2"	NA
"APBB1IP"	0.00353377549988713
"PDSS1"	0.13531860673069
"ABI1"	NA
"ANKRD26"	0.0236623129215415
"YME1L1"	0.000445815950217367
"MASTL"	0.383120523274577
"ACBD5"	0.00518454721612437
"PTCHD3"	0.0262262157369677
"RAB18"	0.0300773697443476
"MKX"	NA
"ARMC4"	NA
"MPP7"	NA
"WAC"	NA
"BAMBI"	0.0248860856924263
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0179265447668458
"KIAA1462"	NA
"MTPAP"	0.00459068782787273
"MAP3K8"	NA
"LYZL2"	5.2028230168054e-06
"ZNF438"	NA
"ZEB1"	NA
"ARHGAP12"	0.0179986490079881
"KIF5B"	0.00104348832538058
"EPC1"	NA
"CCDC7"	NA
"C10orf68"	0.133067650719788
"ITGB1"	NA
"NRP1"	NA
"PARD3"	0.0137426595316859
"CUL2"	NA
"CREM"	NA
"CCNY"	3.55853341670928e-09
"GJD4"	0.0114721619416723
"FZD8"	0.0021145285675113
"NAMPTL"	0.00186847836297861
"ANKRD30A"	NA
"ZNF248"	0.00583336186273492
"ZNF25"	0.0014199367923908
"ZNF33A"	0.00779296017787382
"ZNF37A"	0.00739980009287336
"AL133216.1"	NA
"ZNF33B"	0.0731562057314334
"BMS1"	0.00928556837871657
"RET"	0.0405444175937708
"CSGALNACT2"	0.127511662787783
"RASGEF1A"	0.060618132152954
"FXYD4"	NA
"HNRNPF"	0.0166222959541908
"ZNF487"	NA
"ZNF239"	0.0637687472262805
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	0.010051542675464
"TMEM72"	0.00421297441893805
"RASSF4"	5.19053866307896e-05
"C10orf10"	0.00815268855718519
"C10orf25"	0.0804690407400102
"ZNF22"	0.0170884106851773
"OR13A1"	0.106649154053161
"ALOX5"	NA
"MARCH8"	0.136098625135929
"ZFAND4"	0.0413622595636138
"FAM21C"	0.0738858910132413
"FAM25E"	NA
"AGAP4"	0.293249855117544
"PTPN20A"	0.00627057040472312
"SYT15"	0.00378014349030745
"GPRIN2"	0.0157002927771633
"NPY4R"	NA
"ANXA8L1"	0.0566055452990654
"FAM25B"	NA
"AGAP10"	NA
"ANTXRL"	NA
"ANXA8L2"	0.0195256604599238
"AL603965.1"	0.0660893508322776
"FAM21B"	NA
"ASAH2C"	NA
"AGAP9"	0.091386839909126
"FAM25G"	NA
"ANXA8"	NA
"ZNF488"	0.0590774526081409
"RBP3"	0.000542439076973605
"GDF2"	NA
"GDF10"	0.00118861455237361
"PTPN20B"	0.00121033862519589
"FAM25C"	0.0531817980082033
"FRMPD2"	NA
"MAPK8"	0.0283291508360311
"ARHGAP22"	NA
"WDFY4"	0.00853821341518579
"LRRC18"	NA
"VSTM4"	0.0457253163311902
"FAM170B"	0.0214058464782745
"C10orf128"	0.00849428774863629
"C10orf71"	NA
"DRGX"	0.0322345209074114
"ERCC6"	0.00196617897600081
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	0.00480980283617977
"OGDHL"	0.0423741193780893
"PARG"	0.0431473260476774
"FAM21D"	NA
"AGAP8"	0.510602591409219
"TIMM23B"	0.0175781874574969
"AGAP7"	0.41627911019485
"MSMB"	0.0956681187634413
"NCOA4"	NA
"TIMM23"	0.00498199008159508
"AGAP6"	0.209927612463293
"FAM21A"	0.39643920077688
"ASAH2"	0.271809069495356
"SGMS1"	0.00328459883673956
"AC069547.1"	NA
"AC069547.2"	NA
"ASAH2B"	0.33054717768554
"A1CF"	NA
