"gene"	"R2"
"TUBB8"	NA
"ZMYND11"	NA
"DIP2C"	NA
"PRR26"	0.00851355892736115
"LARP4B"	0.000642546624195015
"AL359878.1"	NA
"GTPBP4"	NA
"IDI2"	0.0507097763624416
"IDI1"	0.00651258981567711
"WDR37"	NA
"ADARB2"	0.105337877787328
"PFKP"	0.0605353870520468
"PITRM1"	0.137417956567627
"KLF6"	NA
"AKR1E2"	0.0312864315715597
"AKR1C1"	0.102740123370871
"AKR1C2"	0.214705822473413
"AKR1C3"	0.165166681929439
"AKR1CL1"	0.000559903775637834
"AKR1C4"	0.00102936573645685
"UCN3"	NA
"TUBAL3"	0.0612192404827788
"NET1"	1.55625345546626e-05
"CALML5"	NA
"CALML3"	0.00286637604161898
"ASB13"	NA
"FAM208B"	0.00797072935812187
"GDI2"	0.000342919704663992
"ANKRD16"	0.0435179969655356
"FBXO18"	NA
"IL15RA"	0.0449786275751086
"IL2RA"	0.00100780599296505
"RBM17"	NA
"PFKFB3"	0.00822360864529849
"AL137145.1"	NA
"DKFZP667F0711"	0.000305299406058372
"PRKCQ"	NA
"SFMBT2"	0.0543479517616078
"ITIH5"	0.0232589945601636
"ITIH2"	0.119754529866429
"KIN"	0.12444761603139
"ATP5C1"	0.0262318521063475
"TAF3"	NA
"GATA3"	NA
"CELF2"	0.0136074850446072
"USP6NL"	NA
"ECHDC3"	0.0518441078579708
"PROSER2"	0.169937959089166
"UPF2"	0.00252279410136365
"DHTKD1"	0.00892658866216728
"SEC61A2"	NA
"NUDT5"	NA
"CDC123"	NA
"CAMK1D"	NA
"CCDC3"	0.0881409794875349
"OPTN"	NA
"MCM10"	0.0330212856860406
"UCMA"	0.00505460628941726
"PHYH"	0.195184864948916
"AL138764.1"	0.00753480801732265
"SEPHS1"	0.00894708186559705
"BEND7"	0.00516441504483457
"PRPF18"	NA
"RP11-295P9.3"	0.00664249557900274
"FRMD4A"	NA
"FAM107B"	0.063799294395132
"CDNF"	0.0425975425140007
"HSPA14"	2.03784782568166e-05
"SUV39H2"	NA
"DCLRE1C"	0.0260511615091147
"MEIG1"	NA
"OLAH"	NA
"ACBD7"	1.4796435886259e-06
"C10orf111"	0.0559444885614484
"RPP38"	NA
"NMT2"	0.0122057111428361
"FAM171A1"	0.131022129417943
"ITGA8"	NA
"FAM188A"	NA
"PTER"	0.0413929907679867
"C1QL3"	0.535555427326516
"RSU1"	0.0523578347620062
"CUBN"	0.02872091026275
"TRDMT1"	0.109551607360408
"VIM"	NA
"ST8SIA6"	7.77458870341357e-05
"PTPLA"	0.00308629408408239
"STAM"	0.0211061664174888
"TMEM236"	0.0174768903692746
"MRC1L1"	0.0528214452410444
"TMEM236"	0.0226826302055609
"MRC1"	0.0195731808187046
"SLC39A12"	NA
"CACNB2"	0.152548236822982
"NSUN6"	NA
"ARL5B"	0.0121226353517373
"C10orf112"	0.250627070418175
"PLXDC2"	0.0064616138405612
"NEBL"	0.00319222967054979
"C10orf113"	NA
"CASC10"	NA
"SKIDA1"	NA
"MLLT10"	NA
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	NA
"BMI1"	0.0161619206876736
"SPAG6"	0.0166001429759821
"PIP4K2A"	0.000517284441118484
"ARMC3"	NA
"MSRB2"	0.00236034365637956
"PTF1A"	NA
"C10orf115"	NA
"C10orf67"	NA
"OTUD1"	NA
"KIAA1217"	0.0345697173921386
"AL353583.1"	NA
"ARHGAP21"	NA
"PRTFDC1"	NA
"ENKUR"	0.00293458414677751
"THNSL1"	0.00790139450164862
"GPR158"	NA
"MYO3A"	0.00296917882964359
"GAD2"	0.0023212730224276
"APBB1IP"	0.0123750355647956
"PDSS1"	0.00825950011298944
"ABI1"	0.00700969181897815
"ANKRD26"	0.0765078940163665
"YME1L1"	NA
"MASTL"	0.416761523424208
"ACBD5"	0.00489528229866182
"PTCHD3"	7.7795636140906e-07
"RAB18"	NA
"MKX"	0.00794051917972716
"ARMC4"	NA
"MPP7"	1.84261969105187e-05
"WAC"	0.00422941393844241
"BAMBI"	0.00204874211929379
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0487559938054563
"KIAA1462"	NA
"MTPAP"	0.0657762600490723
"MAP3K8"	0.00049588619909648
"LYZL2"	NA
"ZNF438"	NA
"ZEB1"	NA
"ARHGAP12"	0.0222946234345378
"KIF5B"	0.0451516718997611
"EPC1"	NA
"CCDC7"	NA
"C10orf68"	0.00343683505944424
"ITGB1"	NA
"NRP1"	0.00145694646949587
"PARD3"	0.0681769226624759
"CUL2"	0.000116484266608755
"CREM"	NA
"CCNY"	0.0162330599297848
"GJD4"	NA
"FZD8"	0.000610449470144206
"NAMPTL"	0.0162098721029465
"ANKRD30A"	NA
"MTRNR2L7"	NA
"ZNF248"	0.00178212587158305
"ZNF25"	0.00897019084938724
"ZNF33A"	0.00194003689165992
"ZNF37A"	0.0371055555687556
"AL133216.1"	0.0375629472985373
"ZNF33B"	0.260648089823671
"BMS1"	NA
"RET"	0.00141820549227665
"CSGALNACT2"	0.135522969972782
"RASGEF1A"	0.0193551583316984
"FXYD4"	NA
"HNRNPF"	0.0106553329375018
"ZNF487"	NA
"ZNF239"	0.000300925808598074
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	NA
"TMEM72"	NA
"RASSF4"	0.0478730958806228
"C10orf10"	0.000552829848443346
"C10orf25"	NA
"ZNF22"	NA
"OR13A1"	0.00023936292177334
"ALOX5"	NA
"MARCH8"	NA
"ZFAND4"	0.00781497257971611
"FAM21C"	0.0656992441035899
"AGAP4"	0.203947313629471
"PTPN20A"	NA
"SYT15"	NA
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	NA
"AGAP10"	0.0033467561347755
"ANTXRL"	0.321838178205504
"ANXA8L2"	0.00440519449795727
"AL603965.1"	0.00793515199517665
"FAM21B"	NA
"ASAH2C"	NA
"AGAP9"	0.0820452745132795
"FAM25G"	NA
"ANXA8"	0.00210670716979537
"ZNF488"	0.000448724290244284
"RBP3"	NA
"GDF2"	0.0376136631810229
"GDF10"	9.71299428480722e-05
"PTPN20B"	NA
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	0.0111010671046199
"ARHGAP22"	0.0014106689724781
"WDFY4"	NA
"LRRC18"	NA
"VSTM4"	0.0231612559120841
"FAM170B"	0.00103268770875989
"C10orf128"	0.0068722572820272
"C10orf71"	0.000170219294759359
"DRGX"	0.000329473995069162
"ERCC6"	0.0108422051984229
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	0.00177668691005408
"OGDHL"	0.0785847169316797
"PARG"	NA
"FAM21D"	0.00168380628535407
"AGAP8"	0.433183891918422
"TIMM23B"	NA
"AGAP7"	0.209571491271922
"MSMB"	NA
"NCOA4"	0.000542656099997995
"TIMM23"	NA
"AGAP6"	0.118031370976909
"FAM21A"	0.454106585901127
"ASAH2"	0.256934682286309
"SGMS1"	0.0379035512293786
"AC069547.1"	NA
"AC069547.2"	0.0109268416704518
"ASAH2B"	0.352569252368734
"A1CF"	0.00521333752095191
"PRKG1"	0.0123156523353819
"CSTF2T"	NA
"DKK1"	NA
"MBL2"	NA
