"gene"	"R2"
"TUBB8"	NA
"ZMYND11"	0.0383006947873771
"DIP2C"	0.00144886579621375
"PRR26"	NA
"LARP4B"	0.00307489181722939
"AL359878.1"	NA
"GTPBP4"	NA
"IDI2"	0.00861065810626257
"IDI1"	0.000458438048686767
"WDR37"	0.233560422959227
"ADARB2"	0.000304486984338203
"PFKP"	NA
"PITRM1"	0.164720783753303
"KLF6"	NA
"AKR1E2"	0.0507167343090284
"AKR1C1"	0.0651927015545101
"AKR1C2"	0.103781236923578
"AKR1C3"	0.161537193969274
"AKR1CL1"	NA
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	NA
"NET1"	0.0134524603969
"CALML5"	NA
"CALML3"	NA
"ASB13"	0.126136669645609
"FAM208B"	NA
"GDI2"	0.0254454293247717
"ANKRD16"	NA
"FBXO18"	0.0157528425128652
"IL15RA"	0.0228743679981285
"IL2RA"	0.0695019676571952
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	3.48761163312733e-05
"DKFZP667F0711"	0.0634541433439248
"PRKCQ"	0.00323848390810515
"SFMBT2"	NA
"ITIH5"	0.0652116528414933
"ITIH2"	0.105303652291863
"KIN"	NA
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	0.00545605363762299
"CELF2"	NA
"USP6NL"	NA
"ECHDC3"	0.042253326730712
"PROSER2"	NA
"UPF2"	NA
"DHTKD1"	0.0154862823574881
"SEC61A2"	0.181749633392074
"NUDT5"	0.0031341484916049
"CDC123"	0.00902258664950713
"CAMK1D"	NA
"CCDC3"	0.00363390023818764
"OPTN"	0.0920050644831957
"MCM10"	NA
"UCMA"	NA
"PHYH"	0.000971927537503573
"AL138764.1"	NA
"SEPHS1"	NA
"BEND7"	0.0494601484242357
"PRPF18"	NA
"RP11-295P9.3"	0.00247880570420304
"FRMD4A"	0.0412795998331027
"FAM107B"	0.01765356681885
"CDNF"	0.00124349988339546
"HSPA14"	0.00594765332568488
"SUV39H2"	0.00954951129798546
"DCLRE1C"	0.0717158022525082
"MEIG1"	NA
"OLAH"	0.0197047239861443
"ACBD7"	0.0983482451246338
"C10orf111"	0.0281813108343634
"RPP38"	NA
"NMT2"	0.0778950246974261
"FAM171A1"	0.184436778095279
"ITGA8"	NA
"FAM188A"	NA
"PTER"	0.157470969311458
"C1QL3"	0.51439422671564
"RSU1"	0.40704987889686
"CUBN"	0.00290854459676382
"TRDMT1"	0.184019423365941
"VIM"	0.000888523310564786
"ST8SIA6"	0.0554076316410344
"PTPLA"	NA
"STAM"	0.03590478160151
"TMEM236"	0.0248933839242754
"MRC1L1"	0.161851987584053
"TMEM236"	NA
"MRC1"	0.216868981265389
"SLC39A12"	0.000497933638739141
"CACNB2"	0.0272165056339638
"NSUN6"	0.345395024080852
"ARL5B"	NA
"C10orf112"	0.218775023163559
"PLXDC2"	0.0100244776573351
"NEBL"	NA
"C10orf113"	0.00251102589632896
"CASC10"	0.0249651072996406
"SKIDA1"	0.0265138558308273
"MLLT10"	NA
"DNAJC1"	0.0139962201716762
"EBLN1"	NA
"COMMD3"	0.00112031243709451
"BMI1"	0.000670431734874937
"SPAG6"	NA
"PIP4K2A"	0.00387199096334873
"ARMC3"	NA
"MSRB2"	0.000852969796196357
"PTF1A"	NA
"C10orf115"	0.0249799030623772
"C10orf67"	0.00516549084878673
"OTUD1"	NA
"KIAA1217"	NA
"AL353583.1"	NA
"ARHGAP21"	0.0100948018998629
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	0.029860842741032
"GPR158"	NA
"MYO3A"	0.000751463033226282
"GAD2"	NA
"APBB1IP"	0.0215045513218676
"PDSS1"	0.00606228118176472
"ABI1"	NA
"ANKRD26"	0.0142302880393361
"YME1L1"	0.00205046496135921
"MASTL"	0.599132446550039
"ACBD5"	0.0058311736372054
"PTCHD3"	NA
"RAB18"	0.00392361986226965
"MKX"	NA
"ARMC4"	0.000523623364546572
"MPP7"	0.06115094922303
"WAC"	0.0252459118353596
"BAMBI"	1.59068956796668e-05
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.0300486800295127
"KIAA1462"	0.0027271081179874
"MTPAP"	0.00885383972081419
"MAP3K8"	0.0382811549108501
"LYZL2"	NA
"ZNF438"	0.00633504960243177
"ZEB1"	NA
"ARHGAP12"	0.00928820934256488
"KIF5B"	NA
"EPC1"	NA
"CCDC7"	0.00187058432171109
"C10orf68"	0.263421452398905
"ITGB1"	0.0307215698577282
"NRP1"	0.0417484127781102
"PARD3"	NA
"CUL2"	NA
"CREM"	0.00372809253481372
"CCNY"	NA
"GJD4"	0.0113337326375635
"FZD8"	0.0149167874268241
"NAMPTL"	NA
"ANKRD30A"	0.00320448188022822
"MTRNR2L7"	NA
"ZNF248"	0.0620041735824403
"ZNF25"	0.196857345954197
"ZNF33A"	0.0396827949679907
"ZNF37A"	5.61420827366124e-05
"AL133216.1"	0.0594051698074627
"ZNF33B"	0.171286515371427
"BMS1"	0.0786844841685597
"RET"	0.0632106564102785
"CSGALNACT2"	0.573727289085326
"RASGEF1A"	0.00172415709417765
"FXYD4"	0.0211511948347986
"HNRNPF"	NA
"ZNF487"	0.001913757261654
"ZNF239"	0.0495963734661545
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	0.0249573371583196
"TMEM72"	NA
"RASSF4"	NA
"C10orf10"	NA
"C10orf25"	0.0847406090565501
"ZNF22"	0.0252330126693778
"OR13A1"	0.042870729295679
"ALOX5"	0.0894164460099573
"MARCH8"	0.144126488435732
"ZFAND4"	0.0747741622165131
"FAM21C"	0.169597481116489
"FAM25E"	NA
"AGAP4"	0.249964289597056
"PTPN20A"	NA
"SYT15"	0.0357394966138875
"GPRIN2"	0.000542693295454572
"NPY4R"	NA
"ANXA8L1"	0.0646571937132871
"FAM25B"	NA
"AGAP10"	0.0381448269839741
"ANTXRL"	0.137988126734714
"ANXA8L2"	0.235005859918549
"AL603965.1"	NA
"FAM21B"	0.0323740517251566
"ASAH2C"	NA
"AGAP9"	0.176069122391939
"FAM25G"	NA
"ANXA8"	0.00199153447974943
"ZNF488"	0.150492681495356
"RBP3"	0.0798942067390355
"GDF2"	NA
"GDF10"	0.0118130052124788
"PTPN20B"	0.0240449272228218
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	0.138141400075571
"ARHGAP22"	0.0356511490998972
"WDFY4"	0.00306326418342188
"LRRC18"	NA
"VSTM4"	0.000237149872201937
"FAM170B"	0.00945085825904791
"C10orf128"	0.0292243823841012
"C10orf71"	NA
"DRGX"	0.0208574609273675
"ERCC6"	0.0164994473296429
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	NA
"OGDHL"	0.00479141798650962
"PARG"	NA
"FAM21D"	NA
"AGAP8"	0.572033119390419
"TIMM23B"	NA
"AGAP7"	0.349811760596527
"MSMB"	0.00483631434607708
"NCOA4"	0.0304329596341396
"TIMM23"	NA
"AGAP6"	0.387340239495801
"FAM21A"	0.496247955450268
"ASAH2"	0.248481503528148
"SGMS1"	0.0444310796321067
"AC069547.1"	0.00319094886966971
"AC069547.2"	0.00178295251892163
"ASAH2B"	0.229039885376071
"A1CF"	0.000137586237379474
"PRKG1"	8.56416421607321e-05
"CSTF2T"	0.0660211016055485
"DKK1"	NA
"MBL2"	0.0969142400326718
"PCDH15"	NA
"MTRNR2L5"	NA
"ZWINT"	0.0539270664383431
"IPMK"	NA
"CISD1"	0.174618909365954
"UBE2D1"	NA
"TFAM"	0.148200260934914
"BICC1"	0.169965660597419
"PHYHIPL"	0.0011554124817224
"FAM13C"	NA
"SLC16A9"	0.0655844907724946
"CCDC6"	NA
"C10orf40"	0.0169471394980481
"ANK3"	NA
"CDK1"	0.000222078167024692
"RHOBTB1"	0.000340904758242768
"TMEM26"	0.0890218448098487
"C10orf107"	0.468425370041991
"ARID5B"	NA
"RTKN2"	NA
"ZNF365"	NA
"ADO"	3.87567493314326e-05
"EGR2"	NA
"NRBF2"	0.0615806717284675
"JMJD1C"	NA
"REEP3"	0.00309477719420414
"CTNNA3"	0.0404916375750198
"LRRTM3"	0.00727922055459034
"DNAJC12"	0.00013796118468806
"SIRT1"	NA
"HERC4"	NA
"MYPN"	0.0169445401186361
"ATOH7"	NA
"PBLD"	0.0165907088918817
"HNRNPH3"	0.00127280686989684
"RUFY2"	NA
"DNA2"	0.287309128061878
"SLC25A16"	0.0811601412908542
"TET1"	0.0347641095815844
"CCAR1"	NA
"STOX1"	0.206189793054854
"DDX50"	NA
"DDX21"	0.00159156148253178
"KIAA1279"	0.000447169014838411
"SRGN"	NA
"VPS26A"	0.00577391464671027
"SUPV3L1"	0.0144636227708934
"HKDC1"	0.168115591487017
"HK1"	0.000277419662663326
"TACR2"	0.0320972942289877
"TSPAN15"	0.191754205564359
"NEUROG3"	0.000926428949418281
"C10orf35"	NA
"RP11-242G20.1"	0.00457833143767671
"COL13A1"	NA
"H2AFY2"	0.000358958411116484
"AIFM2"	NA
"TYSND1"	9.3560188761806e-05
"SAR1A"	0.150053133824564
"PPA1"	0.169560511766714
"NPFFR1"	0.00190179066188466
"LRRC20"	0.00329521554324211
"EIF4EBP2"	0.0402276149358457
"NODAL"	0.00773831910325763
"PALD1"	NA
"PRF1"	0.00452075652774972
"ADAMTS14"	0.0357349194436566
"TBATA"	0.0124047380789186
"SGPL1"	0.00799816177776039
"PCBD1"	0.0961046302361637
"UNC5B"	NA
"SLC29A3"	0.000843583583132325
"CDH23"	0.139463316732942
"C10orf105"	0.000482086447572969
"C10orf54"	NA
"PSAP"	0.00328124741639095
"CHST3"	NA
"SPOCK2"	0.0098046117831384
"ASCC1"	0.0725672437917533
"ANAPC16"	NA
"DDIT4"	NA
"DNAJB12"	0.00132626969605368
"MICU1"	NA
"MCU"	NA
"OIT3"	NA
"PLA2G12B"	0.00342932125733661
"P4HA1"	0.0122404082327817
"NUDT13"	0.338541567507877
"ECD"	NA
"FAM149B1"	0.00672136527231668
"DNAJC9"	0.0209126717357347
"MRPS16"	0.00906448580860957
"TTC18"	0.36093018876555
"ANXA7"	0.00119216849145111
"MSS51"	NA
"PPP3CB"	NA
"USP54"	0.00129002553329568
"MYOZ1"	0.000993943363105002
"SYNPO2L"	0.0525884980264957
"AGAP5"	0.0608915819818136
"SEC24C"	0.000886146094905833
"FUT11"	0.0891881269098702
"CHCHD1"	0.00193948335129342
"ZSWIM8"	NA
"NDST2"	NA
"CAMK2G"	0.00351369164022015
"PLAU"	NA
"C10orf55"	NA
"VCL"	NA
"AP3M1"	0.00711066386392975
"ADK"	0.00591999916206797
"KAT6B"	NA
"DUPD1"	0.0148529356436182
"DUSP13"	0.0420742809374939
"SAMD8"	NA
"VDAC2"	0.0338114200195754
"COMTD1"	0.0244024671817863
"ZNF503"	NA
"C10orf11"	0.165674507112379
"KCNMA1"	0.0697597548186803
"DLG5"	0.46436090772765
"AL391421.1"	0.000944068470648564
"POLR3A"	NA
"RPS24"	0.000100012130811797
"ZMIZ1"	NA
"PPIF"	NA
"ZCCHC24"	NA
"AL133481.1"	NA
"EIF5AL1"	NA
"SFTPA2"	0.0355919214880147
"SFTPA1"	8.55296535121226e-05
"NUTM2B"	0.232166147574324
"NUTM2E"	0.100008321329605
"SFTPD"	0.476868678554584
"TMEM254"	0.0300952955320391
"PLAC9"	0.189062960908912
"ANXA11"	0.0100956161395398
"AL359195.1"	0.395963441547393
"MAT1A"	0.000799917880443346
"DYDC1"	NA
"DYDC2"	0.0515722221340066
"FAM213A"	0.00173286123569707
"TSPAN14"	NA
"SH2D4B"	NA
"NRG3"	0.00349386115413542
"GHITM"	0.103110730050527
"C10orf99"	0.00958681413116235
"CDHR1"	0.013291300692999
"LRIT2"	NA
"LRIT1"	NA
"RGR"	0.220984345921797
"CCSER2"	0.0238477038764696
"GRID1"	0.0517823606168063
"WAPAL"	0.0151946806807909
"OPN4"	0.205265715514787
"LDB3"	0.206677227558357
"BMPR1A"	0.138925973428358
"MMRN2"	0.00455386899251891
"SNCG"	7.0735543865395e-05
"ADIRF"	NA
"FAM25A"	0.00962049027442286
"GLUD1"	NA
"FAM35A"	0.00434926164470583
"NUTM2A"	0.156291716320147
"NUTM2D"	0.155123074646899
"MINPP1"	NA
"PAPSS2"	0.0463440900445251
"ATAD1"	0.00379066303757016
"PTEN"	NA
"RNLS"	NA
"LIPJ"	NA
"LIPF"	0.000169930384551993
"LIPK"	0.00107275383523943
"LIPN"	0.00456668295315839
"LIPM"	NA
"ANKRD22"	0.00818406670691624
"STAMBPL1"	NA
"ACTA2"	NA
"FAS"	0.168939095198265
"CH25H"	0.000951586395521464
"LIPA"	0.0566627254947687
"IFIT2"	NA
"IFIT3"	0.0142198542390887
"IFIT1B"	NA
"IFIT1"	0.000870473041734265
"IFIT5"	0.276374207486051
"SLC16A12"	NA
"PANK1"	NA
"KIF20B"	0.0745319785190182
"HTR7"	0.00507295142363273
"RPP30"	0.0156093581314166
"ANKRD1"	0.0220926498181843
"PCGF5"	NA
"HECTD2"	0.0096439681804447
"PPP1R3C"	0.00164127709005609
"TNKS2"	0.337494432649231
"FGFBP3"	NA
"BTAF1"	0.00326366034608621
"CPEB3"	0.152037480100484
"MARCH5"	0.00601613911323161
"IDE"	0.00483157299880725
"KIF11"	0.0193815153310465
"HHEX"	NA
"EXOC6"	NA
"CYP26C1"	0.00516464505173088
"CYP26A1"	0.00878960670171168
"MYOF"	0.161851754096877
"CEP55"	0.00837993275925387
"FFAR4"	NA
"RBP4"	0.000937062854053282
"PDE6C"	0.0487514266469367
"FRA10AC1"	0.456666939082762
"LGI1"	0.0617141965497509
"SLC35G1"	0.035720316127826
"PLCE1"	0.127015060206833
"NOC3L"	0.214859129684976
"TBC1D12"	NA
"HELLS"	0.142472910677813
"CYP2C18"	NA
"CYP2C19"	NA
"CYP2C9"	NA
"CYP2C8"	0.034183651254742
"C10orf129"	0.444414844145198
"PDLIM1"	0.0347566362038818
"SORBS1"	0.0112196438569683
"ALDH18A1"	NA
"TCTN3"	0.0356118964366031
"ENTPD1"	NA
"C10orf131"	NA
"RP11-248J23.6"	0.00987858765630025
"CC2D2B"	NA
"CCNJ"	NA
"BLNK"	0.0149372391917591
"DNTT"	NA
"OPALIN"	NA
"TLL2"	0.0663035362456466
"TM9SF3"	0.0218460423977079
"PIK3AP1"	NA
"LCOR"	0.0099629987336678
"C10orf12"	4.22522095802958e-05
"SLIT1"	NA
"ARHGAP19-SLIT1"	NA
"ARHGAP19"	0.00218282074540828
"FRAT1"	0.0234632275352966
"FRAT2"	NA
"RRP12"	NA
"AL355490.1"	2.71118221953982e-05
"PGAM1"	0.0703004505590877
"EXOSC1"	NA
"ZDHHC16"	NA
"MMS19"	NA
"UBTD1"	0.000682826555997438
"ANKRD2"	NA
"C10orf62"	0.00158574126139988
"HOGA1"	0.0991768088078184
"MORN4"	0.30596248237248
"PI4K2A"	NA
"AVPI1"	2.10288395958508e-05
"MARVELD1"	NA
"ZFYVE27"	0.014947456695165
"SFRP5"	0.00295810204777547
"GOLGA7B"	NA
"CRTAC1"	0.0481400158628488
"R3HCC1L"	0.0178212777879368
"LOXL4"	NA
"PYROXD2"	0.298783162888691
"HPS1"	0.0393549758875927
"HPSE2"	NA
"CNNM1"	NA
"GOT1"	0.0179596276008856
"NKX2-3"	NA
"SLC25A28"	NA
"ENTPD7"	NA
"COX15"	NA
"CUTC"	6.63763346056238e-06
"ABCC2"	6.03520078123224e-05
"DNMBP"	0.0531217182832711
"CPN1"	NA
"ERLIN1"	0.021203013238425
"CHUK"	NA
"CWF19L1"	0.388509525658707
"BLOC1S2"	0.371168229198415
"PKD2L1"	0.0347908304014314
"SCD"	NA
"WNT8B"	0.000216053885980715
"SEC31B"	0.453656823655407
"NDUFB8"	NA
"HIF1AN"	0.000612919614085457
"PAX2"	NA
"FAM178A"	NA
"SEMA4G"	NA
"MRPL43"	NA
"C10orf2"	NA
"LZTS2"	NA
"PDZD7"	0.00376168127984153
"SFXN3"	0.0813232043778372
"KAZALD1"	0.00358301829769419
"TLX1NB"	NA
"TLX1"	NA
"LBX1"	NA
"BTRC"	0.00171265324472331
"DPCD"	0.00839026809758722
"POLL"	NA
"FBXW4"	0.000125360885810485
"FGF8"	0.0202632452149894
"NPM3"	NA
"MGEA5"	NA
"KCNIP2"	NA
"C10orf76"	0.00178669299687226
"HPS6"	0.000577540813335708
"LDB1"	NA
"PPRC1"	0.00623302637228032
"NOLC1"	0.0004140238514174
"ELOVL3"	NA
"PITX3"	NA
"GBF1"	NA
"NFKB2"	0.00104839417906488
"PSD"	0.00068843353144141
"FBXL15"	NA
"CUEDC2"	0.0134724645332007
"C10orf95"	7.16543406764817e-06
"TMEM180"	0.275763917064479
"ACTR1A"	0.000170958317795793
"SUFU"	0.000274953520547806
"TRIM8"	NA
"ARL3"	0.0348223723953808
"SFXN2"	0.0541703735255848
"WBP1L"	0.001052361750677
"CYP17A1"	0.077485999443624
"AS3MT"	0.0936941763415996
"CNNM2"	NA
"NT5C2"	NA
"INA"	NA
"PCGF6"	NA
"TAF5"	0.00686423461927381
"USMG5"	NA
"PDCD11"	0.172456659152933
"CALHM2"	0.0291855944134208
"CALHM1"	9.82892410868204e-05
"CALHM3"	0.000218810725208374
"NEURL"	0.000146316909488718
"SH3PXD2A"	0.0524071439778226
"OBFC1"	0.0039824955374758
"SLK"	NA
"COL17A1"	NA
"SFR1"	0.0428705925221669
"WDR96"	0.201498206904082
"GSTO1"	0.107927344873957
"GSTO2"	0.24934526726325
"ITPRIP"	0.301395034981822
"CCDC147"	0.0518884045004633
"SORCS3"	0.0451778343902375
"SORCS1"	0.0031903301194735
"XPNPEP1"	NA
"RP11-451M19.3"	NA
"ADD3"	0.0927966564804952
"MXI1"	0.0233813611879918
"SMNDC1"	NA
"DUSP5"	NA
"SMC3"	NA
"RBM20"	0.0376997604823018
