"gene"	"R2"
"TUBB8"	0.0359305033775412
"ZMYND11"	NA
"DIP2C"	0.0201881588292824
"PRR26"	NA
"LARP4B"	0.00528830199062422
"AL359878.1"	0.0134172825329043
"GTPBP4"	0.040107578379141
"IDI2"	0.0093714869807472
"IDI1"	NA
"WDR37"	0.00158789299974693
"ADARB2"	NA
"PFKP"	0.0828736478696813
"PITRM1"	0.168049832684399
"KLF6"	NA
"AKR1E2"	0.0868576283813875
"AKR1C1"	0.175456033216684
"AKR1C2"	0.191810371850535
"AKR1C3"	0.00321572467033753
"AKR1CL1"	0.000629183822334714
"AKR1C4"	0.00154665460493671
"UCN3"	NA
"TUBAL3"	0.042550256391239
"NET1"	NA
"CALML5"	0.0333201679668189
"CALML3"	0.0272826697935301
"ASB13"	7.76173373627197e-06
"FAM208B"	NA
"GDI2"	0.0424560920263099
"ANKRD16"	0.0697194792228127
"FBXO18"	0.0749209295058081
"IL15RA"	NA
"IL2RA"	NA
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	0.000380700962345395
"DKFZP667F0711"	0.0836168641706156
"PRKCQ"	NA
"SFMBT2"	0.00822526308332565
"ITIH5"	NA
"ITIH2"	0.182255068197218
"KIN"	NA
"ATP5C1"	NA
"TAF3"	NA
"GATA3"	0.0377388813199181
"CELF2"	0.017534384068539
"USP6NL"	0.013817141796371
"ECHDC3"	0.396057160118858
"PROSER2"	NA
"UPF2"	0.00367602960123118
"DHTKD1"	NA
"SEC61A2"	0.00968378012384916
"NUDT5"	0.0433388602666455
"CDC123"	NA
"CAMK1D"	0.000728992754545731
"CCDC3"	0.0828349983983218
"OPTN"	0.00389844060613261
"MCM10"	NA
"UCMA"	0.00272734541412446
"PHYH"	0.0537570985718554
"AL138764.1"	NA
"SEPHS1"	NA
"BEND7"	0.0161726931665819
"PRPF18"	NA
"RP11-295P9.3"	0.113761669457854
"FRMD4A"	0.0153299689912917
"FAM107B"	0.020675329986844
"CDNF"	NA
"HSPA14"	NA
"SUV39H2"	NA
"DCLRE1C"	0.0155505718855061
"MEIG1"	0.00121338697791
"OLAH"	NA
"ACBD7"	0.115633613425088
"C10orf111"	NA
"RPP38"	NA
"NMT2"	0.0947926534428956
"FAM171A1"	3.48785271759831e-06
"ITGA8"	1.52106565138014e-05
"FAM188A"	NA
"PTER"	0.239454814090559
"C1QL3"	0.52163342962941
"RSU1"	0.272114330635907
"CUBN"	0.0882071650660169
"TRDMT1"	0.04413512678182
"VIM"	0.000379185350938015
"ST8SIA6"	NA
"PTPLA"	NA
"STAM"	NA
"TMEM236"	NA
"MRC1L1"	0.12021464575165
"TMEM236"	5.5485351399748e-05
"MRC1"	0.23128277751879
"SLC39A12"	NA
"CACNB2"	0.00448382283892261
"NSUN6"	0.0950266381500572
"ARL5B"	0.00167577611308229
"C10orf112"	0.0675607619747891
"PLXDC2"	NA
"NEBL"	NA
"C10orf113"	NA
"CASC10"	6.04419757333414e-05
"SKIDA1"	NA
"MLLT10"	0.0277099772593801
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	0.0101419645613817
"BMI1"	0.00979215783367379
"SPAG6"	NA
"PIP4K2A"	NA
"ARMC3"	NA
"MSRB2"	0.0249338249126014
"PTF1A"	NA
"C10orf115"	0.00393608362440278
"C10orf67"	0.0354295987740233
"OTUD1"	0.020650807634171
"KIAA1217"	NA
"AL353583.1"	NA
"ARHGAP21"	NA
"PRTFDC1"	0.00595586821762662
"ENKUR"	NA
"THNSL1"	NA
"GPR158"	0.0102128005160999
"MYO3A"	0.129246168994123
"GAD2"	NA
"APBB1IP"	0.031307590626091
"PDSS1"	NA
"ABI1"	0.00309760753923081
"ANKRD26"	0.00106863636201208
"YME1L1"	0.00117071918895079
"MASTL"	0.473096519090356
"ACBD5"	NA
"PTCHD3"	0.0343752340467158
"RAB18"	0.00110128698042466
"MKX"	NA
"ARMC4"	0.000900312768409737
"MPP7"	NA
"WAC"	NA
"BAMBI"	0.00897854231745271
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	NA
"KIAA1462"	NA
"MTPAP"	NA
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	0.00558470557711772
"ZEB1"	NA
"ARHGAP12"	NA
"KIF5B"	0.0122389779409204
"EPC1"	0.0179273042335274
"CCDC7"	0.021279145541146
"C10orf68"	0.177871152759786
"ITGB1"	NA
"NRP1"	0.022950010688405
"PARD3"	0.0650872758494382
"CUL2"	0.0310961212964493
"CREM"	NA
"CCNY"	NA
"GJD4"	NA
"FZD8"	0.178167291346989
"NAMPTL"	NA
"ANKRD30A"	NA
"ZNF248"	0.0145800327942674
"ZNF25"	0.00559905611840329
"ZNF33A"	0.000868365847288184
"ZNF37A"	5.24910337362216e-05
"AL133216.1"	0.101087094542079
"ZNF33B"	0.0113574582191811
"BMS1"	NA
"RET"	NA
"CSGALNACT2"	0.152679316667091
"RASGEF1A"	0.0727191843380846
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	NA
"ZNF239"	0.0543505377480489
"ZNF485"	NA
"ZNF32"	NA
"CXCL12"	0.00074565752755488
