"gene"	"R2"
"TUBB8"	0.287274806685964
"ZMYND11"	0.0415418245378137
"DIP2C"	NA
"PRR26"	NA
"LARP4B"	0.00346151175070747
"AL359878.1"	0.0122241566592548
"GTPBP4"	0.00715105459964061
"IDI2"	NA
"IDI1"	NA
"WDR37"	NA
"ADARB2"	0.240093562321825
"PFKP"	0.00124446689703694
"PITRM1"	0.120451441700731
"KLF6"	NA
"AKR1E2"	0.00573497994478747
"AKR1C1"	0.0124887518810009
"AKR1C2"	0.164914155597169
"AKR1C3"	0.0201439474359269
"AKR1CL1"	NA
"AKR1C4"	NA
"UCN3"	0.0104183050441638
"TUBAL3"	0.00078815738985745
"NET1"	NA
"CALML5"	0.00681078944798599
"CALML3"	0.0233490548820877
"ASB13"	0.030631098810021
"FAM208B"	NA
"GDI2"	0.0182534039037389
"ANKRD16"	0.0126876466776246
"FBXO18"	0.0504927936899714
"IL15RA"	NA
"IL2RA"	NA
"RBM17"	0.00617509828093742
"PFKFB3"	0.00483373863265522
"AL137145.1"	0.0014401642365197
"DKFZP667F0711"	0.000501540451465817
"PRKCQ"	0.0100883157049832
"SFMBT2"	0.0676586118497562
"ITIH5"	0.0230739226654878
"ITIH2"	0.0073953802876306
"KIN"	0.0186350654506387
"ATP5C1"	0.00654680798644253
"TAF3"	0.0185899945978086
"GATA3"	0.0737834866339201
"CELF2"	NA
"USP6NL"	0.00758741015056301
"ECHDC3"	0.287081855644373
"PROSER2"	0.000611734538532081
"UPF2"	0.0364577457606148
"DHTKD1"	NA
"SEC61A2"	0.0208011602188733
"NUDT5"	0.000122044293941006
"CDC123"	NA
"CAMK1D"	NA
"CCDC3"	0.0111992381557555
"OPTN"	NA
"MCM10"	0.10102694855859
"UCMA"	0.000288477540037954
"PHYH"	0.403328284428813
"AL138764.1"	NA
"SEPHS1"	NA
"BEND7"	NA
"PRPF18"	0.00064847398139617
"RP11-295P9.3"	0.151595976661154
"FRMD4A"	0.0350433277581031
"FAM107B"	NA
"CDNF"	NA
"HSPA14"	0.0548255249733779
"SUV39H2"	0.000749837156321567
"DCLRE1C"	NA
"MEIG1"	0.015387443439303
"OLAH"	NA
"ACBD7"	0.00659929237944649
"C10orf111"	0.0588587556057368
"RPP38"	0.00191900858320835
"NMT2"	0.0141402403819973
