"gene"	"R2"
"TUBB8"	0.00752725788645099
"ZMYND11"	NA
"DIP2C"	0.0132245799277947
"PRR26"	NA
"LARP4B"	0.000505724453713865
"AL359878.1"	NA
"GTPBP4"	0.0304972746895575
"IDI2"	NA
"IDI1"	NA
"WDR37"	0.0378338611464597
"ADARB2"	0.5426503896066
"PFKP"	0.200418890260615
"PITRM1"	0.117486058495134
"KLF6"	NA
"AKR1E2"	0.00936319066441266
"AKR1C1"	0.231353249590108
"AKR1C2"	0.0797738221763324
"AKR1C3"	0.000276884487678501
"AKR1CL1"	NA
"AKR1C4"	NA
"UCN3"	NA
"TUBAL3"	NA
"NET1"	NA
"CALML5"	0.00156894949230654
"CALML3"	0.00213032290405239
"ASB13"	0.0181426725529865
"FAM208B"	0.0543449369022539
"GDI2"	0.125881771229717
"ANKRD16"	NA
"FBXO18"	0.0423342826848731
"IL15RA"	0.0592281174123031
"IL2RA"	NA
"RBM17"	NA
"PFKFB3"	NA
"AL137145.1"	0.024830233702319
"DKFZP667F0711"	0.0328198349789326
"PRKCQ"	NA
"SFMBT2"	0.0135828721132791
"ITIH5"	0.00103990333676111
"ITIH2"	0.0839819563897698
"KIN"	0.00522608208821639
"ATP5C1"	0.00138570321731402
"TAF3"	NA
"GATA3"	NA
"CELF2"	NA
"USP6NL"	0.00220828363997091
"ECHDC3"	0.0519550157001984
"PROSER2"	0.0626077060256532
"UPF2"	NA
"DHTKD1"	NA
"SEC61A2"	0.083173826417871
"NUDT5"	2.61973046242587e-07
"CDC123"	NA
"CAMK1D"	0.132318963747447
"CCDC3"	0.00996545449882513
"OPTN"	0.0298929200696548
"MCM10"	0.00789910731000392
"UCMA"	NA
"PHYH"	0.00195130332288767
"AL138764.1"	NA
"SEPHS1"	NA
"BEND7"	NA
"PRPF18"	0.005445989621019
"RP11-295P9.3"	0.11804385392608
"FRMD4A"	0.0340058843681769
"FAM107B"	NA
"CDNF"	0.00733144596102158
"HSPA14"	0.00011800609793306
"SUV39H2"	0.0136791830117335
"DCLRE1C"	NA
"MEIG1"	0.0273616646149517
"OLAH"	0.0130059478091119
"ACBD7"	0.00306933521918552
"C10orf111"	NA
"RPP38"	0.000144468469328727
"NMT2"	0.0312424522191295
"FAM171A1"	NA
"ITGA8"	NA
"FAM188A"	0.00841553103154618
"PTER"	0.0249189890230385
"C1QL3"	0.201828616209043
"RSU1"	0.0609735271492844
"CUBN"	0.137343393039752
"TRDMT1"	0.0194622942863148
"VIM"	NA
"ST8SIA6"	0.000580800000420421
"PTPLA"	NA
"STAM"	NA
"TMEM236"	0.0133798191440743
"MRC1L1"	NA
"TMEM236"	NA
"MRC1"	NA
"SLC39A12"	NA
"CACNB2"	0.0123359948703499
"NSUN6"	0.0915598973003647
"ARL5B"	0.0192619724906064
"C10orf112"	0.0069059266296314
"PLXDC2"	0.0177080743985633
"NEBL"	0.232471152693561
"C10orf113"	0.0690885886433991
"CASC10"	NA
"SKIDA1"	NA
"MLLT10"	0.0105694476114623
"DNAJC1"	NA
"EBLN1"	NA
"COMMD3"	NA
"BMI1"	NA
"SPAG6"	NA
"PIP4K2A"	0.0117494934330722
"ARMC3"	NA
"MSRB2"	NA
"PTF1A"	NA
"C10orf115"	0.00124157083090541
"C10orf67"	NA
"OTUD1"	NA
"KIAA1217"	NA
"ARHGAP21"	0.00742394232532943
"PRTFDC1"	NA
"ENKUR"	NA
"THNSL1"	NA
"GPR158"	0.012375153189032
"MYO3A"	0.00216674054479851
"GAD2"	NA
"APBB1IP"	0.0145952116089075
"PDSS1"	0.164939389945651
"ABI1"	NA
"ANKRD26"	NA
"YME1L1"	0.00895461262046945
"MASTL"	0.124007318263304
"ACBD5"	0.000380260558305886
"PTCHD3"	NA
"RAB18"	NA
"MKX"	NA
"ARMC4"	NA
"MPP7"	0.0189445016376611
"WAC"	NA
"BAMBI"	0.209116261652564
"C10orf126"	NA
"LYZL1"	NA
"SVIL"	0.00717251430256456
"KIAA1462"	NA
"MTPAP"	0.0193371583826997
"MAP3K8"	NA
"LYZL2"	NA
"ZNF438"	0.0128857431201097
"ZEB1"	NA
"ARHGAP12"	0.0248485090066339
"KIF5B"	NA
"EPC1"	1.02836515519431e-05
"CCDC7"	0.058299949571218
"C10orf68"	0.0538816146861829
"ITGB1"	2.48133660705049e-06
"NRP1"	0.0118259903883472
"PARD3"	NA
"CUL2"	0.00422930943344532
"CREM"	0.00514004442243699
"CCNY"	0.0138232153084977
"GJD4"	NA
"FZD8"	NA
"NAMPTL"	NA
"ANKRD30A"	NA
"MTRNR2L7"	NA
"ZNF248"	NA
"ZNF25"	0.00491548506427682
"ZNF33A"	0.03669480759193
"ZNF37A"	0.0174121530053339
"AL133216.1"	0.00105968491765552
"ZNF33B"	0.124700152128021
"BMS1"	0.0235817791197423
"RET"	0.0118043911738708
"CSGALNACT2"	NA
"RASGEF1A"	NA
"FXYD4"	NA
"HNRNPF"	NA
"ZNF487"	NA
"ZNF239"	NA
"ZNF485"	NA
"ZNF32"	0.0110071494649386
"CXCL12"	8.29550522136953e-05
"TMEM72"	NA
"RASSF4"	0.0357979855921574
"C10orf10"	0.00437950191499213
"C10orf25"	0.000119026739170178
"ZNF22"	0.0024023662858464
"OR13A1"	0.0240374075679457
"ALOX5"	0.00100672683088814
"MARCH8"	NA
"ZFAND4"	0.0118354117384086
"FAM21C"	0.134388716227282
"FAM25E"	NA
"AGAP4"	0.238058086596495
"PTPN20A"	NA
"SYT15"	NA
"GPRIN2"	NA
"NPY4R"	NA
"ANXA8L1"	0.107102793045858
"AGAP10"	NA
"ANTXRL"	0.0876794346713018
"ANXA8L2"	0.0727456432895495
"AL603965.1"	NA
"FAM21B"	NA
"ASAH2C"	NA
"AGAP9"	0.0206385338067422
"FAM25G"	NA
"ANXA8"	0.00899122929192635
"ZNF488"	NA
"RBP3"	NA
"GDF2"	NA
"GDF10"	0.00327993882151421
"PTPN20B"	0.00604896229194872
"FAM25C"	NA
"FRMPD2"	NA
"MAPK8"	0.026004199029237
"ARHGAP22"	0.195232248846422
"WDFY4"	0.190440404954039
"LRRC18"	NA
"VSTM4"	NA
"FAM170B"	0.116909327116414
"C10orf128"	0.204726885741591
"C10orf71"	1.69578396393928e-07
"DRGX"	0.00144160875029897
"ERCC6"	NA
"CHAT"	NA
"SLC18A3"	NA
"C10orf53"	0.000832371240955449
"OGDHL"	NA
"PARG"	NA
"FAM21D"	0.00379902958303783
"AGAP8"	0.454084218391734
"TIMM23B"	NA
"AGAP7"	0.22538347155989
"MSMB"	NA
