"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.07237405	0.23785435	"Thyroid_TS"	"0.01036519975-0.17278367"	"0-0.9514738375"
"ENSG00000151240.11"	0.019044825	0.4553371	"Thyroid_TS"	"0.000706919235-0.0929544065"	"0.02186331-0.966461"
"ENSG00000180525.9"	0.02746415	0.50305235	"Thyroid_TS"	"0.001332217625-0.1040870575"	"0.02382009925-0.9724617575"
"ENSG00000107929.9"	0.03669081	0.5351345	"Thyroid_TS"	"0.001806955-0.141656015"	"0.0284340015-0.98012448"
"ENSG00000107937.14"	0.044838495	0.39298585	"Thyroid_TS"	"0.002462291-0.1460518775"	"0-0.966466395"
"ENSG00000148377.5"	0.03799809	0.4306662	"Thyroid_TS"	"0.001676738-0.1503812225"	"0-0.9699192"
"ENSG00000067064.6"	0.030964265	0.2830876	"Thyroid_TS"	"0.001156418125-0.1230296825"	"0-0.949652675"
"ENSG00000047056.10"	0.01967918	0.3665267	"Thyroid_TS"	"0.000840282765-0.10263999"	"0-0.9620905525"
"ENSG00000185736.11"	0.14434845	0.74842815	"Thyroid_TS"	"0.06284288075-0.2769719725"	"0.255855265-0.98668271"
"ENSG00000067057.11"	0.074873055	0.2577349	"Thyroid_TS"	"0.005117046575-0.20318254"	"0-0.9358607475"
"ENSG00000107959.11"	0.02015493	0.1767715	"Thyroid_TS"	"0.0005604212175-0.1015265575"	"0-0.94564248"
"ENSG00000067082.10"	0.044256475	0.2238078	"Thyroid_TS"	"0.001603512725-0.2044235"	"0-0.9359792125"
"ENSG00000165568.13"	0.03142196	0.47683495	"Thyroid_TS"	"0.0016641639-0.1291696525"	"0.0232442475-0.9718807075"
"ENSG00000187134.8"	0.03971105	0.4952095	"Thyroid_TS"	"0.001856844325-0.1578680975"	"0.014439075-0.97268829"
"ENSG00000151632.12"	0.05353925	0.27714195	"Thyroid_TS"	"0.0029271599-0.159923885"	"0-0.95220944"
"ENSG00000196139.7"	0.06814082	0.4380718	"Thyroid_TS"	"0.0041220618-0.1860794275"	"0-0.9720599"
"ENSG00000198610.6"	0.04380717	0.1257374	"Thyroid_TS"	"0.002297156475-0.14835805"	"0-0.9191078875"
"ENSG00000178473.5"	0.051353025	0.18650395	"Thyroid_TS"	"0.002480251225-0.158019635"	"0-0.9438518575"
"ENSG00000178462.7"	0.05049796	0.43553045	"Thyroid_TS"	"0.00261725375-0.1628165075"	"0-0.9715469825"
"ENSG00000173848.14"	0.032831625	0.4920423	"Thyroid_TS"	"0.001372856475-0.1280224775"	"0.0214245475-0.976296195"
