"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.2966837	0.89852555	"Thyroid_TW"	"0.1545503-0.4508335225"	"0.576660905-0.9962790975"
"ENSG00000015171.14"	0.1310245	0.3281477	"Thyroid_TW"	"0.012865078-0.33455393"	"0-0.9676568725"
"ENSG00000151240.11"	0.04560576	0.46089515	"Thyroid_TW"	"0.00208069975-0.185490035"	"0-0.973905115"
"ENSG00000180525.9"	0.04496254	0.23258495	"Thyroid_TW"	"0.00136670755-0.208946895"	"0-0.9597362275"
"ENSG00000107929.9"	0.05054401	0.4283854	"Thyroid_TW"	"0.001800053875-0.22608757"	"0-0.9722011"
"ENSG00000205740.1"	0.06541487	0.30154885	"Thyroid_TW"	"0.003246334575-0.2570593575"	"0-0.957078105"
"ENSG00000107937.14"	0.127889	0.3335597	"Thyroid_TW"	"0.00644474315-0.356339385"	"0-0.9679113725"
"ENSG00000148377.5"	0.064953545	0.310965	"Thyroid_TW"	"0.00218396865-0.2716103525"	"0-0.961536015"
"ENSG00000067064.6"	0.052664615	0.27575695	"Thyroid_TW"	"0.00152858755-0.240456672499999"	"0-0.9511557075"
"ENSG00000047056.10"	0.098165705	0.42120005	"Thyroid_TW"	"0.003585534025-0.396303645"	"0-0.9695230525"
"ENSG00000185736.11"	0.3886272	0.87628125	"Thyroid_TW"	"0.2131393425-0.5724928725"	"0.5675304675-0.99482197"
"ENSG00000067057.11"	0.1461023	0.47792995	"Thyroid_TW"	"0.00869120435-0.41988683"	"0-0.9732720125"
"ENSG00000107959.11"	0.2407255	0.215569	"Thyroid_TW"	"0.01716792125-0.5728114325"	"0-0.9413162825"
"ENSG00000067082.10"	0.08565664	0.491576	"Thyroid_TW"	"0.003426968-0.3513158775"	"0.02680035825-0.9764516"
"ENSG00000165568.13"	0.14514395	0.5421367	"Thyroid_TW"	"0.006721264575-0.4507333"	"0-0.97711964"
"ENSG00000187134.8"	0.08002503	0.3657615	"Thyroid_TW"	"0.0034182688-0.321704872499999"	"0-0.963849235"
"ENSG00000151632.12"	0.29240905	0.8124137	"Thyroid_TW"	"0.1279788-0.4863138"	"0.33124604-0.9923811"
"ENSG00000196139.7"	0.03780458	0.1313055	"Thyroid_TW"	"0.00109276935-0.1920388525"	"0-0.9420518225"
"ENSG00000196326.6"	0.05569411	0.2621688	"Thyroid_TW"	"0.001880801-0.244596405"	"0-0.958103815"
"ENSG00000198610.6"	0.07571681	0.50267735	"Thyroid_TW"	"0.00300525725-0.27609173"	"0.0233420305-0.975050345"
"ENSG00000178473.5"	0.15304075	0.35180675	"Thyroid_TW"	"0.01332802825-0.3717528575"	"0-0.96873214"
"ENSG00000178462.7"	0.12420675	0.46483505	"Thyroid_TW"	"0.004826453475-0.378816735"	"0-0.979001445"
"ENSG00000173848.14"	0.3748742	0.29717635	"Thyroid_TW"	"0.0815725795-0.666457855"	"0-0.9541127375"
"ENSG00000178372.6"	0.1010445	0.28229715	"Thyroid_TW"	"0.004002125975-0.34435765"	"0-0.95881981"
"ENSG00000178363.3"	0.03597528	0.33474615	"Thyroid_TW"	"0.00096918634-0.180189695"	"0-0.96776413"
"ENSG00000196372.8"	0.1749886	0.37625805	"Thyroid_TW"	"0.0086702784-0.4772980125"	"0-0.9607074425"
"ENSG00000108021.15"	0.09552162	0.40139105	"Thyroid_TW"	"0.00472948085-0.3446434125"	"0-0.9683153525"
"ENSG00000057608.11"	0.1280721	0.38831885	"Thyroid_TW"	"0.005576245175-0.44861166"	"0-0.9537210075"
"ENSG00000134461.11"	0.15628	0.44106215	"Thyroid_TW"	"0.008488117925-0.431123082499999"	"0-0.969257985"
"ENSG00000134452.14"	0.1145768	0.4606282	"Thyroid_TW"	"0.004787581475-0.3431276275"	"0-0.97515879"
"ENSG00000134470.15"	0.082149865	0.3442153	"Thyroid_TW"	"0.003499771575-0.30110471"	"0-0.9596172425"
"ENSG00000134460.11"	0.05246885	0.43270505	"Thyroid_TW"	"0.002343896875-0.2376100425"	"0-0.971722755"
"ENSG00000134453.11"	0.1960375	0.5072505	"Thyroid_TW"	"0.017068497-0.461349025"	"0.0273836975-0.977349"
