"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.020864085	0.3196767	"WholeBlood_TS"	"0.0008055074-0.087185448"	"0-0.952989105"
"ENSG00000151240.11"	0.09049187	0.52698095	"WholeBlood_TS"	"0.0134944185-0.2108086925"	"0.0263915695-0.98019443"
"ENSG00000180525.9"	0.01463802	0.061231925	"WholeBlood_TS"	"0.00055129612-0.0682705172499999"	"0-0.9333842"
"ENSG00000107929.9"	0.01969666	0.428687	"WholeBlood_TS"	"0.0008528424025-0.0871679127499999"	"0-0.9676118325"
"ENSG00000107937.14"	0.11754835	0.092688265	"WholeBlood_TS"	"0.03764699025-0.2247198375"	"0-0.812561102499999"
"ENSG00000148377.5"	0.021897815	0.2912643	"WholeBlood_TS"	"0.0009258932-0.0878150705"	"0-0.9563154725"
"ENSG00000067064.6"	0.026360855	0.3537012	"WholeBlood_TS"	"0.0010056995-0.104780845"	"0-0.9540724"
"ENSG00000047056.10"	0.02702152	0.42011485	"WholeBlood_TS"	"0.001208919-0.09847850175"	"0-0.9711162975"
"ENSG00000185736.11"	0.59191795	0.9743786	"WholeBlood_TS"	"0.5204566975-0.6529098"	"0.9034717-0.9986178"
"ENSG00000067057.11"	0.1302793	0.72044595	"WholeBlood_TS"	"0.02696354425-0.246858295"	"0.06187992525-0.9904619425"
"ENSG00000107959.11"	0.02843481	0.4288956	"WholeBlood_TS"	"0.001122913675-0.123087195"	"0.002499258175-0.9628093925"
"ENSG00000067082.10"	0.04345369	0.1722908	"WholeBlood_TS"	"0.002004170925-0.1452171725"	"0-0.933260095"
"ENSG00000165568.13"	0.05246687	0.34660165	"WholeBlood_TS"	"0.0031385534-0.1589931025"	"0-0.9549341175"
"ENSG00000187134.8"	0.2175394	0.8847054	"WholeBlood_TS"	"0.138942295-0.3189979"	"0.6397456975-0.9943072025"
"ENSG00000151632.12"	0.058840285	0.46725805	"WholeBlood_TS"	"0.00409569815-0.16837651"	"0-0.97276332"
"ENSG00000196139.7"	0.03725053	0.1575077	"WholeBlood_TS"	"0.0019544889-0.117946315"	"0-0.9313149325"
"ENSG00000198610.6"	0.01354329	0.1566964	"WholeBlood_TS"	"0.0005045454-0.0711796039999999"	"0-0.9415311775"
"ENSG00000178473.5"	0.05280105	0.17709555	"WholeBlood_TS"	"0.004382946625-0.1458025925"	"0-0.9396091775"
"ENSG00000178462.7"	0.036266135	0.2004297	"WholeBlood_TS"	"0.001213159225-0.136505385"	"0-0.9492408775"
