"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.061538285	0.4051148	"WholeBlood_TW"	"0.0021176407-0.29237562"	"0-0.96401994"
"ENSG00000015171.14"	0.04273827	0.3133104	"WholeBlood_TW"	"0.001671887-0.2104484125"	"0-0.9570693475"
"ENSG00000151240.11"	0.08616234	0.39266935	"WholeBlood_TW"	"0.003716636225-0.31370987"	"0-0.9682431575"
"ENSG00000180525.9"	0.07454881	0.29031485	"WholeBlood_TW"	"0.00293820005-0.2680932525"	"0-0.957016675"
"ENSG00000107929.9"	0.1885289	0.52861045	"WholeBlood_TW"	"0.0143255215-0.45647998"	"0-0.97932356"
"ENSG00000205740.1"	0.04367641	0.21780005	"WholeBlood_TW"	"0.001216533-0.23353621"	"0-0.9577312725"
"ENSG00000107937.14"	0.3189424	0.80107085	"WholeBlood_TW"	"0.09340131975-0.5423332275"	"0.2047870075-0.9922038"
"ENSG00000148377.5"	0.046507455	0.3367305	"WholeBlood_TW"	"0.001800391-0.230439395"	"0-0.95999547"
"ENSG00000067064.6"	0.066365655	0.26086175	"WholeBlood_TW"	"0.00254497025-0.25857474"	"0-0.96056277"
"ENSG00000047056.10"	0.10977725	0.3946443	"WholeBlood_TW"	"0.00377783635-0.373201205"	"0-0.9645212675"
"ENSG00000185736.11"	0.640721	0.91828825	"WholeBlood_TW"	"0.4897985-0.7735574"	"0.7624643775-0.995473"
"ENSG00000067057.11"	0.2682896	0.46050175	"WholeBlood_TW"	"0.02641654025-0.5850690275"	"0-0.9723464525"
"ENSG00000107959.11"	0.18030845	0.5207433	"WholeBlood_TW"	"0.013778909-0.5184907875"	"0.02364470675-0.978029415"
"ENSG00000067082.10"	0.042236475	0.50459945	"WholeBlood_TW"	"0.0015503671-0.21410933"	"0.02758644-0.970063245"
"ENSG00000165568.13"	0.078907825	0.3933705	"WholeBlood_TW"	"0.0029484927-0.3570293875"	"0-0.9666298475"
"ENSG00000187134.8"	0.4050924	0.75307125	"WholeBlood_TW"	"0.19813256-0.624826155"	"0.3707531-0.9845019675"
"ENSG00000151632.12"	0.22378115	0.25930645	"WholeBlood_TW"	"0.012453091-0.5767116525"	"0-0.93815467"
"ENSG00000196139.7"	0.14709995	0.37620665	"WholeBlood_TW"	"0.008129433075-0.4021661225"	"0-0.9633589325"
"ENSG00000196326.6"	0.19541255	0.4325212	"WholeBlood_TW"	"0.014739872-0.457997329999999"	"0-0.9725366725"
"ENSG00000198610.6"	0.078544855	0.2510315	"WholeBlood_TW"	"0.0027183396-0.3315078975"	"0-0.9484467725"
"ENSG00000178473.5"	0.20900745	0.3735854	"WholeBlood_TW"	"0.01234813125-0.509945265"	"0-0.9705614125"
