gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
ENSG00000015171.14	0.042756455	0.02273716	0.65446895	0.2060625	0.0025949855	2	0.00292020555	0.001232109	0.033981866	0	0.00092701181	0	0.455024319999999	0.0752410184999999	0.9905214475	0.95583094	0.04762724975	54
ENSG00000151240.11	0.07680632	0.0472348	0.49707835	0.1747883	0.002116442	3	0.005111883575	0.003030635	0.02284414075	0	0.00057596752	0	0.5035253675	0.136342295	0.97761704	0.9141104375	0.014236929	25
ENSG00000180525.9	0.021944275	0.018606685	0.5502254	0.48279825	0.01268142	23	0.00102710715	0.0009041117275	0.03287534075	0.015784583	0.00253587385	2	0.111474755	0.0740166865	0.982352795	0.97384196	0.05371774475	91
ENSG00000107929.9	0.07598387	0.066518025	0.80435415	0.77715935	0.001420164	3	0.01240100825	0.0146969605	0.1502698125	0	0.0005152574	0	0.4076864525	0.14405285	0.9932332	0.9893731	0.00416967647499999	11
ENSG00000107937.14	0.1672924	0.1277658	0.7258429	0.6416859	0.0015063	3	0.04740050375	0.06013977075	0.1887351275	0.1062593625	0.0004981198	1	0.5075788	0.2224174375	0.984783275	0.9729675525	0.006381888625	16
ENSG00000148377.5	0.052304795	0.021322805	0.68872615	0.077109235	0.00070594745	1	0.001902314225	0.00074780653	0.0395608385	0	0.0004336374625	0	0.55041289	0.0784371304999999	0.9930559725	0.9331648875	0.002841698	7
ENSG00000067064.6	0.06271129	0.035280295	0.6876228	0.2864849	0.0008541269	2	0.00445932365	0.0021147357	0.047860625	0	0.000427822095	0	0.4818673425	0.1164775675	0.9898794075	0.9672687575	0.00856277864999999	22
ENSG00000047056.10	0.099146385	0.085700865	0.83672365	0.8034802	0.0032268855	8	0.0266932555	0.0324217595	0.1903561	0.105759095	0.0009171254	1	0.359409995	0.1616561025	0.9945650425	0.992356585	0.0209459795	54
ENSG00000185736.11	0.3011127	0.3875229	0.8922448	0.9184724	0.0005589586	2	0.1065124925	0.3163477	0.5161337	0.7773637475	0.0002932437875	1	0.6805789	0.46586781	0.9928419	0.994028045	0.002007282	6
ENSG00000067057.11	0.10829965	0.08931987	0.63848525	0.53451095	0.001376722	5	0.0219933725	0.02313664325	0.04637224025	0	0.0004066460225	0	0.424463545	0.187852795	0.9848997025	0.98170254	0.0231518025	78
ENSG00000107959.11	0.52140905	0.3947172	0.9736554	0.9587171	0.001840899	9	0.2981103175	0.3186651	0.8564586125	0.8402888	0.001215588	6	0.7689405	0.4658548	0.9991856	0.9983914	0.004404492	14
ENSG00000067082.10	0.05463555	0.031524805	0.6019979	0.1760676	0.0007592971	2	0.003096889325	0.0016083536	0.030015312	0	0.0003413189025	0	0.4765780475	0.10109199	0.9892661	0.9530866275	0.00416059985	14
ENSG00000165568.13	0.3180514	0.29542185	0.9376407	0.9318443	0.001403138	6	0.1294281025	0.2135735125	0.6367363025	0.74383643	0.0006938698	3	0.6275615125	0.3889060625	0.997117	0.9974635375	0.0058227647	18
ENSG00000187134.8	0.11972195	0.12676955	0.8780314	0.8945981	0.0005764021	2	0.025304261	0.069518078	0.3500976375	0.5802872	0.0003487260425	1	0.4905316475	0.199304795	0.9969817325	0.9962972	0.002242560275	7
ENSG00000151632.12	0.44118905	0.3064444	0.97125155	0.9474065	0.0017077305	3	0.1862670925	0.233884	0.8120593	0.8038961	0.000797602125	2	0.7793918	0.3799819425	0.9990201	0.9977572225	0.00569434754999999	11
ENSG00000196139.7	0.10937755	0.089566505	0.70530625	0.6210969	0.0018108465	5	0.02111228525	0.01933602775	0.0918050565	0	0.0003881482125	0	0.4502464025	0.176269755	0.98660695	0.9817376675	0.0164716015	45
ENSG00000198610.6	0.08015051	0.049239955	0.64367765	0.19917015	0.0007803252	2	0.01096697975	0.0070402183	0.040845785	0	0.0003817639375	0	0.4989628125	0.118134595	0.9848935	0.94585131	0.003850813375	10.0249999999996
ENSG00000178473.5	0.02453315	0.01671457	0.57178	0.3422479	0.0036255815	9	0.0009166874	0.0006851883	0.02811341	0	0.0004405883975	0	0.2622229125	0.07012241	0.9885478775	0.962512855	0.02215329425	62
ENSG00000178462.7	0.13787165	0.10744975	0.8519375	0.8070642	0.002136302	5	0.02843410775	0.036414774	0.2889183575	0.3434510125	0.000525658015	1	0.437994917499999	0.20034269	0.9937848725	0.991107125	0.02359442775	63
ENSG00000173848.14	0.049289615	0.03212773	0.57219215	0.3151948	0.002109837	5	0.0022311523	0.0014411559	0.03591064	0	0.0003861713125	0	0.3846522775	0.111047095	0.98358389	0.9543711375	0.023630648	66
ENSG00000178372.6	0.0503234	0.03613729	0.6460456	0.44084485	0.0030097135	7	0.002957352625	0.001864759675	0.04288057275	0	0.000387596565	0	0.381193715	0.1093204675	0.9894361925	0.9707181725	0.0391034425	102
ENSG00000178363.3	0.030542485	0.028835865	0.4962289	0.49398885	0.078710515	214	0.00143951695	0.001493974325	0.028013482	0.02710838875	0.04926882125	135	0.1153866975	0.1020249175	0.9749322075	0.9740291625	0.10952999	294.025
ENSG00000196372.8	0.3180254	0.21833935	0.49337745	0.1988484	0.001261201	3	0.110197795	0.09183716825	0.032349266	0	0.0003954215	0	0.8204617475	0.3490708	0.9277119	0.7504387725	0.01983431225	51
ENSG00000108021.15	0.033893305	0.03198918	0.49863675	0.47049365	0.03493272	97	0.0017729035	0.001724915525	0.02087628675	0.018675481	0.00204018285	5	0.1387323775	0.1130014475	0.972369715	0.9700147	0.0989429725	264
ENSG00000057608.11	0.2152781	0.17133935	0.84614495	0.80835605	0.0006951204	2	0.06429330775	0.1008636375	0.4027797	0.5173616	0.000393346985	1	0.583843124999999	0.2734027775	0.9921016175	0.987543235	0.001213876	5
ENSG00000134461.11	0.2379333	0.2093563	0.738499	0.6975494	0.0017546615	5	0.0756286395	0.1088035125	0.27784577	0.37061794	0.0004148843	1	0.5828588275	0.32507396	0.9777548875	0.97048128	0.00993222849999997	27
ENSG00000134452.14	0.08645491	0.07126521	0.6957893	0.62268155	0.0018805595	5	0.01547027475	0.0159133825	0.07625	0	0.0004905837	0	0.3955428225	0.155213435	0.9901412	0.98360671	0.0179658775	52
ENSG00000134470.15	0.1541785	0.16209145	0.884918	0.89412935	0.001778462	5	0.045569313	0.08972591325	0.493123015	0.6290991975	0.0007075646125	2	0.41638387	0.246569025	0.9959253125	0.9956559	0.0130067415	36
ENSG00000134460.11	0.23945195	0.1598803	0.81976365	0.7006437	0.0015238905	4	0.084975956	0.083481612	0.3818921125	0.329042005	0.0004228686	1	0.6000377	0.2596709725	0.99007557	0.9798615525	0.005899458925	15
ENSG00000134453.11	0.024589855	0.01880324	0.5805807	0.43227895	0.031090555	89	0.000746009115	0.0005304753725	0.0314313935	0	0.0003695164425	0	0.211203274999998	0.08709442325	0.9862243575	0.967075775	0.05365479675	148
ENSG00000170525.14	0.038401725	0.01583369	0.68453305	0.10617525	0.0006588617	1	0.001358081	0.00052901975	0.043888727	0	0.0003571146025	0	0.5301742	0.0695123707499999	0.99325107	0.9310330325	0.0018662238	6
