AssociatedGeneName	EnsemblGeneID	h2.CrossTissue	se.CrossTissue	h2.AdiposeSubcutaneous	se.AdiposeSubcutaneous	h2.ArteryTibial	se.ArteryTibial	h2.HeartLeftVentricle	se.HeartLeftVentricle	h2.Lung	se.Lung	h2.MuscleSkeletal	se.MuscleSkeletal	h2.NerveTibial	se.NerveTibial	h2.SkinSunExposedLowerleg	se.SkinSunExposedLowerleg	h2.Thyroid	se.Thyroid	h2.WholeBlood	se.WholeBlood
PVRL2	ENSG00000130202.5	0.164315	0.058436	1e-06	0.051168	0.110486	0.067491	1e-06	0.085173	0.090501	0.075118	0.193495	0.073079	0.014187	0.05424	0.075092	0.061883	0.046043	0.059998	0.732443	0.045935
JUP	ENSG00000173801.12	0.070256	0.035475	0.013119	0.038983	0.086384	0.053547	1e-06	0.073758	1e-06	0.037048	0.014248	0.028616	0.075502	0.064585	0.014527	0.031601	0.06233	0.05293	0.703367	0.050486
MDGA1	ENSG00000112139.9	0.662821	0.05189	0.459603	0.090503	0.37449	0.093487	0.158104	0.100999	0.223501	0.09567	0.246138	0.076204	1e-06	0.049206	0.707231	0.059123	0.527765	0.082685	0.714505	0.053532
GSTT1	ENSG00000184674.8	0.697129	0.046277	0.586638	0.067906	0.700978	0.064598	0.544012	0.091971	0.593708	0.068634	0.576602	0.065416	0.671726	0.065848	0.600756	0.067458	0.599253	0.071862	0.543371	0.071117
ADARB2	ENSG00000185736.11	0.399501	0.064486	1e-06	0.059444	0.207418	0.084974	0.022054	0.093063	0.233486	0.087842	0.210774	0.072091	0.06711	0.077125	1e-06	0.056979	0.29693	0.087177	0.603481	0.064534
TMEM176B	ENSG00000106565.13	0.495581	0.064693	0.254581	0.08763	0.195145	0.087327	0.467402	0.106488	0.134924	0.087785	0.376099	0.076425	0.146553	0.086133	0.321102	0.08841	0.38794	0.0946	0.669396	0.054186
SLC12A1	ENSG00000074803.13	0.325	0.067591	1e-06	0.042341	1e-06	0.030002	0.131631	0.085279	0.367658	0.079404	0.001347	0.027803	0.068571	0.05571	1e-06	0.032092	0.052153	0.052604	0.612703	0.057306
AFAP1	ENSG00000196526.6	0.158091	0.054449	1e-06	0.050033	0.110183	0.084704	0.287978	0.133041	1e-06	0.051907	1e-06	0.050031	1e-06	0.070628	0.578295	0.074774	0.165281	0.08961	0.594393	0.063426
TMTC1	ENSG00000133687.11	0.078254	0.0427	0.090453	0.067159	1e-06	0.052086	1e-06	0.060692	0.048388	0.053275	0.048694	0.04873	0.114898	0.073386	0.030312	0.044221	0.024088	0.047618	0.687841	0.052694
TMEM176A	ENSG00000002933.3	0.422114	0.068439	0.186569	0.08276	0.136646	0.078528	0.489234	0.104511	0.000733	0.055618	0.172595	0.073216	1e-06	0.060035	0.383757	0.088095	0.424991	0.092497	0.626957	0.058543
MFSD9	ENSG00000135953.6	0.128264	0.049812	0.026713	0.039231	0.022379	0.042264	0.081663	0.082278	0.073806	0.058385	1e-06	0.030815	1e-06	0.036527	0.046907	0.05124	1e-06	0.039156	0.671986	0.053923
