gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	1.00249536821184	12	0.101843314824816	12	0.00197011413090462	0.415292511620101
DIP2C	1	0.984655744381817	17	0.102866766093525	22	0.0163754390406557	0.0184177804524693
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	0.963143144756574	20	0.0972361750017354	34	0.0370048375419737	0.00036792271281142
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.435731241939173	46	0.0935180254515868	12	0.570729864877213	7.4773561637554e-64
PFKP	1	0.946617610777806	25	0.0872792030870783	52	0.0554719063331731	1.17457102496717e-05
PITRM1	1	0.995614828198839	10	0.1343443956885	11	0.00379038462864342	0.258291757430123
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	1	0.839016170463319	29	0.118988700247118	12	0.162320866753936	1.16099269717443e-14
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	1	0.995353308701927	13	0.109130858304807	27	0.00666268734620403	0.133657510953342
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.996990558050002	4	0.212439138010454	2	0.000890618281153049	0.58399092726753
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.996322656496724	8	0.148827533037028	4	0.00191535545239232	0.421857071928084
ASB13	1	0.985918761798911	7	0.187750263096669	1	0.0143927944979248	0.0271951159309074
FAM208B	1	0.999812478605404	12	0.113219518222782	25	0.00484548046869555	0.201085889534339
GDI2	1	0.981348706402043	15	0.107252008014232	19	0.0181773898202291	0.0129715322888789
ANKRD16	1	1.00102398724013	4	0.180678451263325	1	0.000573696160694684	0.660345329834215
FBXO18	1	0.998592564923355	8	0.153896043105805	4	0.000743965741706097	0.616766877949014
IL15RA	1	0.958045276352035	16	0.118111665795791	22	0.0391221077959499	0.000247750491174025
IL2RA	1	0.98162156069042	12	0.136918115932144	10	0.0154932165332161	0.0218927056298098
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.981495121766641	9	0.151816614884645	5	0.0169778293946095	0.0163753798259156
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	1.00778666784559	4	0.194045236821057	1	0.00603441846236155	0.153538690909352
PRKCQ	1	1.00037634740312	5	0.163440871125372	2	0.000125365556430056	0.837261443107593
SFMBT2	1	0.960022129541213	16	0.137182225432638	9	0.0385628705748325	0.000275017273305112
ITIH5	1	1.00356856448192	3	0.181496713099607	1	0.00563377136856548	0.167952138133275
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.975148957303224	14	0.135954027095047	11	0.0220786742235106	0.00612638677958141
PROSER2	1	0.988978849343707	8	0.168267843697615	3	0.00837576494563703	0.0924998910734475
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	1	1.00342386560609	9	0.129381622616433	19	0.00098482313525207	0.564743892789785
SEC61A2	1	1.00541010881453	8	0.132397203924802	14	0.000393505663910131	0.715914566805809
NUDT5	1	1.00127614732988	11	0.118652740293433	25	0.00533233484488326	0.179817114833095
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.956315815767488	15	0.151928417851083	10	0.0429280853088727	0.000121799380007483
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	0.980956821733789	10	0.136320674180884	15	0.0163475734981967	0.0185183596660748
PHYH	1	1.00821760226893	10	0.11986926219052	19	0.00167414223669338	0.452724510018693
SEPHS1	1	0.948365470076406	20	0.0900946715289967	47	0.0528166654267458	1.92761066260014e-05
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.979530909591399	10	0.149851182832804	4	0.0196086457589176	0.00983862883281539
FRMD4A	1	0.988442112450374	10	0.143006526621532	9	0.00882988358924021	0.084067424864584
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	1	1.00017448695315	8	0.1626430119063	2	0.000356226176211139	0.729152086245596
HSPA14	1	0.998541729274028	9	0.1317360749824	5	0.00086406839103234	0.589653923046652
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	1	0.976326751911252	13	0.108765428648544	23	0.0211027966393713	0.00738393291614618
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	1.00406054383644	6	0.167963229559404	6	0.000258906716125246	0.767853459350841
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	1	0.997020627785507	5	0.159613290932543	2	0.000810666092733665	0.601392962598985
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	1	0.98977996227705	7	0.18175038045321	2	0.00758164609587456	0.109532776913936
ITGA8	1	0.990010722162599	8	0.148400068352182	5	0.00706719704626277	0.122382697981512
FAM188A	1	0.987882015078752	9	0.160366102161492	4	0.00938229541000988	0.0749082073275076
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	1	0.97812827466305	15	0.116894823628319	16	0.0196595560745115	0.00974263841607324
TRDMT1	1	0.977990493995432	10	0.131788866793268	7	0.0196032747673018	0.00984881179693394
VIM	1	1.00576153879541	5	0.160296737793582	2	0.00267663182367951	0.342273976067768
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	1	0.96773306927992	13	0.147494027405233	9	0.0297733704859922	0.00142669785975376
MRC1L1	1	1.00850547724993	2	0.21857477585925	1	0.0221549881156041	0.00603772902723355
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	1	0.98799066573881	15	0.111303169944167	18	0.0151975477765093	0.0232029262594291
SLC39A12	1	1.00646111291109	3	0.161799592280232	4	0.00934147064642206	0.0755470807693858
CACNB2	1	0.972621931461904	14	0.123610351694671	20	0.024711652871798	0.00371120742227682
NSUN6	1	0.987682687839835	11	0.140176155279273	5	0.00952136005420444	0.072774946407704
ARL5B	1	0.97146569553176	19	0.110684049907335	14	0.0260378245691063	0.00288650565297085
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	1	0.946295643510003	20	0.0883625718170732	46	0.051956228711769	2.26312707973915e-05
NEBL	1	0.77791103120677	29	0.136670613374947	8	0.22763204368875	1.13064999652208e-20
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	1	0.999089695401117	6	0.160425759938877	2	1.77256288260674e-05	0.938439233900177
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	1	1.0037997135653	7	0.134244738884242	3	0.000286190900155905	0.756294802150359
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	1	0.99440810710935	18	0.0832034812669086	34	0.0145513704480785	0.0263557706114329
