gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.5	0.992236723473512	19	0.166461196703459	39	0.0188225387739169	0.021895633534487
LARP4B	0.5	0.99644784699455	5	0.372686514121255	1	0.000395323193940206	0.740909745157358
AL359878.1	0.5	0.988913462846255	9	0.30748255653242	9	0.0075537127246055	0.147633305474275
GTPBP4	0.5	0.992443876247352	7	0.35824996625767	7	0.00399119558202436	0.29300195465065
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	0.993107171658368	11	0.28732188211671	13	0.00498002497513995	0.240029565076488
ADARB2	0.5	0.855424935466223	30	0.215398802195852	37	0.143507668535423	5.95977812272746e-11
PFKP	0.5	0.997828267276373	7	0.322316510419795	5	0.00113184871005538	0.575763389117268
PITRM1	0.5	0.996752843445194	17	0.231875403904156	51	0.0197535932976627	0.018837255033536
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.5	0.948187502549564	15	0.30574871273916	16	0.0533332292299379	9.90568454429138e-05
AKR1C1	0.5	0.932051921953643	19	0.289063810737282	15	0.0661641675149415	1.35750614350998e-05
AKR1C2	0.5	0.922599184741416	17	0.307519939983206	11	0.0826566789560665	1.03873530140771e-06
AKR1C3	0.5	0.92790699133681	16	0.263275919739874	20	0.0753036077253724	3.27649399686348e-06
AKR1CL1	0.5	0.960903230485841	14	0.312075066848096	12	0.0374632256332279	0.00115706374180656
AKR1C4	0.5	0.990656442182763	17	0.227143006020169	37	0.0132405383402675	0.0548883277738207
UCN3	0.5	0.979515064507922	17	0.195548264952617	53	0.0228353854140179	0.0114944616600223
TUBAL3	0.5	0.918218502091235	24	0.245111991742536	28	0.0795778548795728	1.68140753687672e-06
NET1	0.5	0.995457586762839	9	0.306748909062689	15	0.00484384997222718	0.24657914868346
CALML5	0.5	1.00500185437886	2	0.380924861473482	1	0.0195695853638613	0.0194048066629519
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.5	0.998326774758079	6	0.368239157283802	13	0.000177968982798594	0.82443861648951
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.5	0.959687719497318	18	0.277189514622985	14	0.036879145672444	0.00126703456319893
ANKRD16	0.5	0.990386288148989	12	0.243933834676962	37	0.0103052022041026	0.0905718030051214
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	0.5	0.99838151188991	8	0.278045154673614	15	0.00168478057225721	0.494724098649451
PFKFB3	0.5	0.974929528722691	16	0.249016443714524	23	0.0233897325852603	0.0105230815567099
AL137145.1	0.5	0.995912826730252	19	0.194702866925452	50	0.0168348338415444	0.0302596843307075
DKFZP667F0711	0.5	1.00121474215448	5	0.345197396082734	4	0.00011714746765252	0.857167341772643
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.5	0.970649555988359	13	0.332654555436341	10	0.0273888660136451	0.00558761656209854
ITIH2	0.5	0.965167041092761	25	0.193868824032167	62	0.0385724692627383	0.000973915646428699
KIN	0.5	0.990541183093981	8	0.323328898903682	10	0.00592088563153833	0.200051984741991
ATP5C1	0.5	0.97058426804027	11	0.371978742495985	1	0.0345147088027256	0.0018307195358803
TAF3	0.5	1.00651319884055	9	0.312788387262775	6	0.000277653396478253	0.781706726338339
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.5	0.989485685060717	11	0.306046466035445	8	0.00739329077344967	0.152021881598499
USP6NL	0.5	0.973128901068547	12	0.294579502343085	11	0.0237110980823379	0.0099986855439611
ECHDC3	0.5	0.875303037194703	26	0.209333697770081	44	0.123930405089978	1.46194522808812e-09
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	0.5	1.00176613662247	7	0.326453858930143	10	2.78628377474832e-05	0.930056667365098
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.5	0.992453910813503	9	0.351141377137365	7	0.00457590131357871	0.260115280303103
NUDT5	0.5	0.998766329652253	10	0.307104084253202	11	0.00150123636145264	0.519239054896055
CDC123	0.5	1.00624604159335	5	0.329560455972151	4	0.00522738536881733	0.228661734690204
CAMK1D	0.5	0.838395031254646	25	0.305803324277533	7	0.178200364708621	1.74997366297097e-13
CCDC3	0.5	0.92930446541166	15	0.374171322156899	5	0.0826254958780807	1.04381959979008e-06
OPTN	0.5	0.987689021983172	15	0.22666140101387	31	0.013735384788039	0.050518308707317
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.5	0.923117976038683	16	0.329521717708198	6	0.0863594704353313	5.81288726710958e-07
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.5	0.990869991060165	9	0.277008989229251	12	0.00604693654949387	0.195315850875318
BEND7	0.5	0.980597886848144	14	0.242931566489243	31	0.0186557514006067	0.0224953225616229
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.5	0.837632840373362	26	0.233420112855076	36	0.168437173563165	9.22958767573128e-13
FRMD4A	0.5	0.993011924877544	15	0.238988512711111	31	0.0102236926603029	0.091863585684294
FAM107B	0.5	1.0023173518123	2	0.341812125849302	4	0.00545612356997527	0.218719555772062
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	0.5	0.953681334947611	20	0.236759726531036	23	0.0431071407728003	0.000482075043292505
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.5	0.991047483259439	7	0.370110668036129	2	0.0057112144616988	0.208231208783773
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.5	0.942382060358111	14	0.357328408666802	4	0.0727464124444791	4.87999960625812e-06
FAM171A1	0.5	1.00377055167042	10	0.260363563487985	15	0.00205172169817745	0.45110061782383
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.5	0.844782810271531	24	0.241501220260915	24	0.160440471510178	3.55619754127076e-12
C1QL3	0.5	0.526044172838664	39	0.24413476774668	6	0.491401854897	1.46520773527584e-42
RSU1	0.5	0.96736876556587	14	0.365689369913829	6	0.029593335237109	0.00395115802868075
CUBN	0.5	0.958688855883021	17	0.301601092474499	15	0.0381782886226487	0.00103539968426553
TRDMT1	0.5	0.965654016863085	13	0.330058640480057	4	0.0340844857425852	0.00195769573674364
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	0.5	0.983263832753565	18	0.185269674433828	43	0.020843869976933	0.0158065174842737
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.5	0.886965779688237	29	0.21277035158072	44	0.110543689811178	1.26056882272165e-08
TMEM236	0.5	0.998940182656461	7	0.360149008781214	3	5.33136170757604e-05	0.903362238366351
MRC1L1	0.5	0.8845089415412	24	0.279014761081726	11	0.119222904209925	3.1278342098621e-09
TMEM236	0.5	0.997286902844857	6	0.359908029615715	2	0.000325870831750554	0.764027042985189
MRC1	0.5	0.710543662147623	37	0.208235421405251	36	0.293905968788592	1.02329966913958e-22
SLC39A12	0.5	0.84993072030457	27	0.238672152268063	17	0.154771910548357	9.18813247920373e-12
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	0.5	0.782254098141882	27	0.263357776658222	20	0.229262235673339	2.14598283854028e-17
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	0.5	0.854888878646922	29	0.164480337619227	67	0.142202932237543	7.39064651231541e-11
PLXDC2	0.5	0.993097182537808	11	0.287627882992128	10	0.00437379904038133	0.27093427463271
NEBL	0.5	0.998997857793309	7	0.354347213450596	1	0.000175379689405419	0.825699875851323
C10orf113	0.5	0.976051303144115	12	0.25628591463031	11	0.0211228984472642	0.0151144606273821
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	0.5	1.00096492335591	8	0.304649991167184	7	3.10791591514592e-05	0.926140846578004
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	0.5	0.987705183472684	17	0.230099274782635	16	0.012320600843115	0.0641067443698473
ARMC3	0.5	1.00241539498629	6	0.347715950144522	1	0.00174140484251587	0.487554334577479
