"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000173876.9"	0.1635534	0.39249905	"Adipose-Subcutaneous_TW"	"0.0128194305-0.4300619675"	"0.002088031925-0.95660552"
"ENSG00000015171.14"	0.04324135	0.4928136	"Adipose-Subcutaneous_TW"	"0.00157878715-0.18702164"	"0.0163313705-0.978268"
"ENSG00000151240.11"	0.11992545	0.42711175	"Adipose-Subcutaneous_TW"	"0.00662490325-0.334223955"	"0-0.97179233"
"ENSG00000180525.9"	0.04073327	0.18138005	"Adipose-Subcutaneous_TW"	"0.00135966605-0.19458476"	"0-0.9511702075"
"ENSG00000107929.9"	0.05655473	0.27845885	"Adipose-Subcutaneous_TW"	"0.0015763006-0.2634718975"	"0-0.9610894525"
"ENSG00000205740.1"	0.071250205	0.3377975	"Adipose-Subcutaneous_TW"	"0.0027733448-0.302872215"	"0-0.9600555075"
"ENSG00000107937.14"	0.12747295	0.2282711	"Adipose-Subcutaneous_TW"	"0.00825273905-0.3505937825"	"0-0.9567437475"
"ENSG00000148377.5"	0.095337855	0.2404558	"Adipose-Subcutaneous_TW"	"0.002825559275-0.3477547625"	"0-0.955590622499999"
"ENSG00000067064.6"	0.1860268	0.2121313	"Adipose-Subcutaneous_TW"	"0.0134935585-0.4895972525"	"0-0.9405714"
"ENSG00000047056.10"	0.18921885	0.4334556	"Adipose-Subcutaneous_TW"	"0.0114197225-0.4902773025"	"0.001944517925-0.965733315"
"ENSG00000185736.11"	0.06018785	0.32956105	"Adipose-Subcutaneous_TW"	"0.001995627025-0.2527509775"	"0-0.9677316775"
"ENSG00000067057.11"	0.1192015	0.4613166	"Adipose-Subcutaneous_TW"	"0.005427819125-0.371206215"	"0.0081036576-0.97394796"
"ENSG00000107959.11"	0.1081636	0.3969685	"Adipose-Subcutaneous_TW"	"0.004140613075-0.4007494725"	"0-0.9691258925"
"ENSG00000067082.10"	0.085731905	0.2275703	"Adipose-Subcutaneous_TW"	"0.003520219575-0.319215135"	"0-0.9590859925"
"ENSG00000165568.13"	0.14981435	0.41543475	"Adipose-Subcutaneous_TW"	"0.012988473-0.3863518825"	"0-0.9696619125"
"ENSG00000187134.8"	0.065806155	0.37292465	"Adipose-Subcutaneous_TW"	"0.002288627-0.2858505975"	"0-0.9670458575"
"ENSG00000151632.12"	0.088960555	0.2215282	"Adipose-Subcutaneous_TW"	"0.003723089225-0.3267580625"	"0-0.943852165"
"ENSG00000196139.7"	0.28677845	0.80149285	"Adipose-Subcutaneous_TW"	"0.0576674895-0.509160367499999"	"0.1595551-0.9907632"
"ENSG00000196326.6"	0.1793814	0.4871566	"Adipose-Subcutaneous_TW"	"0.01364701425-0.439489605"	"0.002903099025-0.9718443675"
"ENSG00000198610.6"	0.057449455	0.466912	"Adipose-Subcutaneous_TW"	"0.002134333575-0.284011285"	"0.002344496925-0.974814"
"ENSG00000178473.5"	0.3570477	0.46248105	"Adipose-Subcutaneous_TW"	"0.0547445835-0.685062325"	"0.022111326-0.9657811875"
