gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.995890615210885	8	0.121503498419143	8	0.00290435984099001	0.307187549961148
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.954820932111535	16	0.137884095645418	13	0.0435314547542549	6.48322206496878e-05
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.991813245075857	8	0.149264981365482	7	0.00562180367966044	0.155126079288567
PFKP	1	0.968885298221321	12	0.164724054262792	5	0.0328582290336494	0.000538436107288963
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	1	0.977340456099062	11	0.149145336653685	2	0.0233522594446602	0.00360830086068796
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	1	0.96666232362365	21	0.0747559654798594	61	0.0395147710109408	0.000143654259685695
AKR1C2	1	0.836564428643757	33	0.0810994195584156	52	0.161660538321082	1.85196098084034e-15
AKR1C3	1	0.903972325915967	30	0.0748510036521266	47	0.0942522609159502	2.56369716980453e-09
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.949965774433481	15	0.155142893421082	3	0.0540713279663694	8.03934932749785e-06
NET1	1	1.00095529453749	8	0.130800437873146	11	0.000294390833192177	0.745262874439959
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.999820711351851	8	0.153115967540535	3	0.000379626265469672	0.712167123697776
ASB13	1	0.992948738176381	10	0.144134225426642	6	0.00474635395856684	0.191554453067941
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	0.975184800557017	11	0.127315183682765	9	0.0238873176536207	0.00323921870366203
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.997465031229797	5	0.174381022180199	2	0.000452052866509365	0.687232458402926
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	0.98199240653719	14	0.117991773840813	15	0.0164438996412169	0.0147661032389128
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	1	1.00418700555058	6	0.162476942406647	5	0.000768808553513354	0.59951754676403
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.954842486377352	27	0.0700450685526712	66	0.0537861488172587	8.50689861333813e-06
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.962181647159085	13	0.115601886613136	18	0.0359677024922105	0.000290279815423134
ECHDC3	1	0.991693236660881	10	0.140174628156935	5	0.00622355230604885	0.134644679134718
PROSER2	1	0.885550867949365	25	0.112275834733447	15	0.114815373266	3.78304074978177e-11
UPF2	1	0.983560112673803	11	0.146576633002007	3	0.0146001873160493	0.0216615516304956
DHTKD1	1	1.00273793137866	9	0.123941430773265	11	0.000960859165558141	0.557166534051696
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.99707272501409	7	0.14584658115921	8	0.0015203487839578	0.46017852141434
CCDC3	1	0.964478070454383	14	0.144832063484899	4	0.0359952392612248	0.000288697585788952
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.830503351067688	36	0.0893652827360561	35	0.167371845761638	5.33860391282723e-16
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	1	0.973746398367818	16	0.116102431048165	20	0.0241317832593917	0.00308352892475072
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.993223985154751	8	0.150324275038842	3	0.0040956154304374	0.225141443458493
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	1	1.00368148930876	9	0.134868206993051	4	1.94438985263434e-05	0.93346129952414
ACBD7	1	1.00740729115671	7	0.132707573444213	7	0.00073866460832597	0.606767219626103
C10orf111	1	0.980422712686672	10	0.135836500341375	9	0.0173856978924528	0.012158499989293
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	1	1.0004965925922	9	0.134895087178619	5	0.00141118986779859	0.476758258283434
FAM171A1	1	0.962206339341791	17	0.131093763394036	7	0.0358283129359572	0.000298423405574144
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	1	1.00197618041529	5	0.14055082268739	3	0.00062747380041104	0.635241117136965
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	1	0.901345180966796	23	0.134032846629468	5	0.100199231043258	7.63351544560566e-10
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
